llave	dominio	conducta	instrumento_ola	segmento	universo_denominador	unidad_escala	punto	ic95_inf	ic95_sup	naturaleza_ic	estado_adopcion	firma	temporalidad	result_punto	result_inf	result_sup	calc	sha256_resultados	sha256_sello	uso	oferta_compatible	oferta_valor_ic	reserva
RESULT-B-ENIGH-2022-P	familia	recibe_remesas	ENIGH 2022	familia.seguro.volatilidad_ausencia_estado	Hogares: el universo COMPLETO de `concentradohogar` (folioviv + foliohog) de cada ola de ENIGH Nueva Serie 2016, 2018, 2020 y 2022, SIN filtro adicional -- el mismo universo que milpa/tramite.yaml declara para familia.seguro.volatilidad_ausencia_ estado, deliberadamente, para que el punto 2022 sea comparable contra la cifra ya sellada. UNA OLA A LA VEZ, jamas agrupadas ni promediadas. Las olas 2012 y 2014 existen en corpus y quedan FUERA del universo congelado (§0.1 de la sellada).	[2022] proporcion ponderada de hogares con remesas>0, universo completo de concentradohogar [0,1]	0.04569409956405095	0.043772848428537396	0.047770249605883566	IC-DE-SPEC-SIN-CALIBRACION-ACREDITADA	CONSUMO-GEN2-ACTIVO	VER-DECISION-DE-ADOPCION	REVISAR-ORDEN-DE-SELLOS	RESULT-B-ENIGH-2022-P	RESULT-B-ENIGH-2022-IC-LO	RESULT-B-ENIGH-2022-IC-HI	CALC-B-0001	87e20e5aa2923fcc4b206734fa13ec321d3b036d61edd48eb0efd5bd369f263d	b849d164731d6b90c83316d0d8fa884b91f3fff1a4370ad2c93872e62b3788aa	milpa/tramite.yaml:familia.seguro.volatilidad_ausencia_estado:recibe_remesas;forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:M;forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:M;forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:M	NO-APLICA		Revisar identidad estimando, oferta compatible y alcance de firma.
RESULT-BANXICO-2024-AUT-ATRASO-P	dinero	milpa/tramite-ola5-propuesta-v0.yaml · dinero.credito.atraso_y_dano_por_producto_banxico	Banxico 2024	RESULT-BANXICO-2024-AUT-ATRASO-P	tenedores del producto (filtro=1), personas 18-70 en localidades >=50 mil, corte 2024 · unidad persona · escala proporcion [0,1]	proporcion ponderada	0.04309263821900375			SIN-IC-IDENTIFICADO	FIRMA-ADOPTAR; CONSUMO-PENDIENTE	data/corrida0/decisiones.tsv:FP-260922-GEN2-TRAMITE-PENDIENTES-1-18fa-01	RETROSPECTIVA	RESULT-BANXICO-2024-AUT-ATRASO-P			CALC-BANXICO-PRODUCTO-DANO-0001	d187c6375d3333c17d19359404cfd46c4051539eca26e9e739ca44424bd759ba	86eea354e138489d26bfa0f6eb131265fd35f62334af81952fada8369f54f87e	milpa/tramite-ola5-propuesta-v0.yaml · dinero.credito.atraso_y_dano_por_producto_banxico	SIN-MEDIDA-DE-OFERTA-COMPATIBLE-VERIFICADA		ADOPTAR · replay REPRODUCE/IDENTICO, sello COINCIDE, consumidor descriptivo (rol_uso proxy_descriptivo) ya firmado por mesa 15/sep (OBJETO 8/9)
RESULT-BANXICO-2024-HIP-ATRASO-P	dinero	milpa/tramite-ola5-propuesta-v0.yaml · dinero.credito.atraso_y_dano_por_producto_banxico	Banxico 2024	RESULT-BANXICO-2024-HIP-ATRASO-P	tenedores del producto (filtro=1), personas 18-70 en localidades >=50 mil, corte 2024 · unidad persona · escala proporcion [0,1]	proporcion ponderada	0.18510485270103624			SIN-IC-IDENTIFICADO	FIRMA-ADOPTAR; CONSUMO-PENDIENTE	data/corrida0/decisiones.tsv:FP-260922-GEN2-TRAMITE-PENDIENTES-1-18fa-01	RETROSPECTIVA	RESULT-BANXICO-2024-HIP-ATRASO-P			CALC-BANXICO-PRODUCTO-DANO-0001	d187c6375d3333c17d19359404cfd46c4051539eca26e9e739ca44424bd759ba	86eea354e138489d26bfa0f6eb131265fd35f62334af81952fada8369f54f87e	milpa/tramite-ola5-propuesta-v0.yaml · dinero.credito.atraso_y_dano_por_producto_banxico	SIN-MEDIDA-DE-OFERTA-COMPATIBLE-VERIFICADA		ADOPTAR · replay REPRODUCE/IDENTICO, sello COINCIDE, consumidor descriptivo (rol_uso proxy_descriptivo) ya firmado por mesa 15/sep (OBJETO 8/9)
RESULT-BANXICO-2024-NOM-ATRASO-P	dinero	milpa/tramite-ola5-propuesta-v0.yaml · dinero.credito.atraso_y_dano_por_producto_banxico	Banxico 2024	RESULT-BANXICO-2024-NOM-ATRASO-P	tenedores del producto (filtro=1), personas 18-70 en localidades >=50 mil, corte 2024 · unidad persona · escala proporcion [0,1]	proporcion ponderada	0.1035233151033609			SIN-IC-IDENTIFICADO	FIRMA-ADOPTAR; CONSUMO-PENDIENTE	data/corrida0/decisiones.tsv:FP-260922-GEN2-TRAMITE-PENDIENTES-1-18fa-01	RETROSPECTIVA	RESULT-BANXICO-2024-NOM-ATRASO-P			CALC-BANXICO-PRODUCTO-DANO-0001	d187c6375d3333c17d19359404cfd46c4051539eca26e9e739ca44424bd759ba	86eea354e138489d26bfa0f6eb131265fd35f62334af81952fada8369f54f87e	milpa/tramite-ola5-propuesta-v0.yaml · dinero.credito.atraso_y_dano_por_producto_banxico	SIN-MEDIDA-DE-OFERTA-COMPATIBLE-VERIFICADA		ADOPTAR · replay REPRODUCE/IDENTICO, sello COINCIDE, consumidor descriptivo (rol_uso proxy_descriptivo) ya firmado por mesa 15/sep (OBJETO 8/9)
RESULT-BANXICO-2024-PER-ATRASO-P	dinero	milpa/tramite-ola5-propuesta-v0.yaml · dinero.credito.atraso_y_dano_por_producto_banxico	Banxico 2024	RESULT-BANXICO-2024-PER-ATRASO-P	tenedores del producto (filtro=1), personas 18-70 en localidades >=50 mil, corte 2024 · unidad persona · escala proporcion [0,1]	proporcion ponderada	0.08031777453105593			SIN-IC-IDENTIFICADO	FIRMA-ADOPTAR; CONSUMO-PENDIENTE	data/corrida0/decisiones.tsv:FP-260922-GEN2-TRAMITE-PENDIENTES-1-18fa-01	RETROSPECTIVA	RESULT-BANXICO-2024-PER-ATRASO-P			CALC-BANXICO-PRODUCTO-DANO-0001	d187c6375d3333c17d19359404cfd46c4051539eca26e9e739ca44424bd759ba	86eea354e138489d26bfa0f6eb131265fd35f62334af81952fada8369f54f87e	milpa/tramite-ola5-propuesta-v0.yaml · dinero.credito.atraso_y_dano_por_producto_banxico	SIN-MEDIDA-DE-OFERTA-COMPATIBLE-VERIFICADA		ADOPTAR · replay REPRODUCE/IDENTICO, sello COINCIDE, consumidor descriptivo (rol_uso proxy_descriptivo) ya firmado por mesa 15/sep (OBJETO 8/9)
RESULT-BANXICO-2024-TDC-ATRASO-P	dinero	milpa/tramite-ola5-propuesta-v0.yaml · dinero.credito.atraso_y_dano_por_producto_banxico	Banxico 2024	RESULT-BANXICO-2024-TDC-ATRASO-P	tenedores del producto (filtro=1), personas 18-70 en localidades >=50 mil, corte 2024 · unidad persona · escala proporcion [0,1]	proporcion ponderada	0.04235936236062071			SIN-IC-IDENTIFICADO	FIRMA-ADOPTAR; CONSUMO-PENDIENTE	data/corrida0/decisiones.tsv:FP-260922-GEN2-TRAMITE-PENDIENTES-1-18fa-01	RETROSPECTIVA	RESULT-BANXICO-2024-TDC-ATRASO-P			CALC-BANXICO-PRODUCTO-DANO-0001	d187c6375d3333c17d19359404cfd46c4051539eca26e9e739ca44424bd759ba	86eea354e138489d26bfa0f6eb131265fd35f62334af81952fada8369f54f87e	milpa/tramite-ola5-propuesta-v0.yaml · dinero.credito.atraso_y_dano_por_producto_banxico	SIN-MEDIDA-DE-OFERTA-COMPATIBLE-VERIFICADA		ADOPTAR · replay REPRODUCE/IDENTICO, sello COINCIDE, consumidor descriptivo (rol_uso proxy_descriptivo) ya firmado por mesa 15/sep (OBJETO 8/9)
RESULT-CTX-2019-P-ALTO	civico	milpa/tramite-ola5-propuesta-v0.yaml · civico.contexto_institucional_victimas.lapop	LAPOP 2019	RESULT-CTX-2019-P-ALTO	victimas de extorsion (vic1ext=1) con ponderador valido, una ola LAPOP a la vez · unidad persona · escala proporcion [0,1]	proporcion ponderada de INDICE_CONTEXTO ALTO entre victimas [0,1]	0.7862745098039216			SIN-IC-IDENTIFICADO	FIRMA-ADOPTAR; CONSUMO-PENDIENTE	data/corrida0/decisiones.tsv:FP-260922-GEN2-TRAMITE-PENDIENTES-1-18fa-01	RETROSPECTIVA	RESULT-CTX-2019-P-ALTO			CALC-0002	4f76c4c929c0f1c0e15a30dd253c3c5cae0992aa638d5a26f2e7d2e1f0f209fa	066c2402b753c9e297c306304a24c711aed67eae673f477b5605ee9beff0b538	milpa/tramite-ola5-propuesta-v0.yaml · civico.contexto_institucional_victimas.lapop	NO-APLICA		ADOPTAR · replay REPRODUCE/IDENTICO, sello COINCIDE, consumidor descriptivo (rol_uso proxy_descriptivo) ya firmado por mesa 15/sep (OBJETO 8/9)
RESULT-CTX-2021-P-ALTO	civico	milpa/tramite-ola5-propuesta-v0.yaml · civico.contexto_institucional_victimas.lapop	LAPOP 2021	RESULT-CTX-2021-P-ALTO	victimas de extorsion (vic1ext=1) con ponderador valido, una ola LAPOP a la vez · unidad persona · escala proporcion [0,1]	proporcion ponderada de INDICE_CONTEXTO ALTO entre victimas [0,1]				SIN-IC-IDENTIFICADO	VETADO-POR-MESA	data/corrida0/decisiones.tsv:FP-260922-GEN2-TRAMITE-PENDIENTES-1-18fa-01	RETROSPECTIVA	RESULT-CTX-2021-P-ALTO			CALC-0002	4f76c4c929c0f1c0e15a30dd253c3c5cae0992aa638d5a26f2e7d2e1f0f209fa	066c2402b753c9e297c306304a24c711aed67eae673f477b5605ee9beff0b538	milpa/tramite-ola5-propuesta-v0.yaml · civico.contexto_institucional_victimas.lapop	NO-APLICA		VETAR · valor nulo (NO-ESTIMABLE-INDICE-INCOMPLETO: falta aoj12 en LAPOP 2021): no hay numero que adoptar; el hueco ya queda visible en la propuesta
RESULT-CTX-2023-P-ALTO	civico	milpa/tramite-ola5-propuesta-v0.yaml · civico.contexto_institucional_victimas.lapop	LAPOP 2023	RESULT-CTX-2023-P-ALTO	victimas de extorsion (vic1ext=1) con ponderador valido, una ola LAPOP a la vez · unidad persona · escala proporcion [0,1]	proporcion ponderada de INDICE_CONTEXTO ALTO entre victimas [0,1]	0.7341176470588235			SIN-IC-IDENTIFICADO	FIRMA-ADOPTAR; CONSUMO-PENDIENTE	data/corrida0/decisiones.tsv:FP-260922-GEN2-TRAMITE-PENDIENTES-1-18fa-01	RETROSPECTIVA	RESULT-CTX-2023-P-ALTO			CALC-0002	4f76c4c929c0f1c0e15a30dd253c3c5cae0992aa638d5a26f2e7d2e1f0f209fa	066c2402b753c9e297c306304a24c711aed67eae673f477b5605ee9beff0b538	milpa/tramite-ola5-propuesta-v0.yaml · civico.contexto_institucional_victimas.lapop	NO-APLICA		ADOPTAR · replay REPRODUCE/IDENTICO, sello COINCIDE, consumidor descriptivo (rol_uso proxy_descriptivo) ya firmado por mesa 15/sep (OBJETO 8/9)
RESULT-DFVEJEZ-A-P-NO-RECIBE	familia	no_recibe_dinero_familiares_para_vejez	VER-SPEC-UNIVERSO	familia.apoyo.recibe_dinero_familiares	FILTRO_S9_1=2 (aplica modulo vejez) y EDAD_V<71 -- 11895 personas.	complemento contado, 1-A-P-RECIBE -- releva RES-0034 (esperado 0.542293)	0.5422934330637652			SIN-IC-IDENTIFICADO	CONSUMO-GEN2-ACTIVO	FIRMA DE MESA, mesa, 15 de septiembre de 2026 -- OBJETO: cuenta_gen2 = SI para toda corrida que este acto selle sobre spec congelada del mapa-19; no adopta al motor. (lanzamiento verbatim, forense/encargos/2026-09-15-GEN2-MEDICION-DEMANDA-2.md; fila propia en data/corrida0/decisiones.tsv, precedencia 1 del registro)	REVISAR-ORDEN-DE-SELLOS	RESULT-DFVEJEZ-A-P-NO-RECIBE			CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1	d2c89529a84bf5fd0dd14455b93f78bec1b5e20999d3ce138f303724e872158d	b9586ca8e41d042de895ad3258e119a8fedb68a35b2fa616e02ccc89ac8c381b	milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:no_recibe_dinero_familiares_para_vejez	NO-APLICA		Revisar identidad estimando, oferta compatible y alcance de firma.
