puerta	url	http_sin_override	http_con_override	cabecera_diagnostica	quien_puede	receta_manual	fuentes_que_sirve	fecha_sondeo	universo_declarado	estado_triaje
CNBV_Portafolio_Informacion	https://www.gob.mx/cnbv/acciones-y-programas/informacion-estadistica-100861	206	no_probado (ya alcanzable sin override)	content-range: bytes 0-0/14307 (payload real, no soft-404)	AGENTE		N19	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
IMSS_Datos_Abiertos_Asegurados	http://datos.imss.gob.mx/	https=503 / http=200	no_probado (ya alcanzable sin override)	HTTPS del portal responde 503 (error de servidor, no bloqueo); HTTP plano (no cifrado) responde 200 -- usar http://, no https://	AGENTE		N18 (formalidad como covariable/contraste de evasion)	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). HALLAZGO: portal solo sirve por HTTP sin TLS funcional; HTTPS da 503 consistentemente.	
STPS_Observatorio_Laboral	https://observatoriolaboral.gob.mx/static/acerca-ola/Quienes_somos.html	206	no_probado (ya alcanzable sin override)	content-range: bytes 0-0/25455	AGENTE			2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
INE_Conteos_Censales_Participacion	https://ine.mx/transparencia/datos-abiertos/visualizacion-datos/conteos-censales-participacion/	200	no_probado (ya alcanzable sin override)	server: Apache, portada real	AGENTE		N25	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
CONEVAL_Pobreza_Multidimensional	https://www.coneval.org.mx/Medicion/Paginas/Cuadros-pobreza-multidimensional.aspx	200	no_probado (ya alcanzable sin override)	server: Microsoft-IIS/8.5, portada real	AGENTE			2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
CONAPO_Datos_Abiertos	https://conapo.segob.gob.mx/es/CONAPO/Datos_abiertos	200	no_probado (ya alcanzable sin override)	portada real, 200	AGENTE			2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
Mejoredu_INEE_Bases_Datos	https://www.inee.edu.mx/evaluaciones/bases-de-datos/ ; https://historico.mejoredu.gob.mx/evaluaciones/bases-de-datos/ ; https://www.mejoredu.gob.mx/	000 (3 URLs, con y sin override)	000 (identico con dangerouslyDisableSandbox)	curl: (28) Resolving timed out / Connection timed out -- las 3 URLs (inee.edu.mx, historico.mejoredu.gob.mx, www.mejoredu.gob.mx) fallan igual hoy que el 8/ago, con y sin override	USUARIO_NAVEGADOR	Buscar "Mejoredu bases de datos PLANEA" en un navegador normal, o navegar directo a mejoredu.gob.mx -- si el dominio tambien falla desde una conexion domestica normal, es indicio de que realmente cambio/se dio de baja (INEE fue disuelto), no solo un problema de esta caja.		2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). CAMBIO DE CUBETA: reintentado con override disponible (a diferencia del 8/ago) -- MISMO resultado. La hipotesis del encargo ("clasificacion vieja es de antes del override") NO se confirma para esta fila: el override no era la causa. Se clasifica USUARIO_NAVEGADOR por default (un navegador domestico normal, con resolucion DNS distinta a la de esta caja, podria alcanzar lo que esta maquina no alcanza) -- declarado como hipotesis, no como hecho verificado.	
CIDE_Panel_Mexico_2006	http://investigadores.cide.edu/aparicio/data/encuestas/MexicoPanel2006/Methodological_Report.pdf ; mirror https://www.redalyc.org/pdf/603/60327293004.pdf	primaria=000 (DNS timeout, con y sin override) / mirror redalyc=200	primaria=000 (mismo timeout con dangerouslyDisableSandbox)	redalyc.org/pdf/603/60327293004.pdf: 200, Content-Type application/pdf, Content-Length 174217 -- PDF real, no placeholder	AGENTE			2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). CAMBIO DE CUBETA vs 8/ago: el host primario (investigadores.cide.edu) sigue muerto (DNS no resuelve, confirmado con y sin override), pero el mirror redalyc.org SI entrega el reporte metodologico completo -- la nota previa decia "PDF recuperado pero contenido binario/no legible por la herramienta" (limitacion de WebFetch al leer binarios, no de acceso: un agente con curl SI puede bajar estos bytes). Es el Reporte Metodologico, no necesariamente el panel de datos crudo -- verificar contenido es tarea de un acto de apertura, no de este.	
ICPSR_Mexico_Panel_Study_2012	https://www.icpsr.umich.edu/web/RCMD/studies/35024	403	403 (mismo cf-mitigated:challenge que ICPSR/openICPSR comparten dominio de reto)	cf-mitigated: challenge (gate 1, JS); mas alla del reto, la nota previa (8/ago, via WebSearch, SIN-FETCH real de esta barrera especifica) declara "Restricted Data Use Agreement" como condicion -- acuerdo de uso restringido, NADIE terminal por A.4 aunque un navegador pase el reto Cloudflare	NADIE		N26, N27	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica). NO-ACCESIBLE ya sellado el 8/ago con evidencia de buscador (no re-verificado byte a byte esta sesion, el reto Cloudflare impide llegar al texto del RDUA hoy tambien) -- SIN-FETCH tecnico sobre el RDUA en si, pero la clasificacion NADIE se mantiene porque un RDUA por definicion no cede a "cualquier usuario con navegador", exige afiliacion institucional.	
ESRU_EMOVI_Movilidad_Social	https://movilidadsocial.colmex.mx/encuesta/	200	no_probado (ya alcanzable sin override)	confirmado libre y gratuito en la propia pagina	AGENTE		N21 (parcial)	2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
COLEF_EMIF_Norte_Sur	https://www.colef.mx/emif/basescuestionarios.html	206	no_probado (ya alcanzable sin override)	content-range: bytes 0-0/98016 (portada de bases/cuestionarios, libre); las bases reales requieren registro (nombre/correo/contrasena/institucion/rol)	USUARIO_REGISTRO	Abrir https://www.colef.mx/emif/basescuestionarios.html en un navegador, seguir el enlace de registro (nombre/correo/contrasena/institucion/rol) -- gratuidad no declarada explicitamente pero nada indica costo.		2026-08-13	Sondeado en ACTO VERIFICA-PUERTAS (2026-08-13), evidencia fresca de esta sesion (curl -D -, GET -r 0-0 donde aplica).	
