archivo	ruta_inegi	ola	estado	bytes	sha256	url_origen
2016trim1_csv.zip	microdatos	2016T1	DESCARGADO	29867488	8e29abc983fadf367ef347b40806987d51ad412051b3684ac45fd91f4cadde5d	https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2016trim1_csv.zip
2016trim2_csv.zip	microdatos	2016T2	DESCARGADO	26779138	4aa9a8e2083378fa60aa965a2236bc81ca1a011c1a80cfb5907c462dc3f5a56f	https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2016trim2_csv.zip
2016trim3_csv.zip	microdatos	2016T3	DESCARGADO	26452611	9103423fdceceed4922d6fcd53dee9357c1fb9815854bd58314a726816d2cc28	https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2016trim3_csv.zip
2016trim4_csv.zip	microdatos	2016T4	DESCARGADO	26466686	f5846e8416dbbdb0a907b3f2321e9607083a269878657225fd3c82c708465500	https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2016trim4_csv.zip
2017trim1_csv.zip	microdatos	2017T1	DESCARGADO	29455399	945d848a236630474d1798cf39f5098a8e1f63162550d6728b354cd05b5a73a8	https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2017trim1_csv.zip
2017trim2_csv.zip	microdatos	2017T2	DESCARGADO	27024159	bd58ed29a986e3f8b3642e6e6aa8ea7dbf7277116888cd60f799b562fd545066	https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2017trim2_csv.zip
2017trim3_csv.zip	microdatos	2017T3	DESCARGADO	26498706	1c3c9ad09ab726b6b4546fdb86d68759749758b31d74a97718d4d665e0bb5973	https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2017trim3_csv.zip
2017trim4_csv.zip	microdatos	2017T4	DESCARGADO	26664215	af96a2420779c1cdf82b49bb7ddd5b489771bb791938db9b799da6f8b43d3be4	https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2017trim4_csv.zip
2018trim1_csv.zip	microdatos	2018T1	DESCARGADO	29646952	e078fbd23a6c62a91eb26070818d7c2f5ac2b3ed4f4af698be20a8e522a13d33	https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2018trim1_csv.zip
2018trim2_csv.zip	microdatos	2018T2	DESCARGADO	26835694	2ca4002f7209b029a470caa3174353a2766ca9fc1f4e1ea3c87a063d1218c00f	https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2018trim2_csv.zip
2018trim3_csv.zip	microdatos	2018T3	DESCARGADO	26606485	7273d867ef6b9c5cad0264451b195f41606c6e1a9c84d1662de9139f563487c7	https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2018trim3_csv.zip
2018trim4_csv.zip	microdatos	2018T4	DESCARGADO	26724182	9259fcb81747ebfad7fbbd75b9dc9a65825142bc10366c447f645489b3383774	https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2018trim4_csv.zip
conjunto_de_datos_enoe_2018_4t_csv.zip	datosabiertos	2018T4	DESCARGADO	41902692	33863942d1b4b3bcf27007a9621f48647eb69f611d759cb128c651a7892e1531	https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/datosabiertos/2018/conjunto_de_datos_enoe_2018_4t_csv.zip
