fecha,producto,regimen_definicion,imor_porcentaje,unidad_observacion,universo_institucional,fuente
2016-01,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.960000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2016-02,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.960000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2016-03,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.870000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2016-04,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.880000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2016-05,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.030000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2016-06,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,3.960000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2016-07,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.020000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2016-08,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.010000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2016-09,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.060000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2016-10,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.150000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
2016-11,Consumo total,PRE_IFRS9_CARTERA_VENCIDA,4.190000,porcentaje de saldos,banca comercial; incluye Sofomes ER subsidiarias de instituciones bancarias y grupos financieros; excluye CI Banco,gen2_banxico_imor_consumo_producto_mensual_2026t1_html
