id_manifiesto	archivo	raiz	tamano_bytes	usado_para_declara_uso	necesidades_que_lo_citan	tsv_de_apertura_que_lo_toca	estado	universo_declarado	consumo_detectado	consumo_universo_declarado	sha256_observado	representacion_id	estado_e0	grado_inspeccion	objetos_logicos	frontera_inspeccion	reporte_neutral_ref	contrato_sha256	reporte_sha256
1008973606mexico_lapop_final_2006_data_set_092906	[REDACTADO-PRIVACIDAD]	descargas_mx	430124	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	FUERA-DE-DISCO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	NO-APLICA	NO-APLICA	FUERA-DE-DISCO	E0	0	W0-CONTABILIZACION-E-INTEGRIDAD	NO-APLICA	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	NO-APLICA
116334_v1	116334-V1.zip	descargas_mx	1404772	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	FUERA-DE-DISCO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	NO-APLICA	NO-APLICA	FUERA-DE-DISCO	E0	0	W0-CONTABILIZACION-E-INTEGRIDAD	NO-APLICA	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	NO-APLICA
1390537077technical_information_mexico_2006	[REDACTADO-PRIVACIDAD]	descargas_mx	300398	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	FUERA-DE-DISCO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	NO-APLICA	NO-APLICA	FUERA-DE-DISCO	E0	0	W0-CONTABILIZACION-E-INTEGRIDAD	NO-APLICA	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	NO-APLICA
1658622845mexico_2004_export_version	[REDACTADO-PRIVACIDAD]	descargas_mx	444655	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	FUERA-DE-DISCO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	NO-APLICA	NO-APLICA	FUERA-DE-DISCO	E0	0	W0-CONTABILIZACION-E-INTEGRIDAD	NO-APLICA	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	NO-APLICA
1671516622cam_mexico_questionnaire_2004	[REDACTADO-PRIVACIDAD]	descargas_mx	2422589	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	FUERA-DE-DISCO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	NO-APLICA	NO-APLICA	FUERA-DE-DISCO	E0	0	W0-CONTABILIZACION-E-INTEGRIDAD	NO-APLICA	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	NO-APLICA
1_vfinal_cuestionario_hogar_ensanut_2024_etiquetas_cuestionarios	[REDACTADO-PRIVACIDAD]	descargas_mx	662210	sin uso asignado — registro de inventario	NO-APLICA	NO-APLICA	SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango,	[REDACTADO-PRIVACIDAD]	buscado por ambas vias -- hash (produccion-modelo.tsv, 11 filas) y ruta (11 scripts de tests/, forense/notas/2026-08-13-cep-cotejo.md SS1-2) -- ninguna empata @	adc873843b79067a1a2212e25b1f90f6ecb916f8541ad0e42411fd933126c425	REP-b7c59f8d7924d0ac32b5a1c13c05d40f9304cdf0956d11390a31f6ec5687024b	PRESENTE-INTEGRO	E2	1165	todas las páginas; texto no extraíble se declara por página	E2B-c8d6e668da7ba662ee719d87a4f00dbeb47e0b08806b664c4b661b5095f1c59f	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	0a6f7afa09a936752dbc2678ad2d430b8d3e970244a6b3b99434a9e926cf4bf9
20260813130000_export_csv	[REDACTADO-PRIVACIDAD]	data_raw	85800	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	PRESENTE-INTEGRO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	a42b4f86067ad358219201538f7da47385eaf16f1cd4b3dc8c8076543671ec7a	REP-3712d611eaa99f677839cad9e180158b2e2a0c54979a02626f85b5ceda0398ff	PRESENTE-INTEGRO	E2	63	contenedor y miembros completos; anidados hasta profundidad 4	E2B-e6d2f0729a5cbe6d4279341a79f269a29fd2f70a02fdf18ea0ee59ce4d695ccf	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	89bc343f30333cfc942a4b6e405b2f70de89f9f019d04aec7184be3e546424d9
20260813131500_export_csv	[REDACTADO-PRIVACIDAD]	data_raw	70361	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	PRESENTE-INTEGRO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	c9170239e63b8fc1d65517866a78cdfdcacda85331275da51f5a94497b30f0a9	REP-86138790e4cf647ad8650f4ec762ec3a04e7711910587f4f07e623c5d18a0dc9	PRESENTE-INTEGRO	E2	63	contenedor y miembros completos; anidados hasta profundidad 4	E2B-447d9b622777fac8a1f6009df9cf8122f7192598c40defa9066ba3c3b0c0527f	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	4b983e2650f1ffe24fab5bf0f2586b04a405ecd5a08ab89b460a6a04a0630a21
20260813133000_export_csv	[REDACTADO-PRIVACIDAD]	data_raw	76573	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	PRESENTE-INTEGRO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	b868d9fdaa3af749b637cebdf8fea18b3259e954e2e8ed0349d34f27ca05784a	REP-89bb360dd05887d68f40d04e5ed71c6410a6f5c38e0409ec2c668871ebcc094a	PRESENTE-INTEGRO	E2	63	contenedor y miembros completos; anidados hasta profundidad 4	E2B-23e2352985440760ca1aa721c9e34c3b7529b2cd45f8ba7d1f92c974fda3e66f	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	8707981ad83800acb5304b84dcb3f5bddd7cfe47bcaab1046bf6c8f244cdff18
20260813134500_export_csv	[REDACTADO-PRIVACIDAD]	data_raw	79726	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	PRESENTE-INTEGRO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	787a8b5ecd276c0f1732d905db26adea0c716760bb36a5442ed0201b1ed6950b	REP-fcc7201871544a5f71cddfe6e16fc1ebc572b0e2ac0843390979b126fea427a4	PRESENTE-INTEGRO	E2	63	contenedor y miembros completos; anidados hasta profundidad 4	E2B-74b31275cd435ffcd2b40c5fc4919428b3ca816173e78f43e3cbf1b649f7d887	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	5f371057c549d495693048ae21b00fbc2eb703251253f488ee13e848a93ec562
20260813140000_export_csv	[REDACTADO-PRIVACIDAD]	data_raw	80188	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	PRESENTE-INTEGRO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	432470af1be94196b19fe5dde9aa54cb2b2f749eba61e3236b6dcb19abaca1d7	REP-b02b2ee22c5d4b2f7a848228620ddb8b8152bca039b11a833d658cc004ef2e55	PRESENTE-INTEGRO	E2	63	contenedor y miembros completos; anidados hasta profundidad 4	E2B-d57bf8e90b3281aad470bcb517a1d5438a50f1224066752f4d3f83d28bd07e3d	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	42f7119a8c37e6d941e415be063774909b762506687604583ff6d37db4bf985d
20260813141500_export_csv	[REDACTADO-PRIVACIDAD]	data_raw	104838	NO-DETERMINADO-W0	NO-DETERMINADO-W0	NO-APLICA	PRESENTE-INTEGRO	manifiesto.yaml@ee50b12c2c86	NO-DETERMINADO-W0	W0 material; semántica no evaluada	f7204c7388fcda8c17ef4c042fb203afee099c9e110c4847a8cd248fac84a9ee	REP-e7687e19fe91344b390ef62335fd388f6ae5f8bd106ebdb2ba2d1ae469fb1e31	PRESENTE-INTEGRO	E2	63	contenedor y miembros completos; anidados hasta profundidad 4	E2B-5f00bb63f77c7f1fe3f7296019de1ecac0bb02f6d4b86861622cf9c94ce8cab5	1c96e3beff85f4829e8afa7a316a29ae13ec4643c468b12b9577ee24ba73acfe	b031a53ca91c17659d1374ff4780790d3be2b4ef2257ab7d508638aa32763998
