id	raiz_logica	archivo	sha256	estado_worktree_nuevo	estado_clon_adquisicion	consumidor_habilitado
rupc_datamx_json	data_raw	RUPC_datamx_2019/compranet_rupc_datamx.json	2e6c98ed3e557b239b331b746dc31b73dadf62c802923a53a9a38e0204cb3ee9	COINCIDE	COINCIDE	lector JSON RUPC / NC-0059
ensafi2023_bd_csv_zip	data_raw	ensafi2023/ensafi_2023_bd_csv.zip	c0594079ddf4733d4f574d00f5e84290c62c5330eab0567dd867c26d42fafacd	COINCIDE	COINCIDE	CALC-ENSAFI-DISENO-0001
ensafi2023_fd_xlsx_zip	data_raw	ensafi2023/ensafi_2023_fd_xlsx.zip	37bd0cb6dd54ddb8d8962114971e60e06d2628e97eeb8b4e32269129d556ff4b	COINCIDE	COINCIDE	CALC-ENSAFI-DISENO-0001
ensafi2023_cuestionario_pdf	data_raw	ensafi2023/ensafi_2023_cuestionario.pdf	d86c69f26d8b77de1d00b94d794b1e2ac01bd26aa101d3fca9e17287380c85fb	COINCIDE	COINCIDE	CALC-ENSAFI-DISENO-0001
gen2_ensafi2023_diseno_muestral	data_raw	GEN2_FUENTES_FINANCIERAS_CONTINUACION/ensafi_2023_diseno_muestral.pdf	80a097b28f55cf5b8282f8d0a656d52e0d9b21693663c4f52803f55985a0fb31	COINCIDE	COINCIDE	CALC-ENSAFI-DISENO-0001
gen2_ensafi2023_presentacion_resultados	data_raw	GEN2_FUENTES_FINANCIERAS_CONTINUACION/ensafi_2023_presentacion_resultados.pdf	4ad641dff0c90b389044d85efb975ced2dc21fd6a820bab6903b560a32d802ef	COINCIDE	COINCIDE	CALC-ENSAFI-DISENO-0001
ennvih1_2002_hogar_dta	data_raw	ennvih/ehh02dta_all.zip	8b9b51904ca8790421d82a8a81f7f4edbce9a296cba2ce86fef74f8f379b5923	COINCIDE	COINCIDE	CALC-TANDAS-ENNVIH-0001
ennvih1_2002_ponderador	data_raw	ennvih/ehh02w_all.zip	bbe8006844f715c19b724ebb74f1408c4cfa07e2efdfe7d6748b5182ef214587	COINCIDE	COINCIDE	CALC-TANDAS-ENNVIH-0001
ennvih1_2002_hogar_q	data_raw	ennvih/ehh02q_all.zip	40af29bd864e967200dbbde2c9744795b33c0a23cdbb19902dd2ecdb7beb3cac	COINCIDE	COINCIDE	CALC-TANDAS-ENNVIH-0001
ennvih1_2002_guia	data_raw	ennvih/guiausuariov1.pdf	d38ee15b9c6b4681364e75fefeed27a26b216c5974a2a5d5c4c7c213e2eede53	COINCIDE	COINCIDE	CALC-TANDAS-ENNVIH-0001
