# DERIVADO — NO EDITAR (tools/c2_compuesto.py emisiones, ACTO GEN2-C2-COMPUESTO-RESERVADAS-1) · EMITIDA-SIN-EVALUAR: excluida de la estimación adoptada del motor
resultado_id	celda_id_marcador	regla	desenlace_id	par	celda_a	celda_b	p_a	p_b	p_nacional	n_a	n_b	n_nacional	p_c2	escala	unidad_dato	universo	ola	ponderador	supuesto	tipo_incertidumbre	ic95_inf	ic95_sup	diagnostico_rango_inf	diagnostico_rango_sup	diagnostico_rango_es_ic	estado	reserva	cotas_frechet_n
RESULT-C2COMP-AHORRA-SOLO-INFORMAL-CUENTA-FORMALXEDAD-SIN-CUENTA-X-18-29	CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::cuenta_formalxedad	dinero.ahorro.via_informal_ejes_enif2024	ahorra_solo_informal	cuenta_formalxedad	sin cuenta	18-29	0.493506	0.432063	0.357153	4346	2924	13502	0.5715862461447855	proporcion	PERSONA elegida 18+		ENIF 2024	FAC_PER	sin-interaccion	NO-PROPAGADA-COVARIANZA-NO-SELLADA			0.52536824669975	0.6159466397135509	NO	EMITIDA-SIN-EVALUAR	cuenta_formal: ANIDAMIENTO-POR-CUESTIONARIO: P5_4_* gatea a P5_6_*, así que en la celda `sin cuenta` el desenlace principal se reduce a informal_cualquiera por construcción (propuesta:1489-1492). El eje es NO-FALSABLE contra este desenlace; la composición es aritmética y se emite, rotulada.	[0, 2924]
RESULT-C2COMP-AHORRA-SOLO-INFORMAL-CUENTA-FORMALXEDAD-SIN-CUENTA-X-30-44	CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::cuenta_formalxedad	dinero.ahorro.via_informal_ejes_enif2024	ahorra_solo_informal	cuenta_formalxedad	sin cuenta	30-44	0.493506	0.375709	0.357153	4346	4256	13502	0.5134875592318439	proporcion	PERSONA elegida 18+		ENIF 2024	FAC_PER	sin-interaccion	NO-PROPAGADA-COVARIANZA-NO-SELLADA			0.469635668262066	0.5559583180382466	NO	EMITIDA-SIN-EVALUAR	cuenta_formal: ANIDAMIENTO-POR-CUESTIONARIO: P5_4_* gatea a P5_6_*, así que en la celda `sin cuenta` el desenlace principal se reduce a informal_cualquiera por construcción (propuesta:1489-1492). El eje es NO-FALSABLE contra este desenlace; la composición es aritmética y se emite, rotulada.	[0, 4256]
RESULT-C2COMP-AHORRA-SOLO-INFORMAL-CUENTA-FORMALXEDAD-SIN-CUENTA-X-45-59	CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::cuenta_formalxedad	dinero.ahorro.via_informal_ejes_enif2024	ahorra_solo_informal	cuenta_formalxedad	sin cuenta	45-59	0.493506	0.327505	0.357153	4346	3411	13502	0.4606499621204764	proporcion	PERSONA elegida 18+		ENIF 2024	FAC_PER	sin-interaccion	NO-PROPAGADA-COVARIANZA-NO-SELLADA			0.41701603709347185	0.5035686139082578	NO	EMITIDA-SIN-EVALUAR	cuenta_formal: ANIDAMIENTO-POR-CUESTIONARIO: P5_4_* gatea a P5_6_*, así que en la celda `sin cuenta` el desenlace principal se reduce a informal_cualquiera por construcción (propuesta:1489-1492). El eje es NO-FALSABLE contra este desenlace; la composición es aritmética y se emite, rotulada.	[0, 3411]
RESULT-C2COMP-AHORRA-SOLO-INFORMAL-CUENTA-FORMALXEDAD-SIN-CUENTA-X-60	CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::cuenta_formalxedad	dinero.ahorro.via_informal_ejes_enif2024	ahorra_solo_informal	cuenta_formalxedad	sin cuenta	60+	0.493506	0.277317	0.357153	4346	2896	13502	0.4022630870506333	proporcion	PERSONA elegida 18+		ENIF 2024	FAC_PER	sin-interaccion	NO-PROPAGADA-COVARIANZA-NO-SELLADA			0.35532460294053475	0.45008573234699667	NO	EMITIDA-SIN-EVALUAR	cuenta_formal: ANIDAMIENTO-POR-CUESTIONARIO: P5_4_* gatea a P5_6_*, así que en la celda `sin cuenta` el desenlace principal se reduce a informal_cualquiera por construcción (propuesta:1489-1492). El eje es NO-FALSABLE contra este desenlace; la composición es aritmética y se emite, rotulada.	[0, 2896]
RESULT-C2COMP-AHORRA-SOLO-INFORMAL-CUENTA-FORMALXEDAD-CON-CUENTA-X-18-29	CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::cuenta_formalxedad	dinero.ahorro.via_informal_ejes_enif2024	ahorra_solo_informal	cuenta_formalxedad	con cuenta	18-29	0.285463	0.432063	0.357153	9156	2924	13502	0.3536075931987105	proporcion	PERSONA elegida 18+		ENIF 2024	FAC_PER	sin-interaccion	NO-PROPAGADA-COVARIANZA-NO-SELLADA			0.31430308266232765	0.3943603664631961	NO	EMITIDA-SIN-EVALUAR	cuenta_formal: ANIDAMIENTO-POR-CUESTIONARIO: P5_4_* gatea a P5_6_*, así que en la celda `sin cuenta` el desenlace principal se reduce a informal_cualquiera por construcción (propuesta:1489-1492). El eje es NO-FALSABLE contra este desenlace; la composición es aritmética y se emite, rotulada.	[0, 2924]
RESULT-C2COMP-AHORRA-SOLO-INFORMAL-CUENTA-FORMALXEDAD-CON-CUENTA-X-30-44	CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::cuenta_formalxedad	dinero.ahorro.via_informal_ejes_enif2024	ahorra_solo_informal	cuenta_formalxedad	con cuenta	30-44	0.285463	0.375709	0.357153	9156	4256	13502	0.30204437810821805	proporcion	PERSONA elegida 18+		ENIF 2024	FAC_PER	sin-interaccion	NO-PROPAGADA-COVARIANZA-NO-SELLADA			0.2683038692313877	0.3370152147884046	NO	EMITIDA-SIN-EVALUAR	cuenta_formal: ANIDAMIENTO-POR-CUESTIONARIO: P5_4_* gatea a P5_6_*, así que en la celda `sin cuenta` el desenlace principal se reduce a informal_cualquiera por construcción (propuesta:1489-1492). El eje es NO-FALSABLE contra este desenlace; la composición es aritmética y se emite, rotulada.	[0, 4256]
RESULT-C2COMP-AHORRA-SOLO-INFORMAL-CUENTA-FORMALXEDAD-CON-CUENTA-X-45-59	CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::cuenta_formalxedad	dinero.ahorro.via_informal_ejes_enif2024	ahorra_solo_informal	cuenta_formalxedad	con cuenta	45-59	0.285463	0.327505	0.357153	9156	3411	13502	0.2593650703751758	proporcion	PERSONA elegida 18+		ENIF 2024	FAC_PER	sin-interaccion	NO-PROPAGADA-COVARIANZA-NO-SELLADA			0.22852244291123294	0.2917036574208689	NO	EMITIDA-SIN-EVALUAR	cuenta_formal: ANIDAMIENTO-POR-CUESTIONARIO: P5_4_* gatea a P5_6_*, así que en la celda `sin cuenta` el desenlace principal se reduce a informal_cualquiera por construcción (propuesta:1489-1492). El eje es NO-FALSABLE contra este desenlace; la composición es aritmética y se emite, rotulada.	[0, 3411]
RESULT-C2COMP-AHORRA-SOLO-INFORMAL-CUENTA-FORMALXEDAD-CON-CUENTA-X-60	CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::cuenta_formalxedad	dinero.ahorro.via_informal_ejes_enif2024	ahorra_solo_informal	cuenta_formalxedad	con cuenta	60+	0.285463	0.277317	0.357153	9156	2896	13502	0.21626112825062596	proporcion	PERSONA elegida 18+		ENIF 2024	FAC_PER	sin-interaccion	NO-PROPAGADA-COVARIANZA-NO-SELLADA			0.1858275141772914	0.24941716534766603	NO	EMITIDA-SIN-EVALUAR	cuenta_formal: ANIDAMIENTO-POR-CUESTIONARIO: P5_4_* gatea a P5_6_*, así que en la celda `sin cuenta` el desenlace principal se reduce a informal_cualquiera por construcción (propuesta:1489-1492). El eje es NO-FALSABLE contra este desenlace; la composición es aritmética y se emite, rotulada.	[0, 2896]
RESULT-C2COMP-INFORMAL-CUALQUIERA-CUENTA-FORMALXEDAD-SIN-CUENTA-X-18-29	CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::cuenta_formalxedad	dinero.ahorro.via_informal_ejes_enif2024	informal_cualquiera	cuenta_formalxedad	sin cuenta	18-29	0.493506	0.704945	0.56192	4346	2924	13502	0.6447458126562683	proporcion	PERSONA elegida 18+		ENIF 2024	FAC_PER	sin-interaccion	NO-PROPAGADA-COVARIANZA-NO-SELLADA			0.5889228849345803	0.6974947310356182	NO	EMITIDA-SIN-EVALUAR		[0, 2924]
RESULT-C2COMP-INFORMAL-CUALQUIERA-CUENTA-FORMALXEDAD-SIN-CUENTA-X-30-44	CRUCE-GRUPO::dinero.ahorro.via_informal_ejes_enif2024::cuenta_formalxedad	dinero.ahorro.via_informal_ejes_enif2024	informal_cualquiera	cuenta_formalxedad	sin cuenta	30-44	0.493506	0.625016	0.56192	4346	4256	13502	0.5587174414646596	proporcion	PERSONA elegida 18+		ENIF 2024	FAC_PER	sin-interaccion	NO-PROPAGADA-COVARIANZA-NO-SELLADA			0.5039157012462455	0.611918917338409	NO	EMITIDA-SIN-EVALUAR		[0, 4256]
