# DERIVADO — NO EDITAR
corrida_id	origen	spec_id	estado	generacion	cuenta_gen2	envuelto_legacy	motivo_cuenta_gen2	origen_numerico	funciones_dependencia	camino_linaje	spec_yaml_sha256	script_path	script_blob_sha256	codigo_commit	fecha	n_resultados	resultados_ids	input_ids	input_sha256_efectivos	sello	resultado_replay	contexto_replay	fuente_replay	sucesor	entorno_requerido	receta	orden_causal
CORR-0001	DEMANDA	SIN-CANDIDATO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	demanda sin spec: la regla E.1 se evalua cuando la spec declare sus inputs	INDETERMINADO	SIN-SPEC	CORR-0001 -> DEMANDA-PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	4	RES-0001;RES-0002;RES-0007;RES-0008	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	PENDIENTE	NO-CORRIDA	NO-CORRIDA	NO-CORRIDA		INDECIDIBLE-SIN-SPEC	SIN-RECETA	3
CORR-0002	DEMANDA	SIN-CANDIDATO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	demanda sin spec: la regla E.1 se evalua cuando la spec declare sus inputs	INDETERMINADO	SIN-SPEC	CORR-0002 -> DEMANDA-PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	12	RES-0003;RES-0004;RES-0009;RES-0010;RES-0011;RES-0012;RES-0013;RES-0014;RES-0015;RES-0016;RES-0021;RES-0022	encig25_base_datos_csv	PENDIENTE	PENDIENTE	NO-CORRIDA	NO-CORRIDA	NO-CORRIDA		CAJA	PARCIAL:script+spec+spec_sha	1
CORR-0003	DEMANDA	SIN-CANDIDATO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	demanda sin spec: la regla E.1 se evalua cuando la spec declare sus inputs	INDETERMINADO	SIN-SPEC	CORR-0003 -> DEMANDA-PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	4	RES-0005;RES-0006;RES-0061;RES-0062	encuci2020_bd_dbf	PENDIENTE	PENDIENTE	NO-CORRIDA	NO-CORRIDA	NO-CORRIDA		CAJA	PARCIAL:script+spec+spec_sha	1
CORR-0004	DEMANDA	SIN-CANDIDATO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	demanda sin spec: la regla E.1 se evalua cuando la spec declare sus inputs	INDETERMINADO	SIN-SPEC	CORR-0004 -> DEMANDA-PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	2	RES-0017;RES-0018	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	PENDIENTE	NO-CORRIDA	NO-CORRIDA	NO-CORRIDA		INDECIDIBLE-SIN-SPEC	SIN-RECETA	3
CORR-0005	DEMANDA	SIN-CANDIDATO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	demanda sin spec: la regla E.1 se evalua cuando la spec declare sus inputs	INDETERMINADO	SIN-SPEC	CORR-0005 -> DEMANDA-PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	2	RES-0019;RES-0020	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	PENDIENTE	NO-CORRIDA	NO-CORRIDA	NO-CORRIDA		INDECIDIBLE-SIN-SPEC	SIN-RECETA	3
CORR-0006	DEMANDA	SIN-CANDIDATO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	demanda sin spec: la regla E.1 se evalua cuando la spec declare sus inputs	INDETERMINADO	SIN-SPEC	CORR-0006 -> DEMANDA-PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	2	RES-0023;RES-0024	NO-DECLARADO-EN-EL-REGISTRO	PENDIENTE	PENDIENTE	NO-CORRIDA	NO-CORRIDA	NO-CORRIDA		INDECIDIBLE-SIN-SPEC	SIN-RECETA	3
CORR-0007	DEMANDA	SIN-CANDIDATO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	demanda sin spec: la regla E.1 se evalua cuando la spec declare sus inputs	INDETERMINADO	SIN-SPEC	CORR-0007 -> DEMANDA-PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	8	RES-0025;RES-0026;RES-0027;RES-0028;RES-0039;RES-0040;RES-0041;RES-0042	envipe2025_csv	PENDIENTE	PENDIENTE	NO-CORRIDA	NO-CORRIDA	NO-CORRIDA		CAJA	PARCIAL:script+spec+spec_sha	1
CORR-0008	DEMANDA	SIN-CANDIDATO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	demanda sin spec: la regla E.1 se evalua cuando la spec declare sus inputs	INDETERMINADO	SIN-SPEC	CORR-0008 -> DEMANDA-PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	2	RES-0029;RES-0030	ola2=ennvih2_2005_hogar_dta; ola3=ennvih3_2009_hogar_dta; peso=ennvih2_2005_ponderador_transversal (data/manifiesto.yaml, corregido NC-0188/ACTO GEN2-ADOPCION-VENTANILLA-2 P4). El payload SI esta localizado (id, archivo, sha256 y tamano_bytes desde PR #703); la nota historica 'ningun archivo de ENNViH se ha descargado ni se registra aqui' (id ennvih_mxfls_licencia) era cierta el 30/jul/2026 y quedo FALSA EN LA LETRA desde entonces -- no se borra, se corrige aqui la copia. Lo que sigue sin publicarse es el diseno muestral (NC-0156), que es otra cosa.	PENDIENTE	PENDIENTE	NO-CORRIDA	NO-CORRIDA	NO-CORRIDA		INDECIDIBLE-SIN-PAYLOAD-DECLARADO	SIN-RECETA	1
CORR-0009	DEMANDA	SIN-CANDIDATO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	demanda sin spec: la regla E.1 se evalua cuando la spec declare sus inputs	INDETERMINADO	SIN-SPEC	CORR-0009 -> DEMANDA-PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	9	RES-0031;RES-0032;RES-0046;RES-0048;RES-0057;RES-0058;RES-0059;RES-0060;RES-0065	enif_2024_enif_2024_bd_csv	PENDIENTE	PENDIENTE	NO-CORRIDA	NO-CORRIDA	NO-CORRIDA		CAJA	PARCIAL:script+spec+spec_sha	1
CORR-0010	DEMANDA	SIN-CANDIDATO-EN-EL-REGISTRO	PENDIENTE	GEN2-PENDIENTE	SI	PENDIENTE	demanda sin spec: la regla E.1 se evalua cuando la spec declare sus inputs	INDETERMINADO	SIN-SPEC	CORR-0010 -> DEMANDA-PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	PENDIENTE	2	RES-0033;RES-0034	NO-LOCALIZADO -- se uso data/raw/enif_2024_bd_csv.zip (trae TMODULO.csv con FILTRO_S9_1/P9_9_4/FAC_PER/EDAD_V); el id de manifiesto enif2024_csv apunta a un ZIP distinto (data/raw/enif2024_csv.zip) sin estas columnas confirmadas en este acto	PENDIENTE	PENDIENTE	NO-CORRIDA	NO-CORRIDA	NO-CORRIDA		INDECIDIBLE-SIN-PAYLOAD-DECLARADO	SIN-RECETA	1
