# DERIVADO — NO EDITAR
resultado_id	consumidor	tipo	valor_legacy	escala_legacy	clase_legacy	acto_legacy	fecha_legacy	payload_ids_legacy	sha256_legacy	script_legacy	spec_legacy	spec_sha_legacy	receta_legacy	depende_de	corrida_natural	estado	vigencia	validacion_independiente
RES-0001	milpa/tramite.yaml:tramite.mordida.discrecional:paga_mordida	conducta_p_asignado	0.62	NO-DECLARADO-EN-EL-REGISTRO	ASIGNADO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	SIN-RECETA		CORR-0001	PENDIENTE	PENDIENTE	NO-HECHA
RES-0002	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal	conducta_p_asignado	0.38	NO-DECLARADO-EN-EL-REGISTRO	ASIGNADO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	SIN-RECETA		CORR-0001	PENDIENTE	PENDIENTE	NO-HECHA
RES-0003	milpa/tramite.yaml:tramite.mordida.discrecional:paga_mordida_encig2025	conducta_p_medido	0.085118	NO-DECLARADO-EN-EL-REGISTRO	MEDIDO·p(tasa base ponderada)	ACTO MAESTRA34-N4 · PLOMERIA-v1_2 | milpa/tramite-ola5-propuesta-v0.yaml:461-509 (id tramite.mordida.discrecional_encig_serie)	1/sep/2026	encig25_base_datos_csv	47daf2f732366ad842b7f60c784be9d61db68a00ae1a693980ec6a683e0d9e12	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0002	PENDIENTE	PENDIENTE	NO-HECHA
RES-0004	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal_encig2025	conducta_p_medido	0.914882	NO-DECLARADO-EN-EL-REGISTRO	MEDIDO·p(tasa base ponderada)	ACTO MAESTRA34-N4 · PLOMERIA-v1_2 | milpa/tramite-ola5-propuesta-v0.yaml:461-509 (id tramite.mordida.discrecional_encig_serie)	1/sep/2026	encig25_base_datos_csv	47daf2f732366ad842b7f60c784be9d61db68a00ae1a693980ec6a683e0d9e12	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0002	PENDIENTE	PENDIENTE	NO-HECHA
RES-0005	milpa/tramite.yaml:tramite.mordida.discrecional:paga_mordida_encuci2020	conducta_p_medido	0.125822	NO-DECLARADO-EN-EL-REGISTRO	MEDIDO·p(tasa base ponderada)	ACTO MAESTRA32-E20 · LOTE-NUBE-1 | milpa/tramite-ola5-propuesta-v0.yaml:107-138 (ADR-236)	31/ago/2026	encuci2020_bd_dbf	0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0003	PENDIENTE	PENDIENTE	NO-HECHA
RES-0006	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal_encuci2020	conducta_p_medido	0.874178	NO-DECLARADO-EN-EL-REGISTRO	MEDIDO·p(tasa base ponderada)	ACTO MAESTRA32-E20 · LOTE-NUBE-1 | milpa/tramite-ola5-propuesta-v0.yaml:107-138 (ADR-236)	31/ago/2026	encuci2020_bd_dbf	0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0003	PENDIENTE	PENDIENTE	NO-HECHA
RES-0007	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal	conducta_p_asignado	0.88	NO-DECLARADO-EN-EL-REGISTRO	ASIGNADO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	SIN-RECETA		CORR-0001	PENDIENTE	PENDIENTE	NO-HECHA
RES-0008	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida	conducta_p_asignado	0.12	NO-DECLARADO-EN-EL-REGISTRO	ASIGNADO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	SIN-RECETA		CORR-0001	PENDIENTE	PENDIENTE	NO-HECHA
RES-0009	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_presencial	conducta_p_medido	0.116	NO-DECLARADO-EN-EL-REGISTRO	MEDIDO·p(tasa base ponderada, condicional a canal)	ACTO MAESTRA34-N4 · PLOMERIA-v1_2 | milpa/tramite-ola5-propuesta-v0.yaml:551-576 (id tramite.mordida.con_registro_encig2025)	1/sep/2026	encig25_base_datos_csv	47daf2f732366ad842b7f60c784be9d61db68a00ae1a693980ec6a683e0d9e12	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0002	PENDIENTE	PENDIENTE	NO-HECHA
RES-0010	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_presencial	conducta_p_medido	0.884	NO-DECLARADO-EN-EL-REGISTRO	MEDIDO·p(tasa base ponderada, condicional a canal)	ACTO MAESTRA34-N4 · PLOMERIA-v1_2 | milpa/tramite-ola5-propuesta-v0.yaml:551-576 (id tramite.mordida.con_registro_encig2025)	1/sep/2026	encig25_base_datos_csv	47daf2f732366ad842b7f60c784be9d61db68a00ae1a693980ec6a683e0d9e12	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	NO-DECLARADO-EN-EL-REGISTRO	PARCIAL:script+spec+spec_sha		CORR-0002	PENDIENTE	PENDIENTE	NO-HECHA
