# DERIVADO — NO EDITAR
resultado_id	consumidor	tipo_uso	reglas_impacto	corrida_natural	generacion_hoy	veredicto	calc_candidato	corrida_oferta	estado_calc	sello_calc	result_gen2_candidato	valor_gen2	valor_legacy	canal	canales_observados	control_c0	veredicto_sellado	veredicto_sellado_ref	resolucion_vigente	otras_candidaturas	razon	delta_gen2_menos_legacy	representacion_al_grano	grano_consumidor	cambia_signo	cruza_grano_del_consumidor	cruza_umbral_grano_milpa	cambia_clasificacion	es_coeficiente_central	tier_consumidor	materialidad_consumidor	razon_materialidad
RES-0001	milpa/tramite.yaml:tramite.mordida.discrecional:paga_mordida	conducta_p_asignado	tramite.mordida.discrecional	CORR-0001	LEGACY-GEN1	SIN-CANDIDATO	CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1						0.62		C3-CORRIDA		CONFLICTO-ENTRE-VEREDICTOS	CALC-ENCIG-2023-0001/RESULT-ENCIG23-MOR-B-ADOPCION=NO-ADOPTABLE-NO-ESTIMABLE;CALC-ENCIG-2023-0001-v1_1/RESULT-ENCIG23-MOR-B-ADOPCION=LISTADO-PARA-MESA-ESTIMABLE		NINGUNA	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1											
RES-0002	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal	conducta_p_asignado	tramite.mordida.discrecional	CORR-0001	LEGACY-GEN1	SIN-CANDIDATO	CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1						0.38		C3-CORRIDA		CONFLICTO-ENTRE-VEREDICTOS	CALC-ENCIG-2023-0001/RESULT-ENCIG23-MOR-B-ADOPCION=NO-ADOPTABLE-NO-ESTIMABLE;CALC-ENCIG-2023-0001-v1_1/RESULT-ENCIG23-MOR-B-ADOPCION=LISTADO-PARA-MESA-ESTIMABLE		NINGUNA	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1											
RES-0003	milpa/tramite.yaml:tramite.mordida.discrecional:paga_mordida_encig2025	conducta_p_medido	tramite.mordida.discrecional	CORR-0002	GEN2	YA-ADOPTADO	CALC-ENCIG-0001	CALC-ENCIG-0001--c3ae00e62e59	SELLADA	COINCIDE	RESULT-ENCIG-MOR-A-P-SOL1	0.08511814556534456	0.085118	C1-MAPA	C0-CONSUMIDOR;C1-MAPA;C3-CORRIDA	COINCIDE	CANTIDAD-MEDIDA-ADOPTABLE	CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-RES-0003		NINGUNA	el consumidor ya cita RESULT-ENCIG-MOR-A-P-SOL1 con corrida0_generacion=GEN2 y la derivacion lo reproduce											
RES-0004	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal_encig2025	conducta_p_medido	tramite.mordida.discrecional	CORR-0002	LEGACY-GEN1	NO-ADOPTABLE-POR-VEREDICTO-SELLADO	CALC-ENCIG-0001	CALC-ENCIG-0001--c3ae00e62e59	SELLADA	COINCIDE	RESULT-ENCIG-MOR-A-P-NORMAL-SOL1	0.9148818544346554	0.914882	C2-RESULTADO	C2-RESULTADO;C3-CORRIDA		COMPLEMENTO-CON-DENOMINADOR-RECORTADO	CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS		NINGUNA	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS = COMPLEMENTO-CON-DENOMINADOR-RECORTADO											
RES-0005	milpa/tramite.yaml:tramite.mordida.discrecional:solicitud_o_entrega_mordida_encuci2020	conducta_p_medido	tramite.mordida.discrecional	CORR-0003	GEN2	YA-ADOPTADO	CALC-ENCUCI-0001	CALC-ENCUCI-0001--18d21cdff449	SELLADA	COINCIDE	RESULT-ENCUCI-A-P-CUALQUIERA	0.12600561008991654	0.126006	C1-MAPA	C0-CONSUMIDOR;C1-MAPA;C3-CORRIDA	COINCIDE	NO-ADOPTABLE-POR-DISCREPANCIA	CALC-ENCUCI-0001/RESULT-ENCUCI-A-ADOPCION-P3	SUPERADO-POR-F2	NINGUNA	veredicto sellado historico CALC-ENCUCI-0001/RESULT-ENCUCI-A-ADOPCION-P3 = NO-ADOPTABLE-POR-DISCREPANCIA; resolucion vigente F-2 (forense/encargos/2026-09-15-GEN2-FIRMAS-MESA-2.md F-1/F-2): SUPERADO-POR-F2 (COINCIDE-AL-GRANO); RESULT=0.12600561008991654; valor vigente del consumidor=0.126006; delta=3.8991008347033507e-07; grano del consumidor = 6 decimales											
RES-0006	milpa/tramite.yaml:tramite.mordida.discrecional:sin_solicitud_y_sin_entrega_encuci2020	conducta_p_derivado	tramite.mordida.discrecional	CORR-0003	LEGACY-GEN1	VETADO-POR-DECISION	CALC-ENCUCI-0001	CALC-ENCUCI-0001--18d21cdff449	SELLADA	COINCIDE	RESULT-ENCUCI-A-P-COMPLEMENTO-CUALQUIERA	0.8739943899100835	0.873994	C2-RESULTADO	C1-MAPA;C2-RESULTADO;C3-CORRIDA		COMPLEMENTO-CON-DENOMINADOR-RECORTADO	CALC-ENCUCI-0001/RESULT-ENCUCI-A-ADOPCION-P3-COMPLEMENTO		C1-MAPA/CALC-ENCUCI-0001/SIN-RESULT/DESTINO-SIN-CITA:SIN CITA (D1, NC-0108, complemento derivado)	CALC-ENCUCI-0001: DESTINO-SIN-CITA:SIN CITA (D1, NC-0108, complemento derivado)											
RES-0007	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal	conducta_p_asignado	tramite.mordida.con_registro	CORR-0001	LEGACY-GEN1	SIN-CANDIDATO	CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1						0.88		C3-CORRIDA		CONFLICTO-ENTRE-VEREDICTOS	CALC-ENCIG-2023-0001/RESULT-ENCIG23-MOR-B-ADOPCION=NO-ADOPTABLE-NO-ESTIMABLE;CALC-ENCIG-2023-0001-v1_1/RESULT-ENCIG23-MOR-B-ADOPCION=LISTADO-PARA-MESA-ESTIMABLE		NINGUNA	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1											
RES-0008	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida	conducta_p_asignado	tramite.mordida.con_registro	CORR-0001	LEGACY-GEN1	SIN-CANDIDATO	CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1						0.12		C3-CORRIDA		CONFLICTO-ENTRE-VEREDICTOS	CALC-ENCIG-2023-0001/RESULT-ENCIG23-MOR-B-ADOPCION=NO-ADOPTABLE-NO-ESTIMABLE;CALC-ENCIG-2023-0001-v1_1/RESULT-ENCIG23-MOR-B-ADOPCION=LISTADO-PARA-MESA-ESTIMABLE		NINGUNA	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1											
RES-0009	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_presencial	conducta_p_medido	tramite.mordida.con_registro	CORR-0002	LEGACY-GEN1	NO-ADOPTABLE-POR-VEREDICTO-SELLADO	CALC-ENCIG-0001	CALC-ENCIG-0001--c3ae00e62e59	SELLADA	COINCIDE	RESULT-ENCIG-MOR-B-P-PRE-CD	0.11596772958189888	0.116	C1-MAPA;C2-RESULTADO	C1-MAPA;C2-RESULTADO;C3-CORRIDA		NO-ADOPTABLE-POR-GRANO:-0.000032000	CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-RES-0009		NINGUNA	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-RES-0009 = NO-ADOPTABLE-POR-GRANO:-0.000032000											
RES-0010	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_presencial	conducta_p_derivado	tramite.mordida.con_registro	CORR-0002	LEGACY-GEN1	NO-ADOPTABLE-POR-VEREDICTO-SELLADO	CALC-ENCIG-0001	CALC-ENCIG-0001--c3ae00e62e59	SELLADA	COINCIDE	RESULT-ENCIG-MOR-B-P-NORMAL-PRE-CD	0.8840322704181012	0.884	C2-RESULTADO	C2-RESULTADO;C3-CORRIDA		COMPLEMENTO-CON-DENOMINADOR-RECORTADO	CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS		NINGUNA	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS = COMPLEMENTO-CON-DENOMINADOR-RECORTADO											
