# DERIVADO — NO EDITAR
resultado_id	consumidor	tipo_uso	activo	reglas_impacto	generacion_leida	corrida0_generacion	corrida0_resultado_id	fuente_replay	uso_solicitado	origen_numerico	aptitud_uso	motivo_aptitud	camino_linaje	valor_materializado
RES-0001	milpa/tramite.yaml:tramite.mordida.discrecional:paga_mordida	conducta_p_asignado	SI	tramite.mordida.discrecional	LEGACY-GEN1			NO-CORRIDA	LEGACY-NO-DECLARADO	INDETERMINADO	NO-EVALUADA	el consumidor legacy no declara un uso GEN2	milpa/tramite.yaml:tramite.mordida.discrecional:paga_mordida -> RES-0001 -> CORR-0001/RES-0001 -> DEMANDA-PENDIENTE	NO-DECLARADO-EN-EL-REGISTRO
RES-0002	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal	conducta_p_asignado	SI	tramite.mordida.discrecional	LEGACY-GEN1			NO-CORRIDA	LEGACY-NO-DECLARADO	INDETERMINADO	NO-EVALUADA	el consumidor legacy no declara un uso GEN2	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal -> RES-0002 -> CORR-0001/RES-0002 -> DEMANDA-PENDIENTE	NO-DECLARADO-EN-EL-REGISTRO
RES-0003	milpa/tramite.yaml:tramite.mordida.discrecional:paga_mordida_encig2025	conducta_p_medido	SI	tramite.mordida.discrecional	GEN2	GEN2	RESULT-ENCIG-MOR-A-P-SOL1	HEREDADO-DEL-REGISTRO-PUBLICADO · data/corrida0/corridas.tsv@5022d2d8147596250c70c348be0664c56f0b5aa9:L99 · forense/replay-evidencia.tsv#CALC-ENCIG-0001	MEDICION-GEN2	NUEVO	APTA-POR-LINAJE	origen NUEVO; no certifica compatibilidad semántica del estimando con el parámetro	milpa/tramite.yaml:tramite.mordida.discrecional:paga_mordida_encig2025 -> RESULT-ENCIG-MOR-A-P-SOL1 -> CALC-ENCIG-0001/RESULT-ENCIG-MOR-A-P-SOL1 -> encig25_base_datos_csv:DATO -> manifiesto:encig25_base_datos_csv [REESTIMACION; NO IMPLICA MUESTRA INDEPENDIENTE]	0.085118
RES-0004	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal_encig2025	conducta_p_medido	SI	tramite.mordida.discrecional	LEGACY-GEN1			NO-CORRIDA	LEGACY-NO-DECLARADO	INDETERMINADO	NO-EVALUADA	el consumidor legacy no declara un uso GEN2	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal_encig2025 -> RES-0004 -> CORR-0002/RES-0004 -> DEMANDA-PENDIENTE	NO-DECLARADO-EN-EL-REGISTRO
RES-0005	milpa/tramite.yaml:tramite.mordida.discrecional:solicitud_o_entrega_mordida_encuci2020	conducta_p_medido	SI	tramite.mordida.discrecional	GEN2	GEN2	RESULT-ENCUCI-A-P-CUALQUIERA	HEREDADO-DEL-REGISTRO-PUBLICADO · data/corrida0/corridas.tsv@5022d2d8147596250c70c348be0664c56f0b5aa9:L100 · forense/replay-evidencia.tsv#CALC-ENCUCI-0001	MEDICION-GEN2	NUEVO	APTA-POR-LINAJE	origen NUEVO; no certifica compatibilidad semántica del estimando con el parámetro	milpa/tramite.yaml:tramite.mordida.discrecional:solicitud_o_entrega_mordida_encuci2020 -> RESULT-ENCUCI-A-P-CUALQUIERA -> CALC-ENCUCI-0001/RESULT-ENCUCI-A-P-CUALQUIERA -> encuci2020_bd_dbf:DATO -> manifiesto:encuci2020_bd_dbf [REESTIMACION; NO IMPLICA MUESTRA INDEPENDIENTE]	0.126006
RES-0006	milpa/tramite.yaml:tramite.mordida.discrecional:sin_solicitud_y_sin_entrega_encuci2020	conducta_p_derivado	SI	tramite.mordida.discrecional	LEGACY-GEN1			NO-CORRIDA	LEGACY-NO-DECLARADO	INDETERMINADO	NO-EVALUADA	el consumidor legacy no declara un uso GEN2	milpa/tramite.yaml:tramite.mordida.discrecional:sin_solicitud_y_sin_entrega_encuci2020 -> RES-0006 -> CORR-0003/RES-0006 -> DEMANDA-PENDIENTE	NO-DECLARADO-EN-EL-REGISTRO
RES-0007	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal	conducta_p_asignado	SI	tramite.mordida.con_registro	LEGACY-GEN1			NO-CORRIDA	LEGACY-NO-DECLARADO	INDETERMINADO	NO-EVALUADA	el consumidor legacy no declara un uso GEN2	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal -> RES-0007 -> CORR-0001/RES-0007 -> DEMANDA-PENDIENTE	NO-DECLARADO-EN-EL-REGISTRO
RES-0008	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida	conducta_p_asignado	SI	tramite.mordida.con_registro	LEGACY-GEN1			NO-CORRIDA	LEGACY-NO-DECLARADO	INDETERMINADO	NO-EVALUADA	el consumidor legacy no declara un uso GEN2	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida -> RES-0008 -> CORR-0001/RES-0008 -> DEMANDA-PENDIENTE	NO-DECLARADO-EN-EL-REGISTRO
RES-0009	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_presencial	conducta_p_medido	SI	tramite.mordida.con_registro	LEGACY-GEN1			NO-CORRIDA	LEGACY-NO-DECLARADO	INDETERMINADO	NO-EVALUADA	el consumidor legacy no declara un uso GEN2	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_presencial -> RES-0009 -> CORR-0002/RES-0009 -> DEMANDA-PENDIENTE	NO-DECLARADO-EN-EL-REGISTRO
RES-0010	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_presencial	conducta_p_derivado	SI	tramite.mordida.con_registro	LEGACY-GEN1			NO-CORRIDA	LEGACY-NO-DECLARADO	INDETERMINADO	NO-EVALUADA	el consumidor legacy no declara un uso GEN2	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_presencial -> RES-0010 -> CORR-0002/RES-0010 -> DEMANDA-PENDIENTE	NO-DECLARADO-EN-EL-REGISTRO
