# DERIVADO por tools/crosswalk_tablas_fd.py (crosswalk-tablas-fd-1.0.0). NO se edita a mano: se re-genera.
# ACTO GEN2-CAJA-REACTIVOS-FD-1 (15/sep/2026, CAJA). Acredita NC-0245 leyendo el FD REAL
# desde la raíz montada. Cero microdato abierto: sólo descriptores y metadato indexado.
# umbrales: cobertura>=0.95 margen>=0.3
# Lo que NO entra al crosswalk, por motivo acreditado. No se retira del denominador.
instrumento	archivo_miembro	motivo	detalle	variables_miembro	filas_ciegas	mejor_candidata	mejor_cobertura
ADQ15_CNBV_AhorroFinanciero_Financiamiento	Ahorro financiero	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (ADQ15_CNBV_AhorroFinanciero_Financiamiento/Glosario_Base_de_Ahorro_Financiero_y_Financiamiento.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	1		
ADQ15_CNBV_AhorroFinanciero_Financiamiento	Financiamiento	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (ADQ15_CNBV_AhorroFinanciero_Financiamiento/Diccionario_DGEE.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	1	2		
ADQ15_CNBV_AhorroFinanciero_Financiamiento	Ahorro fin pesos constantes	EJE-TRANSPUESTO	92/97 'variables' del miembro son PERIODOS (p. ej. 2000-09-01 00:00:00, 2000-12-01 00:00:00): la tabla está transpuesta respecto del descriptor — los conceptos son filas y los periodos columnas. No hay enunciado de reactivo que recuperar para una columna que es una fecha	97	543		0.0000
ADQ15_CNBV_AhorroFinanciero_Financiamiento	Ahorro fin pesos corrientes	EJE-TRANSPUESTO	92/93 'variables' del miembro son PERIODOS (p. ej. 2000-09-01 00:00:00, 2000-12-01 00:00:00): la tabla está transpuesta respecto del descriptor — los conceptos son filas y los periodos columnas. No hay enunciado de reactivo que recuperar para una columna que es una fecha	93	543		0.0000
ADQ15_CNBV_AhorroFinanciero_Financiamiento	Financiamiento pesos constantes	EJE-TRANSPUESTO	92/97 'variables' del miembro son PERIODOS (p. ej. 2000-09-01 00:00:00, 2000-12-01 00:00:00): la tabla está transpuesta respecto del descriptor — los conceptos son filas y los periodos columnas. No hay enunciado de reactivo que recuperar para una columna que es una fecha	97	543		0.0000
ADQ15_CNBV_AhorroFinanciero_Financiamiento	Financiamiento pesos corrientes	EJE-TRANSPUESTO	92/93 'variables' del miembro son PERIODOS (p. ej. 2000-09-01 00:00:00, 2000-12-01 00:00:00): la tabla está transpuesta respecto del descriptor — los conceptos son filas y los periodos columnas. No hay enunciado de reactivo que recuperar para una columna que es una fecha	93	543		0.0000
ADQ15_CNBV_BDIF_inclusion_financiera	ACCESO DEM NAL	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (ADQ15_CNBV_BDIF_inclusion_financiera/Diccionario_DGPASF.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	4	8		
ADQ15_CNBV_BDIF_inclusion_financiera	BD Acceso Edo	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (ADQ15_CNBV_BDIF_inclusion_financiera/Diccionario_DGPASF.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	4	8		
ADQ15_CNBV_BDIF_inclusion_financiera	BD Acceso Mun	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (ADQ15_CNBV_BDIF_inclusion_financiera/Diccionario_DGPASF.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	4	8		
ADQ15_CNBV_BDIF_inclusion_financiera	BD Uso EACP Edo	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (ADQ15_CNBV_BDIF_inclusion_financiera/Diccionario_DGPASF.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	4	8		
ADQ15_CNBV_BDIF_inclusion_financiera	BD Uso EACP Mun	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (ADQ15_CNBV_BDIF_inclusion_financiera/Diccionario_DGPASF.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	4	8		
ADQ15_CNBV_BDIF_inclusion_financiera	BD Uso Edo	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (ADQ15_CNBV_BDIF_inclusion_financiera/Diccionario_DGPASF.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	4	8		
ADQ15_CNBV_BDIF_inclusion_financiera	BD Uso Mun	MIEMBRO-ES-EL-PROPIO-FD	el 'miembro' vive dentro de un descriptor (ADQ15_CNBV_BDIF_inclusion_financiera/Diccionario_DGPASF.xlsx), no dentro de un payload de datos: sus 'variables' son los rótulos de columna del FD, no variables de la encuesta	4	8		
