# DERIVADO por tools/crosswalk_tablas_fd.py (crosswalk-tablas-fd-1.0.0). NO se edita a mano: se re-genera.
# ACTO GEN2-CAJA-REACTIVOS-FD-1 (15/sep/2026, CAJA). Acredita NC-0245 leyendo el FD REAL
# desde la raíz montada. Cero microdato abierto: sólo descriptores y metadato indexado.
# umbrales: cobertura>=0.95 margen>=0.3
# Un emparejamiento que el FD no sostiene NO está aquí: está en el residual, con motivo.
instrumento	archivo_miembro	payload_id	hoja_fd	payload_id_fd	sha256_12_fd	metodo	evidencia_fd	clave_variable	variables_miembro	variables_hoja	variables_comunes	cobertura	margen	filas_ciegas_cubiertas
ADQ15_CNBV_BDIF_inclusion_financiera	52Sep2022_ACCESO_DEM_NAL.csv	ADQ15_CNBV_BDIF_inclusion_financiera/52Sep2022_ACCESO_DEM_NAL.csv	ACCESO DEM NAL	ADQ15_CNBV_BDIF_inclusion_financiera/Diccionario_DGPASF.xlsx	8c45e5684625	FD-NOMBRE-DE-HOJA	título de la hoja del FD	casefold	12	12	12	1.0000	0.3333	12
ADQ15_CNBV_BDIF_inclusion_financiera	52Sep2022_BD_Acceso_Edo.csv	ADQ15_CNBV_BDIF_inclusion_financiera/52Sep2022_BD_Acceso_Edo.csv	BD Acceso Edo	ADQ15_CNBV_BDIF_inclusion_financiera/Diccionario_DGPASF.xlsx	8c45e5684625	FD-DECLARA-TABLA	columna «Nombre de la BD» = «BD Acceso Edo»	casefold	28	28	24	0.8571	0.0357	28
ADQ15_CNBV_BDIF_inclusion_financiera	52Sep2022_BD_Acceso_Mun.csv	ADQ15_CNBV_BDIF_inclusion_financiera/52Sep2022_BD_Acceso_Mun.csv	BD Acceso Mun	ADQ15_CNBV_BDIF_inclusion_financiera/Diccionario_DGPASF.xlsx	8c45e5684625	FD-DECLARA-TABLA	columna «Nombre de la BD» = «BD Acceso Mun»	casefold	29	29	25	0.8621	0.1034	29
ADQ15_CNBV_BDIF_inclusion_financiera	52Sep2022_BD_Uso_EACP_Edo.csv	ADQ15_CNBV_BDIF_inclusion_financiera/52Sep2022_BD_Uso_EACP_Edo.csv	BD Uso EACP Edo	ADQ15_CNBV_BDIF_inclusion_financiera/Diccionario_DGPASF.xlsx	8c45e5684625	FD-DECLARA-TABLA	columna «Nombre de la BD» = «BD Uso EACP Edo»	casefold	20	20	20	1.0000	0.0500	20
ADQ15_CNBV_BDIF_inclusion_financiera	52Sep2022_BD_Uso_EACP_Mun.csv	ADQ15_CNBV_BDIF_inclusion_financiera/52Sep2022_BD_Uso_EACP_Mun.csv	BD Uso EACP Mun	ADQ15_CNBV_BDIF_inclusion_financiera/Diccionario_DGPASF.xlsx	8c45e5684625	FD-DECLARA-TABLA	columna «Nombre de la BD» = «BD Uso EACP Mun»	casefold	21	21	21	1.0000	0.1429	21
ADQ15_CNBV_BDIF_inclusion_financiera	52Sep2022_BD_Uso_Edo.csv	ADQ15_CNBV_BDIF_inclusion_financiera/52Sep2022_BD_Uso_Edo.csv	BD Uso Edo	ADQ15_CNBV_BDIF_inclusion_financiera/Diccionario_DGPASF.xlsx	8c45e5684625	FD-DECLARA-TABLA	columna «Nombre de la BD» = «BD Uso Edo»	casefold	40	40	38	0.9500	0.0000	40
ADQ15_CNBV_BDIF_inclusion_financiera	52Sep2022_BD_Uso_Mun.csv	ADQ15_CNBV_BDIF_inclusion_financiera/52Sep2022_BD_Uso_Mun.csv	BD Uso Mun	ADQ15_CNBV_BDIF_inclusion_financiera/Diccionario_DGPASF.xlsx	8c45e5684625	FD-DECLARA-TABLA	columna «Nombre de la BD» = «BD Uso Mun»	casefold	41	41	41	1.0000	0.0732	41
ADQ15_CNBV_BDIF_inclusion_financiera	52Sep2022_USO_BAN_NAL.csv	ADQ15_CNBV_BDIF_inclusion_financiera/52Sep2022_USO_BAN_NAL.csv	USO BAN NAL	ADQ15_CNBV_BDIF_inclusion_financiera/Diccionario_DGPASF.xlsx	8c45e5684625	FD-DECLARA-TABLA	columna «Nombre de la BD» = «USO BAN NAL»	casefold	19	19	18	0.9474	0.1053	19
ADQ15_CNBV_BDIF_inclusion_financiera	52Sep2022_USO_EACP_NAL.csv	ADQ15_CNBV_BDIF_inclusion_financiera/52Sep2022_USO_EACP_NAL.csv	USO EACP NAL	ADQ15_CNBV_BDIF_inclusion_financiera/Diccionario_DGPASF.xlsx	8c45e5684625	FD-DECLARA-TABLA	columna «Nombre de la BD» = «USO EACP NAL»	casefold	11	11	11	1.0000	0.1818	11
censo2020	TI_MANZANA_EU_00.csv	Censo2020_CEU_eum_csv.zip	TI_MANZANA_EU	Censo2020_CEU_descriptor_bd.xlsx	b497acecd542	FD-NOMBRE-DE-HOJA	título de la hoja del FD	casefold+sufijo-de-ola	77	77	77	1.0000	0.9091	77
censo2020	TI_TRA_CAAS_00.csv	Censo2020_CAAS_eum_csv.zip	CAAS_Trabajadores	Censo2020_CAAS_descriptor_bd.xlsx	ca169ac742c3	FD-DECLARA-TABLA	celda «TABLA: TI_TRA_CAAS»	casefold+sufijo-de-ola	89	89	89	1.0000	0.9326	89
censo2020	TI_USU_CAAS_00.csv	Censo2020_CAAS_eum_csv.zip	CAAS_Usuarios	Censo2020_CAAS_descriptor_bd.xlsx	ca169ac742c3	FD-DECLARA-TABLA	celda «TABLA: TI_USU_CAAS»	casefold+sufijo-de-ola	90	90	90	1.0000	0.9333	90
censo2020	TR_ALO_CAAS_00.csv	Censo2020_CAAS_eum_csv.zip	CAAS_Alojamientos	Censo2020_CAAS_descriptor_bd.xlsx	ca169ac742c3	FD-DECLARA-TABLA	celda «TABLA: TR_ALO_CAAS»	casefold+sufijo-de-ola	80	80	80	1.0000	0.9250	80
censo2020	TR_VIALIDAD_EU_00.csv	Censo2020_CEU_eum_csv.zip	TR_VIALIDAD_EU	Censo2020_CEU_descriptor_bd.xlsx	b497acecd542	FD-NOMBRE-DE-HOJA	título de la hoja del FD	casefold+sufijo-de-ola	39	39	39	1.0000	0.8205	39
enadid2023	TFECHISEMB.csv	base_datos_enadid23_csv.zip	TFECHISEMB	fd_enadid23.xlsx	d56582b7ace0	FD-NOMBRE-DE-HOJA	título de la hoja del FD	casefold+sufijo-de-ola	46	46	46	1.0000	0.5217	1
enadid2023	TMUJER1.csv	base_datos_enadid23_csv.zip	TMUJER1	fd_enadid23.xlsx	d56582b7ace0	FD-NOMBRE-DE-HOJA	título de la hoja del FD	casefold+sufijo-de-ola	237	236	236	0.9958	0.9030	1
enadid2023	TMUJER2.csv	base_datos_enadid23_csv.zip	TMUJER2	fd_enadid23.xlsx	d56582b7ace0	FD-NOMBRE-DE-HOJA	título de la hoja del FD	casefold+sufijo-de-ola	169	162	162	0.9586	0.8343	7
enasem2018	ARCHIVO_MAESTRO_SEGUIMIENTO_2018.csv	enasem2018/enasem_2018_bd_csv.zip	archivo_maestro_seguimiento	enasem2018/enasem_2018_fd.xlsx	00d1cd1ac75c	IDENTIDAD-DE-VARIABLES	105/105 variables del miembro emparejan; margen 0.82 sobre la segunda candidata; emparejamiento mutuo	casefold+sufijo-de-ola	105	105	105	1.0000	0.8190	105
enasem2018	SECT_A_C_D_F_E_PC_H_I_2018.csv	enasem2018/enasem_2018_bd_csv.zip	sect_a_c_d_f_e_pc_h_i	enasem2018/enasem_2018_fd.xlsx	00d1cd1ac75c	IDENTIDAD-DE-VARIABLES	949/960 variables del miembro emparejan; margen 0.97 sobre la segunda candidata; emparejamiento mutuo	casefold+sufijo-de-ola	960	960	949	0.9885	0.9656	960
enasem2018	SECT_B_FALLECIDOS_NUEVA_MUESTRA_2018.csv	enasem2018/enasem_2018_bd_csv.zip	sect_b_fallecidos_nueva_muestra	enasem2018/enasem_2018_fd.xlsx	00d1cd1ac75c	IDENTIDAD-DE-VARIABLES	21/21 variables del miembro emparejan; margen 0.48 sobre la segunda candidata; emparejamiento mutuo	casefold+sufijo-de-ola	21	21	21	1.0000	0.4762	10
enasem2018	SECT_B_NO_RESIDENTES_NUEVA_MUESTRA_2018.csv	enasem2018/enasem_2018_bd_csv.zip	sect_b_no_residentes_nueva_mues	enasem2018/enasem_2018_fd.xlsx	00d1cd1ac75c	IDENTIDAD-DE-VARIABLES	31/31 variables del miembro emparejan; margen 0.61 sobre la segunda candidata; emparejamiento mutuo	casefold+sufijo-de-ola	31	31	31	1.0000	0.6129	17
enasem2018	SECT_B_NO_RESIDENTES_SEGUIMIENTO_2018.csv	enasem2018/enasem_2018_bd_csv.zip	sect_b_no_residentes_seguimient	enasem2018/enasem_2018_fd.xlsx	00d1cd1ac75c	IDENTIDAD-DE-VARIABLES	32/32 variables del miembro emparejan; margen 0.56 sobre la segunda candidata; emparejamiento mutuo	casefold+sufijo-de-ola	32	32	32	1.0000	0.5625	17
enasem2018	SECT_G_J_K_SA_2018.csv	enasem2018/enasem_2018_bd_csv.zip	sect_g_j_k_sa	enasem2018/enasem_2018_fd.xlsx	00d1cd1ac75c	IDENTIDAD-DE-VARIABLES	538/545 variables del miembro emparejan; margen 0.96 sobre la segunda candidata; emparejamiento mutuo	casefold+sufijo-de-ola	545	545	538	0.9872	0.9578	545
enasem2018	SECT_SA_SB_SC_SD_SE_SH_SI_2018.csv	enasem2018/enasem_2018_bd_csv.zip	sect_sa_sb_sc_sd_se_sh_si	enasem2018/enasem_2018_fd.xlsx	00d1cd1ac75c	IDENTIDAD-DE-VARIABLES	224/226 variables del miembro emparejan; margen 0.91 sobre la segunda candidata; emparejamiento mutuo	casefold+sufijo-de-ola	226	226	224	0.9912	0.9115	226
enasem2018	SECT_SG_SJ_2018.csv	enasem2018/enasem_2018_bd_csv.zip	sect_sg_sj	enasem2018/enasem_2018_fd.xlsx	00d1cd1ac75c	IDENTIDAD-DE-VARIABLES	38/40 variables del miembro emparejan; margen 0.50 sobre la segunda candidata; emparejamiento mutuo	casefold+sufijo-de-ola	40	40	38	0.9500	0.5000	40
enasem2018	SECT_TRH_NUEVA_MUESTRA_2018.csv	enasem2018/enasem_2018_bd_csv.zip	sect_trh_nueva_muestra	enasem2018/enasem_2018_fd.xlsx	00d1cd1ac75c	IDENTIDAD-DE-VARIABLES	28/29 variables del miembro emparejan; margen 0.59 sobre la segunda candidata; emparejamiento mutuo	casefold+sufijo-de-ola	29	29	28	0.9655	0.5862	29
enasem2018	SECT_TRH_SEGUIMIENTO_2018.csv	enasem2018/enasem_2018_bd_csv.zip	sect_trh_seguimiento	enasem2018/enasem_2018_fd.xlsx	00d1cd1ac75c	IDENTIDAD-DE-VARIABLES	33/34 variables del miembro emparejan; margen 0.59 sobre la segunda candidata; emparejamiento mutuo	casefold+sufijo-de-ola	34	34	33	0.9706	0.5882	34
enasem2021	MASTER_FOLLOW_UP_FILE_2021.csv	enasem2021/enasem_2021_bd_csv.zip	MASTER_FOLLOW_UP_FILE_2021	enasem2021/enasem_2021_fd.xlsx	00f5dfaef813	FD-NOMBRE-DE-HOJA	título de la hoja del FD	casefold+sufijo-de-ola	127	127	126	0.9921	0.8504	2
enasem2021	MHAS_ENASEM_2021_CONSTRUCTED_VA.csv	enasem2021/enasem_2021_bd_csv.zip	MHAS_ENASEM_2021_CONSTRUCTED_VA	enasem2021/enasem_2021_fd.xlsx	00f5dfaef813	FD-NOMBRE-DE-HOJA	título de la hoja del FD	casefold+sufijo-de-ola	121	121	21	0.1736	0.0909	104
enasem2021	SECT_A_C_D_E_PC_F_H_I_2021.csv	enasem2021/enasem_2021_bd_csv.zip	SECT_A_C_D_E_PC_F_H_I_2021	enasem2021/enasem_2021_fd.xlsx	00f5dfaef813	FD-NOMBRE-DE-HOJA	título de la hoja del FD	casefold+sufijo-de-ola	986	989	936	0.9493	0.9361	981
enasem2021	SECT_G_J_K_SA_2021.csv	enasem2021/enasem_2021_bd_csv.zip	SECT_G_J_K_SA_2021	enasem2021/enasem_2021_fd.xlsx	00f5dfaef813	FD-NOMBRE-DE-HOJA	título de la hoja del FD	casefold+sufijo-de-ola	524	524	517	0.9866	0.9714	523
enasem2021	SECT_SA_SB_SC_SD_SE_SH_SI_2021.csv	enasem2021/enasem_2021_bd_csv.zip	SECT_SA_SB_SC_SD_SE_SH_SI_2021	enasem2021/enasem_2021_fd.xlsx	00f5dfaef813	FD-NOMBRE-DE-HOJA	título de la hoja del FD	casefold+sufijo-de-ola	224	225	219	0.9777	0.8929	211
enasem2021	SECT_SG_SJ_2021.csv	enasem2021/enasem_2021_bd_csv.zip	SECT_SG_SJ_2021	enasem2021/enasem_2021_fd.xlsx	00f5dfaef813	FD-NOMBRE-DE-HOJA	título de la hoja del FD	casefold+sufijo-de-ola	39	39	34	0.8718	0.3846	26
enasem2021	SECT_TRH_FOLLOW_UP_2021.csv	enasem2021/enasem_2021_bd_csv.zip	SECT_TRH_FOLLOW_UP_2021	enasem2021/enasem_2021_fd.xlsx	00f5dfaef813	FD-NOMBRE-DE-HOJA	título de la hoja del FD	casefold+sufijo-de-ola	35	35	28	0.8000	0.5429	34
enasem2024	tr_enasem24_sect_b_non_resident_follow_up.csv	enasem2024/enasem_2024_bd_csv.zip	TR_ENASEM24_SECT_B_FOLLOW_UP	enasem2024/enasem_2024_fd.xlsx	79b02638baa7	IDENTIDAD-DE-VARIABLES	27/27 variables del miembro emparejan; margen 0.56 sobre la segunda candidata; emparejamiento mutuo	casefold+sufijo-de-ola	27	27	27	1.0000	0.5556	27
enasem2024	tr_enasem24_sect_b_non_resident_new_sample.csv	enasem2024/enasem_2024_bd_csv.zip	TR_ENASEM24_SECT_B_NEW_SAMPLE	enasem2024/enasem_2024_fd.xlsx	79b02638baa7	IDENTIDAD-DE-VARIABLES	27/27 variables del miembro emparejan; margen 0.56 sobre la segunda candidata; emparejamiento mutuo	casefold+sufijo-de-ola	27	27	27	1.0000	0.5556	27
endutih2023	tic_2023_hogares.DBF	endutih2023/endutih2023_bd_dbf.zip	tic_2023_hogares	endutih2023/FD_ENDUTIH2023.xlsx	0f78146a6d61	FD-DECLARA-TABLA	celda «Tabla: tic_2023_hogares»	casefold+sufijo-de-ola	103	102	102	0.9903	0.9029	1
endutih2023	tic_2023_residentes.DBF	endutih2023/endutih2023_bd_dbf.zip	tic_2023_residentes	endutih2023/FD_ENDUTIH2023.xlsx	0f78146a6d61	FD-DECLARA-TABLA	celda «Tabla: tic_2023_residentes»	casefold+sufijo-de-ola	26	25	25	0.9615	0.3846	1
endutih2023	tic_2023_usuarios.DBF	endutih2023/endutih2023_bd_dbf.zip	tic_2023_usuarios	endutih2023/FD_ENDUTIH2023.xlsx	0f78146a6d61	FD-DECLARA-TABLA	celda «Tabla: tic_2023_usuarios»	casefold+sufijo-de-ola	230	229	229	0.9957	0.9261	1
