# data/cruce-inverso-v1_0.tsv -- ACTO MAESTRA31-E5 · CRUCE-INVERSO, COMMIT-2
# Universo (A.10): main=07b1452, 27/ago/2026 (confirmado contra origin/main, sin diferencia).
# Lado motor: milpa/procedencia.yaml + milpa/tramite.yaml, 59 variables (receta propia, forense/notas/2026-08-27-cruce-inverso-spec.md; difiere de las 79 de direccion, declarado en §1 de esa spec).
# Lado corpus: data/inventario-reactivos-v1_0.tsv, 178246 filas, 36809 variable_id distintos, 74 instrumentos (columna instrumento, sin contar el encabezado).
# Emparejamiento: token exacto de variable_id; instrumento normalizado familia+ano (motor: 'ENCIG 2023' -> 'encig2023'); ola = valores distintos de la columna instrumento (columna ola del inventario es NO_DETERMINADO en el 100% de las filas relevantes).
# SUPERADO por data/cruce-inverso-v1_1.tsv (ACTO MAESTRA31-E7 · ETIQUETA, 27/ago/2026). Motivo: el insumo data/inventario-reactivos-v1_0.tsv etiquetaba "(raiz)" el 58% de sus filas (columna instrumento); ese defecto se propago a instrumentos_en_inventario/n_olas_distintas/olas_detalle de este cruce. Este archivo NO se edita mas alla de esta cabecera -- la especificacion de E5 (forense/notas/2026-08-27-cruce-inverso-spec.md) no cambia. Ver forense/notas/2026-08-27-etiqueta-cierre.md.
variable_id	veredicto_a4	instrumentos_declarados_por_motor	n_citas_en_motor	payloads_en_inventario	instrumentos_en_inventario	n_olas_distintas	olas_detalle
AP3_10	EXISTE-SATISFACE	envipe:2025	2	BD_ENCUCI2020_dbf.zip;envipe2011/base_de_datos_envipe_2011_dbf.zip;envipe2012/base_de_datos_envipe_2012_dbf.zip;envipe2013/bd_envipe13_dbf.zip;envipe2014/bd_envipe2014_dbf.zip;envipe2015/bd_envipe2015_dbf.zip;envipe2016/bd_envipe2016_dbf.zip;envipe2017/bd_envipe2017_dbf.zip;envipe2018/bd_envipe2018_dbf.zip;envipe2018_csv.zip;envipe2019/bd_envipe2019_dbf.zip;envipe2019_csv.zip;envipe2020/bd_envipe_2020_dbf.zip;envipe2020_csv.zip;envipe2021/bd_envipe_2021_csv.zip;envipe2021/bd_envipe_2021_dbf.zip;envipe2021_csv.zip;envipe2022/bd_envipe_2022_csv.zip;envipe2022/bd_envipe_2022_dbf.zip;envipe2022_csv.zip;envipe2023/bd_envipe_2023_csv.zip;envipe2023/bd_envipe_2023_dbf.zip;envipe2023_csv.zip;envipe2024/bd_envipe_2024_csv.zip;envipe2024/bd_envipe_2024_dbf.zip;envipe2024_csv.zip;envipe2025/bd_envipe_2025_csv.zip;envipe2025/bd_envipe_2025_dbf.zip;envipe2025_csv.zip	(raiz);envipe2011;envipe2012;envipe2013;envipe2014;envipe2015;envipe2016;envipe2017;envipe2018;envipe2019;envipe2020;envipe2021;envipe2022;envipe2023;envipe2024;envipe2025	16	(raiz);envipe2011;envipe2012;envipe2013;envipe2014;envipe2015;envipe2016;envipe2017;envipe2018;envipe2019;envipe2020;envipe2021;envipe2022;envipe2023;envipe2024;envipe2025
AP3_8	EXISTE-SATISFACE	envipe:2025	2	envipe2012/base_de_datos_envipe_2012_dbf.zip;envipe2013/bd_envipe13_dbf.zip;envipe2014/bd_envipe2014_dbf.zip;envipe2015/bd_envipe2015_dbf.zip;envipe2016/bd_envipe2016_dbf.zip;envipe2017/bd_envipe2017_dbf.zip;envipe2018/bd_envipe2018_dbf.zip;envipe2018_csv.zip;envipe2019/bd_envipe2019_dbf.zip;envipe2019_csv.zip;envipe2020/bd_envipe_2020_dbf.zip;envipe2020_csv.zip;envipe2021/bd_envipe_2021_csv.zip;envipe2021/bd_envipe_2021_dbf.zip;envipe2021_csv.zip;envipe2022/bd_envipe_2022_csv.zip;envipe2022/bd_envipe_2022_dbf.zip;envipe2022_csv.zip;envipe2023/bd_envipe_2023_csv.zip;envipe2023/bd_envipe_2023_dbf.zip;envipe2023_csv.zip;envipe2024/bd_envipe_2024_csv.zip;envipe2024/bd_envipe_2024_dbf.zip;envipe2024_csv.zip;envipe2025/bd_envipe_2025_csv.zip;envipe2025/bd_envipe_2025_dbf.zip;envipe2025_csv.zip	(raiz);envipe2012;envipe2013;envipe2014;envipe2015;envipe2016;envipe2017;envipe2018;envipe2019;envipe2020;envipe2021;envipe2022;envipe2023;envipe2024;envipe2025	15	(raiz);envipe2012;envipe2013;envipe2014;envipe2015;envipe2016;envipe2017;envipe2018;envipe2019;envipe2020;envipe2021;envipe2022;envipe2023;envipe2024;envipe2025
AP5_16_1	EXISTE-NO-SATISFACE	encuci:2020	2	BD_ENCUCI2020_dbf.zip	(raiz)	1	(raiz)
AP5_17	EXISTE-NO-SATISFACE	encuci:2020	2	BD_ENCUCI2020_dbf.zip	(raiz)	1	(raiz)
AP5_18	EXISTE-NO-SATISFACE	encuci:2020	2	BD_ENCUCI2020_dbf.zip	(raiz)	1	(raiz)
AP5_1_1	EXISTE-NO-SATISFACE	encuci:2020	7	BD_ENCUCI2020_dbf.zip;endireh2011/bd_endireh_2011_csv.zip;endireh2011/bd_endireh_2011_dbf.zip;envipe2011/base_de_datos_envipe_2011_dbf.zip;envipe2012/base_de_datos_envipe_2012_dbf.zip	(raiz);endireh2011;envipe2011;envipe2012	4	(raiz);endireh2011;envipe2011;envipe2012
AP5_1_2	EXISTE-NO-SATISFACE	encuci:2020;enif:sin-ano	8	BD_ENCUCI2020_dbf.zip;endireh2011/bd_endireh_2011_csv.zip;endireh2011/bd_endireh_2011_dbf.zip;envipe2011/base_de_datos_envipe_2011_dbf.zip;envipe2012/base_de_datos_envipe_2012_dbf.zip	(raiz);endireh2011;envipe2011;envipe2012	4	(raiz);endireh2011;envipe2011;envipe2012
AP5_1_3	EXISTE-NO-SATISFACE	encuci:2020	6	BD_ENCUCI2020_dbf.zip;endireh2011/bd_endireh_2011_csv.zip;endireh2011/bd_endireh_2011_dbf.zip;envipe2011/base_de_datos_envipe_2011_dbf.zip;envipe2012/base_de_datos_envipe_2012_dbf.zip	(raiz);endireh2011;envipe2011;envipe2012	4	(raiz);endireh2011;envipe2011;envipe2012
AP5_2_5	EXISTE-NO-SATISFACE	encuci:2020	1	BD_ENCUCI2020_dbf.zip;endireh2011/bd_endireh_2011_csv.zip;endireh2011/bd_endireh_2011_dbf.zip;envipe2011/base_de_datos_envipe_2011_dbf.zip;envipe2012/base_de_datos_envipe_2012_dbf.zip;envipe2013/bd_envipe13_dbf.zip;envipe2014/bd_envipe2014_dbf.zip	(raiz);endireh2011;envipe2011;envipe2012;envipe2013;envipe2014	6	(raiz);endireh2011;envipe2011;envipe2012;envipe2013;envipe2014
AP5_2_6	EXISTE-NO-SATISFACE	encuci:2020	1	BD_ENCUCI2020_dbf.zip;endireh2011/bd_endireh_2011_csv.zip;endireh2011/bd_endireh_2011_dbf.zip;envipe2011/base_de_datos_envipe_2011_dbf.zip;envipe2012/base_de_datos_envipe_2012_dbf.zip	(raiz);endireh2011;envipe2011;envipe2012	4	(raiz);endireh2011;envipe2011;envipe2012
AP5_3_6	EXISTE-NO-SATISFACE	encuci:2020	1	BD_ENCUCI2020_dbf.zip;envipe2011/base_de_datos_envipe_2011_dbf.zip;envipe2012/base_de_datos_envipe_2012_dbf.zip;envipe2013/bd_envipe13_dbf.zip	(raiz);envipe2011;envipe2012;envipe2013	4	(raiz);envipe2011;envipe2012;envipe2013
AP5_3_7	EXISTE-NO-SATISFACE	encuci:2020	1	BD_ENCUCI2020_dbf.zip;envipe2011/base_de_datos_envipe_2011_dbf.zip;envipe2012/base_de_datos_envipe_2012_dbf.zip;envipe2013/bd_envipe13_dbf.zip	(raiz);envipe2011;envipe2012;envipe2013	4	(raiz);envipe2011;envipe2012;envipe2013
AP5_3_8	EXISTE-NO-SATISFACE	encuci:2020	1	BD_ENCUCI2020_dbf.zip;envipe2011/base_de_datos_envipe_2011_dbf.zip;envipe2012/base_de_datos_envipe_2012_dbf.zip;envipe2013/bd_envipe13_dbf.zip	(raiz);envipe2011;envipe2012;envipe2013	4	(raiz);envipe2011;envipe2012;envipe2013
