# data/cruce-lapop2123-v1_0.tsv -- ACTO MAESTRA38-LOTE-CRUCE, pieza (f) (6/sep/2026).
# Verificacion de las 5 variables de control que el encargo nombra, contra el .dta mismo.
# Medicion: cero. Ningun veredicto de regla.
payload_id_manifiesto	archivo	variable_control	estado	texto_reactivo_verbatim	n_columnas_del_archivo	filas_en_v1_2	nota
mex_2021_lapop_americasbarometer_v1_2_w	MEX_2021_LAPOP_AmericasBarometer_v1.2_w.dta	clien1n	AUSENTE		262	262 (v1_1) / 262 (v1_2, mismas)	Leido DIRECTO del .dta con pyreadstat (metadataonly), no del inventario -- el inventario ya las traia desde v1_1 y la premisa de SELLO-2 §B («0 filas en el inventario») no se reproduce: v1_1 trae 262 filas de 2021 y 585 de 2023, todas con texto (S11-CRUCE-spec-v1_0.md §0.4)
mex_2021_lapop_americasbarometer_v1_2_w	MEX_2021_LAPOP_AmericasBarometer_v1.2_w.dta	clien1na	AUSENTE		262	262 (v1_1) / 262 (v1_2, mismas)	Leido DIRECTO del .dta con pyreadstat (metadataonly), no del inventario -- el inventario ya las traia desde v1_1 y la premisa de SELLO-2 §B («0 filas en el inventario») no se reproduce: v1_1 trae 262 filas de 2021 y 585 de 2023, todas con texto (S11-CRUCE-spec-v1_0.md §0.4)
mex_2021_lapop_americasbarometer_v1_2_w	MEX_2021_LAPOP_AmericasBarometer_v1.2_w.dta	vb2	AUSENTE		262	262 (v1_1) / 262 (v1_2, mismas)	Leido DIRECTO del .dta con pyreadstat (metadataonly), no del inventario -- el inventario ya las traia desde v1_1 y la premisa de SELLO-2 §B («0 filas en el inventario») no se reproduce: v1_1 trae 262 filas de 2021 y 585 de 2023, todas con texto (S11-CRUCE-spec-v1_0.md §0.4)
mex_2021_lapop_americasbarometer_v1_2_w	MEX_2021_LAPOP_AmericasBarometer_v1.2_w.dta	aoj11	PRESENTE	Percepción de inseguridad en el barrio	262	262 (v1_1) / 262 (v1_2, mismas)	Leido DIRECTO del .dta con pyreadstat (metadataonly), no del inventario -- el inventario ya las traia desde v1_1 y la premisa de SELLO-2 §B («0 filas en el inventario») no se reproduce: v1_1 trae 262 filas de 2021 y 585 de 2023, todas con texto (S11-CRUCE-spec-v1_0.md §0.4)
mex_2021_lapop_americasbarometer_v1_2_w	MEX_2021_LAPOP_AmericasBarometer_v1.2_w.dta	aoj12	AUSENTE		262	262 (v1_1) / 262 (v1_2, mismas)	Leido DIRECTO del .dta con pyreadstat (metadataonly), no del inventario -- el inventario ya las traia desde v1_1 y la premisa de SELLO-2 §B («0 filas en el inventario») no se reproduce: v1_1 trae 262 filas de 2021 y 585 de 2023, todas con texto (S11-CRUCE-spec-v1_0.md §0.4)
mex_2021_lapop_americasbarometer_v1_2_w	MEX_2021_LAPOP_AmericasBarometer_v1.2_w.dta	(familia clien*/vb2*/aoj*)	INVENTARIO	aoj11; aojg2n; aojg3n1	262	262 (v1_1) / 262 (v1_2, mismas)	Leido DIRECTO del .dta con pyreadstat (metadataonly), no del inventario -- el inventario ya las traia desde v1_1 y la premisa de SELLO-2 §B («0 filas en el inventario») no se reproduce: v1_1 trae 262 filas de 2021 y 585 de 2023, todas con texto (S11-CRUCE-spec-v1_0.md §0.4)
mex_2023_lapop_americasbarometer_v1_0_w	MEX_2023_LAPOP_AmericasBarometer_v1.0_w.dta	clien1n	AUSENTE		195	585 en 3 payloads .dta+.dta(1)+.sav (v1_1) / 585 (v1_2, mismas)	Leido DIRECTO del .dta con pyreadstat (metadataonly), no del inventario -- el inventario ya las traia desde v1_1 y la premisa de SELLO-2 §B («0 filas en el inventario») no se reproduce: v1_1 trae 262 filas de 2021 y 585 de 2023, todas con texto (S11-CRUCE-spec-v1_0.md §0.4)
mex_2023_lapop_americasbarometer_v1_0_w	MEX_2023_LAPOP_AmericasBarometer_v1.0_w.dta	clien1na	AUSENTE		195	585 en 3 payloads .dta+.dta(1)+.sav (v1_1) / 585 (v1_2, mismas)	Leido DIRECTO del .dta con pyreadstat (metadataonly), no del inventario -- el inventario ya las traia desde v1_1 y la premisa de SELLO-2 §B («0 filas en el inventario») no se reproduce: v1_1 trae 262 filas de 2021 y 585 de 2023, todas con texto (S11-CRUCE-spec-v1_0.md §0.4)
mex_2023_lapop_americasbarometer_v1_0_w	MEX_2023_LAPOP_AmericasBarometer_v1.0_w.dta	vb2	PRESENTE	Registro de votaciones: ultima elección presidencial/general de 2021	195	585 en 3 payloads .dta+.dta(1)+.sav (v1_1) / 585 (v1_2, mismas)	Leido DIRECTO del .dta con pyreadstat (metadataonly), no del inventario -- el inventario ya las traia desde v1_1 y la premisa de SELLO-2 §B («0 filas en el inventario») no se reproduce: v1_1 trae 262 filas de 2021 y 585 de 2023, todas con texto (S11-CRUCE-spec-v1_0.md §0.4)
mex_2023_lapop_americasbarometer_v1_0_w	MEX_2023_LAPOP_AmericasBarometer_v1.0_w.dta	aoj11	PRESENTE	Percepción de seguridad en el vecindario	195	585 en 3 payloads .dta+.dta(1)+.sav (v1_1) / 585 (v1_2, mismas)	Leido DIRECTO del .dta con pyreadstat (metadataonly), no del inventario -- el inventario ya las traia desde v1_1 y la premisa de SELLO-2 §B («0 filas en el inventario») no se reproduce: v1_1 trae 262 filas de 2021 y 585 de 2023, todas con texto (S11-CRUCE-spec-v1_0.md §0.4)
mex_2023_lapop_americasbarometer_v1_0_w	MEX_2023_LAPOP_AmericasBarometer_v1.0_w.dta	aoj12	PRESENTE	Si es víctima de un crimen, la fe en el sistema de justicia	195	585 en 3 payloads .dta+.dta(1)+.sav (v1_1) / 585 (v1_2, mismas)	Leido DIRECTO del .dta con pyreadstat (metadataonly), no del inventario -- el inventario ya las traia desde v1_1 y la premisa de SELLO-2 §B («0 filas en el inventario») no se reproduce: v1_1 trae 262 filas de 2021 y 585 de 2023, todas con texto (S11-CRUCE-spec-v1_0.md §0.4)
mex_2023_lapop_americasbarometer_v1_0_w	MEX_2023_LAPOP_AmericasBarometer_v1.0_w.dta	(familia clien*/vb2*/aoj*)	INVENTARIO	aoj11; aoj12; vb2; vb20; vb21n	195	585 en 3 payloads .dta+.dta(1)+.sav (v1_1) / 585 (v1_2, mismas)	Leido DIRECTO del .dta con pyreadstat (metadataonly), no del inventario -- el inventario ya las traia desde v1_1 y la premisa de SELLO-2 §B («0 filas en el inventario») no se reproduce: v1_1 trae 262 filas de 2021 y 585 de 2023, todas con texto (S11-CRUCE-spec-v1_0.md §0.4)
