alias_fuente	fuente_canonica_normalizada	base_identidad	confianza	accion_fuente	evidencia_ref	justificacion
ENASIC2022_FD_XLSX	ENASIC	ENASIC 2022|enasic2022_fd_xlsx|33c692e05bd7dbafb801a1594a819c7be0e7cf5c25822c66ea458dc9fe9c1370	ALTA	NORMALIZAR_FUENTE	MAIN:data/abrir4-variables-2026-08-08.tsv:L20	Identidad de instrumento documentada; cada objeto de evidencia conserva identidad propia salvo fusión explícita.
ENBIARE2021	ENBIARE	ENBIARE 2021|enbiare2021_fd_pdf|8a79265d8c1f761d9f3043c2d4837a9366679314b97aaebd8d189c6bcbc716a9	ALTA	NORMALIZAR_FUENTE	MAIN:data/abrir4-variables-2026-08-08.tsv:L25	Identidad de instrumento documentada; cada objeto de evidencia conserva identidad propia salvo fusión explícita.
ENFIH2019_FD_XLSX	ENFIH	ENFIH 2019|enfih2019_fd_xlsx|326b68b342797de45a7a4eb3dbf04f3790d11035df2611d7f9153d1ae12a48e1	ALTA	NORMALIZAR_FUENTE	MAIN:data/abrir4-variables-2026-08-08.tsv:L10	Identidad de instrumento documentada; cada objeto de evidencia conserva identidad propia salvo fusión explícita.
ENSAFI2023_BD_CSV_ZIP	ENSAFI	ENSAFI 2023|ensafi2023_bd_csv_zip|c0594079ddf4733d4f574d00f5e84290c62c5330eab0567dd867c26d42fafacd	ALTA	NORMALIZAR_FUENTE	MAIN:data/abrir4-variables-2026-08-08.tsv:L3	Identidad de instrumento documentada; cada objeto de evidencia conserva identidad propia salvo fusión explícita.
SISTEMA_DE_CONSULTA_DE_LA_ESTADISTICA_DE_LAS_ELECCIONES	SICEE	SICEE (INE)|sin_payload|sin_sha256 -- fuente sin payload adquirido al 1/sep/2026	ALTA	NORMALIZAR_FUENTE	MAIN:data/inventarios/inventario_fuentes_clase-fuente-mexico.md:L157	Alta nueva por ACTO MAESTRA34-A1 (1/sep/2026). SICEE = Sistema de Consulta de la Estadistica de las Elecciones, sistema del INE; el inventario ya lo nombraba (seccion 9) pero no tenia fila ni en el registro del curador ni en data/manifiesto.yaml. Se conserva identidad propia (SICEE) y NO se fusiona con la fuente canonica INE (Instituto Nacional Electoral, relaciones.tsv N25/N26): misma institucion, objeto distinto -- no forzado, mismo criterio que la nota de la fila 9 del registro. Localizada por ACTO MAESTRA34-L1 P4 (forense/notas/2026-09-01-MAESTRA34-L1-MORDIDA-SERIE-cierre.md l.164-175 y receta l.183-198).
INSTITUTO_ELECTORAL_DE_COAHUILA	IEC_COAHUILA	IEC Coahuila (OPLE)|iec_coahuila_2023_gubernatura_x_municipio_xlsx|7b74f0a8546a7c267dc3a071e505991348d41202b12f4e68733616fc4dae46d3	ALTA	NORMALIZAR_FUENTE	MAIN:forense/notas/2026-09-02-MAESTRA34-L4-cierre.md	Alta de fuente nueva por ACTO MAESTRA34-L4 P1 (2026-09-02). Decision explicita, como pide GUIA-CURADOR-REGISTRO seccion «alta de fuente nueva en tres tablas» paso 2: NO se fusiona con INE. Son organismos distintos -- el INE organiza la eleccion federal y el marco geografico electoral; el IEC organiza la eleccion LOCAL de Coahuila. Misma materia no es misma fuente, y confundirlas haria pasar por federal un resultado local.
INSTITUTO_ELECTORAL_DEL_ESTADO_DE_MEXICO	IEEM_EDOMEX	IEEM Estado de Mexico (OPLE)|ieem_edomex_2023_gubernatura_x_municipio_xlsx|b9eb096f38ef79cbae66365912619ddb0edc3d8fb5acc6257b9c63b9911cb231	ALTA	NORMALIZAR_FUENTE	MAIN:forense/notas/2026-09-02-MAESTRA34-L4-cierre.md	Alta de fuente nueva por ACTO MAESTRA34-L4 P1 (2026-09-02). NO se fusiona con INE ni con IEC_COAHUILA: es el OPLE del Estado de Mexico, un tercer organismo. Sus tablas ademas no comparten esquema con las del IEC (ID_MUNICIPIO/TOTAL_VOTOS/LISTA_NOMINAL frente a nom_mun/'TOTAL VOTOS'/'Lista Nominal'), asi que fusionarlas romperia el localizador de columna.
GACETA_DEL_GOBIERNO_DEL_ESTADO_DE_MEXICO	GACETA_GOBIERNO_EDOMEX	Gaceta del Gobierno del Edomex, 28/dic/2023|edomex_gaceta_2023_decreto229_convocatoria_pdf|4227c6a8df5bac5f17c59433af82949f3dffe4fdf4e24eb4013cc3cb1ad69e28	ALTA	NORMALIZAR_FUENTE	MAIN:forense/notas/2026-09-02-MAESTRA34-L4-cierre.md	Alta de fuente nueva por ACTO MAESTRA34-L4 P1 (2026-09-02). NO se fusiona con IEEM_EDOMEX: el organo que publica la Gaceta es el Ejecutivo estatal y el decreto es de la Legislatura, no del OPLE. Es fuente NORMATIVA (evidencia de calendario para F232-a), no fuente de resultados, y por eso no gana fila en relaciones.tsv.
INSTITUTO_ESTATAL_ELECTORAL_DE_BAJA_CALIFORNIA	IEEBC_BC	IEEBC Baja California (OPLE)|ieebc_bc_2016_municipes_x_casilla_xlsx|24d4318346e5e5e7a9688579093e5596a89f2dc78d20be61eaf38bc16bb122fc	ALTA	NORMALIZAR_FUENTE	MAIN:forense/notas/2026-09-02-MAESTRA35-L3-P0-censo-rutas.md	Alta de fuente nueva por ACTO MAESTRA35-L3 P1 (2026-09-02). Decision explicita, como pide GUIA-CURADOR-REGISTRO seccion «alta de fuente nueva en tres tablas» paso 2: NO se fusiona con INE ni con IEC_COAHUILA, IEEM_EDOMEX, IEEZ_ZACATECAS ni ningun otro OPLE. Cada OPLE organiza la eleccion LOCAL de SU entidad y publica con SU esquema; el del IEEBC pone la cabecera en la fila 6 y nombra las columnas 'TOTAL VOTOS'/'LISTA NOMINAL', distinto del IEC y del IEEM, asi que fusionarlos romperia el localizador de columna. Misma materia no es misma fuente. RECETA de acceso, que forma parte de la identidad de esta fuente: el host manda una cadena TLS incompleta y hay que anexar el intermedio Go Daddy Secure Certificate Authority - G2 (http://certificates.godaddy.com/repository/gdig2.crt); sin el, curl aborta con error 60 y la fuente parece inalcanzable.
INSTITUTO_ELECTORAL_DEL_ESTADO_DE_ZACATECAS	IEEZ_ZACATECAS	IEEZ Zacatecas (OPLE)|ieez_zacatecas_2016_ayuntamientos_x_municipio_htm|7e62cf37e7f7cbd25b3385527d1f3e3baa3c010ab42c91d7336f3b75248203ef	ALTA	NORMALIZAR_FUENTE	MAIN:forense/notas/2026-09-02-MAESTRA35-L3-P0-censo-rutas.md	Alta de fuente nueva por ACTO MAESTRA35-L3 P1 (2026-09-02). ACTO MAESTRA34-L6 le habia dado fila en la cola del curador pero no en aliases-fuentes.tsv ni en relaciones.tsv; esta alta cierra ese hueco al adquirir la pata 2016. NO se fusiona con ningun otro OPLE ni con el INE, por el mismo criterio de L4. Su esquema es propio: en 2016 publica la tabla por municipio como HTML con cabecera 'Municipio | LN', no como hoja de calculo, y tools/l6_lectores.py ya mantiene un ALIAS_MUNICIPIO especifico para las abreviaturas que el IEEZ alterna entre anios (GRAL -> GENERAL, NOCHISTLAN -> NOCHISTLAN DE MEJIA).
