relacion_id	necesidad_id	fuente_canonica_normalizada	grupo_payload	capa2_actual	capa4_actual	id_manifiesto_anclado_en_relaciones	id_manifiesto_que_provee	representacion_id	sha256_12	wave_initial	veredicto_fisico	registros_indice	registros_excepcion	prohibicion_18_8
REL-6c97fe0c5cb528557054a838	N3	MICROCREDIT_IMPACTS_RANDOMIZED_MICROCREDIT_PROGRAM_PLACEMENT_EXP	G1	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	116334_v1	REP-b79742468b274360e744ce79761603a3b17bf2f51a38af89298d292e2974c657	776d56bf9153	W3	OBSERVADO-CON-EXCEPCION	894	69	INFRINGE-18.8
REL-c9a73bd2a8258784f9f08ea8	N3	MICROCREDIT_IMPACTS_COMPARTAMOS_RCT	G1	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	116334_v1	REP-b79742468b274360e744ce79761603a3b17bf2f51a38af89298d292e2974c657	776d56bf9153	W3	OBSERVADO-CON-EXCEPCION	894	69	INFRINGE-18.8
REL-48285fd8e0a22a38147245ed	N17	CSES	G2	SI	INDEXADO-NO-DESCARGADO	cses5_modulo5_2016_2021_cuestionario	cses5_modulo5_2016_2021_codebook	REP-472eadceb42f627e02b5c8d2da19c586be175499b27762ce78c99c5849833d0a	a012fd2d6836	W3	OBSERVADO-E2	5612	0	INFRINGE-18.8
REL-48285fd8e0a22a38147245ed	N17	CSES	G2	SI	INDEXADO-NO-DESCARGADO	cses5_modulo5_2016_2021_cuestionario	cses5_modulo5_2016_2021_csv	REP-2da6c69e187c94cb40e7ee662e097e9421b9269f507c7d716ad503d21f0dc6ee	4e8bc74a9e62	W3	OBSERVADO-E2	607	0	INFRINGE-18.8
REL-162b116abdb2212886430f08	N25	CSES	G2	SI	INDEXADO-NO-DESCARGADO	cses5_modulo5_2016_2021_cuestionario	cses5_modulo5_2016_2021_codebook	REP-472eadceb42f627e02b5c8d2da19c586be175499b27762ce78c99c5849833d0a	a012fd2d6836	W3	OBSERVADO-E2	5612	0	INFRINGE-18.8
REL-162b116abdb2212886430f08	N25	CSES	G2	SI	INDEXADO-NO-DESCARGADO	cses5_modulo5_2016_2021_cuestionario	cses5_modulo5_2016_2021_csv	REP-2da6c69e187c94cb40e7ee662e097e9421b9269f507c7d716ad503d21f0dc6ee	4e8bc74a9e62	W3	OBSERVADO-E2	607	0	INFRINGE-18.8
REL-c59edf3fce0cc17066bed9ee	N25	COMPARATIVE_STUDY_OF_ELECTORAL_SYSTEMS_MEXICO_2018	G2	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	cses5_modulo5_2016_2021_codebook	REP-472eadceb42f627e02b5c8d2da19c586be175499b27762ce78c99c5849833d0a	a012fd2d6836	W3	OBSERVADO-E2	5612	0	INFRINGE-18.8
REL-c59edf3fce0cc17066bed9ee	N25	COMPARATIVE_STUDY_OF_ELECTORAL_SYSTEMS_MEXICO_2018	G2	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	cses5_modulo5_2016_2021_csv	REP-2da6c69e187c94cb40e7ee662e097e9421b9269f507c7d716ad503d21f0dc6ee	4e8bc74a9e62	W3	OBSERVADO-E2	607	0	INFRINGE-18.8
REL-ee1e829631a8bb7de93bcfd3	N26	CSES	G2	SI	INDEXADO-NO-DESCARGADO	cses5_modulo5_2016_2021_cuestionario	cses5_modulo5_2016_2021_codebook	REP-472eadceb42f627e02b5c8d2da19c586be175499b27762ce78c99c5849833d0a	a012fd2d6836	W3	OBSERVADO-E2	5612	0	INFRINGE-18.8
REL-ee1e829631a8bb7de93bcfd3	N26	CSES	G2	SI	INDEXADO-NO-DESCARGADO	cses5_modulo5_2016_2021_cuestionario	cses5_modulo5_2016_2021_csv	REP-2da6c69e187c94cb40e7ee662e097e9421b9269f507c7d716ad503d21f0dc6ee	4e8bc74a9e62	W3	OBSERVADO-E2	607	0	INFRINGE-18.8
