fila_origen	fuente_canonica	fuente_canonica_normalizada	discordancia_alias	estado_A4A5	prioridad	url_conocida	ids_manifiesto	origen	nota
cola-adquisicion-v1_0.tsv:2	ISSP	ISSP	SIN_ALIAS	OBTENIDO	1	https://www.gesis.org/en/issp/data-and-documentation/social-networks/2017	za6980_q_mx;za6980_backgroundvar_mx;za6980_v2_0_0_dta;za6980_v2_0_0_sav	cola-adquisicion-2026-08-12.tsv:1; cola-aperturas-externas-2026-08-06.tsv:9	ISSP 2017 Social Networks, Mexico N=1002/44492 confirmado. Verificado 2026-08-31 contra manifiesto.yaml (grep za6980).
cola-adquisicion-v1_0.tsv:3	ESTUDIOS_DE_RECHAZOS_Y_CORPUS_PRAGMATICO_DE_FELIX_BRASDEFER	ESTUDIOS_DE_RECHAZOS_Y_CORPUS_PRAGMATICO_DE_FELIX_BRASDEFER	SIN_ALIAS	OBTENIDO	2		adq15_brasdefer_encuentros_de_servicio;adq15_brasdefer_actos_de_habla;adq15_brasdefer_convelic_conversaciones	cola-adquisicion-2026-08-12.tsv:2	3 payloads, 604818 B, ACTO ADQ-15 2026-08-18. EXISTE-NO-SATISFACE analitico (sin archivo de replicacion) pero payload adquirido -- fuera del alcance de esta tabla, ver forense/notas/2026-08-18-adquisicion-material-15-fuentes.md.
cola-adquisicion-v1_0.tsv:4	WVS	WVS	SIN_ALIAS	OBTENIDO	3-ELEVADA-E20P1	https://www.worldvaluessurvey.org/ (landing; archivo exacto no confirmado -- ver nota)	f00013032_wvs_wave_7_mexico_spss_v5_1;f00013084_wvs_wave_7_mexico_stata_v5_1;f00013146_wvs_wave_7_mexico_csv_v5_1;f00013203_wvs_wave_7_mexico_excel_v5_1;f00013259_wvs_wave_7_mexico_exceltxt_v5_0;f00013316_wvs_wave_7_mexico_csvtext_v5_1	cola-adquisicion-2026-08-12.tsv:3	CORRIGE hallazgo BLOQUEA de forense/notas/2026-08-31-revisa-calibracion-maestra33-a1.md (punto 5/10): el negativo anterior ('0 de 489 payload_id') se produjo contra un inventario que no es data/manifiesto.yaml -- ese archivo no tiene campo payload_id (grep -c da 0). A.8 re-corrido 2026-09-01 (ACTO MAESTRA33-A2 · CORRIGE-A1): campo id:/usado_para: de data/manifiesto.yaml, 794 entradas examinadas por grep+parse Python (A.13). Resultado real: 11 entradas WVS (host worldvaluessurvey.org + patron de nombre 'wvs', criterio A.8 de dos lados cumplido), 6 de ellas microdato WVS7 Mexico 2018 en seis formatos (SPSS/Stata/CSV/Excel/ExcelTxt/CsvText, DOID 13032/13084/13146/13203/13259/13316) -- exactamente el instrumento que E20-P1 requeria (bateria V102-V107). Las otras 5 (cuestionario, informe de metodologia, ficha del equipo, diseno muestral, codebook v3.0) documentan el mismo estudio, no se listan en ids_manifiesto por no ser microdato. NUNCA se re-descarga: A.8 correcto evita el re-sondeo de red que el acto anterior si hizo (prohibicion violada, punto 10 del mismo veredicto).
cola-adquisicion-v1_0.tsv:5	EARLY_CHILDHOOD_EDUCATION_PROGRAM_IMPACT_EVALUATION_2012_2014	EARLY_CHILDHOOD_EDUCATION_PROGRAM_IMPACT_EVALUATION_2012_2014	SIN_ALIAS	OBTENIDO	4		mex_2012_2014_ecepie_v01_m_v01_a_puf_sas_spss_ascii;mex_2012_2014_ecepie_v01_m_v01_a_puf_spss;mex_2012_2014_ecepie_v01_m_v01_a_puf_stata12_without_unique_spanish_characters;mex_2012_2014_ecepie_v01_m_v01_a_puf_stata12_with_unique_spanish_characters;mex_2012_2014_ecepie_v01_m_v01_a_puf;wb2661_asq_questionnaires;wb2661_baseline_instrumentos;wb2661_year1_instrumentos;wb2661_endline_instrumentos;wb2661_baseline_report;wb2661_year1_report;wb2661_endline_report	cola-adquisicion-2026-08-12.tsv:4; cola-aperturas-externas-2026-08-06.tsv:15	A.8 re-corrido 2026-09-01 (ACTO MAESTRA33-A2 · CORRIGE-A1): campo id:/usado_para: de data/manifiesto.yaml, 794 entradas examinadas por grep+parse Python (A.13). Resuelve el 'posible duplicado' que esta fila declaraba: ECEPIE_CIDE_WB_2012_2014 (cola-ext-academico-2026-08-06.tsv:5) NO es un duplicado, es el MISMO estudio (Banco Mundial catalogo 2661, usado_para lo nombra 'Early Childhood Education Program Impact Evaluation 2012-2014' verbatim). 5 ids ECEPIE = microdato PUF real (formatos SAS/SPSS/ASCII/Stata12) + descriptor, adquirido 2026-08-13 via navegador; 7 ids wb2661 = documentacion (ASQ questionnaires, instrumentos y reportes de las tres olas Baseline/Year1/Endline), adquirida 2026-08-12 directo de microdata.worldbank.org sin sesion.
cola-adquisicion-v1_0.tsv:6	IMPACT_EVALUATION_OF_MOBILE_PEDAGOGICAL_TUTORS_2016	IMPACT_EVALUATION_OF_MOBILE_PEDAGOGICAL_TUTORS_2016	SIN_ALIAS	OBTENIDO	5		adq15_wb6667_* (24 payloads: documentacion+DDI) + mex_2016_apipie_v01_m_stata (el .zip Stata con los 6 .dta)	cola-adquisicion-2026-08-12.tsv:5	FP-286/ACTO MAESTRA38-N4 (4/sep/2026): ver forense/notas/2026-09-03-MAESTRA37-A2-revision-cola.md §2.1 -- NO-BAJAR-PORQUE. EXIGE-CREDENCIAL confirmado 3ra vez y el objeto no responde N15/G6.deferencia aunque se accediera. || ACTO MAESTRA38-C1 (7/sep/2026), pieza (e): OBTENIDO. MEX_2016_APIPIE_v01_M_Stata.zip (618383 B, sha256 c2dfe2c75d694a808cd99c9ecbf130701173dbebbdf3aa1aa9d5d35dba85f5b1) estaba en descargas_mx desde el 6/sep 01:57 sin registrar; promovido a data/manifiesto.yaml como mex_2016_apipie_v01_m_stata. zipfile.testzip() OK, 6 miembros, todos .dta (bd_padres/bd_alumnos/bd_api/bd_home/bd_lec/bd_obsclase _conafe_021225). RESERVA (forense/notas/2026-09-03-MAESTRA37-A2-revision-cola.md §2.1, verbatim del encargo): «sin reactivo de deferencia ni desenlace laboral; no responde N15/G6 sin cruce por texto». DESVIO DECLARADO: el encargo pedia prefijo de id adq15_wb6667_; tests/manifiesto.py deriva el id mecanicamente del basename (_derivar_id) y tocar ese script esta fuera de perimetro, asi que el id es mex_2016_apipie_v01_m_stata y el vinculo de familia queda en usado_para. A.7 doble descarga NO reproducible: el payload lo bajo el autor a mano tras EXIGE-CREDENCIAL; la verificacion que si se corrio es sha256+tamano contra disco (--verifica COINCIDE) y validacion estructural del zip.
cola-adquisicion-v1_0.tsv:7	GPS	GPS	SIN_ALIAS	OBTENIDO	6	https://gps.econ.uni-bonn.de/downloads	gps_dataset;gps_dataset_country_level;gps_questionnaires;gps_do_files_individual_level;gps_do_files_country_level	cola-adquisicion-2026-08-12.tsv:6	Global Preferences Survey, YA-ADQUIRIDA desde 12-13/ago (P-LOTE-2), confirmado A.8 por ACTO ADQ-15.
cola-adquisicion-v1_0.tsv:8	CSES	CSES	SIN_ALIAS	OBTENIDO	7	https://web.archive.org/web/20150907195322id_/http://www.cses.org/datacenter/module3/data/cses3.zip	cses2_module2_full;cses3_module3_full;cses4_module4_full;cide_cses2015_estatal_preelectoral;cide_cses2015_nacional_preelectoral;cide_cses2015_nacional_poselectoral	ACTO MAESTRA38-A1 (sonda lateral, workflow de agentes)	cses.org/data-download exige cuenta, pero via lateral sin cuenta: Wayback Machine sirve las 3 Full Release originales (raw endpoint id_, cses.org/datacenter murio en vivo pero el snapshot sigue serviendo bytes reales, PK0304 verificado) para Module 2 (Mexico 2003, n=1991), Module 3 (Mexico 2006 y 2009) y Module 4 (Mexico 2012, n=2400) -- confirmado Mexico presente por lectura de codebook_part1_introduction.txt de cada zip. CIDE (datos.cide.edu, DSpace institucional, sin cuenta) sirve ademas el modulo Mexico 2015 completo (estatal y nacional, pre y post electoral) en .sav -- 4 handles, pero 2 de los 4 (10089/17404 y 10089/17403) son byte-identicos (error de etiquetado del propio repositorio CIDE, declarado; solo 3 payloads distintos registrados). Doble descarga hash-verificada (muestra), testzip OK. Descubierto por workflow de 4 agentes en paralelo tras que /acto original dejara esta fila PENDIENTE.
cola-adquisicion-v1_0.tsv:9	MEXICO_ENTERPRISE_SURVEYS_COMPONENTE_PANEL_CANDIDATO_2006_2010	MEXICO_ENTERPRISE_SURVEYS_COMPONENTE_PANEL_CANDIDATO_2006_2010	SIN_ALIAS	OBTENIDO	8		adq15_wb870_* (10 payloads: documentacion+DDI, NO el microdato); wbes_mexico_panel_2006_2010_microdato_dta_zip;wbes_mexico_2006_microdato_dta_zip;wbes_mexico_2010_microdato_dta_zip;wbes_mexico_2006_documentacion_zip;wbes_mexico_2010_documentacion_zip	cola-adquisicion-2026-08-12.tsv:8; cola-aperturas-externas-2026-08-06.tsv:6	WB 870 Enterprise Survey. EXIGE-CREDENCIAL confirmado 2 veces (mismo patron que WB 6667, linea 5): microdato vive en enterprisesurveys.org que redirige a login.enterprisesurveys.org/en/signin. Posible duplicado de WBES_MEXICO_PANEL_2006_2010 (cola-ext-academico-2026-08-06.tsv:2, mismo acronimo y ventana) -- no forzado. || 2026-09-01: mesa abrio enterprisesurveys.org con navegador y bajo el PANEL 2006-2010 completo, que es el objeto exacto de esta fila; registrado con tests/manifiesto.py --registra (una invocacion por --id, A.1) por ACTO MAESTRA34-A1 (2026-09-01). El muro de credencial WB870, confirmado dos veces por agente, se supero por navegador. Microdato verificado con pandas.read_stata: Mexico_2006_2010_Panel.dta = 2960 filas x 477 variables (1480 de 2006 + 1480 de 2010, 420 empresas emparejadas en las dos olas); ademas las dos secciones transversales sueltas (2006: 1480x357; 2010: 1480x293). Esta fila NO tenia receta en el PAQUETE-RECETAS-2026-09-01: mesa la resolvio de paso al ejecutar la receta #1. || 2026-09-08 (ACTO GEN2-UNIVERSO-C): cruzado contra N19 por primera vez -- ver fila ENAFIN (linea 50) y forense/notas/2026-09-08-GEN2-UNIVERSO-C-tandas-enafin.md S1.c. Verificado con pyreadstat: Mexico-2010-full-data-.dta y Mexico-2006--full-data-.dta NO traen k20a1 (outcome de rechazo, solo existe en la ola 2023, fila 10) pero SI traen k17 (motivo de no solicitar) -- el panel 2006-2010 aporta la serie larga de k17, no el desenlace de rechazo en si.
cola-adquisicion-v1_0.tsv:10	WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	SIN_ALIAS	OBTENIDO	9	https://microdata.worldbank.org/catalog/6453	adq15_wb870_* (documentación de la ola 2010, NO de esta ola 2023 -- ver nota); wbes_mexico_2023_microdato_dta_zip;wbes_mexico_panel_2010_2023_microdato_dta_zip;wbes_mexico_2023_ddi_xml;wbes_mexico_2023_ddi_pdf;wbes_mexico_2023_documentacion_zip;wbes_mexico_panel_2010_2023_documentacion_zip	cola-adquisicion-2026-08-12.tsv:9	"Distinta de la de linea 8 (2006-2010 vs 2023) por nombre. ACTO MAESTRA33-A3 (2026-09-01), 4 rutas: (i) https://microdata.worldbank.org/catalog/6453 -- 200, título real ""Mexico - World Bank Enterprise Survey 2023"" confirmado (no soft-404, comparado contra catalog/999999999 real=404); (ii) .../catalog/6453/get-microdata -- 200 pero contiene redirect JS a /auth/login (misma API NADA que WB870/WB6667); (iii) no aplica -- todo formato del microdato vive detrás del mismo login, ningún formato se libera aparte; (iv) enterprisesurveys.org/en/data/exploreeconomies/2023/mexico -- 200 pero su propio JS declara ""MicrodataLink"":""https://login.enterprisesurveys.org/.../signin.html"" -- MISMO muro de credencial que WB870 (línea 6) y WB6667 (línea 9 histórica). NO-ACCESIBLE confirmado por reproducción directa hoy, mismo patrón institucional ya documentado 2x en esta tabla. || 2026-09-01: mesa ejecuto la receta #1 con navegador (cuenta gratuita) y bajo microdato Y documentacion; registrado con tests/manifiesto.py --registra (una invocacion por --id, A.1) por ACTO MAESTRA34-A1 (2026-09-01). Microdato verificado: Mexico-2023-full-data.dta = 1322 filas x 357 variables (una empresa por fila, idstd sin duplicados), coincide exactamente con caseQnty/varQnty del DDI; ademas el panel 2010-2023 (2802x503, 868 empresas emparejadas). El muro de credencial que esta fila declaraba NO-ACCESIBLE se supero por navegador, no por agente. Lote adicional sin fila propia: WBES-OS Mexico 2026 (modulo de seguimiento sobre IA, 603x132, recontacto CATI) registrado como wbes_os_mexico_2026_ai_*. || 2026-09-08 (ACTO GEN2-UNIVERSO-C, forense/notas/2026-09-08-GEN2-UNIVERSO-C-tandas-enafin.md S1.c): cruzado contra N19 (ENAFIN, fila 50) por primera vez con pyreadstat sobre Mexico-2023-full-data.dta (1322x357). k20a1 (outcome de la solicitud mas reciente: -9/-6/1/2/3=rechazada/4; 58 rechazos de 1322) segmentable por a6a/a6b/a6c (tamano de muestreo), stratificationsectorcode, stratificationregioncode. k17 (motivo de NO solicitar) incluye 6='Did not think it would be approved', proxy de autoexclusion, no motivo institucional de rechazo. EXISTE-SATISFACE-PARCIAL: rechazo por segmento si, razon de rechazo (historial crediticio) no -- ENAFIN (fila 50) lo trae mejor y ya esta obtenido. || ACTO GEN2-ADQUISICION-DIRIGIDA-Y-DIN (10/sep/2026): re-verificado fisicamente wbes_mexico_2023_microdato_dta_zip, 1322x357, hash/tamano COINCIDE. La receta FP-314 #2 esta SUPERADA: no descargar otra vez. Para N19, k20a1 permite rechazo por segmento pero no codifica la razon institucional sin historial; EXISTE-SATISFACE-PARCIAL, no bloqueo de acceso."
cola-adquisicion-v1_0.tsv:11	ACLED	ACLED	SIN_ALIAS	OBTENIDO	10		r7_4_r7_5_acled_hdx_demonstration_events	cola-adquisicion-2026-08-12.tsv:10	A.8 re-corrido 2026-09-01 (ACTO MAESTRA33-A2 · CORRIGE-A1): campo id:/usado_para: de data/manifiesto.yaml, 794 entradas examinadas por grep+parse Python (A.13). 1 entrada real (fecha_descarga 2026-08-06, sha256 presente): recurso ACLED gratuito sin registro en HDX (encargo CONF-17/R7.4-R7.5), 104 filas Mexico. LIMITE IMPORTANTE, preservado del hallazgo original: granularidad MES x AÑO (Country,Month,Year,Events) agregada, NO evento individual georreferenciado -- esa granularidad fina vive solo en acleddata.com gateada por registro gratuito, no intentada por este acto (SIN sondear red). Sustitutos ya trabajados (LAOMS/GDELT/Mass Mobilization/UCDP, lineas 11 nota original) siguen vigentes para la granularidad que este recurso no cubre.
