fuente_canonica	tipo	valor
01-	RELACION	REL-c3e1306bb304b019d0a94e4b
02-	RELACION	REL-02e6e4861871631dd29048bd
ACLED	PAYLOAD	r7_4_r7_5_acled_hdx_demonstration_events
ACLED	RELACION	REL-1d6e18e7da44240f81a662bb
ACLED	RELACION	REL-478c989935311d75d50f9738
ACLED	RELACION	REL-5ee19fb43305764ee7b2bde3
AHORRO FINANCIERO Y FINANCIAMI	RELACION	REL-837d54e76ebe85170870493a
BASE_DEL_OBSERVATORIO_DE_CONFLICTOS_POR_EL_AGUA	RELACION	REL-be38af5d3d025cfda97775c1
BASE_DE_EVENTOS_DE_PROTESTA_EN_MEXICO	RELACION	REL-6c15fdac77dea33175ef25c5
BDIF	RELACION	REL-8b8dd24f3edbc5fd0b11d4a4
BIARE	PAYLOAD	enbiare2021_bd_csv_zip
BIARE	PAYLOAD	enbiare2021_fd_pdf
BIARE	RELACION	REL-75de72336ada4a506a3b5476
CANAL_DE_ADQUISICION_REFERIDOS_FINTECH	RELACION	REL-943ed2bde102c6e791588b3b
CCPV	PAYLOAD	cpv2020_caas_descriptor_bd_xlsx
CCPV	PAYLOAD	cpv2020_caas_eum_csv
CCPV	PAYLOAD	cpv2020_ceu_descriptor_bd_xlsx
CCPV	PAYLOAD	cpv2020_ceu_eum_csv
CCPV	PAYLOAD	cpv2020_cuestionario_ampliado_pdf
CCPV	PAYLOAD	cpv2020_diccionario_cuestionario_ampliado_xlsx
CCPV	PAYLOAD	cpv2020_fd_iter_pdf
CCPV	PAYLOAD	cpv2020_iter_nal_csv
CCPV	RELACION	REL-c6870668d94d02dded8c4126
CNGMD	RELACION	REL-e10120bebb9ed07d210a3a86
COMPARATIVE_STUDY_OF_ELECTORAL_SYSTEMS_MEXICO_2018	RELACION	REL-c59edf3fce0cc17066bed9ee
CSES	PAYLOAD	cses5_modulo5_2016_2021_cuestionario
CSES	RELACION	REL-02b8ee6d0e13dfb6dc7d3331
CSES	RELACION	REL-162b116abdb2212886430f08
CSES	RELACION	REL-48285fd8e0a22a38147245ed
CSES	RELACION	REL-c0ffdbcc616f342880df820a
CSES	RELACION	REL-ee1e829631a8bb7de93bcfd3
DENUNCIA_VINCULADA_CON_TENENCIA_DE_SEGURO	RELACION	REL-5b73940bf28cdfa8c4caa7d5
DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE	RELACION	REL-20c9e9445e7c52770b6c3b10
DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE	RELACION	REL-bb570a7a7c72c881de31f75d
EARLY_CHILDHOOD_EDUCATION_PROGRAM_IMPACT_EVALUATION_2012_2014	RELACION	REL-894b3c5025557df7ef942f2a
ELECTORAL_PRECINCT_LEVEL_DATABASE_FOR_MEXICAN_MUNICIPAL_ELECTION	PAYLOAD	zenodo_electoral_precinct_level_mexico_municipal
ELECTORAL_PRECINCT_LEVEL_DATABASE_FOR_MEXICAN_MUNICIPAL_ELECTION	RELACION	REL-374d073941162109bb37265b
ENAFIN	RELACION	REL-d67770c443936b1d84304513
ENASIC	PAYLOAD	enasic2022_fd_xlsx
ENASIC	RELACION	REL-010587549b42b447e0b551cc
ENASIC	RELACION	REL-2d35060cfdd2db498089f7c9
ENASIC	RELACION	REL-4123a71317ee01a55404f43f
ENASIC	RELACION	REL-54217cb006dcd63c00de2f24
ENASIC	RELACION	REL-bd82e13d9685752cad01ec8d
ENASIC	RELACION	REL-fe202a3fa76f0516a6e27f8b
ENBIARE	PAYLOAD	enbiare2021_fd_pdf
ENBIARE	RELACION	REL-4a609c6633a4bafac14a6930
ENBIARE	RELACION	REL-4eb55382fdbfdf5d84b1382f
ENBIARE	RELACION	REL-50587b531135ee1273f3f44e
ENBIARE	RELACION	REL-51392f82de7f4c77d1bb75c1
ENBIARE	RELACION	REL-5741e12ce3e0a0e076ee48fc
ENBIARE	RELACION	REL-a65a1433cd0298e7256aefae
ENBIARE	RELACION	REL-a750d90d3d9e1e19938fa8c4
ENBIARE	RELACION	REL-cb04b20cdd5b0ab6bbf522d9
ENBIARE	RELACION	REL-cc6596882b8f135c946ad0f4
ENBIARE	RELACION	REL-e0984d3ab6601b8a5ba79a30
ENBIARE	RELACION	REL-f07a221600f81a075ee85ac8
ENCIG	PAYLOAD	encig23_base_datos_csv
ENCIG	RELACION	REL-60e9df4e4ea6f51ca6e4ddc0
ENCIG	RELACION	REL-cf8f5979c73cdbe59cfaf5fd
ENCIG	RELACION	REL-ea0dde2ebf4bd96af8e3e139
ENCOAP	PAYLOAD	inegi_encoap_2023_csv
ENCOAP	RELACION	REL-1d4ea097a836307f28dd2f49
ENCOAP	RELACION	REL-2fab7f66a0e6963788542b3a
ENCOAP	RELACION	REL-8da82cf2f91efb7fe1958467
ENCOAP	RELACION	REL-d82eb6cef055001e7587db31
ENCOAP	RELACION	REL-e74ad11dd79c7485c9704116
ENCUCI	PAYLOAD	encuci2020_bd_dbf
ENCUCI	RELACION	REL-d8938c906b2a1f8b99f39802
ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_2019_2024	RELACION	REL-87b4ab08a7e1b65f965ffb88
ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_DE_LA_POBLACION	PAYLOAD	banxico_encuesta_competencias_financieras_2024
ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_DE_LA_POBLACION	RELACION	REL-63835b1a27c62356495d6104
ENCUP	PAYLOAD	encup_2001_cuestionario_pdf
ENCUP	PAYLOAD	encup_2003_cuestionario_pdf
ENCUP	PAYLOAD	encup_2005_cuestionario_pdf
ENCUP	PAYLOAD	encup_2008_cuestionario_pdf
ENCUP	PAYLOAD	encup_2012_base_datos_xlsx
ENCUP	PAYLOAD	encup_2012_cuestionario_pdf
ENCUP	RELACION	REL-de059d547843c8fefa01197a
ENFIH	PAYLOAD	enfih2019_fd_xlsx
ENFIH	RELACION	REL-028de5b919a6739a98cd9289
ENFIH	RELACION	REL-04c3943ecb0df7bacdc3c994
ENFIH	RELACION	REL-16d3c66af7fc856df2130139
ENFIH	RELACION	REL-188d16a18481261d7560a9b7
ENFIH	RELACION	REL-24f384a417a2151e1245fc59
ENFIH	RELACION	REL-2adcd6ed4c07f8e62b647f1d
ENFIH	RELACION	REL-2d58abfc1b418484af3f2f7d
ENFIH	RELACION	REL-36cde7fa0d470608a94ddb1e
ENFIH	RELACION	REL-3b746c49c7c051083df6ee81
ENFIH	RELACION	REL-45672e7d7c5ac7c69edaede4
ENFIH	RELACION	REL-50e6d069fd121a8a7cd64fc5
ENFIH	RELACION	REL-6b52ae9ea4b72a9f27f01260
ENFIH	RELACION	REL-8038d6208aa088aad43a40c9
ENFIH	RELACION	REL-928de62ad3c403adf193bfc4
ENFIH	RELACION	REL-987f01cb468fa0b51b2dffc6
ENFIH	RELACION	REL-a63dce9852d52046595e28f0
ENFIH	RELACION	REL-ba510588463c8ab0539acf46
ENFIH	RELACION	REL-da62a7c3cdb80080258aa148
ENFIH	RELACION	REL-f995dd9800e710f436335657
ENFIH	RELACION	REL-fb6a1baf579c6521a638b093
ENIF	PAYLOAD	enif2024_csv
ENIF	RELACION	REL-00e7bd28c9c0db01fd89a3be
ENIF	RELACION	REL-12f0d41801fa7f161510f61e
ENIF	RELACION	REL-dd07107a27bb1a5682a22176
ENIF	RELACION	REL-f6d34c22618564c885af98e9
ENIF	RELACION	REL-f96e306aefb2bab19baafbcc
ENIGH	PAYLOAD	enigh2012_nc_csv
ENIGH	PAYLOAD	enigh2014_nc_csv
ENIGH	PAYLOAD	enigh2016_nc_csv
ENIGH	PAYLOAD	enigh2018_nc_csv
ENIGH	PAYLOAD	enigh2020_nc_csv
ENIGH	PAYLOAD	enigh2022_nc_csv
