propuesta_id	relacion_id	task_id	input_existe	contrato_existe	reporte_worker_existe	schema_valido	hash_snapshot_valido	hash_baseline_valido	join_reporte_activo_valido	accion_original_preservada	unicidad_propuesta	excepcion_cegamiento_validada	expediente_integrable	modifica_baseline	estado_supervision	errores	razon_terminal
SEMPROP-0e91f90db5fe42e911953784	REL-c3e1306bb304b019d0a94e4b	SEMTSK-344b4adb025b410eca6b7a87	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-cad5493b821afd2b424688ac	REL-02e6e4861871631dd29048bd	SEMTSK-c906685dfd65fa9409b28d20	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-5596be842f97ff4f1df2fa9b	REL-837d54e76ebe85170870493a	SEMTSK-501759ad5c9a99a7cafbff34	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-ccef2f127fac71edc841dac1	REL-be38af5d3d025cfda97775c1	SEMTSK-44673b0933470671d80cb3e6	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-8117c1dfafc2c5bf107128b5	REL-6c15fdac77dea33175ef25c5	SEMTSK-63d38d7f96b33292dccd0aeb	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-0f3e774804b7e397e6b0a11f	REL-8b8dd24f3edbc5fd0b11d4a4	SEMTSK-9b6207c4184c33ba4906af78	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-0a887c710c145fe2f3f096bf	REL-75de72336ada4a506a3b5476	SEMTSK-045f83e3d32334d308d0a814	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-2b87a6d5ac6923a0427d9e6a	REL-c6870668d94d02dded8c4126	SEMTSK-bbaee82dc5bf30de2b57bfc3	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-99959ff3bb1a6c7d8b735bd4	REL-e10120bebb9ed07d210a3a86	SEMTSK-a8fab9db1b7cc9b9d65a663f	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
SEMPROP-49c67671ca21e8f08a6522e0	REL-c59edf3fce0cc17066bed9ee	SEMTSK-f86e4d15afa5b221da8de5ba	SI	SI	SI	SI	SI	SI	NO_APLICA_SIN_JOIN	SI	SI	NO_APLICA	NO	NO	VALIDADA_FAIL_CLOSED_SIN_INTEGRACION	NINGUNO	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO
