particion_id	fuente	familia_logica_id	relaciones	numero_relaciones
PART-411766862310a5dd60167dbc	01-	SIN_ACTIVO_EXACTO:01-	REL-c3e1306bb304b019d0a94e4b	1
PART-97ee71b7e09058e1ecc6c4a5	02-	SIN_ACTIVO_EXACTO:02-	REL-02e6e4861871631dd29048bd	1
PART-9e29869cbfd1a6c434174512	AHORRO FINANCIERO Y FINANCIAMI	SIN_ACTIVO_EXACTO:AHORRO FINANCIERO Y FINANCIAMI	REL-837d54e76ebe85170870493a	1
PART-2bf1be5588a9af8a4cd6eb07	BASE_DEL_OBSERVATORIO_DE_CONFLICTOS_POR_EL_AGUA	SIN_ACTIVO_EXACTO:BASE_DEL_OBSERVATORIO_DE_CONFLICTOS_POR_EL_AGUA	REL-be38af5d3d025cfda97775c1	1
PART-0c25ed99ff3d98d9f5fe390a	BASE_DE_EVENTOS_DE_PROTESTA_EN_MEXICO	SIN_ACTIVO_EXACTO:BASE_DE_EVENTOS_DE_PROTESTA_EN_MEXICO	REL-6c15fdac77dea33175ef25c5	1
PART-d122482e3bdb05ad0654b827	BDIF	SIN_ACTIVO_EXACTO:BDIF	REL-8b8dd24f3edbc5fd0b11d4a4	1
PART-731294f5a87c10fc55628771	BIARE	SIN_ACTIVO_EXACTO:BIARE	REL-75de72336ada4a506a3b5476	1
PART-ee91f2ae632040247fe17020	CCPV	SIN_ACTIVO_EXACTO:CCPV	REL-c6870668d94d02dded8c4126	1
PART-03ed18a56e1366aaff46bceb	CNGMD	SIN_ACTIVO_EXACTO:CNGMD	REL-e10120bebb9ed07d210a3a86	1
PART-0ba7166c879d56eaec84f881	COMPARATIVE_STUDY_OF_ELECTORAL_SYSTEMS_MEXICO_2018	SIN_ACTIVO_EXACTO:COMPARATIVE_STUDY_OF_ELECTORAL_SYSTEMS_MEXICO_2018	REL-c59edf3fce0cc17066bed9ee	1
PART-e19ddc9ff4f24a3a24180b05	CSES	SIN_ACTIVO_EXACTO:CSES	REL-02b8ee6d0e13dfb6dc7d3331;REL-162b116abdb2212886430f08;REL-48285fd8e0a22a38147245ed;REL-c0ffdbcc616f342880df820a;REL-ee1e829631a8bb7de93bcfd3	5
PART-cbadc31b222f9c7f4c75f337	DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE	SIN_ACTIVO_EXACTO:DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE	REL-20c9e9445e7c52770b6c3b10;REL-bb570a7a7c72c881de31f75d	2
PART-04187fc7f99933d544c1836f	EARLY_CHILDHOOD_EDUCATION_PROGRAM_IMPACT_EVALUATION_2012_2014	SIN_ACTIVO_EXACTO:EARLY_CHILDHOOD_EDUCATION_PROGRAM_IMPACT_EVALUATION_2012_2014	REL-894b3c5025557df7ef942f2a	1
PART-3f842c931be8b275389b6fde	ELECTORAL_PRECINCT_LEVEL_DATABASE_FOR_MEXICAN_MUNICIPAL_ELECTION	SIN_ACTIVO_EXACTO:ELECTORAL_PRECINCT_LEVEL_DATABASE_FOR_MEXICAN_MUNICIPAL_ELECTION	REL-374d073941162109bb37265b	1
PART-54c8a3bc7b5d563592adc7a7	ENAFIN	SIN_ACTIVO_EXACTO:ENAFIN	REL-d67770c443936b1d84304513	1
PART-a374a90af5b56f2e13b02f9f	ENBIARE	SIN_ACTIVO_EXACTO:ENBIARE	REL-51392f82de7f4c77d1bb75c1;REL-a750d90d3d9e1e19938fa8c4;REL-cc6596882b8f135c946ad0f4;REL-f07a221600f81a075ee85ac8	4
PART-5fdf5294ae1d3da1a4d35a13	ENCIG	SIN_ACTIVO_EXACTO:ENCIG	REL-60e9df4e4ea6f51ca6e4ddc0;REL-cf8f5979c73cdbe59cfaf5fd;REL-ea0dde2ebf4bd96af8e3e139	3
PART-7258d58a74d330d0779f1ac3	ENCOAP	SIN_ACTIVO_EXACTO:ENCOAP	REL-1d4ea097a836307f28dd2f49;REL-2fab7f66a0e6963788542b3a;REL-8da82cf2f91efb7fe1958467;REL-d82eb6cef055001e7587db31;REL-e74ad11dd79c7485c9704116	5
PART-02430f4e16d80b63e924d874	ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_2019_2024	SIN_ACTIVO_EXACTO:ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_2019_2024	REL-87b4ab08a7e1b65f965ffb88	1
PART-6255a475377d3dfcf5f4e0e0	ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_DE_LA_POBLACION	SIN_ACTIVO_EXACTO:ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_DE_LA_POBLACION	REL-63835b1a27c62356495d6104	1
PART-b696935ecff7166705f9c575	ENCUP	SIN_ACTIVO_EXACTO:ENCUP	REL-de059d547843c8fefa01197a	1
PART-0b9fea2e677ec178ae5d5e99	ENFIH	SIN_ACTIVO_EXACTO:ENFIH	REL-16d3c66af7fc856df2130139;REL-2d58abfc1b418484af3f2f7d;REL-36cde7fa0d470608a94ddb1e;REL-3b746c49c7c051083df6ee81;REL-45672e7d7c5ac7c69edaede4;REL-50e6d069fd121a8a7cd64fc5;REL-6b52ae9ea4b72a9f27f01260;REL-928de62ad3c403adf193bfc4;REL-987f01cb468fa0b51b2dffc6;REL-a63dce9852d52046595e28f0;REL-da62a7c3cdb80080258aa148;REL-fb6a1baf579c6521a638b093	12
PART-c2f3f261df79c63d1847bce3	ENIF	SIN_ACTIVO_EXACTO:ENIF	REL-00e7bd28c9c0db01fd89a3be;REL-12f0d41801fa7f161510f61e;REL-dd07107a27bb1a5682a22176;REL-f6d34c22618564c885af98e9;REL-f96e306aefb2bab19baafbcc	5
PART-b6fada5caa31436cbd7234d1	ENIGH	SIN_ACTIVO_EXACTO:ENIGH	REL-1677b0003626a1bd5bf971cb	1
PART-09a1397640a219447a7a306a	ENNVIH	SIN_ACTIVO_EXACTO:ENNVIH	REL-4773e33ebd7e704a595bbf07	1
PART-7f0056ff03521e5ac3eee0ad	ENOE	SIN_ACTIVO_EXACTO:ENOE	REL-4b4d25bbe2c702aed1884440	1
PART-00a248b37dcde8734dc1c1b0	ENSAFI	SIN_ACTIVO_EXACTO:ENSAFI	REL-01ff8326fdbe3c0a4e299a02;REL-0b6385436015c470992017f1;REL-12b348704acbcdd4b811185b;REL-641a2435b0e68b2049b73d72;REL-7c92eca186a227ee718864e6;REL-89b5a730c80b52245609d460;REL-8f6cc360dac1c16f2ea6c7ea;REL-b8a1bd303f0aac03e3b1bdd7;REL-c065ff3c4b02af2b359a6a40;REL-cf53a5e4bf5bf666390fa543;REL-d7d327e72f466b970d040e81;REL-ed3674d93fbcd45914630569;REL-f586d39d7211922886da9f95	13
PART-4ac46228f2faccd7a9baea0c	ENVIPE	SIN_ACTIVO_EXACTO:ENVIPE	REL-0c03e53054567fc014b50bc0;REL-32afb54be292bc8e3070dfca	2
PART-802cbdf564044d8e7c5f4fe5	EXPERIMENTO_DE_INFORMACION_ELECTORAL_2009	SIN_ACTIVO_EXACTO:EXPERIMENTO_DE_INFORMACION_ELECTORAL_2009	REL-0692b43ca9c2f7bb608a2858	1
PART-69b9d8ecd7d3c2d22860c4a1	FABLE	SIN_ACTIVO_EXACTO:FABLE	REL-6cd9055fa1486b7f8c8c5efa	1
PART-84299e02dd945b3cd9162798	FINANZAS	SIN_ACTIVO_EXACTO:FINANZAS	REL-0b0dac8dd04b5f25133518f8;REL-18976f4767e5da3c5e572877;REL-21e914d37dac786386bf91dc;REL-2fbf749b083e578d4462b842;REL-aaf9d3c2e0d9b3d294df4840	5
PART-cd6b18208cbba82f49e5f5c9	GDELT	SIN_ACTIVO_EXACTO:GDELT	REL-0d9c76a2adedc9b9f59984cc;REL-0fc632a7b102c3b39b2f540c;REL-3d47f2e740a4b56741e9c6e2;REL-9ccac3c7a04b0040d317efb7	4
PART-ad653d2a35ec7c452edbc78d	GLOBAL_PREFERENCES_SURVEY	SIN_ACTIVO_EXACTO:GLOBAL_PREFERENCES_SURVEY	REL-f25c37290ef71e21d1d73760	1
