activo_descubierto_id	fecha	origen	localizador	estado	reserva
ADESC-2fd1571170de3cc808444a6d	2026-08-07	BUSQUEDA_DIRIGIDA_SUPERVISOR_ENBIARE_DISENO	https://en.www.inegi.org.mx/contenidos/productos/prod_serv/contenidos/espanol/bvinegi/productos/nueva_estruc/889463903628.pdf	EVIDENCIA_LOCALIZADA	Documento oficial de diseño localizado después de congelar T0; no se añade al denominador ni se descargó
ADESC-a7f8b2c1914408e032dd6b2c	2026-08-07	BUSQUEDA_DIRIGIDA_SUPERVISOR_ENBIARE_DISENO	https://www.inegi.org.mx/rnm/index.php/catalog/730	EVIDENCIA_LOCALIZADA	Catálogo oficial localizado después de congelar T0; no se añade al denominador
ADESC-007436221258b7bec4c7ddfd	2026-08-12	ADR70_P2_FICHA_RNM_VERIFICADA_PREVIAMENTE	https://www.inegi.org.mx/rnm/index.php/catalog/922	EVIDENCIA_LOCALIZADA	Ficha RNM de ENASIC 2022, ya verificada por WebFetch en el acto que abrió ADR-69/ADR-70 (data/universo-puertas-2026-08-12.tsv); fuente ya en producción propia (celda-D G5.familismo_obligacion.actitud, SELLO-B/CORRIDA-B). Registrada aquí como activo documental del universo T0 (ADR-70(a)/propuesta P2) sin regenerar snapshot-t0.json -- no se añade al denominador.
ADESC-a3d55583950a7c2ad933baef	2026-08-12	ADR70_P2_FICHA_RNM_VERIFICADA_PREVIAMENTE	https://www.inegi.org.mx/rnm/index.php/catalog/647	EVIDENCIA_LOCALIZADA	Ficha RNM de ENCUCI 2020, ya verificada por WebFetch en el acto que abrió ADR-69/ADR-70 (data/universo-puertas-2026-08-12.tsv); fuente ya en producción propia (celda-D G5.radio_confianza.encuci_vs_enbiare). Registrada aquí como activo documental del universo T0 (ADR-70(a)/propuesta P2) sin regenerar snapshot-t0.json -- no se añade al denominador.
ADESC-6744f78c1b8c5c40c65b6e00	2026-09-01	FP190_SFT-04	https://www.inegi.org.mx/contenidos/programas/enasem/2018/microdatos/enasem_2018_fd.xlsx	EVIDENCIA_LOCALIZADA	cola-adquisicion-v1_0.tsv:75 (fp190-1, ENASEM_ABVD_BANAR_DICCIONARIO_DATOS). FP-190 SFT-04: payload FD de ENASEM 2018/2021/2024 ya OBTENIDO desde antes de esta fila (enasem2018_fd_xlsx;enasem2021_fd_xlsx;enasem2024_fd_xlsx en manifiesto.yaml). Falta confirmar que ABVD_BANAR_* pregunta por ayuda recibida, no dificultad -- tarea de lectura del diccionario ya adquirido, no de adquisicion nueva. Ver forense/notas/2026-09-01-mapeo-fp190.md#SFT-04.
ADESC-252f169db18fcaad469a13d0	2026-09-01	FP190_CIV-08	forense/notas/2026-09-01-mapeo-fp190.md#CIV-08	EVIDENCIA_LOCALIZADA	cola-adquisicion-v1_0.tsv:76 (fp190-2, ENVIPE_EXTRACCION_TEXTO_REACTIVO). FP-190 CIV-08: ENVIPE ya esta en el corpus (en_corpus=SI, v1_2:131370-76) pero sus filas de inventario son solo titulos de catalogo -- 0% texto de reactivo real. Requiere extraccion de texto nueva sobre un payload ya OBTENIDO, no una adquisicion. Fuera del perimetro de /adquiere (declarado explicito: no abre ni analiza contenido semantico).
ADESC-6a648170aaf9840055b9eaa0	2026-09-01	FP190_TIC-06	https://www.inegi.org.mx/contenidos/programas/enti/2022/microdatos/enti_2022_fd.pdf	EVIDENCIA_LOCALIZADA	cola-adquisicion-v1_0.tsv:77 (fp190-3, ENTI_DICCIONARIO_DATOS_DBF). FP-190 TIC-06: diccionario de datos de ENTI 2022 (enti2022_fd_pdf) ya OBTENIDO desde antes de esta fila (Encargo B-3, mesa #20). Falta confirmar si P2 captura estacionalidad ('todos los meses') -- lectura del diccionario ya adquirido, no adquisicion nueva. Ver forense/notas/2026-09-01-mapeo-fp190.md#TIC-06.
ADESC-4870e9379d2cf6e8ed1df000	2026-09-01	FP190_DIN-07	forense/notas/2026-09-01-mapeo-fp190.md#DIN-07	EVIDENCIA_LOCALIZADA	cola-adquisicion-v1_0.tsv:78 (fp190-4, BANXICO_ENCUESTA_COMPETENCIAS_FINANCIERAS_EXTRACCION_TEXTO). FP-190 DIN-07: payload ya OBTENIDO (cola-adquisicion-v1_0.tsv:33, ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_2019_2024). Requiere extraccion de texto nueva sobre ese .xlsx (306 filas sin texto_reactivo), no una adquisicion. Fuera del perimetro de /adquiere.
ADESC-d0aacd50b3222cff460d5872	2026-09-01	FP190_DIN-11	forense/notas/2026-09-01-mapeo-fp190.md#DIN-11	NO_LOCALIZADO	cola-adquisicion-v1_0.tsv:79 (fp190-5, DIN-11_CONOCIMIENTO_CUENTAS_SIN_COMISION_SIN_CANDIDATA). FP-190 DIN-11: NO-ENCONTRADO tras 5 formulaciones de busqueda sobre 241591 filas (/mapea, cobertura-15-v1_0.tsv coincide). Hueco real declarado, sin URL ni instrumento candidato que /adquiere pueda perseguir -- no se inventa via de red sin destino.
ADESC-2d97775d02b4aa6d56907f4a	2026-09-01	FP190_SFT-06	forense/notas/2026-09-01-mapeo-fp190.md#SFT-06	NO_LOCALIZADO	cola-adquisicion-v1_0.tsv:80 (fp190-6, SFT-06_ACUERDO_CUIDADO_ENTRE_HERMANOS_SIN_CANDIDATA). FP-190 SFT-06: NO-ENCONTRADO tras 5 formulaciones de busqueda sobre 241591 filas (/mapea, cobertura-15-v1_0.tsv coincide). Hueco real declarado, sin URL ni instrumento candidato -- no se inventa via de red sin destino.
