campo	clase	tipo_valor	por_que_es_exento	patron_pii_que_disparaba	ejemplo_real	efecto_medido_antes
codigo_hex	MAQUINA	hexadecimal de 16 caracteres	Codigo IEEE-754 de la categoria SAV, emitido por el parser. No proviene de ningun dato de informante.	PII_PATTERNS[5] (?<!\d)\d{11,18}(?!\d) -- una racha de 16 digitos	codigo_hex=0000000000000000	132396 de 135262 value labels SAV (97.9%) redactados
crc	MAQUINA	entero de hasta 10 digitos	CRC-32 del miembro ZIP, calculado por zipfile. No es un telefono.	PII_PATTERNS[3] telefono mexicano de 10 digitos	crc=3266880665	71.6% de los metadatos de miembro ZIP redactados, incluida la declaracion zip_slip por miembro
bytes	MAQUINA	entero	Tamano en bytes del miembro, medido por el parser.	PII_PATTERNS[5] en archivos de 11+ digitos	bytes=1404772	arrastrado junto con crc en el mismo campo definicion
comprimidos	MAQUINA	entero	Tamano comprimido del miembro, medido por el parser.	PII_PATTERNS[5] en archivos de 11+ digitos	comprimidos=1398210	idem
formato_impresion	MAQUINA	entero o 0xHEX	Formato de impresion SPSS, leido del encabezado del .sav.	PII_PATTERNS[5]	formato_impresion=0x50802	arrastrado con codigo_hex
formato_escritura	MAQUINA	entero o 0xHEX	Formato de grabacion SPSS, leido del encabezado del .sav.	PII_PATTERNS[5]	formato_escritura=0x50802	idem
filas	MAQUINA	entero	Conteo de filas de la tabla, medido; nunca su contenido.	PII_PATTERNS[5] en tablas de 11+ digitos	filas=1505	potencial
columnas	MAQUINA	entero	Conteo de columnas de la tabla, medido.	PII_PATTERNS[5]	columnas=61	potencial
lineas_texto	MAQUINA	entero	Conteo de lineas de la seccion, medido.	PII_PATTERNS[5]	lineas_texto=68	potencial
VOCABULARIO_ENCABEZADO	REGLA	terminos de encabezado de diccionario	Regla, no campo: una celda de encabezado cuyo termino pertenece al vocabulario declarado del modulo (VARIABLE_ALIASES, LABEL_ALIASES, CATEGORY_ALIASES) se exime de las heuristicas de nombre propio. Son encabezados del INEGI, no personas.	PII_PATTERNS[7] dos palabras capitalizadas	Codigos Validos / Pregunta y categoria / Rango valido	nombres de columna de diccionario redactados en los .xls y .xlsx FD
variables	ESQUEMA	nombre de variable SPSS	Su valor es un IDENTIFICADOR DE ESQUEMA -- el mismo dato que el campo `nombre` ya exime por FORMA. Por eso NO se conserva verbatim como un campo de maquina: se le aplica la exencion por forma, de modo que un valor con forma de codigo (EST_DIS) sobrevive y uno con forma de nombre de persona (RAUL GONZALEZ GARCIA) se redacta igual que en cualquier otro sitio.	PII_PATTERNS[8] nombre en mayusculas -- EST_DIS es EST + guion bajo + DIS, dos tramos de 3+ mayusculas	variables=EST_DIS;categorias=4	168 registros de definicion en 15 expedientes de la generacion v7, medidos uno por uno: los 168 son nombres de variable SPSS y ninguno es dato de persona
