candidato_reconciliacion_id	activos_implicados	declaraciones_implicadas	similitud_observada	razon_candidata	evidencia_pendiente	estado_revision
CREC-8af12d2df16fb590b1ddf8b4	ACT-28eb1ef43ee372887ac2f4ef;ACT-474bdc7090c82d9359c11d9a;ACT-6e22c14ed7d37edc678d0a98;ACT-7dd28af959f17a790724dcbf;ACT-9f1df01bf65a11552da2dad7;ACT-9ff605190a9a8712a1d80916	DEC-0139f0155d6309e59adec923;DEC-15ccd7edcc6c9e9e0de5c9cd;DEC-741b34f709a955ce54471224;DEC-76975fce7ad092f722a79b4a;DEC-865cb6b3fd54ff4e8d9056c7;DEC-b5d2fe894fd96456569079a9	nombre_archivo_exacto:#	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-7215dc16de830958f21e46e8	ACT-003d0e4d06eca1e0b8bd7b2d;ACT-2b700ed5cd821a80f06670a0;ACT-881cf048d170e5169ad361d1;ACT-a1c934a89c25dd018565ac29	DEC-3142bf932b039923fac3aa1d;DEC-51c7a8892a85d3bb5deff030;DEC-7a66f37d045e6a1db13fe58e;DEC-ef4aa7e8296ce99f04598682	nombre_archivo_exacto:#microdatos	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-7dc64aef894206bc5ad53fd4	ACT-2e673936e294334155587999;ACT-8eca9fc0ee3f665baf929c9f;ACT-af49ded0e676caa2ebdac328;ACT-badb632923e1e45e6b99dc2d;ACT-c1e8d9e995946dde6c3fca58	DEC-30da11d3343eda5d58a95429;DEC-8aba3c6fd0492dc0a6ba11d8;DEC-915818706ef0f89841e1f59b;DEC-ac4558fb4bd984f6ee2b7f67;DEC-e9d57ec44c883ddc83abc287	nombre_archivo_exacto:%7b8561f810-0e0f-9b78-f5b0-5600ed6e94e9%7d.pdf	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-9032bf571c4c12e33e8d9863	ACT-25c25419609a12a8f22bce3a;ACT-56f14f1245fe35ec02fd8c85	DEC-2032109b17a22e340086e992;DEC-ca8bbcc6039a8501b7f1b596	nombre_archivo_exacto:00_nacional_1990_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-e1e8fd50a0a32ee6eb652e60	ACT-9b24a386f0171d79e805e2a1;ACT-cbc90145ff9bbe993d25281a	DEC-4be4da3e8860f2d1c05596df;DEC-b889609930145748ed1ee9b5	nombre_archivo_exacto:00_nacional_1990_iter_txt.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-c00f7d9320b88e1bc643662d	ACT-1b1a75d75c09df9a72c950a9;ACT-f05a9ad1254e980b6eb8a897	DEC-c24b4953b97eb09bd8f3ead1;DEC-cb34c282b96b06c2b77035b0	nombre_archivo_exacto:00_nacional_1995_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-b03aaa1967dff32be827fd5d	ACT-569302ed4eef3ca7d67cea8e;ACT-9d3fce54298b46275c873949	DEC-8260dd244b1695545263f22f;DEC-a38c797b1514df847410eb2c	nombre_archivo_exacto:00_nacional_1995_iter_txt.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-11125d17d799637849701bac	ACT-9526d686768f1d31509635a6;ACT-b19b52003d437b9916eda9d5	DEC-21040f985ba81da34ca3b032;DEC-fccc6ea670da7b3f3c68fe6c	nombre_archivo_exacto:00_nacional_2000_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-a071f74cc200fc701a1e673e	ACT-3daf63b9c1b674943c61e725;ACT-82dc5513aedbdb79b0d5970c	DEC-c5be93c8cb452ee9b2839016;DEC-f24a073e659fd3133f87717f	nombre_archivo_exacto:00_nacional_2000_iter_txt.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
CREC-e1bd7241b32a314d0d9c2198	ACT-455bacd4a76042ae230762f5;ACT-cb6100c17dc704447be5cf28	DEC-d4df044253f304e958ee4606;DEC-ffe7dee49e580be266048bab	nombre_archivo_exacto:00_nacional_2005_iter_dbf.zip	Coincidencia nominal sin join estructural suficiente	Hash idéntico verificado, identificador oficial inequívoco o vínculo catálogo-entrega con contenido	PENDIENTE
