declaracion_id	input_id	localizador_declarado	identificador_declarado	activo_id	metodo_reconciliacion	evidencia_reconciliacion	estado_reconciliacion
DEC-0001bd68271c0bfbc18bbe7a	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/envipe/2019/Tabulados/IX_ciudad_de_mexico_2019_est.xlsx	IX_ciudad_de_mexico_2019_est.xlsx	ACT-5dc5bf36da0fc750174766d3	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/envipe/2019/Tabulados/IX_ciudad_de_mexico_2019_est.xlsx	ACTIVO_UNICO
DEC-000366e010a38544eabda16c	INP-89a4a6dc5baa05e3e190	https://www.inegi.org.mx/contenidos/programas/mmsi/2016/microdatos/mmsi2016_bases_sav.zip	mmsi2016_bases_sav.zip	ACT-6030e43cfc3b78f644926be0	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-000388bf7e7a176230c26934	INP-31d8a03b381d2c4acd8f	data_raw:envipe2013/fd_envipe2013.xlsx	envipe_2013_fd_envipe2013	ACT-4b88d0073011e6a9beee797d	HASH_IDENTICO;RUTA_EXACTA	HASH_IDENTICO;RUTA_EXACTA	IDENTIDAD_VERIFICADA
DEC-0005755790f423f840127159	INP-145275dc3636be767f72	https://www.datos.gob.mx/dataset/incidencia_delictiva	incidencia_delictiva	ACT-3f458bbcf72d9d160ae2a158	SIN_RECONCILIACION	https://www.datos.gob.mx/dataset/incidencia_delictiva	ACTIVO_UNICO
DEC-000835efdb6118bf2e0e9fc4	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/meitef/2018/tabulados/ori/MEITEF_476.xlsx	MEITEF_476.xlsx	ACT-b0155f416daedc4eb7462b2f	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/meitef/2018/tabulados/ori/MEITEF_476.xlsx	ACTIVO_UNICO
DEC-000c00290c17c32be585cd6e	INP-63e67742a37186eacc45	https://www.inegi.org.mx/contenidos/programas/mmsi/2016/microdatos/mmsi2016_bases_dta.zip	mmsi2016_bases_dta.zip	ACT-7c741761a61e8c573f1f74b8	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-000f6accd825caf11bde9d5d	INP-89a4a6dc5baa05e3e190	https://www.inegi.org.mx/contenidos/programas/cnspf/2018/microdatos/m2/Ejercicio_func_espec_cnspf2018_dbf.zip	Ejercicio_func_espec_cnspf2018_dbf.zip	ACT-03b30123e2052fbc985e1a28	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-0012e2c49e5ac1fe350bcdf9	INP-63e67742a37186eacc45	https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2019trim1_dta.zip	2019trim1_dta.zip	ACT-549655c51c35ee580cfcb1c3	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-001422a34154702443e53b61	INP-89a4a6dc5baa05e3e190	https://www.inegi.org.mx/contenidos/investigacion/eash/2018/microdatos/enigh2018_trabajos_sav.zip	enigh2018_trabajos_sav.zip	ACT-024dd5027b60f64bbd37547f	URL_EXACTA_SOLO_LOCALIZACION	URL_EXACTA_SOLO_LOCALIZACION	LOCALIZACION_COMPARTIDA_SIN_IDENTIDAD
DEC-0014d0df90e8fc25e899ab7a	INP-eea46caee62d9a5634f9	https://www.inegi.org.mx/contenidos/programas/enafin/2018/tabulados/ENAFIN2018Localidad.xlsx	ENAFIN2018Localidad.xlsx	ACT-672f57e7c67be8c51093efc9	SIN_RECONCILIACION	https://www.inegi.org.mx/contenidos/programas/enafin/2018/tabulados/ENAFIN2018Localidad.xlsx	ACTIVO_UNICO
