activo_id	objeto_logico_id	ruta_local	hash_local	tarea_observacion_id	reporte_inspeccion_ref	resultado_inspeccion	afirmaciones_emitidas	resultado_estructural	frontera_inspeccion	origen_recuperacion
ACT-01efb039dc7cff78079bbfba	OBJ-7ebea1d10dd6f24279d676ed	engasto2013/gasto_mujeres_dta.zip	86202b12ec0211ac13de4f7f04623b422670835b00fe5e3dc1cad0aaa165f06b	TOBS-f34de6a9b0313916e3d04b26	RINS-58540541d789a9a8e8aae58f	INSPECCIONADO_ESTRUCTURALMENTE	3	"{""archivos"":1,""directorios"":0,""extensiones"":{"".dta"":1},""integridad_contenido"":""SIN_ERROR_OBSERVADO"",""metodos_compresion_no_soportados"":[],""miembros_con_campos_extraidos"":0,""miembros_totales"":1,""primer_miembro_corrupto"":""NINGUNO"",""sha256_listado_central"":""7bde4ae24359b834cc1361c81b95549895a144e6868fa5a21e3d6763f84340db"",""tipo"":""ZIP""}"	Se abrió el contenedor completo y se enumeró su directorio central; solo se leyeron encabezados de miembros CSV/TSV/TXT/DBF con compresión soportada, no el contenido completo de los demás miembros.	FALSO_COLAPSO_URL_T0_CORREGIDO
ACT-264c1c9f602e41e536c37ef8	OBJ-0792214f204c32d90f5a05d3	engasto2013/gasto_mujeres_dbf.zip	2d092d36e8a23b3b7a7561f3e0d6648bcedd9265ec398dc5711419e00bd5a379	TOBS-af1a0349432c3fb82d680fc9	RINS-7b087cf193fd216c55c5d0b9	INSPECCIONADO_ESTRUCTURALMENTE	3	"{""archivos"":1,""directorios"":0,""extensiones"":{"".dbf"":1},""integridad_contenido"":""SIN_ERROR_OBSERVADO"",""metodos_compresion_no_soportados"":[],""miembros_con_campos_extraidos"":1,""miembros_totales"":1,""primer_miembro_corrupto"":""NINGUNO"",""sha256_listado_central"":""c09ce2b124882e12d3d55488aee186d8dd25fac29846bd712ff106a045c9d498"",""tipo"":""ZIP""}"	Se abrió el contenedor completo y se enumeró su directorio central; solo se leyeron encabezados de miembros CSV/TSV/TXT/DBF con compresión soportada, no el contenido completo de los demás miembros.	FALSO_COLAPSO_URL_T0_CORREGIDO
ACT-4b01ccd7765dd7347c86596b	OBJ-6d996d662d3ce729e73211a0	engasto2013/gasto_sav.zip	985328b065ee811f224802ad88bf19cc06993bcfcf600d66667f1e3813dc788b	TOBS-8211f6e559484e686782d467	RINS-14818a2e9085ad7aa04b36a5	INSPECCIONADO_ESTRUCTURALMENTE	3	"{""archivos"":1,""directorios"":0,""extensiones"":{"".sav"":1},""integridad_contenido"":""SIN_ERROR_OBSERVADO"",""metodos_compresion_no_soportados"":[],""miembros_con_campos_extraidos"":0,""miembros_totales"":1,""primer_miembro_corrupto"":""NINGUNO"",""sha256_listado_central"":""7bd48187c0d658ff47b1a78bd506cfcaff2285b6147e9ae633ee83705da580e0"",""tipo"":""ZIP""}"	Se abrió el contenedor completo y se enumeró su directorio central; solo se leyeron encabezados de miembros CSV/TSV/TXT/DBF con compresión soportada, no el contenido completo de los demás miembros.	FALSO_COLAPSO_URL_T0_CORREGIDO
ACT-515d7c6ce0a8edece47b25c5	OBJ-73e2b2b8e98b99a36a072564	engasto2013/persona_sav.zip	8e85eab54028831c00f02d8a7841fa887d60e998b6700983d69a2fd99f29491c	TOBS-11e8fec99e46e4f2250e4d70	RINS-3a4fd41d08cf441c7a55bc21	INSPECCIONADO_ESTRUCTURALMENTE	3	"{""archivos"":1,""directorios"":0,""extensiones"":{"".sav"":1},""integridad_contenido"":""SIN_ERROR_OBSERVADO"",""metodos_compresion_no_soportados"":[],""miembros_con_campos_extraidos"":0,""miembros_totales"":1,""primer_miembro_corrupto"":""NINGUNO"",""sha256_listado_central"":""e7208192672000adec9fce8bc775e1311158a956431c97233e077f2aad79f0f7"",""tipo"":""ZIP""}"	Se abrió el contenedor completo y se enumeró su directorio central; solo se leyeron encabezados de miembros CSV/TSV/TXT/DBF con compresión soportada, no el contenido completo de los demás miembros.	FALSO_COLAPSO_URL_T0_CORREGIDO
ACT-5aaf34c705ca2f9e3e43ae79	OBJ-177863a336c4b54e15f95e09	engasto2013/hogar_dbf.zip	d17bb1d64afd08e23ec91b8f745b4d9cfb8ae963339049c522da64db3d6b7bf5	TOBS-5904885cb1e3b2e04dd62896	RINS-7b72af697c564fef04b69cdc	INSPECCIONADO_ESTRUCTURALMENTE	3	"{""archivos"":1,""directorios"":0,""extensiones"":{"".dbf"":1},""integridad_contenido"":""SIN_ERROR_OBSERVADO"",""metodos_compresion_no_soportados"":[],""miembros_con_campos_extraidos"":1,""miembros_totales"":1,""primer_miembro_corrupto"":""NINGUNO"",""sha256_listado_central"":""86aa09c1007dc42e319b8cec3052091949d35985a1279c789aee31ae5f6967ff"",""tipo"":""ZIP""}"	Se abrió el contenedor completo y se enumeró su directorio central; solo se leyeron encabezados de miembros CSV/TSV/TXT/DBF con compresión soportada, no el contenido completo de los demás miembros.	FALSO_COLAPSO_URL_T0_CORREGIDO
ACT-5f392e087751227c46bb94ad	OBJ-8e97193106f57c30149941fe	engasto2013/gasto_de_consumo_ajustado_constante_dta.zip	5e63fcaa909157bfea1b1669ca7631aebed03a96ab0f58d82fd0cfbadb53a181	TOBS-090baeae05dd15c44ead2544	RINS-e9c64339833fae88b685bc29	INSPECCIONADO_ESTRUCTURALMENTE	3	"{""archivos"":1,""directorios"":0,""extensiones"":{"".dta"":1},""integridad_contenido"":""SIN_ERROR_OBSERVADO"",""metodos_compresion_no_soportados"":[],""miembros_con_campos_extraidos"":0,""miembros_totales"":1,""primer_miembro_corrupto"":""NINGUNO"",""sha256_listado_central"":""411e8e8eac47c61b582296c8584944f589d4f87b9647e7354f1f573f364fe69f"",""tipo"":""ZIP""}"	Se abrió el contenedor completo y se enumeró su directorio central; solo se leyeron encabezados de miembros CSV/TSV/TXT/DBF con compresión soportada, no el contenido completo de los demás miembros.	FALSO_COLAPSO_URL_T0_CORREGIDO
ACT-62222e75f2f21a2a5e86fa85	OBJ-7d43d9ebd9c105fb613107d2	engasto2013/gasto_dbf.zip	422ef16e6b80682fa78fec4a464e43dc000af2207a22a2fee04cbcfe4b1f6887	TOBS-d88909250d7f4f8b50dee60d	RINS-4d91834e02904ad1f2e55e22	INSPECCIONADO_ESTRUCTURALMENTE	3	"{""archivos"":1,""directorios"":0,""extensiones"":{"".dbf"":1},""integridad_contenido"":""SIN_ERROR_OBSERVADO"",""metodos_compresion_no_soportados"":[],""miembros_con_campos_extraidos"":1,""miembros_totales"":1,""primer_miembro_corrupto"":""NINGUNO"",""sha256_listado_central"":""c7367c1995fcda1223206692041be51363f05a08875d31778ab00488a37f1e0f"",""tipo"":""ZIP""}"	Se abrió el contenedor completo y se enumeró su directorio central; solo se leyeron encabezados de miembros CSV/TSV/TXT/DBF con compresión soportada, no el contenido completo de los demás miembros.	FALSO_COLAPSO_URL_T0_CORREGIDO
ACT-64d2f18d813cb63f69ecbadf	OBJ-7976f838d267e9d26c288aaa	engasto2013/hogar_sav.zip	e2149c27ef13dddefc74e43e9d624fac1ebeecc7d4efc687af065eed0a937ad0	TOBS-ddabf45aaedbc9aaacf9591a	RINS-e185883ef888919a1373c15c	INSPECCIONADO_ESTRUCTURALMENTE	3	"{""archivos"":1,""directorios"":0,""extensiones"":{"".sav"":1},""integridad_contenido"":""SIN_ERROR_OBSERVADO"",""metodos_compresion_no_soportados"":[],""miembros_con_campos_extraidos"":0,""miembros_totales"":1,""primer_miembro_corrupto"":""NINGUNO"",""sha256_listado_central"":""4763d3b458296c96d044cefa20e749eba09f4e04e1d6b2e121d873f416911413"",""tipo"":""ZIP""}"	Se abrió el contenedor completo y se enumeró su directorio central; solo se leyeron encabezados de miembros CSV/TSV/TXT/DBF con compresión soportada, no el contenido completo de los demás miembros.	FALSO_COLAPSO_URL_T0_CORREGIDO
ACT-74836fd979cd86dcb3d8b0cd	OBJ-1d93d2b952886f1ca47928a1	FD_ENCUCI2020.pdf	6cd6f7475a0b5db27a84cf0e047db5b7ed98f73c3480a9e64ea084bc7d475638	TOBS-c6a3f6f241782175404c71c4	RINS-7f7d7436bd3af921b48b7d5f	INSPECCIONADO_ESTRUCTURALMENTE	3	"{""cifrado"":""yes (print:yes copy:yes change:no addNotes:no algorithm:AES)"",""encabezados_observados"":25,""paginas"":61,""paginas_texto_inspeccionadas"":5,""tipo"":""PDF"",""titulo"":""Encuesta Nacional de Cultura Cívica 2020. ENCUCI. Estructura de la base de datos""}"	Se abrió el PDF, se leyó metadato de 61 páginas y texto de páginas 1-5; páginas posteriores y elementos no textuales no se inspeccionaron semánticamente.	FALSO_COLAPSO_URL_T0_CORREGIDO
ACT-753b27d7a3e95011933c2c95	OBJ-3a6a6cff3b099e8dd94bf9f4	engasto2013/gasto_de_consumo_ajustado_sav.zip	c75ed5c6eaf96366ba6884e112886653a6f46853f0fcbf42e638bee9bccf15a4	TOBS-b506155219a93a81cbbc4f62	RINS-4dbe969a8d6aea508c13a22c	INSPECCIONADO_ESTRUCTURALMENTE	3	"{""archivos"":1,""directorios"":0,""extensiones"":{"".sav"":1},""integridad_contenido"":""SIN_ERROR_OBSERVADO"",""metodos_compresion_no_soportados"":[],""miembros_con_campos_extraidos"":0,""miembros_totales"":1,""primer_miembro_corrupto"":""NINGUNO"",""sha256_listado_central"":""43ab5eeee9454537be5ab8beef4ba6910a9e4595a040ec9cce80c960a47286ee"",""tipo"":""ZIP""}"	Se abrió el contenedor completo y se enumeró su directorio central; solo se leyeron encabezados de miembros CSV/TSV/TXT/DBF con compresión soportada, no el contenido completo de los demás miembros.	FALSO_COLAPSO_URL_T0_CORREGIDO
