reporte_id	record_id	record_sha256	batch_id	batch_sha256	payload_id	representacion_id	sha256	objeto_logico_id	grado_inspeccion	afirmacion_tipo	objeto_tipo	localizador	descripcion_neutral	frontera_inspeccion	estado	privacidad	fecha
RPTC-B2-001a2886f301dcdc901c5e1281f291d54749000a0d253e47aff18005a6c2df8b	E2R-d6ce3e4795b3808408803f125564784a9dd6c55e310c2a94a32843eb8cb83685	2517aaf4d9b5929dc973410cf880a79f494cebe02ce59fbacfa1057659a8601c	E2B-0097aeb43b68110105f400e5b7627cfb9f8e45001ba6bf157593329de17afa90	0097aeb43b68110105f400e5b7627cfb9f8e45001ba6bf157593329de17afa90	NO-APLICA	REP-9890cb4e54dd1c97b5c8ca2671c24522824d46f738bdc513ef4eccf8775f0441	56ca8b51849f6d9357b0a4658cbfb87bb182c3c7bee0ac61610ea59a97971bf0	OBJ-B2-ce3a87798ef3d97ad4d8f670ee3985da25aee68d047454f16b41d9cea0312c07	E2	RESUMEN-NEUTRAL-COMPACTO	[REDACTADO-PRIVACIDAD]	zip!/miembro=2:leeme.txt	[REDACTADO-PRIVACIDAD]	contenedor y miembros completos; anidados hasta profundidad 4	E2-COMPLETO	[REDACTADO-PRIVACIDAD]	2026-08-17
RPTC-B2-0040eaa3e4966b941d8ca7cc1bf20c1108d6ae186f3f5e48f848360f72044f6f	E2R-6c55168fbe8c8e0e8aaf75fd476c72ba00b9be33c5cde24f7ca311fd0854513f	3440ec71bf77c7bbc1ce59cb4f8c1dcb0ce42597a34f18381d29f6b0ab1c4c50	E2B-e8213f1ad4b33ffffa2d071ebb0f4281d681c45b6a9075ef978681ef5a0cf598	e8213f1ad4b33ffffa2d071ebb0f4281d681c45b6a9075ef978681ef5a0cf598	envipe_2016_fd_envipe2016	REP-80a626a6971995bbd51c380f409bdea72265beaca4b88f1f383006ddc0aa7728	e21428e021a61718f6e5836ab903da8422cd461646c94201f038c5a9adb1a462	OBJ-B2-a3120a23d5266072960db7924b5402eec7349c11d3c0cbd5085174606f422092	E2	RESUMEN-NEUTRAL-COMPACTO	[REDACTADO-PRIVACIDAD]	contenido=raiz	[REDACTADO-PRIVACIDAD]; objetos=1; muestra=E2R-6c55168fbe8c8e0e8aaf75fd476c72ba00b9be33c5cde24f7ca311fd0854513f	apertura detenida en parser de formato: PermissionError	EXCEPCION-ESPECIFICA	[REDACTADO-PRIVACIDAD]	2026-08-17
RPTC-B2-004e388b4db8e8499dec08d5ed39e6eda5ccea0ec1495b126165f81d3ae2a89c	E2R-85475056e3a0bac7ceb68a4703bb3710476642595d737c588c2bf72f967c9149	7863b13efd12fa1273f172af9d083fd3ce5cb12d3c2360509e8bae9ec5890049	E2B-b191d83cc8a2d814d0cb30f2425c1aae52dcbcdabb5c40e905e8ebcb9da451f3	b191d83cc8a2d814d0cb30f2425c1aae52dcbcdabb5c40e905e8ebcb9da451f3	mociba_2016_mociba2016_bd_dbf	REP-4227277c9ac3241ef274b6dd2f684e2315249fb18cdd27768b8389513edca67a	29941a375e0f23c1bec26c6e82c6e8cac4a4421055cc7dfee6d23874ede2dfa8	OBJ-B2-eee6d1505a1383beaade10cc88d1a0eef2cc036aa0b4e3166a0ae9d01ecd8e22	E2	RESUMEN-NEUTRAL-COMPACTO	FORMATO-NO-SOPORTADO	zip!/miembro=1:MOD_2016_CIBERACOSO.DBF!/contenido	[REDACTADO-PRIVACIDAD]	contenedor y miembros completos; anidados hasta profundidad 4	EXCEPCION-ESPECIFICA	DEPURADO	2026-08-17
RPTC-B2-005506e990bedae843f9ef14f17741a32b5d37447fe97708094e363ac889c8e5	E2R-0865c2cda5540760ac696c6abb7d9db8d2fd42c5604abf0f9378ec76e9c973a2	39ad8c2a325930bf0ceeffbf78239906f2872183d083e797aca38f8b9bc7d7ee	E2B-a78ebbd4408558d5f9596f8daaee3cbcb1a1bcdc561e75a9fb5ccac84ba45ac2	a78ebbd4408558d5f9596f8daaee3cbcb1a1bcdc561e75a9fb5ccac84ba45ac2	encig_2023_encig23_base_datos_dbf	REP-47bf41123c25d09379b304dae5cb8cee347be1a4a1362810dcffc5e1f77c489a	8512fc49f4cbac12e18d44c4d7d0d063214bbd3d01ff1b24cca4df7bf7285737	OBJ-B2-caf0b31d0df2121c940d52e37e2166281b40896a9fb12ff0bf27c8ca9d1a2f5e	E2	RESUMEN-NEUTRAL-COMPACTO	[REDACTADO-PRIVACIDAD]	zip!/miembro=5:encig2023_04_sec_7.dbf	[REDACTADO-PRIVACIDAD]; objetos=1; muestra=E2R-0865c2cda5540760ac696c6abb7d9db8d2fd42c5604abf0f9378ec76e9c973a2	contenedor y miembros completos; anidados hasta profundidad 4	E2-COMPLETO	DEPURADO	2026-08-17
RPTC-B2-007952aa134b99b4f0dd0a71f798895105d6f80b9f8a3c844d4114c35b7e8005	E2R-d1a30b246202e6e5b5b15eef1b1d32d99096cf680c9b94e9b4395d3e72c5cff1	bf6875494847b692e59c045c087d9cca06520a3628b635d9467bde6a319728f5	E2B-f7bd821526d4acd1c9e44810215485c3f37ae84ec1853d80a40d9e346ec8495b	f7bd821526d4acd1c9e44810215485c3f37ae84ec1853d80a40d9e346ec8495b	encig2015_csv	REP-7caef6fdb5ecd75e5a8c2334c4b89408ba508bf5556af471c94616a610c9c885	656b258288ab67a378af3ea358bb2b8325251247e30cf82123d851c726203a0e	OBJ-B2-fff5a9a58705960b8ef4b0b5e1c5339ba4db913cda94935400a0f05408575938	E2	RESUMEN-NEUTRAL-COMPACTO	TABLA	zip!/miembro=258:02_residentes_sec_2_encig2015/catalogos/c_act.csv#/contenido-tabla	TABLA; objetos=258; muestra=E2R-d1a30b246202e6e5b5b15eef1b1d32d99096cf680c9b94e9b4395d3e72c5cff1	contenedor y miembros completos; anidados hasta profundidad 4	E2-COMPLETO	[REDACTADO-PRIVACIDAD]	2026-08-17
RPTC-B2-0089bb229ab8967656484c29df4494241a68bfabe32c645fd83150ab53b3903d	E2R-81e00911832e106e7d2eb5128a3fe332a753a5162288c9c980fc6bda6ab2df7c	048c77451e06cee3b298491ef804bf19ed1df3f807204cd8418afdeddfd29980	E2B-51daa57ecb3ba9c4782985564d42cd0a08e3c047bb12b26c9aebc342350a57ca	51daa57ecb3ba9c4782985564d42cd0a08e3c047bb12b26c9aebc342350a57ca	za6980_v2_0_0_dta	REP-35dbe73dee4089ea575a15a639ce6e44597f286ceffc1d6cb5350674d529f482	aa3bfcbcc1dc20a2735e8e9d2d3d47a72d909dade66e8c4623b910965dc227de	OBJ-B2-cbafe6bda2524d5aacb9709a48616627ba8f0cc7029181445c5119fc02952140	E2	RESUMEN-NEUTRAL-COMPACTO	[REDACTADO-PRIVACIDAD]	zip!/miembro=1:ZA6980_v2-0-0.dta!/contenido/tabla=stata#variable=71:nombre_sha256=6307197d6949cfbf282e1c8bd2e44904aaab5ca445663fccc900288ea10ab800	[REDACTADO-PRIVACIDAD]; objetos=177; muestra=E2R-81e00911832e106e7d2eb5128a3fe332a753a5162288c9c980fc6bda6ab2df7c	contenedor y miembros completos; anidados hasta profundidad 4	E2-COMPLETO	DEPURADO	2026-08-17
RPTC-B2-00ae636a8b65b755273265bedc14711c2bd23ace955a6a9ab43f0c06cd0fad16	E2R-8cc96f4e0077b0221993372eeb2a55becd1eeff7e93c0b4a1b88bb3995e9d9c8	7fc4bb39159c7b84912768ccfce418f70d05076e1e3de4f1b64f295d0eea388a	E2B-fe2e2ee867619782a1878c4eab1333dfe6da3aa0798e2f2a2859db6b934c1e00	fe2e2ee867619782a1878c4eab1333dfe6da3aa0798e2f2a2859db6b934c1e00	banxico_sie_cf884_operaciones	REP-b07d4961ff7b13c1bb1dcdd3989708369739b0b758f27886bf1d0c87ce79fdb6	5bd31243e63fad1cb680728f1a3cfbddba6196506aa0f7779adbc6c8aaa5a5de	OBJ-B2-bdc7deb202adc25ff891918c7d694bc3bd8e7f6eaa77ab6f359c45ab2258ab28	E2	RESUMEN-NEUTRAL-COMPACTO	H1	html#nodo=5/html/head/meta/meta/meta/meta/meta/noscript/link/link/link/link/body/form/link/header/div/div/div/div/div/h1	[REDACTADO-PRIVACIDAD]	documento completo; enlaces no seguidos y scripts no ejecutados	E2-COMPLETO	[REDACTADO-PRIVACIDAD]	2026-08-17
RPTC-B2-00bc2ca01ab2b4870acab0126091758c02f74e770729a56cadb71b252c75305a	E2R-464aab3bcebffc4f62a7dd8a8649caa0615e43844a09285204f1c3515c80fcbd	7c0182d7f63d28ad27a30bcfa07fd1627a24cd9d4922f2b60d081e6fa8d03b46	E2B-74b0a7c43d65b6d2c20843899b7bf7324b07913d41632bbe00680fb092108e00	74b0a7c43d65b6d2c20843899b7bf7324b07913d41632bbe00680fb092108e00	cpv2020_iter_nal_csv	REP-0e54053ae059310d236820279aefc08921a6ba306b0291014eafd6157a64ce24	ff39bb1d1b6e6adcc6204622535d213d4cd04902bc6ab6e8345f244a6d5f85d6	OBJ-B2-9f6d9ab7d773a7dc7d072cbff4f57d6b6cf07d84bb0dc9d3b8976ed17d76e47a	E2	RESUMEN-NEUTRAL-COMPACTO	COLUMNA	zip!/miembro=1:ITER_NALCSV20.csv#/contenido-tabla#columna=261	COLUMNA; objetos=286; muestra=E2R-464aab3bcebffc4f62a7dd8a8649caa0615e43844a09285204f1c3515c80fcbd	contenedor y miembros completos; anidados hasta profundidad 4	E2-COMPLETO	DEPURADO	2026-08-17
RPTC-B2-00bedd1458533722c51fcab90c4515297ce7bd13b1ab5bbc78cf06ccd47c9ff3	E2R-f7263d4e575f6bbae7507700e1b71f4d40ad00c3413db6fc3628662a6dbb9771	eedb407bea92ffba2782fdf24509a74d082c4f54d35535562c47b48df488e6c8	E2B-f450c0be9511ec4e2dcc873e53454c82d7e1593b53b592a8113f114329a0520d	f450c0be9511ec4e2dcc873e53454c82d7e1593b53b592a8113f114329a0520d	eder_2017_eder2017_bases_csv	REP-dbde79cb682c213d02ef0489c99cd6b3e21c5d48a4d49c9ee3f252e8d6cc79f5	bcc7eb90c2d016976fd8ba24528ce614bf4db0c29a1e3e0cf674bdfb024de0e3	OBJ-B2-156e6b1fefcc2f967108789b8ced9d417be3eb43ff093eed32c84fcc11659c3a	E2	RESUMEN-NEUTRAL-COMPACTO	COLUMNA	zip!/miembro=4:historiavida.csv#/contenido-tabla#columna=186	COLUMNA; objetos=432; muestra=E2R-f7263d4e575f6bbae7507700e1b71f4d40ad00c3413db6fc3628662a6dbb9771	contenedor y miembros completos; anidados hasta profundidad 4	E2-COMPLETO	DEPURADO	2026-08-17
RPTC-B2-00d1c81662b1be5a3170794752789be272474b7d8cf82127f21eed3a67fd8b35	E2R-5f03dc63cbb97e7b6f1c28384eccacfc564fc101e069bfccdbe9fac4ca11becc	4e3a0b62561721af401da24e87e35de98f771a41dc79d9d5b3c191f523e564d8	E2B-90e6b706f26ff17e6a676b91efdab42b86d07f721d57cd59869d475359f6b8d2	90e6b706f26ff17e6a676b91efdab42b86d07f721d57cd59869d475359f6b8d2	ennvih2_2005_ponderador_longitudinal	REP-fd3e422b4396e07e4b04e582e4371a857cfb412b08f4c19a18f7222c747118e6	6567bcbf3386b04b3d77c0ac0eb564d5be752b0090bb9caa31ccb1e077a745bf	OBJ-B2-7ef72c102fed145d1f9e80eae1cf096bf763c55422ee04a871a52b24dde47511	E2	RESUMEN-NEUTRAL-COMPACTO	[REDACTADO-PRIVACIDAD]	zip!/miembro=4:ehh05lw_all/ehh05_lw_b3b.dta!/contenido/tabla=stata#variable=2:nombre_sha256=c7b68ac37f364473e922936708e7f43c293dd07b295171566c07ff5fe024fab9	[REDACTADO-PRIVACIDAD]; objetos=40; muestra=E2R-5f03dc63cbb97e7b6f1c28384eccacfc564fc101e069bfccdbe9fac4ca11becc	contenedor y miembros completos; anidados hasta profundidad 4	E2-COMPLETO	[REDACTADO-PRIVACIDAD]	2026-08-17
