variable	variable_etiqueta	comparado_con	veredicto	alcance_del_veredicto	reactivo	texto_literal	opciones_y_codigos	filtro_y_flujo	unidad	poblacion_base	fuente	secciones_fd_recorridas	componentes_no_estimables	texto_buscado	limite_fd	nota
folioviv	Identificador de la vivienda	2022	MISMO-INSTRUMENTO	Llave, ambas tablas (concentradohogar, poblacion)	folioviv	Identificador de la vivienda compuesto por dos dígitos con la clave de la entidad federativa, uno con el ámbito, cuatro dígitos del número consecutivo de la UPM, un dígito de la decena de levantamiento y dos dígitos con un número consecutivo para la vivienda seleccionada.	Tipo C(10); construida a partir del folio registrado en la portada de los cuestionarios.	Llave primaria de vivienda; sin filtro.	llave-texto	Todas las viviendas de la muestra	enigh2024_descripcion_base_pdf sha256/16=1b0c698594da41bf pdf-pág 215 (concentradohogar #1); enigh2022_descripcion_base_pdf sha256/16=7b0c4e6bd36ceb9e (CALC-ENIGH2022-PERFIL-ESTRUCTURAL-0003/spec.md §3)	Tabla CONCENTRADOHOGAR y Tabla POBLACION del diccionario 2024 (pp. 33, 215, 23-24)				Definición y construcción idénticas carácter por carácter entre 2022 y 2024.
foliohog	Identificador del hogar	2022	MISMO-INSTRUMENTO	Llave, ambas tablas	foliohog	El código 1 identifica al hogar principal y del 2 al 5 los hogares adicionales.	Tipo C(1); rango {1..5}.	Llave secundaria de hogar; sin filtro.	llave-texto	Todos los hogares de la muestra	enigh2024_descripcion_base_pdf sha256/16=1b0c698594da41bf pdf-pág 215 (concentradohogar #2)	Tabla CONCENTRADOHOGAR (p. 215)				Idéntica a 2022.
parentesco	Parentesco con el jefe del hogar	2022	MISMO-INSTRUMENTO	Regla de pertenencia al hogar (prefijo 1/2/3/5/6) que usa CALC-ENIGH{2016,2018,2020,2022}-PERFIL-ESTRUCTURAL	parentesco	«Contar a las personas de la tabla Poblacion donde parentesco inicie con 1, 2, 3, 5 o 6» (construcción de hombres/mujeres/mayores/menores/p12_64/p65mas, todas iguales en su regla de pertenencia).	Tipo C(3) en tabla Poblacion; prefijo 1/2/3/5/6 = integrante oficial del hogar (4=trabajador doméstico y familia, 7=huésped y familia quedan fuera, igual que en 2022).	Sin filtro, aplica a toda fila de Poblacion.	persona	Toda fila de la tabla Poblacion	enigh2024_descripcion_base_pdf sha256/16=1b0c698594da41bf pdf-pág 219 (construcción de hombres/mujeres/mayores/menores, cita el prefijo cuatro veces)	Tabla POBLACION (pp. 23-24, 217-219)				La regla textual del prefijo 1/2/3/5/6 es literal, idéntica a la que CALC-ENIGH2022-PERFIL-ESTRUCTURAL-0003/spec.md §3 documenta para 2022 (misma fuente: guía oficial de integrantes del hogar).
edad	Edad	2022	MISMO-INSTRUMENTO	tramo_edad (18-29/30-44/45-59/60-96) construido por este acto, no nativo de INEGI en ninguna ola	edad	Edad cumplida de la persona.	Tipo N(3), entera.	Sin filtro; universo operativo de este acto 18-96 (ver p3_no_abrir_columna en spec de cada CALC).	persona	Toda fila de la tabla Poblacion	enigh2024_descripcion_base_pdf sha256/16=1b0c698594da41bf pdf-pág 23-24 (Tabla POBLACION, ítem 6)	Tabla POBLACION (pp. 23-24)				Los cuatro tramos son un corte operativo propio de este acto (no de INEGI), aplicado igual en las dos olas; ver CALC-ENIGH2016-PERFIL-ESTRUCTURAL-0001/spec.md §1.
segsoc	Contribución a la seguridad social	2022	MISMO-INSTRUMENTO	Único componente de PERFIL-ESTRUCTURAL	segsoc	«¿Alguna vez ha contribuido o cotizado para alguna institución de seguridad social?» Aplica a personas de 12 o más años, Sección VI (Apartado 6.2).	1=Sí, 2=No.	Sin filtro adicional dentro del universo 12+.	persona	Personas de 12 o más años	enigh2024_descripcion_base_pdf sha256/16=1b0c698594da41bf pdf-pág 91 (Poblacion #47, con texto de pregunta y catálogo)	Tabla POBLACION (p. 91)				Pregunta textual y catálogo 1/2 idénticos a la cita de 2022 («contribución alguna vez a una institución de seguridad social»); no se abrió el cuestionario de 2022 para comparar palabra por palabra, pero el descriptor de ambas olas usa el mismo enunciado y catálogo.
tam_loc	Tamaño de localidad	2022	MISMO-INSTRUMENTO	Único componente de PERFIL-ESTRUCTURAL y de REMESAS-CONTEXTO	tam_loc	«Tamaño de la localidad por número de habitantes.» Construcción: «Es igual a la variable tam_loc de la tabla Viviendas.»	1=100 000 y más; 2=15 000 a 99 999; 3=2 500 a 14 999; 4=Menos de 2 500 — cuatro categorías, mismas etiquetas.	Variable de diseño, sin filtro de aplicación.	hogar	Todos los hogares (heredada de vivienda)	enigh2024_descripcion_base_pdf sha256/16=1b0c698594da41bf pdf-pág 215 (concentradohogar #4, con catálogo completo)	Tabla CONCENTRADOHOGAR (p. 215)				Catálogo de 4 valores y etiquetas idénticas carácter por carácter a CALC-ENIGH2022-PERFIL-ESTRUCTURAL-0003/medidor.py::CATEGORIAS['tam_loc'].
est_socio	Estrato socioeconómico	2022	MISMO-INSTRUMENTO	Único componente de PERFIL-ESTRUCTURAL y de REMESAS-CONTEXTO	est_socio	«Clasificación de las viviendas del país de acuerdo a ciertas características socioeconómicas... 34 indicadores construidos con información del Censo de Población y Vivienda 2010.» Construcción: «Es igual a la variable est_socio de la tabla Viviendas.»	1=Bajo; 2=Medio bajo; 3=Medio alto; 4=Alto.	Variable de diseño, sin filtro de aplicación.	hogar	Todos los hogares (heredada de vivienda)	enigh2024_descripcion_base_pdf sha256/16=1b0c698594da41bf pdf-pág 216 (concentradohogar #5, con catálogo completo)	Tabla CONCENTRADOHOGAR (p. 216)				Mismo censo base (2010) y mismo método multivariado declarados en 2024 que en 2022: la estratificación NO se recalculó entre olas -- es la misma variable de diseño, no una remedición.
est_dis	Estrato de diseño muestral	2022	MISMO-INSTRUMENTO	Variable de diseño, bootstrap de todos los CALC de este acto	est_dis	«Son los estratos seleccionados en la segunda etapa del muestreo... grupos de UPM de acuerdo con su estrato geográfico (entidad-ámbito-zona).» Construcción: «Es igual a la variable est_dis de la tabla Viviendas.»	Tipo C(3), texto opaco (no se decodifica).	Variable de diseño, sin filtro de aplicación.	hogar	Todos los hogares (heredada de vivienda)	enigh2024_descripcion_base_pdf sha256/16=1b0c698594da41bf pdf-pág 216 (concentradohogar #6)	Tabla CONCENTRADOHOGAR (p. 216)				Definición idéntica a 2022; ver [[feedback_estrato_y_upm_son_llaves_opacas]] -- la llave opaca no se decodifica en ninguna ola.
upm	Unidad primaria de muestreo	2022	MISMO-INSTRUMENTO	Variable de diseño, bootstrap de todos los CALC de este acto	upm	«Las unidades primarias de muestreo están constituidas por agrupaciones de viviendas... seleccionadas en la primera etapa del muestreo.» Construcción: «Es igual a la variable upm de la tabla Viviendas.»	Tipo C(7), texto opaco.	Variable de diseño, sin filtro de aplicación.	hogar	Todos los hogares (heredada de vivienda)	enigh2024_descripcion_base_pdf sha256/16=1b0c698594da41bf pdf-pág 216 (concentradohogar #7)	Tabla CONCENTRADOHOGAR (p. 216)				Definición idéntica a 2022.
factor	Factor de expansión	2022	CAMBIO-MENOR	Ponderador de hogar (todos los CALC); ponderador de persona en PERFIL-ESTRUCTURAL	factor	«Factor de expansión.» Construcción: «Es igual a la variable factor de la tabla Viviendas.»	Tipo N(5).	Variable de diseño, sin filtro de aplicación.	hogar (persona por join, ver nota)	Todos los hogares (heredada de vivienda)	enigh2024_descripcion_base_pdf sha256/16=1b0c698594da41bf pdf-pág 216 (concentradohogar #8) y pp. 23-24 (Tabla POBLACION: factor NO aparece en su lista de ítems propia, igual que en 2016/2018/2020)	Tabla CONCENTRADOHOGAR (p. 216); Tabla POBLACION (pp. 23-24, sin factor propio)				CAMBIO-MENOR declarado, no en la definición sino en la UBICACIÓN: como en 2016/2018/2020 (y a diferencia de 2022, que sí copia factor/est_dis/upm dentro de poblacion.csv), la Tabla POBLACION de 2024 NO trae estas tres columnas en su propio listado de ítems (verificado: el rango de ítems de Poblacion en el diccionario 2024 termina antes de que aparezcan est_dis/upm/factor, que pertenecen a la tabla anterior). Si el futuro acto que abra ENIGH2024 reutiliza el medidor de este acto (join por folioviv+foliohog contra concentradohogar, ya verificado equivalente en 2022), no necesita ajuste; si reutilizara el medidor original de 2022 (que asume columnas nativas en poblacion), fallaría. Se declara para el sucesor, no se abre microdato para confirmarlo.
