periodo,sector,clase,canal_accion,conteo,n_unidades_atencion,participacion_dentro_periodo_canal_pct,unidad,nota
2024,bursátil,casas de bolsa,asesorias,319,30,0.0247123414,acciones administrativas registradas,distribución dentro del mismo canal; los canales pueden superponerse y no se suman como casos únicos
2024,bursátil,casas de bolsa,reclamaciones_ajp,0,30,0,acciones administrativas registradas,distribución dentro del mismo canal; los canales pueden superponerse y no se suman como casos únicos
2024,bursátil,casas de bolsa,reclamaciones_co,30,30,0.1062210105,acciones administrativas registradas,distribución dentro del mismo canal; los canales pueden superponerse y no se suman como casos únicos
2024,bursátil,casas de bolsa,reclamaciones_dlg,0,30,0,acciones administrativas registradas,distribución dentro del mismo canal; los canales pueden superponerse y no se suman como casos únicos
2024,bursátil,casas de bolsa,reclamaciones_dt,10,30,0.109301563,acciones administrativas registradas,distribución dentro del mismo canal; los canales pueden superponerse y no se suman como casos únicos
2024,bursátil,casas de bolsa,reclamaciones_ge,98,30,0.0582757513,acciones administrativas registradas,distribución dentro del mismo canal; los canales pueden superponerse y no se suman como casos únicos
2024,bursátil,casas de bolsa,reclamaciones_go,1,30,0.4405286344,acciones administrativas registradas,distribución dentro del mismo canal; los canales pueden superponerse y no se suman como casos únicos
2024,bursátil,casas de bolsa,reclamaciones_redeco,0,30,0,acciones administrativas registradas,distribución dentro del mismo canal; los canales pueden superponerse y no se suman como casos únicos
2024,bursátil,casas de bolsa,reclamaciones_sdlg,5,30,0.2167316862,acciones administrativas registradas,distribución dentro del mismo canal; los canales pueden superponerse y no se suman como casos únicos
2024,bursátil,fondos de inversión,asesorias,74,15,0.0057326435,acciones administrativas registradas,distribución dentro del mismo canal; los canales pueden superponerse y no se suman como casos únicos
2024,bursátil,fondos de inversión,reclamaciones_ajp,0,15,0,acciones administrativas registradas,distribución dentro del mismo canal; los canales pueden superponerse y no se suman como casos únicos
2024,bursátil,fondos de inversión,reclamaciones_co,0,15,0,acciones administrativas registradas,distribución dentro del mismo canal; los canales pueden superponerse y no se suman como casos únicos
2024,bursátil,fondos de inversión,reclamaciones_dlg,0,15,0,acciones administrativas registradas,distribución dentro del mismo canal; los canales pueden superponerse y no se suman como casos únicos
2024,bursátil,fondos de inversión,reclamaciones_dt,0,15,0,acciones administrativas registradas,distribución dentro del mismo canal; los canales pueden superponerse y no se suman como casos únicos
2024,bursátil,fondos de inversión,reclamaciones_ge,3,15,0.0017839516,acciones administrativas registradas,distribución dentro del mismo canal; los canales pueden superponerse y no se suman como casos únicos
2024,bursátil,fondos de inversión,reclamaciones_go,1,15,0.4405286344,acciones administrativas registradas,distribución dentro del mismo canal; los canales pueden superponerse y no se suman como casos únicos
