id_manifiesto,archivo,sha256,tamano_bytes,filas_datos,columnas_cabecera,ancho_minimo,ancho_maximo,filas_ancho_distinto,encoding,categoria,periodo_o_corte,unidad_observada,columnas,limite_interpretacion
a6_condusef_anuario_actividades_condusef_acciones_defensa__02_acciones,A6_CONDUSEF_DATOS_ABIERTOS/anuario_actividades_condusef_acciones_defensa__02_acciones_defensa_2024.csv,ed697e5201fe3419741ae1752d56896d596a5345c49cd5a973206b098997b943,73821,690,13,13,13,0,utf-8-sig,acciones_defensa,2024,acciones de atención/defensa,periodo|delegacion|sector|clase|asesorias|reclamaciones_go|reclamaciones_ge|reclamaciones_redeco|reclamaciones_co|reclamaciones_dt|reclamaciones_sdlg|reclamaciones_dlg|reclamaciones_ajp,Los canales pueden ser etapas superpuestas; no se suman como expedientes únicos.
a6_condusef_anuario_actividades_condusef_acciones_defensa__acciones_de,A6_CONDUSEF_DATOS_ABIERTOS/anuario_actividades_condusef_acciones_defensa__acciones_defensa_2025.csv,f2724e54a0e4dfc76d493b55bc2234f26e4ea2619e27d40302b3b53012740314,62645,695,14,14,14,0,utf-8-sig,acciones_defensa,2025,acciones de atención/defensa,periodo|unidad_atencion|sector|clase|asesorias|reclamaciones_go|reclamaciones_ge|reclamaciones_redeco|reclamaciones_co|reclamaciones_dt|reclamaciones_sdlg|reclamaciones_dlg|reclamaciones_ajp|reclamaciones_cm,Los canales pueden ser etapas superpuestas; no se suman como expedientes únicos.
a6_condusef_anuario_actividades_condusef_indice_reclamaciones__03_indi,A6_CONDUSEF_DATOS_ABIERTOS/anuario_actividades_condusef_indice_reclamaciones__03_indice_reclamacion_buro_entidades_financieras.csv,6a343fe05463fba4ed188258a6066deca051c4e2af795e741140353bfb93bf86,33567,327,5,5,5,0,utf-8-sig,indice_reclamacion,2024,índice publicado por institución,periodo|sector|clase|instituciones|indice_reclamacion,El CSV no documenta el denominador del índice; se inventaría una tasa si se reconstruyera.
a6_condusef_anuario_actividades_condusef_indice_reclamaciones__indice_,A6_CONDUSEF_DATOS_ABIERTOS/anuario_actividades_condusef_indice_reclamaciones__indice_reclamacion_buro_entidades_financieras.csv,7f9230abf74c241b1a1d3b699ad67dd39a9d0a938b947673fe23a819867316e1,8064,77,5,5,5,0,utf-8-sig,indice_reclamacion,2025,índice publicado por institución,periodo|sector|clase|instituciones|indice_reclamacion,El CSV no documenta el denominador del índice; se inventaría una tasa si se reconstruyera.
a6_condusef_anuario_actividades_condusef_instituciones_mas_reclamadas_,A6_CONDUSEF_DATOS_ABIERTOS/anuario_actividades_condusef_instituciones_mas_reclamadas__04_instituciones_mas_reclamadas.csv,02372aa6e5868426c2cd91ff67c1a3ee971281afd829d3cc450f2fa6e47ffb9f,82881,766,7,7,7,0,utf-8-sig,instituciones_mas_reclamadas,2024,reclamaciones por institución y sistema,periodo|sector|clase|instituciones|reclamaciones_condusef|reclamaciones_reune|total_reclamaciones,Conteos administrativos; no hay denominador de clientes ni causa de reclamación.
a6_condusef_01_anuario_actividades_condusef_institucion,A6_CONDUSEF_DATOS_ABIERTOS/anuario_actividades_condusef_instituciones_mas_reclamadas__instituciones_mas_reclamadas_buro_entidades_financieras.csv,f6a75e655286757da6a218f77d127c392c98fc968fae540f0d6eb3a1091f7a0b,8044,80,7,7,7,0,utf-8-sig,instituciones_mas_reclamadas,2025,reclamaciones por institución y sistema,periodo|sector|clase|instituciones|reclamaciones_condusef|reclamaciones_reune|total_reclamaciones,Conteos administrativos; no hay denominador de clientes ni causa de reclamación.
a6_condusef_anuario_actividades_condusef_sanciones__05_sanciones_firme,A6_CONDUSEF_DATOS_ABIERTOS/anuario_actividades_condusef_sanciones__05_sanciones_firmes.csv,49f6d221fa317e91b7a07246c30b617b03fa15f3acdc2350d6cdf372079b5458,457,10,3,3,3,0,utf-8-sig,sanciones,NO_INCLUIDO_EN_CSV,sanciones por clase,clase|numero_multas|monto_multa,Sanción firme no equivale a reclamación ni a hecho judicial individual.
a6_condusef_anuario_actividades_condusef_sanciones__sanciones_firmes_,A6_CONDUSEF_DATOS_ABIERTOS/anuario_actividades_condusef_sanciones__sanciones_firmes.csv,9466b80df8715e45940f6c4915470f6af583b7c4fbbd601e387bfa68d68e8784,499,11,3,3,3,0,utf-8-sig,sanciones,NO_INCLUIDO_EN_CSV,sanciones por clase,clase|numero_multas|monto_multa,Sanción firme no equivale a reclamación ni a hecho judicial individual.
a6_condusef_anuario_estadistico_actividades_condusef_herramientas_web_,A6_CONDUSEF_DATOS_ABIERTOS/anuario_estadistico_actividades_condusef_herramientas_web__01_accesos_publico_herramientas_web.csv,fa9694b467a39da79e9e20336b69cd2af9280814824bb79b0dc6610ede002f60,964,18,3,3,3,0,utf-8-sig,herramientas_web,2024,accesos a herramientas,periodo|herramientas_informacion|numero_accesos,"Accesos web, no personas ni reclamaciones."
a6_condusef_02_anuario_estadistico_actividades_condusef,A6_CONDUSEF_DATOS_ABIERTOS/anuario_estadistico_actividades_condusef_herramientas_web__accesos_al_publico_herramientas_web.csv,f7aac4a95d1f4a39c88979ced685fc3e750a5b88217979e3c2a96eb2e0839925,973,18,3,3,3,0,utf-8-sig,herramientas_web,2025,accesos a herramientas,periodo|herramientas_informacion|numero_accesos,"Accesos web, no personas ni reclamaciones."
