id	raiz	archivo	familia	bytes_declarados	bytes_reales	C-EXISTE	C-HASH	C-ESTRUCTURA	miembro_corrupto	mtime_real
encig23_base_datos_csv	data_raw	encig23_base_datos_csv.zip	zip	38309647	38309647	EXISTE	COINCIDE	INTEGRO		2026-07-30T03:06:54-06:00
encig23_estructura_base_datos_pdf	data_raw	encig23_estructura_base_datos.pdf	pdf	3100802	3100802	EXISTE	COINCIDE	INTEGRO		2026-07-31T10:53:58-06:00
encig2015_csv	data_raw	encig2015_csv.zip	zip	13152080	13152080	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:11:37-06:00
encig2017_csv	data_raw	encig2017_csv.zip	zip	35027186	35027186	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:12:06-06:00
encig2019_csv	data_raw	encig2019_csv.zip	zip	32632044	32632044	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:12:28-06:00
encig2021_csv	data_raw	encig2021_csv.zip	zip	27752363	27752363	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:12:47-06:00
encig2023_datosabiertos_csv	data_raw	encig2023_datosabiertos_csv.zip	zip	26171769	26171769	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:13:00-06:00
enif2018_csv	data_raw	enif2018_csv.zip	zip	4450312	4450312	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:14:32-06:00
enif2021_csv	data_raw	enif2021_csv.zip	zip	2511357	2511357	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:14:33-06:00
enif2024_csv	data_raw	enif2024_csv.zip	zip	3086077	3086077	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:14:34-06:00
envipe2018_csv	data_raw	envipe2018_csv.zip	zip	24337809	24337809	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:15:28-06:00
envipe2019_csv	data_raw	envipe2019_csv.zip	zip	19146940	19146940	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:15:40-06:00
envipe2020_csv	data_raw	envipe2020_csv.zip	zip	20253728	20253728	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:15:53-06:00
envipe2021_csv	data_raw	envipe2021_csv.zip	zip	22334244	22334244	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:16:02-06:00
envipe2022_csv	data_raw	envipe2022_csv.zip	zip	18858955	18858955	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:16:14-06:00
envipe2023_csv	data_raw	envipe2023_csv.zip	zip	17728995	17728995	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:16:26-06:00
envipe2024_csv	data_raw	envipe2024_csv.zip	zip	17837779	17837779	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:16:39-06:00
envipe2025_csv	data_raw	envipe2025_csv.zip	zip	17600019	17600019	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:16:53-06:00
enigh2012_nc_csv	data_raw	enigh2012_nc_csv.zip	zip	25396190	25396190	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:17:45-06:00
enigh2014_nc_csv	data_raw	enigh2014_nc_csv.zip	zip	39555490	39555490	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:18:14-06:00
enigh2016_nc_csv	data_raw	enigh2016_nc_csv.zip	zip	40991826	40991826	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:18:40-06:00
enigh2018_nc_csv	data_raw	enigh2018_nc_csv.zip	zip	43339807	43339807	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:19:14-06:00
enigh2020_nc_csv	data_raw	enigh2020_nc_csv.zip	zip	93711908	93711908	EXISTE	COINCIDE	INTEGRO		2026-07-30T04:20:43-06:00
