payload_id	sha256_12	instrumento	ola	archivo_miembro	variable_id	texto_reactivo	metodo	universo_declarado
ADQ15_CNBV_AhorroFinanciero_Financiamiento/Diccionario_DGEE.xlsx	651e0d17f27e	ADQ15_CNBV_AhorroFinanciero_Financiamiento	NO_DETERMINADO	Financiamiento	1.1.1.1.Consumo	Se refiere a los créditos directos, incluyendo los de liquidez que no cuenten con garantía de inmuebles, denominados en moneda nacional, extranjera, en UDIs (unidades de inversión), o en VSM (veces salario mínimo), así como los intereses que generen, otorgados a personas físicas, derivados de operaciones de tarjeta de crédito, de créditos personales, de créditos para la adquisición de bienes de consumo duradero (conocidos como ABCD), que contempla entre otros al crédito automotriz y las operaciones de arrendamiento financiero que sean celebradas con personas físicas; incluyendo aquellos créditos otorgados para tales efectos a los exempleados de las Instituciones.	INSPECT_FD_XLSX	PRESENTE_EN_DATA_RAW
ADQ15_CNBV_AhorroFinanciero_Financiamiento/Diccionario_DGEE.xlsx	651e0d17f27e	ADQ15_CNBV_AhorroFinanciero_Financiamiento	NO_DETERMINADO	Financiamiento	1.1.1.2.Vivienda	Se refiere a los créditos directos denominados en moneda nacional, extranjera, en UDIs (unidades de inversión), o en VSM (veces salario mínimo), así como los intereses que generen, otorgados a personas físicas y destinados a la adquisición, construcción, remodelación o mejoramiento de la vivienda sin propósito de especulación comercial; incluyendo aquellos créditos de liquidez garantizados por la vivienda del acreditado y los otorgados para tales efectos a los exempleados de las Instituciones.	INSPECT_FD_XLSX	PRESENTE_EN_DATA_RAW
ADQ15_CNBV_AhorroFinanciero_Financiamiento/Diccionario_DGEE.xlsx	651e0d17f27e	ADQ15_CNBV_AhorroFinanciero_Financiamiento	NO_DETERMINADO	Financiamiento	1.1.1.3.Comercial	Se refiere a los créditos directos o contingentes, incluyendo créditos puente denominados en moneda nacional, extranjera, en UDIs (unidades de inversión), o en VSM (veces salario mínimo), así como los intereses que generen, otorgados a personas morales o personas físicas con actividad empresarial.	INSPECT_FD_XLSX	PRESENTE_EN_DATA_RAW
ADQ15_CNBV_AhorroFinanciero_Financiamiento/Diccionario_DGEE.xlsx	651e0d17f27e	ADQ15_CNBV_AhorroFinanciero_Financiamiento	NO_DETERMINADO	Financiamiento	1.1.1.Cartera_Banca_Múltiple_Sector_Privado	Suma de los créditos al consumo, vivienda y comercial otorgados por la banca múltiple.	INSPECT_FD_XLSX	PRESENTE_EN_DATA_RAW
ADQ15_CNBV_AhorroFinanciero_Financiamiento/Diccionario_DGEE.xlsx	651e0d17f27e	ADQ15_CNBV_AhorroFinanciero_Financiamiento	NO_DETERMINADO	Financiamiento	1.1.2.1.Gobierno_Federal_(GF)	Se refiere a los créditos otorgados al Gobierno Federal.	INSPECT_FD_XLSX	PRESENTE_EN_DATA_RAW
ADQ15_CNBV_AhorroFinanciero_Financiamiento/Diccionario_DGEE.xlsx	651e0d17f27e	ADQ15_CNBV_AhorroFinanciero_Financiamiento	NO_DETERMINADO	Financiamiento	1.1.2.2.Estados_y_Municipios_(EyM)	Se refiere a los créditos concedidos a Entidades Federativas y Municipios.	INSPECT_FD_XLSX	PRESENTE_EN_DATA_RAW
ADQ15_CNBV_AhorroFinanciero_Financiamiento/Diccionario_DGEE.xlsx	651e0d17f27e	ADQ15_CNBV_AhorroFinanciero_Financiamiento	NO_DETERMINADO	Financiamiento	1.1.2.3.Organismos_descentralizados_y_desconcentrados_sin_garantía_de_GF_o_EyM	Se refiere a los créditos otorgados a organismos descentralizados y desconcentrados sin garantía del Gobierno Federal o Estados y Municipios. Derivado de la Reforma Financiera de 2013, Pemex y CFE cambiaron su régimen administrativo de Organismos descentralizados a empresas productivas del estado (publicado en el DOF el 20 de diciembre de 2013). Sin embargo, para dar continuidad al rubro 1.1.2.3, los créditos dados a ambas empresas se siguieron contabilizando.	INSPECT_FD_XLSX	PRESENTE_EN_DATA_RAW
ADQ15_CNBV_AhorroFinanciero_Financiamiento/Diccionario_DGEE.xlsx	651e0d17f27e	ADQ15_CNBV_AhorroFinanciero_Financiamiento	NO_DETERMINADO	Financiamiento	1.1.2.Cartera_Banca_Múltiple_Sector_Público	Suma de los créditos otorgados al Gobierno Federal, Estados, Municipios y Organismos descentralizados y desconcentrados (incluye a las empresas productivas del estado) por la banca múltiple.	INSPECT_FD_XLSX	PRESENTE_EN_DATA_RAW
ADQ15_CNBV_AhorroFinanciero_Financiamiento/Diccionario_DGEE.xlsx	651e0d17f27e	ADQ15_CNBV_AhorroFinanciero_Financiamiento	NO_DETERMINADO	Financiamiento	1.1.Cartera_Banca_Múltiple	Suma de la cartera de la banca múltiple otorgada al sector privado y al sector público. Esta información se presenta consolidada con la información de sus Sofomes reguladas subsidiarias.	INSPECT_FD_XLSX	PRESENTE_EN_DATA_RAW
ADQ15_CNBV_AhorroFinanciero_Financiamiento/Diccionario_DGEE.xlsx	651e0d17f27e	ADQ15_CNBV_AhorroFinanciero_Financiamiento	NO_DETERMINADO	Financiamiento	1.10.1.1_Consumo	Se refiere a los créditos directos, incluyendo los de liquidez que no cuenten con garantía de inmuebles, denominados en moneda nacional o en UDIs, así como los intereses que generen, otorgados a sus socios, derivados de operaciones de tarjeta de crédito, de créditos personales, de nómina (distintos a los otorgados mediante tarjeta de crédito), de créditos para la adquisición de bienes de consumo duradero (conocidos como ABCD), que contempla entre otros al crédito automotriz y las operaciones de arrendamiento capitalizable otorgados a socios cuyo destino sea distinto al comercial.	INSPECT_FD_XLSX	PRESENTE_EN_DATA_RAW
ADQ15_CNBV_AhorroFinanciero_Financiamiento/Diccionario_DGEE.xlsx	651e0d17f27e	ADQ15_CNBV_AhorroFinanciero_Financiamiento	NO_DETERMINADO	Financiamiento	1.10.1.2_Vivienda	Se refiere a los créditos directos denominados en moneda nacional o en unidades de inversión (UDIs), así como los intereses que generen, otorgados a socios y destinados a la adquisición, construcción, remodelación o mejoramiento de la vivienda sin propósito de especulación comercial; incluyendo aquellos créditos de liquidez garantizados por la vivienda del socio.	INSPECT_FD_XLSX	PRESENTE_EN_DATA_RAW
ADQ15_CNBV_AhorroFinanciero_Financiamiento/Diccionario_DGEE.xlsx	651e0d17f27e	ADQ15_CNBV_AhorroFinanciero_Financiamiento	NO_DETERMINADO	Financiamiento	1.10.1.3_Comercial	Se refiere a los créditos directos o contingentes, denominados en moneda nacional o en UDIs, los microcréditos, así como los intereses que generen, otorgados a sus socios que sean personas físicas con actividad empresarial.	INSPECT_FD_XLSX	PRESENTE_EN_DATA_RAW
ADQ15_CNBV_AhorroFinanciero_Financiamiento/Diccionario_DGEE.xlsx	651e0d17f27e	ADQ15_CNBV_AhorroFinanciero_Financiamiento	NO_DETERMINADO	Financiamiento	1.10.1_Cartera_Socaps	Suma de la cartera de las Sociedades cooperativas de ahorro y préstamo (Socaps) destinada al consumo, a la vivienda y a empresas del sector privado.	INSPECT_FD_XLSX	PRESENTE_EN_DATA_RAW
ADQ15_CNBV_AhorroFinanciero_Financiamiento/Diccionario_DGEE.xlsx	651e0d17f27e	ADQ15_CNBV_AhorroFinanciero_Financiamiento	NO_DETERMINADO	Financiamiento	1.10.2.1_Consumo	Se refiere los créditos directos, incluyendo los de liquidez que no cuenten con garantía de inmuebles, denominados en moneda nacional o en unidades de inversión, así como los intereses que generen, otorgados a personas físicas, derivados de operaciones de créditos personales y de créditos para la adquisición de bienes de consumo duradero, incluyendo aquellos créditos otorgados para tales efectos a los exempleados de las Entidades.	INSPECT_FD_XLSX	PRESENTE_EN_DATA_RAW
ADQ15_CNBV_AhorroFinanciero_Financiamiento/Diccionario_DGEE.xlsx	651e0d17f27e	ADQ15_CNBV_AhorroFinanciero_Financiamiento	NO_DETERMINADO	Financiamiento	1.10.2.2_Vivienda	Se refiere los créditos directos denominados en moneda nacional o en unidades de inversión, así como los intereses que generen, otorgados a personas físicas y destinados a la adquisición, construcción, remodelación o mejoramiento de la vivienda sin propósito de especulación comercial; incluyendo aquellos créditos de liquidez garantizados por la vivienda del acreditado, y los otorgados para tales efectos a los exempleados de las Entidades.	INSPECT_FD_XLSX	PRESENTE_EN_DATA_RAW
