# data/l3-ensanut2024-catalogos-v1_0.tsv -- ACTO MAESTRA37-L3, P0(b), COMMIT-1.
# Censo de los catalogos de valores de ENSANUT 2024 en la raiz descargas_mx
# (data/raices.local.yaml). Se lee TODO el catalogo: no se eligen terminos.
# Fuente: los .Catlogo.xlsx de INEGI, hojas "Variables" (etiqueta de variable)
# y "Valores" (codigo -> etiqueta de respuesta). Extraido con openpyxl 3.1.5.
# adultos entra SOLO por catalogo: adultos_ensanut2024_w.stata.stata.zip esta
# AUSENTE-EN-RAIZ (verificado al arrancar el acto, 3/sep/2026).
# utilizadores utilizadores_ensanut2024_w.Catlogo.xlsx       variables=122 filas_valor=398 variables_sin_catalogo=81
# hogar        hogar_ensanut2024_w_ICB.Catlogo.xlsx          variables=204 filas_valor=550 variables_sin_catalogo=68
# integrantes  integrantes_ensanut2024_w_ICB.Catlogo.xlsx    variables=261 filas_valor=2353 variables_sin_catalogo=65
# adultos      adultos_ensanut2024_w.Catlogo.xlsx            variables=843 filas_valor=3332 variables_sin_catalogo=244
# menores      menores_ensanut2024_w.Catlogo.xlsx            variables=484 filas_valor=1546 variables_sin_catalogo=153
modulo	variable_id	etiqueta_variable	codigo	etiqueta_valor
utilizadores	nota1	Concentimiento para realizar la entrevista	1	¿Acepta usted? ,,,, Sí
utilizadores	nota1	Concentimiento para realizar la entrevista	2	¿Acepta usted? ,,,, No
utilizadores	sexo_u	Sexo del Seleccionado	1	Hombre
utilizadores	sexo_u	Sexo del Seleccionado	2	Mujer
utilizadores	u0101	1.1 Una persona de su hogar nos informó que Usted había(s) tenido (Mencione necesidad de salud) en los últimos 3 meses, ¿es correcto?	1	SÍ
utilizadores	u0101	1.1 Una persona de su hogar nos informó que Usted había(s) tenido (Mencione necesidad de salud) en los últimos 3 meses, ¿es correcto?	2	Sí, tuve una necesidad de salud pero fue otra
utilizadores	u0101	1.1 Una persona de su hogar nos informó que Usted había(s) tenido (Mencione necesidad de salud) en los últimos 3 meses, ¿es correcto?	3	No
utilizadores	u0103	U0103 Usted fue atendido por esta (Mencione necesidad de salud), ¿cierto?	1	Sí
utilizadores	u0103	U0103 Usted fue atendido por esta (Mencione necesidad de salud), ¿cierto?	2	No
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	1	Instituto Mexicano del Seguro Social (IMSS)
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	2	ISSSTE/ISSSTE Estatal
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	3	PEMEX
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	4	Defensa
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	5	Marina
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	6	Centro de salud u Hospital de la SSA
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	8	DIF federal, estatal o municipal
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	9	Cruz Roja / Cruz Verde
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	10	Instituto Nacional de Salud
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	11	Organizaciones (ONG/OSC) que dan atención gratuita/Dispensario
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	12	Consultorios pertenecientes a farmacias / Farmacias con consultorio médico
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	13	Consultorio dentro de hospital privado
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	14	Área de urgencias/hospitalización dentro de hospital privado
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	15	Atención privada en torre de consultorios médicos o en una clínica sin camas de hospital privado
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	16	Consultorio en domicilio particular de médico privado
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	17	Atención privada en mi domicilio
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	18	Atención privada vía remota (teléfono, mensajes de texto, telemedicina)
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	19	Médico laboral (médico de la empresa)
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	20	Curandero(a), hierbero(a), naturista
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	21	Homeópata, partera, acupunturista
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	22	Otro (especifique)
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	23	No sabe / No recuerda
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	24	Consultorio psicológico
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	25	Centro de salud mental (CESAME)
utilizadores	u0201	U0201 ¿En qué institución de salud (USTED/NOMBRE) se atendió/recibió atención?	26	IMSS-BIENESTAR (que eran antes centros de salud de la Secretaría de Salud)
utilizadores	u0202a	U0202A Usted/NOMBRE me dijo/dijiste que es/eres derechohabiente de (mencione respuesta de la pregunta 3.10 cuestionario de hogar) y que por la necesidad de salud se/te atendió/atendiste en (mencione respuesta de la pregunta 2.1), ¿es correcto?	1	Sí, mi derechohabiencia y el lugar dónde me atendí son correctos
utilizadores	u0202a	U0202A Usted/NOMBRE me dijo/dijiste que es/eres derechohabiente de (mencione respuesta de la pregunta 3.10 cuestionario de hogar) y que por la necesidad de salud se/te atendió/atendiste en (mencione respuesta de la pregunta 2.1), ¿es correcto?	2	Sí, el lugar dónde me atendí es correcto, pero no es correcta mi derechohabiencia
utilizadores	u0202a	U0202A Usted/NOMBRE me dijo/dijiste que es/eres derechohabiente de (mencione respuesta de la pregunta 3.10 cuestionario de hogar) y que por la necesidad de salud se/te atendió/atendiste en (mencione respuesta de la pregunta 2.1), ¿es correcto?	3	Sí, mi derechohabiencia es correcta pero el lugar de atención no es correcto
utilizadores	u0202a	U0202A Usted/NOMBRE me dijo/dijiste que es/eres derechohabiente de (mencione respuesta de la pregunta 3.10 cuestionario de hogar) y que por la necesidad de salud se/te atendió/atendiste en (mencione respuesta de la pregunta 2.1), ¿es correcto?	4	Ambos son incorrectos
utilizadores	u0202b	U0202B ¿Entonces tiene(s) derecho/puede(s) atenderse(te) en los siguientes servicios médicos…	1	del Seguro Social (IMSS)?
utilizadores	u0202b	U0202B ¿Entonces tiene(s) derecho/puede(s) atenderse(te) en los siguientes servicios médicos…	2	del ISSSTE/ISSSTE Estatal?
utilizadores	u0202b	U0202B ¿Entonces tiene(s) derecho/puede(s) atenderse(te) en los siguientes servicios médicos…	4	de PEMEX?
utilizadores	u0202b	U0202B ¿Entonces tiene(s) derecho/puede(s) atenderse(te) en los siguientes servicios médicos…	5	de Defensa?
utilizadores	u0202b	U0202B ¿Entonces tiene(s) derecho/puede(s) atenderse(te) en los siguientes servicios médicos…	6	de Marina?
utilizadores	u0202b	U0202B ¿Entonces tiene(s) derecho/puede(s) atenderse(te) en los siguientes servicios médicos…	8	de un seguro privado de gastos médicos?
utilizadores	u0202b	U0202B ¿Entonces tiene(s) derecho/puede(s) atenderse(te) en los siguientes servicios médicos…	9	de otra institución (especifique)?
utilizadores	u0202b	U0202B ¿Entonces tiene(s) derecho/puede(s) atenderse(te) en los siguientes servicios médicos…	10	Ninguno
utilizadores	u0202b	U0202B ¿Entonces tiene(s) derecho/puede(s) atenderse(te) en los siguientes servicios médicos…	11	IMSS-BIENESTAR (que eran antes centros de salud de la Secretaría de Salud)?
utilizadores	u0202b	U0202B ¿Entonces tiene(s) derecho/puede(s) atenderse(te) en los siguientes servicios médicos…	99	NS/NR
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	1	del Seguro Social (IMSS)
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	2	ISSSTE/ISSSTE Estatal
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	3	PEMEX
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	4	Defensa
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	5	Marina
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	6	Centro de salud u Hospital de la SSA
utilizadores	u0202b1	U0202B1 ¿En qué institución de salud (USTED/NOMBRE) se/te atendió/atendiste /recibió/recibiste atención?	8	DIF federal, estatal o municipal
