relacion_id	necesidad_id	fuente_canonica_normalizada	capa2_actual	destino	payload_faltante	ids_manifiesto_que_lo_proveen	en_manifiesto	evidencia_de_la_celda	palanca_en_cola	siguiente_accion
REL-6c97fe0c5cb528557054a838	N3	MICROCREDIT_IMPACTS_RANDOMIZED_MICROCREDIT_PROGRAM_PLACEMENT_EXP	NO_REFERENCIADO	APERTURA-PENDIENTE	paquete de replicacion openICPSR proj116334 -- el propio manifiesto declara que resuelve las dos filas de microcredito	116334_v1	SI	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L4	25	Abrir codebook OpenICPSR y buscar el reactivo exacto de sensibilidad de estatus; no inferirlo desde gasto o bienestar.
REL-c9a73bd2a8258784f9f08ea8	N3	MICROCREDIT_IMPACTS_COMPARTAMOS_RCT	NO_REFERENCIADO	APERTURA-PENDIENTE	paquete de replicacion openICPSR proj116334 -- el propio manifiesto declara que resuelve las dos filas de microcredito	116334_v1	SI	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L8 (N3|MICROCREDIT_IMPACTS_COMPARTAMOS_RCT|OE-f651d8070c16835c9901c40f)	24	Abrir codebook y buscar el reactivo literal de estatus; no inferirlo de gasto, crédito o bienestar.
REL-48285fd8e0a22a38147245ed	N17	CSES	SI	APERTURA-PENDIENTE	codebook y CSV pooled de CSES Modulo 5 -- el manifiesto declara cobertura de Mexico NO VERIFICADA para el CSV; abrirlo es lo que resuelve ese caveat de ENLACE-1	cses5_modulo5_2016_2021_codebook;cses5_modulo5_2016_2021_csv	SI	MAIN:data/mapa-ext-general-2026-08-06.tsv:L7 (CSES Module 5, Mexico 2018)	7	Abrir codebook y payload canónico CSES México 2018; buscar literalmente variables de trámite/gobierno digital y documentar el universo revisado.
REL-162b116abdb2212886430f08	N25	CSES	SI	APERTURA-PENDIENTE	codebook y CSV pooled de CSES Modulo 5 -- el manifiesto declara cobertura de Mexico NO VERIFICADA para el CSV; abrirlo es lo que resuelve ese caveat de ENLACE-1	cses5_modulo5_2016_2021_codebook;cses5_modulo5_2016_2021_csv	SI	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L12	7	Abrir codebook y cuestionario México 2018 y documentar variable, codificación y granularidad; cerrar si no aparece el diseño requerido.
REL-c59edf3fce0cc17066bed9ee	N25	COMPARATIVE_STUDY_OF_ELECTORAL_SYSTEMS_MEXICO_2018	NO_REFERENCIADO	APERTURA-PENDIENTE	codebook y CSV pooled de CSES Modulo 5 -- el manifiesto declara cobertura de Mexico NO VERIFICADA para el CSV; abrirlo es lo que resuelve ese caveat de ENLACE-1	cses5_modulo5_2016_2021_codebook;cses5_modulo5_2016_2021_csv	SI	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L10	29	Abrir codebook y cuestionario México 2018 y documentar variable, codificación y granularidad; cerrar si no aparece el diseño requerido.
REL-ee1e829631a8bb7de93bcfd3	N26	CSES	SI	APERTURA-PENDIENTE	codebook y CSV pooled de CSES Modulo 5 -- el manifiesto declara cobertura de Mexico NO VERIFICADA para el CSV; abrirlo es lo que resuelve ese caveat de ENLACE-1	cses5_modulo5_2016_2021_codebook;cses5_modulo5_2016_2021_csv	SI	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L12	7	Abrir codebook y cuestionario México 2018 y documentar variable, codificación y granularidad; cerrar si no aparece el diseño requerido.
REL-894b3c5025557df7ef942f2a	N13	EARLY_CHILDHOOD_EDUCATION_PROGRAM_IMPACT_EVALUATION_2012_2014	NO_REFERENCIADO	APERTURA-PENDIENTE	microdato PUF y cuestionarios ASQ del Early Childhood Education Program Impact Evaluation 2012-2014	mex_2012_2014_ecepie_v01_m_v01_a_puf;mex_2012_2014_ecepie_v01_m_v01_a_puf_spss;wb2661_asq_questionnaires	SI	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L6	4	Obtener instrumentos.
REL-08af2a451bfb04d90902eec4	N28	IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	NO_REFERENCIADO	APERTURA-PENDIENTE	microdato PUF endline y reporte de sintesis del Impact Evaluation of Parental Empowerment Program	mex_2010_iepep_v01_m_v01_a_puf;mex_2010_iepep_v01_m_v01_a_puf_spss;mexico_synthesisreport	SI	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L17 (N28|IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM|OE-cf8d6b60756007bb54baf260)	35	Abrir DDI/codebook y datos; verificar asignación, llaves, participación parental y outcome escolar.
REL-0ccb1f487408f4999004b321	N24	REPORTE_SOBRE_USO_Y_CONFIANZA_DE_SERVICIOS_FINANCIEROS_DIGITALES	NO_REFERENCIADO	PROPUESTA-A-COLA	el reporte mismo, con su tabla, pregunta, muestra, periodo y codificacion -- no hay payload local de ninguna clase	NO_DETERMINADO	NO	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv (L4)	41	Recuperar el reporte canónico y localizar tabla, pregunta, muestra, periodo y codificación de confianza/uso.
REL-d630dc1ea394364e53631401	N13	ISSP	SI	APERTURA-PENDIENTE	codebook y microdato del modulo ISSP 2012 Family and Changing Gender Roles IV (el cuestionario ya esta enlazado por ENLACE-1)	za5900_cdb;za5900_v4_0_0_dta;za5900_v4_0_0_sav	SI	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L9	1	Obtener codebook.
REL-f219eb1a0e1b71beb5a36f6f	N30	ISSP	SI	APERTURA-PENDIENTE	codebook y microdato del modulo ISSP 2012 Family and Changing Gender Roles IV (el cuestionario ya esta enlazado por ENLACE-1)	za5900_cdb;za5900_v4_0_0_dta;za5900_v4_0_0_sav	SI	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L10	1	Obtener documentación.
