fuente_canonica	nombre	institucion	dominios	operable	microdatos	acceso	n_urls_portal	slug_portal	n_payloads_disco	n_payloads_integros	reglas_que_gatea	estado_cobertura
CPV	Censo de Población y Vivienda / Conteos	Instituto Nacional de Estadística y Geografía (INEGI).	capital_social;cultura_valores_opinion;migracion;salud;tecnologia-digital;trabajo_ingreso_formalidad;tramites_estado;uso_del_tiempo_cuidados_hogar	sí	sí	sí	1725	ccpv	8	8		EN-DISCO-NO-CUBRE
ENIGH	Encuesta Nacional de Ingresos y Gastos de los Hogares	INEGI (el MCS con uso de CONEVAL para medición multidimensional de pobreza).	credito-ahorro-finanzas-hogar;migracion;salud;tecnologia-digital;trabajo_ingreso_formalidad;uso_del_tiempo_cuidados_hogar	sí	sí	sí	960	enigh	6	6		EN-DISCO-NO-CUBRE
ENASEM	Encuesta Nacional sobre Salud y Envejecimiento en México (ENASEM) / Mexican Health and Aging Study	INEGI en colaboración con la Universidad de Texas (UTMB y, en la ronda 2024, el Centro de Ciencias de la Salud en San Antonio), Universidad de Wisconsin, UCLA, el Instituto Nacional de Geriatría (INGER) y el INSP; financiamiento parcial del National Institute on Aging `[verificado]`.	credito-ahorro-finanzas-hogar;migracion;salud;trabajo_ingreso_formalidad;uso_del_tiempo_cuidados_hogar	sí	sí	sí	13	enasem	6	6		EN-DISCO-NO-CUBRE
ENCIG	Encuesta Nacional de Calidad e Impacto Gubernamental	INEGI, Subsistema Nacional de Información de Gobierno, Seguridad Pública e Impartición de Justicia. Información de Interés Nacional.	capital_social;cultura_valores_opinion;seguridad_justicia;tecnologia-digital;tramites_estado	sí	sí	sí	28	encig	37	37		EN-DISCO-NO-CUBRE
LAPOP	Barómetro de las Américas / AmericasBarometer	LAPOP Lab, Vanderbilt University; ITAM como socio en rondas mexicanas; financiamiento de USAID en varias rondas	capital_social;clase-fuente;cultura_valores_opinion;migracion;tramites_estado	sí	sí	sí	0		1	1	R8.3	EN-DISCO-NO-CUBRE
ENCUCI	Encuesta Nacional de Cultura Cívica	"<cite index=""1-1"">INEGI, en colaboración con el Instituto Nacional Electoral (INE)</cite>. Antecedente institucional vinculado también a SEGOB."	capital_social;cultura_valores_opinion;seguridad_justicia;tramites_estado	sí	sí	sí	2	encuci	2	2		EN-DISCO-NO-CUBRE
ENNVIH	Encuesta Nacional sobre Niveles de Vida de los Hogares (ENNViH) / Mexican Family Life Survey	Universidad Iberoamericana y Centro de Investigación y Docencia Económicas (CIDE), con colaboraciones internacionales `[no verificado en esta sesión]`.	credito-ahorro-finanzas-hogar;migracion;salud;trabajo_ingreso_formalidad	sí	sí	sí	0		28	22		EN-DISCO-NO-CUBRE
ENSANUT	Encuesta Nacional de Salud y Nutrición (ENSANUT) y ENSANUT Continua	Instituto Nacional de Salud Pública (INSP), en el marco del Sistema Nacional de Encuestas de Salud, con la Secretaría de Salud `[verificado]`. Antecedentes de la familia de encuestas de salud desde 1986 `[verificado]`.	cultura_valores_opinion;salud;tramites_estado;uso_del_tiempo_cuidados_hogar	sí	sí	sí	11	ensanut	21	21		EN-DISCO-NO-CUBRE
ENVIPE	Encuesta Nacional de Victimización y Percepción sobre Seguridad Pública	INEGI, en el marco del Subsistema Nacional de Información de Gobierno, Seguridad Pública e Impartición de Justicia (SNIGSPIJ).	capital_social;cultura_valores_opinion;seguridad_justicia;tramites_estado	sí	sí	sí	52	envipe	76	72		EN-DISCO-DAÑADA
LATINOBARÓMETRO	Latinobarómetro	"<cite index=""51-0"">Corporación Latinobarómetro, organización privada sin fines de lucro con sede en Chile</cite>."	capital_social;clase-fuente;cultura_valores_opinion;tramites_estado	sí	sí	sí	0		3	3	R8.3	EN-DISCO-NO-CUBRE
ENADID	Encuesta Nacional de la Dinámica Demográfica	INEGI. Referentes metodológicos: programa de Encuestas de Salud Reproductiva (RHS) y uso por USAID `[verificado]`.	migracion;salud;uso_del_tiempo_cuidados_hogar	sí	sí	sí	20	enadid	4	4		EN-DISCO-NO-CUBRE
ENDIREH	Encuesta Nacional sobre la Dinámica de las Relaciones en los Hogares	INEGI, con INMUJERES.	seguridad_justicia;tramites_estado;uso_del_tiempo_cuidados_hogar	sí	sí	sí	40	endireh	40	37		EN-DISCO-DAÑADA
ENIF	Encuesta Nacional de Inclusión Financiera	INEGI en colaboración con la Comisión Nacional Bancaria y de Valores (CNBV). La lista de variables enviada por la CNBV se tomó como base principal para el diseño del instrumento, cuyo desarrollo estuvo a cargo del INEGI (verificado).	credito-ahorro-finanzas-hogar;migracion;tecnologia-digital	sí	sí	sí	16	enif	22	22	R3.4	EN-DISCO-NO-CUBRE
ENOE	Encuesta Nacional de Ocupación y Empleo (ENOE) / ENOE Nueva Edición	INEGI.	migracion;trabajo_ingreso_formalidad;uso_del_tiempo_cuidados_hogar	sí	sí	sí	380	enoe	36	36		EN-DISCO-NO-CUBRE
ENSU	Encuesta Nacional de Seguridad Pública Urbana	INEGI. Origen en una solicitud del Consejo Nacional de Seguridad Pública.	capital_social;seguridad_justicia;tramites_estado	sí	sí	sí	52	ensu	1	1		EN-DISCO-NO-CUBRE
ENUT	Encuesta Nacional sobre Uso del Tiempo	INEGI, en colaboración con el Instituto Nacional de las Mujeres (INMUJERES).	capital_social;trabajo_ingreso_formalidad;uso_del_tiempo_cuidados_hogar	sí	sí	sí	12	enut	16	11		EN-DISCO-NO-CUBRE
WVS	World Values Survey	WVS Association, con equipos nacionales; en México se ha coordinado desde instituciones académicas y firmas locales según la ola.	capital_social;cultura_valores_opinion;tramites_estado	no	sí	?	0		0	0		NO-EN-ESTE-APARTADO
CE	Censos Económicos	INEGI	tecnologia-digital;trabajo_ingreso_formalidad	no	no	sí	0		3	3		EN-DISCO-NO-CUBRE
CENSOS NACIONALES DE GOBIERNO	Censos Nacionales de Gobierno (CNGF, CNGE, CNGMD) y Censo Nacional de Transparencia	INEGI. Informantes: instituciones estatales, federales y municipales.	seguridad_justicia;tramites_estado	no	?	sí	0		0	0		NO-EN-ESTE-APARTADO
EDER	Encuesta Demográfica Retrospectiva	INEGI, con colaboraciones académicas por edición. El primer levantamiento de 1998 se hizo sobre una submuestra de hogares de la ENADID 1997, con financiamiento de instituciones mexicanas, francesas y estadunidenses, y la información quedó bajo resguardo de El Colegio de la Frontera Norte (COLEF). Edición 2011 como módulo de la ENOE con financiamiento de COLEF y la UABC; edición 2017 como módulo de la Encuesta Nacional de los Hogares (ENH) con apoyo de El Colegio de México.	trabajo_ingreso_formalidad;uso_del_tiempo_cuidados_hogar	sí	sí	sí	14	eder	14	13		EN-DISCO-NO-CUBRE
EDR	Estadísticas de Defunciones Registradas	INEGI, a partir de certificados de defunción del Registro Civil y Servicios Médicos Forenses, con confronta con la Secretaría de Salud `[verificado]`.	salud;seguridad_justicia	sí	sí	sí	11	edr	1	1		EN-DISCO-NO-CUBRE
ELCOS	Encuesta Laboral y de Corresponsabilidad Social	INEGI, con el Instituto Nacional de las Mujeres **[no verificado]**	trabajo_ingreso_formalidad;uso_del_tiempo_cuidados_hogar	sí	sí	sí	2	elcos	2	1		EN-DISCO-NO-CUBRE
ENADIS	Encuesta Nacional sobre Discriminación	INEGI, en coordinación con el Consejo Nacional para Prevenir la Discriminación (CONAPRED); ediciones anteriores a cargo de CONAPRED con UNAM.	cultura_valores_opinion;tramites_estado	no	sí	?	10	enadis	0	0		EN-PORTAL-SIN-BAJAR
ENAPROCE	Encuesta Nacional sobre Productividad y Competitividad de las Micro, Pequeñas y Medianas Empresas	INEGI. La edición 2015 se realizó con financiamiento del Instituto Nacional del Emprendedor y de Bancomext, y asesoría de la SHCP y la oficina en México del Banco Mundial.	tecnologia-digital;trabajo_ingreso_formalidad	sí	sí	sí	14	enaproce	10	10		EN-DISCO-NO-CUBRE
ENCUP	Encuesta Nacional sobre Cultura Política y Prácticas Ciudadanas	SEGOB e INEGI. Tres de las cinco ediciones fueron realizadas por el INEGI (2001, 2003, 2008)	capital_social;cultura_valores_opinion	sí	sí	sí	0		6	6	R7.1	EN-DISCO-NO-CUBRE
ENDUTIH	Encuesta Nacional sobre Disponibilidad y Uso de Tecnologías de la Información en los Hogares	INEGI. Se ha realizado en convenio con el entonces IFT y, en su origen, con la SCT. Tras la extinción del IFT la contraparte sectorial correspondería a CRT o ATDT: **no verificado** para la edición más reciente.	tecnologia-digital;tramites_estado	sí	sí	sí	6	endutih	6	6		EN-DISCO-NO-CUBRE
ENPOL	Encuesta Nacional de Población Privada de la Libertad	INEGI. Se realiza en el marco del mandato del artículo 29 de la Ley Nacional de Ejecución Penal.	seguridad_justicia;tramites_estado	sí	sí	sí	8	enpol	2	2		EN-DISCO-NO-CUBRE
ENTI	Encuesta Nacional de Trabajo Infantil	INEGI, en colaboración con la Organización Internacional del Trabajo (OIT) y la Secretaría del Trabajo y Previsión Social (STPS)	trabajo_ingreso_formalidad;uso_del_tiempo_cuidados_hogar	sí	sí	sí	4	enti	2	2		EN-DISCO-NO-CUBRE
ENVE	Encuesta Nacional de Victimización de Empresas	INEGI (SNIGSPIJ).	seguridad_justicia;tramites_estado	no	sí	?	12	enve	0	0		EN-PORTAL-SIN-BAJAR
