estimando,tipo,segmento,categoria,n_expuesto,n_valido,n_desconocido,masa_desconocido,n_numerador,masa_numerador,masa_denominador,p,ee,ic95_lo,ic95_hi,gl,precision_estado
ENOE-P17-CON-ACCESO,P17_AFIRMATIVA_POR_SS_EMPLEO_ACTUAL,CON-ACCESO,SI,2303,2303,0,0.0,1909,7315630.0,8790355.0,0.832233738,0.020083619504,0.792869843773,0.871597632228,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
ENOE-P17-SIN-ACCESO,P17_AFIRMATIVA_POR_SS_EMPLEO_ACTUAL,SIN-ACCESO,SI,2148,2148,0,0.0,1709,6172178.0,7807636.0,0.790530962253,0.023010440488,0.745430498897,0.835631425608,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-EDAD18_34-ACCIDENTES,P16_PRIMER_LUGAR,EDAD18_34,ACCIDENTES,2387,2383,4,7136.0,174,630396.0,8787194.0,0.071740307543,0.01187698554,0.048461415885,0.095019199201,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-EDAD18_34-MEDICO,P16_PRIMER_LUGAR,EDAD18_34,MEDICO,2387,2383,4,7136.0,1290,4609981.0,8787194.0,0.524624925773,0.024874979402,0.475869966145,0.5733798854,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-EDAD18_34-PENSION,P16_PRIMER_LUGAR,EDAD18_34,PENSION,2387,2383,4,7136.0,259,980320.0,8787194.0,0.111562348572,0.012658899404,0.086750905741,0.136373791404,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-EDAD18_34-VIDA,P16_PRIMER_LUGAR,EDAD18_34,VIDA,2387,2383,4,7136.0,340,1153810.0,8787194.0,0.131305852585,0.016419733114,0.099123175682,0.163488529488,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-EDAD18_34-VIVIENDA,P16_PRIMER_LUGAR,EDAD18_34,VIVIENDA,2387,2383,4,7136.0,320,1412687.0,8787194.0,0.160766565527,0.022379048914,0.116903629656,0.204629501399,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-EDAD35_54-ACCIDENTES,P16_PRIMER_LUGAR,EDAD35_54,ACCIDENTES,3317,3315,2,3743.0,190,598573.0,12447513.0,0.048087758575,0.007574267975,0.033242193343,0.062933323806,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-EDAD35_54-MEDICO,P16_PRIMER_LUGAR,EDAD35_54,MEDICO,3317,3315,2,3743.0,1574,5465673.0,12447513.0,0.43909759323,0.022225704283,0.395535212835,0.482659973625,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-EDAD35_54-PENSION,P16_PRIMER_LUGAR,EDAD35_54,PENSION,3317,3315,2,3743.0,843,3258521.0,12447513.0,0.261780887475,0.017795862477,0.226900997019,0.296660777931,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-EDAD35_54-VIDA,P16_PRIMER_LUGAR,EDAD35_54,VIDA,3317,3315,2,3743.0,380,1790369.0,12447513.0,0.143833470991,0.017734735523,0.109073389366,0.178593552617,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-EDAD35_54-VIVIENDA,P16_PRIMER_LUGAR,EDAD35_54,VIVIENDA,3317,3315,2,3743.0,328,1334377.0,12447513.0,0.107200289729,0.013519945027,0.080701197475,0.133699381982,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-HOMBRE-ACCIDENTES,P16_PRIMER_LUGAR,HOMBRE,ACCIDENTES,2595,2590,5,9088.0,192,739119.0,9859794.0,0.074962925189,0.01197120412,0.051499365114,0.098426485264,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-HOMBRE-MEDICO,P16_PRIMER_LUGAR,HOMBRE,MEDICO,2595,2590,5,9088.0,1239,4336194.0,9859794.0,0.439785455964,0.023201500125,0.394310515719,0.485260396209,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-HOMBRE-PENSION,P16_PRIMER_LUGAR,HOMBRE,PENSION,2595,2590,5,9088.0,484,1952478.0,9859794.0,0.198024218356,0.018695286632,0.161381456557,0.234666980155,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-HOMBRE-VIDA,P16_PRIMER_LUGAR,HOMBRE,VIDA,2595,2590,5,9088.0,371,1728019.0,9859794.0,0.175259138274,0.020462281362,0.135153066804,0.215365209744,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-HOMBRE-VIVIENDA,P16_PRIMER_LUGAR,HOMBRE,VIVIENDA,2595,2590,5,9088.0,304,1103984.0,9859794.0,0.111968262217,0.014774429539,0.083010380322,0.140926144113,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-MUJER-ACCIDENTES,P16_PRIMER_LUGAR,MUJER,ACCIDENTES,3109,3108,1,1791.0,172,489850.0,11374913.0,0.043064065633,0.006437466882,0.030446630545,0.055681500721,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-MUJER-MEDICO,P16_PRIMER_LUGAR,MUJER,MEDICO,3109,3108,1,1791.0,1625,5739460.0,11374913.0,0.50457177123,0.022366760292,0.460732921057,0.548410621403,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-MUJER-PENSION,P16_PRIMER_LUGAR,MUJER,PENSION,3109,3108,1,1791.0,618,2286363.0,11374913.0,0.201000482377,0.014862285771,0.171870402267,0.230130562488,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-MUJER-VIDA,P16_PRIMER_LUGAR,MUJER,VIDA,3109,3108,1,1791.0,349,1216160.0,11374913.0,0.106915982566,0.013763592417,0.079939341429,0.133892623703,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-MUJER-VIVIENDA,P16_PRIMER_LUGAR,MUJER,VIVIENDA,3109,3108,1,1791.0,344,1643080.0,11374913.0,0.144447698193,0.017236811641,0.110663547377,0.17823184901,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-TOTAL-ACCIDENTES,P16_PRIMER_LUGAR,TOTAL,ACCIDENTES,5704,5698,6,10879.0,364,1228969.0,21234707.0,0.05787548658,0.006531539535,0.04507366909,0.070677304069,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-TOTAL-MEDICO,P16_PRIMER_LUGAR,TOTAL,MEDICO,5704,5698,6,10879.0,2864,10075654.0,21234707.0,0.474489899955,0.016661534514,0.441833292308,0.507146507602,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-TOTAL-PENSION,P16_PRIMER_LUGAR,TOTAL,PENSION,5704,5698,6,10879.0,1102,4238841.0,21234707.0,0.199618530173,0.011316667726,0.17743786143,0.221799198917,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-TOTAL-VIDA,P16_PRIMER_LUGAR,TOTAL,VIDA,5704,5698,6,10879.0,720,2944179.0,21234707.0,0.138649381882,0.012162217784,0.114811435025,0.162487328739,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P16-FIRST-TOTAL-VIVIENDA,P16_PRIMER_LUGAR,TOTAL,VIVIENDA,5704,5698,6,10879.0,648,2747064.0,21234707.0,0.12936670141,0.012515623164,0.104836080008,0.153897322812,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P17-EDAD18_34,P17_AFIRMATIVA,EDAD18_34,SI,2387,2387,0,0.0,1938,7042841.0,8794330.0,0.800838835932,0.022496735413,0.756745234522,0.844932437342,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P17-EDAD35_54,P17_AFIRMATIVA,EDAD35_54,SI,3317,3317,0,0.0,2739,10455591.0,12451256.0,0.839721791922,0.014640465521,0.811026479502,0.868417104342,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P17-HOMBRE,P17_AFIRMATIVA,HOMBRE,SI,2595,2595,0,0.0,2114,7867935.0,9868882.0,0.797246841132,0.021693131611,0.754728303175,0.839765379088,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
P17-MUJER,P17_AFIRMATIVA,MUJER,SI,3109,3109,0,0.0,2563,9630497.0,11376704.0,0.846510289799,0.015975382377,0.815198540341,0.877822039257,2652,DISPONIBLE:NORMAL95-LINEALIZACION-RAZON;SINGLETON=44;FPC-NO-APLICADA
