pais,periodo,unidad,producto,n_tenedores,masa_ponderada_tenedores,n_costo_interes_valido,n_pago_valido,n_problema_valido,n_reclamacion_valido,n_vulnerabilidad_valida,n_costo_y_pago_validos,n_costo_pago_y_problema_validos
Mexico,2019,persona_usuaria_ola,credito_automotriz,128,1054178.728729,127,0,128,11,0,0,0
Mexico,2019,persona_usuaria_ola,credito_hipotecario,422,5847954.264678,418,0,422,96,0,0,0
Mexico,2019,persona_usuaria_ola,credito_nomina,398,1436125.112650,386,0,398,34,0,0,0
Mexico,2019,persona_usuaria_ola,credito_personal,498,1417977.098915,492,495,498,73,0,490,490
Mexico,2019,persona_usuaria_ola,tarjeta_credito,544,7595925.550891,528,537,538,101,0,524,522
Mexico,2020,persona_usuaria_ola,credito_automotriz,123,1183431.510744,123,123,123,17,0,123,123
Mexico,2020,persona_usuaria_ola,credito_hipotecario,484,6053632.863665,476,484,484,115,0,476,476
Mexico,2020,persona_usuaria_ola,credito_nomina,382,1636012.560801,368,375,382,37,0,363,363
Mexico,2020,persona_usuaria_ola,credito_personal,450,1606490.400864,443,447,450,60,0,441,441
Mexico,2020,persona_usuaria_ola,tarjeta_credito,533,8072682.332513,516,522,533,91,0,507,507
Mexico,2021,persona_usuaria_ola,credito_automotriz,120,1651405.827394,120,120,120,14,119,120,120
Mexico,2021,persona_usuaria_ola,credito_hipotecario,531,5442774.886488,527,530,531,101,523,526,526
Mexico,2021,persona_usuaria_ola,credito_nomina,384,1724981.495372,377,382,384,40,382,375,375
Mexico,2021,persona_usuaria_ola,credito_personal,457,2382474.995170,450,455,457,45,454,449,449
Mexico,2021,persona_usuaria_ola,tarjeta_credito,649,9194986.357498,631,640,649,107,641,626,626
Mexico,2022,persona_usuaria_ola,credito_automotriz,106,1490924.854679,106,106,106,9,106,106,106
Mexico,2022,persona_usuaria_ola,credito_hipotecario,448,5434250.136036,438,447,448,74,445,437,437
Mexico,2022,persona_usuaria_ola,credito_nomina,398,1658827.797001,390,396,398,22,396,389,389
Mexico,2022,persona_usuaria_ola,credito_personal,433,2405002.930218,426,432,433,30,429,425,425
Mexico,2022,persona_usuaria_ola,tarjeta_credito,547,9589632.042790,529,532,547,79,545,518,518
Mexico,2023,persona_usuaria_ola,credito_automotriz,140,2010096.392142,137,139,140,7,139,137,137
Mexico,2023,persona_usuaria_ola,credito_hipotecario,472,6213912.275079,460,469,472,55,470,458,458
Mexico,2023,persona_usuaria_ola,credito_nomina,426,1810251.140253,411,418,426,12,417,405,405
Mexico,2023,persona_usuaria_ola,credito_personal,484,2498913.029459,478,478,484,29,478,475,475
Mexico,2023,persona_usuaria_ola,tarjeta_credito,546,9582940.170602,530,531,546,58,536,520,520
Mexico,2024,persona_usuaria_ola,credito_automotriz,128,1718380.437775,128,128,128,2,128,128,128
Mexico,2024,persona_usuaria_ola,credito_hipotecario,428,5496821.773289,422,426,428,40,426,421,421
Mexico,2024,persona_usuaria_ola,credito_nomina,415,1804287.005152,408,412,415,15,412,407,407
Mexico,2024,persona_usuaria_ola,credito_personal,421,2390314.081292,419,419,421,31,420,419,419
Mexico,2024,persona_usuaria_ola,tarjeta_credito,562,9852061.856285,553,554,562,61,558,548,548
