# GENERADO por tools/p0_calendario_pel.py (ACTO MAESTRA34-L6, P0). Derivada de p0-calendario-ayuntamientos-v1_0.tsv. No editar a mano.
entidad	elecciones_ayuntamiento_en_ventana	anios_no_concurrente	anios_concurrente	anio_tratamiento	cohorte	estatus	tiene_antes_y_despues	n_elecciones
Aguascalientes	2016,2019,2021,2024	2016,2019	2021,2024	2021	g2021	TRATADO	SI	4
Baja California	2016,2019,2021,2024	2016,2019	2021,2024	2021	g2021	TRATADO	SI	4
Baja California Sur	2018,2021,2024		2018,2021,2024			SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	NO	3
Campeche	2018,2021,2024		2018,2021,2024			SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	NO	3
Coahuila	2017,2018,2021,2024	2017	2018,2021,2024	2018	g2018	TRATADO	SI	4
Colima	2018,2021,2024		2018,2021,2024			SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	NO	3
Chiapas	2015,2018,2021,2024	2015	2018,2021,2024	2018	g2018	TRATADO	SI	4
Chihuahua	2016,2018,2021,2024	2016	2018,2021,2024	2018	g2018	TRATADO	SI	4
Ciudad de México	2018,2021,2024		2018,2021,2024			SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	NO	3
Durango	2016,2019,2022,2025	2016,2019,2022,2025				NUNCA-TRATADO	NO	4
Guanajuato	2018,2021,2024		2018,2021,2024			SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	NO	3
Guerrero	2018,2021,2024		2018,2021,2024			SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	NO	3
Hidalgo	2016,2020,2024	2016,2020	2024	2024	g2024	TRATADO	SI	3
Jalisco	2018,2021,2024		2018,2021,2024			SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	NO	3
Estado de México	2018,2021,2024		2018,2021,2024			SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	NO	3
Michoacán	2018,2021,2024		2018,2021,2024			SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	NO	3
Morelos	2018,2021,2024		2018,2021,2024			SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	NO	3
Nayarit	2017,2021,2024	2017	2021,2024	2021	g2021	TRATADO	SI	3
Nuevo León	2018,2021,2024		2018,2021,2024			SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	NO	3
Oaxaca	2016,2018,2021,2024	2016	2018,2021,2024	2018	g2018	TRATADO	SI	4
Puebla	2018,2021,2024		2018,2021,2024			SIEMPRE-CONCURRENTE-EN-VENTANA	NO	3
Querétaro	2018,2021,2024		2018,2021,2024			SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	NO	3
Quintana Roo	2016,2018,2021,2024	2016	2018,2021,2024	2018	g2018	TRATADO	SI	4
San Luis Potosí	2018,2021,2024		2018,2021,2024			SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	NO	3
Sinaloa	2016,2018,2021,2024	2016	2018,2021,2024	2018	g2018	TRATADO	SI	4
Sonora	2018,2021,2024		2018,2021,2024			SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	NO	3
Tabasco	2018,2021,2024		2018,2021,2024			SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	NO	3
Tamaulipas	2016,2018,2021,2024	2016	2018,2021,2024	2018	g2018	TRATADO	SI	4
Tlaxcala	2016,2021,2024	2016	2021,2024	2021	g2021	TRATADO	SI	3
Veracruz	2017,2021,2025	2017,2025	2021	2021	g2021	TRATADO	SI	3
Yucatán	2018,2021,2024		2018,2021,2024			SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	NO	3
Zacatecas	2016,2018,2021,2024	2016	2018,2021,2024	2018	g2018	TRATADO	SI	4
