# residual por objeto exacto; no equivale a ausencia cientifica
# {"extractor_version": "reactivos-contexto-1.1.7", "filas_con_texto_publicadas": 43020, "filas_metadato_perimetro": 55895, "filas_sin_texto_residual": 12875, "fuentes": {"FD_ENCUCI2020.pdf": "6cd6f7475a0b", "enif_2015_fd.xlsx": "8233cf53f590", "enif_2018_fd.xlsx": "dd8d5c92a7a0", "enif_2021_fd_pdf.zip": "6f4e3aab705d", "enif_2024_fd.xlsx": "17e2ad86ce9e", "ensafi2023/ensafi_2023_fd_xlsx.zip": "37bd0cb6dd54", "envipe2011/fd_envipe2011.xls": "d296c9f18cdb", "envipe2012/fd_envipe2012.xls": "dcca5373391c", "envipe2013/fd_envipe2013.xlsx": "7e842826e3f7", "envipe2014/fd_envipe2014.pdf": "b72ed2be77d4", "envipe2015/fd_envipe2015.pdf": "1042ab57b015", "envipe2016/fd_envipe2016.pdf": "e21428e021a6", "envipe2017/fd_envipe2017.pdf": "a633224e86cd", "fd_enif2012.xlsx": "f03d8e7c82f5", "fd_envipe2018.pdf": "30f78e99e545", "fd_envipe2019.pdf": "47d58f6c38b7", "fd_envipe2020.pdf": "94bcf0b012b9", "fd_envipe2021.pdf": "d85775241d6f", "fd_envipe2022.pdf": "8082959fa017", "fd_envipe2023.pdf": "743c260e89a6", "fd_envipe2024.pdf": "f8d720385957", "fd_envipe2025.pdf": "83fe02467b66"}, "grupos_residuales": 6091, "motivos_residuales": {"CORRESPONDENCIA_AMBIGUA": 2642, "ETIQUETA_TECNICA_NO_ACREDITADA": 2679, "FILA_AUXILIAR_SIN_REACTIVO": 7462, "PREGUNTA_NO_LOCALIZADA": 92}, "objetos": ["envipe", "ennvih", "encuci", "enif", "ensafi"]}
instrumento	ola	payload_id	archivo_miembro	motivo	filas_fisicas	variables_logicas	variables_ejemplo	siguiente_accion
encuci2020	2020	BD_ENCUCI2020_dbf.zip	ENCUCI_2020_SD.dbf	CORRESPONDENCIA_AMBIGUA	8	8	CVE_ENT,CVE_MUN,LOC,NOM_ENT,NOM_MUN,R_DEF,REGION,VIV_SEL	resolver tabla/miembro o conservar ausencia
encuci2020	2020	BD_ENCUCI2020_dbf.zip	ENCUCI_2020_SD.dbf	ETIQUETA_TECNICA_NO_ACREDITADA	15	15	CODIGO,EDAD,FN_DIA,FN_MES,GRA,ID_PER,ID_VIV,NIV	localizar etiqueta de llave/ponderador en el diccionario exacto
encuci2020	2020	BD_ENCUCI2020_dbf.zip	ENCUCI_2020_SEC_4_5.dbf	CORRESPONDENCIA_AMBIGUA	3	3	R_SEL,REGION,VIV_SEL	resolver tabla/miembro o conservar ausencia
encuci2020	2020	BD_ENCUCI2020_dbf.zip	ENCUCI_2020_SEC_4_5.dbf	ETIQUETA_TECNICA_NO_ACREDITADA	4	4	ID_PER,ID_VIV,PRO_VIV,UPM	localizar etiqueta de llave/ponderador en el diccionario exacto
encuci2020	2020	BD_ENCUCI2020_dbf.zip	ENCUCI_2020_SEC_6_7_8.dbf	CORRESPONDENCIA_AMBIGUA	8	8	DOMINIO,EST_DIS,ESTRATO,FAC_SEL,R_SEL,REGION,UPM_DIS,VIV_SEL	resolver tabla/miembro o conservar ausencia
encuci2020	2020	BD_ENCUCI2020_dbf.zip	ENCUCI_2020_SEC_6_7_8.dbf	ETIQUETA_TECNICA_NO_ACREDITADA	4	4	ID_PER,ID_VIV,PRO_VIV,UPM	localizar etiqueta de llave/ponderador en el diccionario exacto
encuci2020	2020	BD_ENCUCI2020_dbf.zip	ENCUCI_2020_SEC_9_10.dbf	ETIQUETA_TECNICA_NO_ACREDITADA	6	6	CAR1,ID_PER,ID_VIV,PRO_VIV,R10_3E,UPM	localizar etiqueta de llave/ponderador en el diccionario exacto
encuci2020	2020	BD_ENCUCI2020_dbf.zip	ENCUCI_2020_VIV.dbf	CORRESPONDENCIA_AMBIGUA	7	7	DOMINIO,EST_DIS,ESTRATO,FAC_VIV,REGION,UPM_DIS,VIV_SEL	resolver tabla/miembro o conservar ausencia
encuci2020	2020	BD_ENCUCI2020_dbf.zip	ENCUCI_2020_VIV.dbf	ETIQUETA_TECNICA_NO_ACREDITADA	3	3	ID_VIV,PRO_VIV,UPM	localizar etiqueta de llave/ponderador en el diccionario exacto
enif2012	2012	fd_enif2012.xlsx	Catalogo_P10_12	ETIQUETA_TECNICA_NO_ACREDITADA	1	1	INEGI. Encuesta Nacional de Inclusión Financiera (ENIF) 2012. Descripción de archivos	localizar etiqueta de llave/ponderador en el diccionario exacto
