estimando,razon,n
uso,NO_APLICA,0
uso,NO_SABE,0
uso,RECHAZO,0
uso,SIN_RESPUESTA,0
atraso,NO_APLICA_NO_USO_BNPL,10930
atraso,NO_SABE,0
atraso,RECHAZO,0
atraso,SIN_RESPUESTA,0
cargo,NO_APLICA_NO_ATRASO_AFIRMATIVO,12447
cargo,NO_SABE_BNPL3A,0
cargo,RECHAZO_BNPL3A,0
cargo,RUTA_RECHAZO_BNPL3,0
cargo,SIN_RESPUESTA_BNPL3A,0
sobregiro,BK2_F_NO_SABE,0
sobregiro,BK2_F_RECHAZO,0
sobregiro,BK2_F_SIN_RESPUESTA,0
sobregiro,BNPL1A_NO_SABE,0
sobregiro,BNPL1A_RECHAZO,0
sobregiro,BNPL1A_SIN_RESPUESTA,0
sobregiro,NO_APLICA_NO_USO_BNPL,10930
sobregiro,NO_APLICA_SIN_CUENTA_BANCARIA,116
sobregiro,NO_APLICA_SIN_SOBREGIRO_PREVIO,1346
asequibilidad_atraso,BNPL3_NO_SABE,0
asequibilidad_atraso,BNPL3_RECHAZO,0
asequibilidad_atraso,BNPL3_SIN_RESPUESTA,0
asequibilidad_atraso,BNPL4_E_NO_SABE,0
asequibilidad_atraso,BNPL4_E_RECHAZO,0
asequibilidad_atraso,BNPL4_E_SIN_RESPUESTA,0
asequibilidad_atraso,NO_APLICA_NO_USO_BNPL,10930
