puerta	clase_origen	institucion	url	tipo	cobertura_temporal	unidad_observacion	granularidad_geo	hay_microdato	condicion_acceso	necesidad_que_sirve	llave_ADR57c_si_alguna	clasificacion_a4	universo_declarado	fecha_sondeo
CNBV_Portafolio_Informacion	canasta_publica	CNBV	https://www.gob.mx/cnbv/acciones-y-programas/informacion-estadistica-100861	canasta	periodica, fechas no extraidas (portal JS)	institucion financiera supervisada, agregado (no confirmado a nivel operacion/credito)	nacional/institucion	no (agregados por institucion, no verificado mas fino)	libre, sin registro aparente	N19		EXISTE-NO-SATISFACE	"2 fetches abiertos (landing + Banca Multiple); portal real portafolioinfo.cnbv.gob.mx es dashboard JS que WebFetch no renderiza; dataset ""Serie R13"" hallado por buscador en datos.gob.mx da 404 real, verificado con curl -kL"	2026-08-08
IMSS_Datos_Abiertos_Asegurados	canasta_publica	IMSS	http://datos.imss.gob.mx/	canasta	mensual (declarado por portal, ventana no extraida)	asegurados, agregado declarado por clinica/delegacion (no verificado a nivel individuo)	delegacion/unidad medica (declarado, no verificado)	declarado que si (CSV con diccionario de datos), no verificado abriendo un archivo real	libre, sin registro	N18 (formalidad como covariable/contraste de evasion)		EXISTE-NO-SATISFACE	"Portal abierto 200 OK via curl -k (2 intentos WebFetch dieron 503, 3er intento curl directo confirmo); titulo ""Datos Abiertos IMSS"" verificado; no se abrio un archivo de datos real, solo la puerta"	2026-08-08
STPS_Observatorio_Laboral	canasta_publica	STPS/SNE	https://observatoriolaboral.gob.mx/static/acerca-ola/Quienes_somos.html	tabulado	trimestral (via ENOE), actualizado	agregado -- perfiles de carrera/sector, no microdato	estatal	no	libre			EXISTE-NO-SATISFACE	Pagina abierta tras corregir hostname (el certificado exige dominio sin www); fuente declarada ENOE + registros administrativos IMSS, ambos ya conocidos por otra via -- no aporta puerta nueva	2026-08-08
INE_Conteos_Censales_Participacion	canasta_publica	INE	https://ine.mx/transparencia/datos-abiertos/visualizacion-datos/conteos-censales-participacion/	microdato	2009, 2012, 2015, 2018, 2021, 2024 (elecciones federales)	participacion/abstencionismo, desagregado hasta municipio (no casilla)	municipal (entidad/distrito federal/distrito local/municipio)	parcial -- 6 ZIP descargables reales confirmados por URL exacta	libre, descarga directa sin registro	N25		EXISTE-NO-SATISFACE	Pagina abierta 2 veces; 6 URLs .zip exactas confirmadas (2009-2024); solo elecciones federales en esta pagina -- la comparacion con elecciones locales concurrentes que N25 pide no se confirmo aqui	2026-08-08
CONEVAL_Pobreza_Multidimensional	canasta_publica	CONEVAL	https://www.coneval.org.mx/Medicion/Paginas/Cuadros-pobreza-multidimensional.aspx	tabulado	2008 en esta pagina; sidebar declara 2010-2020 municipal y 2022 nacional/estatal (no abierto)	agregado, indicadores de pobreza/carencias	estatal en esta pagina; municipal declarado en otra pagina no abierta	no (PDFs y un Excel agregado)	libre			EXISTE-NO-SATISFACE	Pagina abierta; solo cifras agregadas/PDF, no microdato; la propia pagina remite a plataformadetransparencia.org.mx para solicitudes formales	2026-08-08
CONAPO_Datos_Abiertos	canasta_publica	CONAPO	https://conapo.segob.gob.mx/es/CONAPO/Datos_abiertos	tabulado	proyecciones anuales, declarado (rango exacto no extraido esta sesion)	agregado demografico (poblacion, mortalidad, fertilidad, migracion)	municipal (declarado por buscador; no confirmado abriendo el catalogo real, portal es SPA)	no (proyecciones/estimaciones, no microdato individual)	libre			EXISTE-NO-SATISFACE	Portal abierto con remedio de CA documentado por EXPLORA-2 (curl -k; certificado real verificado, *.segob.gob.mx, emisor GoDaddy -- CA distinta a la de datos.gob.mx, mismo mecanismo de cadena incompleta); catalogo de datasets no extraido, la pagina es SPA y el grep solo capturo el menu de navegacion	2026-08-08
Mejoredu_INEE_Bases_Datos	canasta_publica	Mejoredu (ex-INEE)	https://www.inee.edu.mx/evaluaciones/bases-de-datos/ ; https://historico.mejoredu.gob.mx/evaluaciones/bases-de-datos/ ; https://www.mejoredu.gob.mx/	microdato (declarado por buscador: PLANEA/EXCALE en SPSS/CSV/SAS)	no verificada	no verificada	no verificada	declarado que si por buscador, no verificado	no verificada			NO OBTENIDO POR ESTE AGENTE EN 3 INTENTOS	"Intento 1 inee.edu.mx -> ECONNREFUSED 127.0.0.1 (posible sinkhole, INEE fue disuelto); intento 2 historico.mejoredu.gob.mx -> DNS ESERVFAIL; intento 3 www.mejoredu.gob.mx -> HTTP 000/timeout via curl. Receta manual: buscar ""Mejoredu bases de datos PLANEA"" en un navegador, o navegar directo a mejoredu.gob.mx (menos de un minuto)"	2026-08-08
CIDE_Panel_Mexico_2006	repositorio_academico	CIDE (con Reforma/NSF; Lawson/Magaloni/Moreno et al.)	http://investigadores.cide.edu/aparicio/data/encuestas/MexicoPanel2006/Methodological_Report.pdf ; mirror https://www.redalyc.org/pdf/603/60327293004.pdf	microdato	oct-2005 a jul-2006, 3 olas	individuo, mismo panel re-entrevistado (2400 -> 1770 -> 1594)	nacional	declarado que si por fuentes secundarias, no verificado descargando	no determinada (host primario caido; mirror no confirma terminos)		panel (posible, sin desenlace de las 33 necesidades confirmado)	NO OBTENIDO POR ESTE AGENTE EN 2 INTENTOS	"Intento 1 URL primaria -> DNS ENOTFOUND (investigadores.cide.edu no resuelve). Intento 2 mirror redalyc.org -> PDF recuperado pero contenido binario/no legible por la herramienta. Contenido inferido de 2 WebSearch (abstract redalyc, cruce ICPSR): panel electoral de 3 olas, sin contenido financiero/crediticio confirmado. Receta manual: buscar ""Panel Mexico 2006 Lawson Magaloni Moreno"" o revisar mexicopanelstudy.mit.edu"	2026-08-08
ICPSR_Mexico_Panel_Study_2012	repositorio_academico	ICPSR/Universidad de Michigan (Dominguez, Greene, Lawson, Moreno; campo DATA OPM)	https://www.icpsr.umich.edu/web/RCMD/studies/35024	microdato	2012, 2 olas (campaña presidencial)	individuo, mismo panel re-entrevistado (compra de voto, crimen/violencia, eleccion de voto)	nacional	si, declarado -- version restringida	"NO-ACCESIBLE -- exige ""Restricted Data Use Agreement"", no es solo registro gratuito"	N26, N27	panel con desenlace (eleccion de voto) dentro del MISMO instrumento que compra de voto/violencia -- candidata real a llave ADR-57(c), variables no verificadas por acceso restringido	NO-ACCESIBLE	Pagina intentada directo -> HTTP 403; contenido recuperado via 2 WebSearch con snippets de la propia pagina ICPSR, confirma acuerdo de datos restringido como condicion de descarga	2026-08-08
ESRU_EMOVI_Movilidad_Social	repositorio_academico	CEEY / COLMEX (Fundacion ESRU)	https://movilidadsocial.colmex.mx/encuesta/	microdato	2006, 2011, 2015, 2017, 2023 -- 5 levantamientos independientes (no panel), cada uno transversal retrospectivo	individuo/hogar; EMOVI-2015 especificamente diadas padre-hijo(a) 12-18 anos	nacional (EMOVI-2015: localidades urbanas >100k habitantes)	si, confirmado -- Stata 12, por tema (roster/adultos/jovenes/aspiraciones)	libre y gratuito, confirmado explicitamente en la pagina	N21 (parcial)		EXISTE-NO-SATISFACE	Pagina EMOVI-2015 abierta y leida completa. Cubre movilidad intergeneracional (activos, educacion, habilidades, aspiraciones) pero declara EXPLICITAMENTE que no cubre consumo, credito ni compra de marca -- el desenlace exacto que R1.4 pide esta ausente	2026-08-08
