calc_id	celda_eje	codigo_eje	celda_sexo	codigo_sexo	resultado_base	resultado_p_id	punto	resultado_ic_lo_id	ic95_lo	resultado_ic_hi_id	ic95_hi	resultado_nivel_id	nivel	resultado_tipo_id	tipo_incertidumbre	unidad	seleccion_tramite	universo_p7_3	evento_p7_3	ponderador	rango_edad	codigos_niv_escolaridad	ola_objetivo	marginal_nacional	cobertura_marginal_nacional	marginal_eje	cobertura_marginal_eje	marginal_sexo	cobertura_marginal_sexo	cobertura_predictor_cruce	estado_compatibilidad	campos_piloto_pendientes	sha_spec_md	sha_spec_yaml	sha_codigo	sha_resultados	sha_sello	commit_freeze	commit_corrida
CALC-ASTRA-ENCIG-EDADXSEXO-0001	edad	18-29	HOMBRE	1	RESULT-ASTRA-ENCIG-EDADXSEXO-18-29-1	RESULT-ASTRA-ENCIG-EDADXSEXO-18-29-1-P	0.7501647099453267	RESULT-ASTRA-ENCIG-EDADXSEXO-18-29-1-IC-LO	0.7026561308785355	RESULT-ASTRA-ENCIG-EDADXSEXO-18-29-1-IC-HI	0.7923260229283924	RESULT-ASTRA-ENCIG-EDADXSEXO-18-29-1-NIVEL	0.95	RESULT-ASTRA-ENCIG-EDADXSEXO-18-29-1-TIPO	PREDICTIVO-CONDICIONAL-MARGINALES-2025-FIJOS	TRAMITE	N_TRA=01,pago-ordinario-luz	01,02,04,05,06	04,05	FAC_TRA	18-29	NO-APLICA	ENCIG-2025	0.673393	1.000000	0.751812	0.994308	0.681276	1.000000	0.994308	PENDIENTE-DE-SPEC	claves-y-orden-de-celdas;unidad-tramite;N_TRA-01;denominador-P7_3-01,02,04,05,06;evento-04,05;FAC_TRA;codigos-ejes;fuente-y-precision-marginales;dominio-comun-edad;metodo-DeltaMAE-e-IC;cronologia-antes-COMMIT-2	6086b46b82c34c996c5d71535e8ed0bdb14b857a359becc00620caa21db10ea0	c5e72bdc052b14f341c06619daaadb5ca98f730bd69d8eafb648f5c3c788c3a8	62069f8945c1ae9a2d3600f28f5b8ca6561d2119244c7c788e5c978c75ab6f52	be56470b7c15123c04d571f69a7330ff2deecede4b307cc774a3313963c91cb7	6e94e0a11caea6c0bff075021e3e0d090bf44bd43b3e29d480d0ef041b8aee66	044c3f32c3611edbe1b951d8d0a5b6c45e650351	044c3f32c3611edbe1b951d8d0a5b6c45e650351
CALC-ASTRA-ENCIG-EDADXSEXO-0001	edad	18-29	MUJER	2	RESULT-ASTRA-ENCIG-EDADXSEXO-18-29-2	RESULT-ASTRA-ENCIG-EDADXSEXO-18-29-2-P	0.7536545763635717	RESULT-ASTRA-ENCIG-EDADXSEXO-18-29-2-IC-LO	0.7063495385094632	RESULT-ASTRA-ENCIG-EDADXSEXO-18-29-2-IC-HI	0.7955448842296804	RESULT-ASTRA-ENCIG-EDADXSEXO-18-29-2-NIVEL	0.95	RESULT-ASTRA-ENCIG-EDADXSEXO-18-29-2-TIPO	PREDICTIVO-CONDICIONAL-MARGINALES-2025-FIJOS	TRAMITE	N_TRA=01,pago-ordinario-luz	01,02,04,05,06	04,05	FAC_TRA	18-29	NO-APLICA	ENCIG-2025	0.673393	1.000000	0.751812	0.994308	0.665192	1.000000	0.994308	PENDIENTE-DE-SPEC	claves-y-orden-de-celdas;unidad-tramite;N_TRA-01;denominador-P7_3-01,02,04,05,06;evento-04,05;FAC_TRA;codigos-ejes;fuente-y-precision-marginales;dominio-comun-edad;metodo-DeltaMAE-e-IC;cronologia-antes-COMMIT-2	6086b46b82c34c996c5d71535e8ed0bdb14b857a359becc00620caa21db10ea0	c5e72bdc052b14f341c06619daaadb5ca98f730bd69d8eafb648f5c3c788c3a8	62069f8945c1ae9a2d3600f28f5b8ca6561d2119244c7c788e5c978c75ab6f52	be56470b7c15123c04d571f69a7330ff2deecede4b307cc774a3313963c91cb7	6e94e0a11caea6c0bff075021e3e0d090bf44bd43b3e29d480d0ef041b8aee66	044c3f32c3611edbe1b951d8d0a5b6c45e650351	044c3f32c3611edbe1b951d8d0a5b6c45e650351
CALC-ASTRA-ENCIG-EDADXSEXO-0001	edad	30-44	HOMBRE	1	RESULT-ASTRA-ENCIG-EDADXSEXO-30-44-1	RESULT-ASTRA-ENCIG-EDADXSEXO-30-44-1-P	0.7845498755101183	RESULT-ASTRA-ENCIG-EDADXSEXO-30-44-1-IC-LO	0.7420753674154398	RESULT-ASTRA-ENCIG-EDADXSEXO-30-44-1-IC-HI	0.8217102814803339	RESULT-ASTRA-ENCIG-EDADXSEXO-30-44-1-NIVEL	0.95	RESULT-ASTRA-ENCIG-EDADXSEXO-30-44-1-TIPO	PREDICTIVO-CONDICIONAL-MARGINALES-2025-FIJOS	TRAMITE	N_TRA=01,pago-ordinario-luz	01,02,04,05,06	04,05	FAC_TRA	30-44	NO-APLICA	ENCIG-2025	0.673393	1.000000	0.774735	0.994308	0.681276	1.000000	0.994308	PENDIENTE-DE-SPEC	claves-y-orden-de-celdas;unidad-tramite;N_TRA-01;denominador-P7_3-01,02,04,05,06;evento-04,05;FAC_TRA;codigos-ejes;fuente-y-precision-marginales;dominio-comun-edad;metodo-DeltaMAE-e-IC;cronologia-antes-COMMIT-2	6086b46b82c34c996c5d71535e8ed0bdb14b857a359becc00620caa21db10ea0	c5e72bdc052b14f341c06619daaadb5ca98f730bd69d8eafb648f5c3c788c3a8	62069f8945c1ae9a2d3600f28f5b8ca6561d2119244c7c788e5c978c75ab6f52	be56470b7c15123c04d571f69a7330ff2deecede4b307cc774a3313963c91cb7	6e94e0a11caea6c0bff075021e3e0d090bf44bd43b3e29d480d0ef041b8aee66	044c3f32c3611edbe1b951d8d0a5b6c45e650351	044c3f32c3611edbe1b951d8d0a5b6c45e650351
CALC-ASTRA-ENCIG-EDADXSEXO-0001	edad	30-44	MUJER	2	RESULT-ASTRA-ENCIG-EDADXSEXO-30-44-2	RESULT-ASTRA-ENCIG-EDADXSEXO-30-44-2-P	0.7651453789163682	RESULT-ASTRA-ENCIG-EDADXSEXO-30-44-2-IC-LO	0.720241491896084	RESULT-ASTRA-ENCIG-EDADXSEXO-30-44-2-IC-HI	0.8047951931824885	RESULT-ASTRA-ENCIG-EDADXSEXO-30-44-2-NIVEL	0.95	RESULT-ASTRA-ENCIG-EDADXSEXO-30-44-2-TIPO	PREDICTIVO-CONDICIONAL-MARGINALES-2025-FIJOS	TRAMITE	N_TRA=01,pago-ordinario-luz	01,02,04,05,06	04,05	FAC_TRA	30-44	NO-APLICA	ENCIG-2025	0.673393	1.000000	0.774735	0.994308	0.665192	1.000000	0.994308	PENDIENTE-DE-SPEC	claves-y-orden-de-celdas;unidad-tramite;N_TRA-01;denominador-P7_3-01,02,04,05,06;evento-04,05;FAC_TRA;codigos-ejes;fuente-y-precision-marginales;dominio-comun-edad;metodo-DeltaMAE-e-IC;cronologia-antes-COMMIT-2	6086b46b82c34c996c5d71535e8ed0bdb14b857a359becc00620caa21db10ea0	c5e72bdc052b14f341c06619daaadb5ca98f730bd69d8eafb648f5c3c788c3a8	62069f8945c1ae9a2d3600f28f5b8ca6561d2119244c7c788e5c978c75ab6f52	be56470b7c15123c04d571f69a7330ff2deecede4b307cc774a3313963c91cb7	6e94e0a11caea6c0bff075021e3e0d090bf44bd43b3e29d480d0ef041b8aee66	044c3f32c3611edbe1b951d8d0a5b6c45e650351	044c3f32c3611edbe1b951d8d0a5b6c45e650351
CALC-ASTRA-ENCIG-EDADXSEXO-0001	edad	45-59	HOMBRE	1	RESULT-ASTRA-ENCIG-EDADXSEXO-45-59-1	RESULT-ASTRA-ENCIG-EDADXSEXO-45-59-1-P	0.6824541771683179	RESULT-ASTRA-ENCIG-EDADXSEXO-45-59-1-IC-LO	0.629335629410551	RESULT-ASTRA-ENCIG-EDADXSEXO-45-59-1-IC-HI	0.7312116708480524	RESULT-ASTRA-ENCIG-EDADXSEXO-45-59-1-NIVEL	0.95	RESULT-ASTRA-ENCIG-EDADXSEXO-45-59-1-TIPO	PREDICTIVO-CONDICIONAL-MARGINALES-2025-FIJOS	TRAMITE	N_TRA=01,pago-ordinario-luz	01,02,04,05,06	04,05	FAC_TRA	45-59	NO-APLICA	ENCIG-2025	0.673393	1.000000	0.669153	0.994308	0.681276	1.000000	0.994308	PENDIENTE-DE-SPEC	claves-y-orden-de-celdas;unidad-tramite;N_TRA-01;denominador-P7_3-01,02,04,05,06;evento-04,05;FAC_TRA;codigos-ejes;fuente-y-precision-marginales;dominio-comun-edad;metodo-DeltaMAE-e-IC;cronologia-antes-COMMIT-2	6086b46b82c34c996c5d71535e8ed0bdb14b857a359becc00620caa21db10ea0	c5e72bdc052b14f341c06619daaadb5ca98f730bd69d8eafb648f5c3c788c3a8	62069f8945c1ae9a2d3600f28f5b8ca6561d2119244c7c788e5c978c75ab6f52	be56470b7c15123c04d571f69a7330ff2deecede4b307cc774a3313963c91cb7	6e94e0a11caea6c0bff075021e3e0d090bf44bd43b3e29d480d0ef041b8aee66	044c3f32c3611edbe1b951d8d0a5b6c45e650351	044c3f32c3611edbe1b951d8d0a5b6c45e650351
CALC-ASTRA-ENCIG-EDADXSEXO-0001	edad	45-59	MUJER	2	RESULT-ASTRA-ENCIG-EDADXSEXO-45-59-2	RESULT-ASTRA-ENCIG-EDADXSEXO-45-59-2-P	0.6569850035697519	RESULT-ASTRA-ENCIG-EDADXSEXO-45-59-2-IC-LO	0.6021552326172536	RESULT-ASTRA-ENCIG-EDADXSEXO-45-59-2-IC-HI	0.7079235808964632	RESULT-ASTRA-ENCIG-EDADXSEXO-45-59-2-NIVEL	0.95	RESULT-ASTRA-ENCIG-EDADXSEXO-45-59-2-TIPO	PREDICTIVO-CONDICIONAL-MARGINALES-2025-FIJOS	TRAMITE	N_TRA=01,pago-ordinario-luz	01,02,04,05,06	04,05	FAC_TRA	45-59	NO-APLICA	ENCIG-2025	0.673393	1.000000	0.669153	0.994308	0.665192	1.000000	0.994308	PENDIENTE-DE-SPEC	claves-y-orden-de-celdas;unidad-tramite;N_TRA-01;denominador-P7_3-01,02,04,05,06;evento-04,05;FAC_TRA;codigos-ejes;fuente-y-precision-marginales;dominio-comun-edad;metodo-DeltaMAE-e-IC;cronologia-antes-COMMIT-2	6086b46b82c34c996c5d71535e8ed0bdb14b857a359becc00620caa21db10ea0	c5e72bdc052b14f341c06619daaadb5ca98f730bd69d8eafb648f5c3c788c3a8	62069f8945c1ae9a2d3600f28f5b8ca6561d2119244c7c788e5c978c75ab6f52	be56470b7c15123c04d571f69a7330ff2deecede4b307cc774a3313963c91cb7	6e94e0a11caea6c0bff075021e3e0d090bf44bd43b3e29d480d0ef041b8aee66	044c3f32c3611edbe1b951d8d0a5b6c45e650351	044c3f32c3611edbe1b951d8d0a5b6c45e650351
CALC-ASTRA-ENCIG-EDADXSEXO-0001	edad	60-96	HOMBRE	1	RESULT-ASTRA-ENCIG-EDADXSEXO-60-96-1	RESULT-ASTRA-ENCIG-EDADXSEXO-60-96-1-P	0.4891365841973356	RESULT-ASTRA-ENCIG-EDADXSEXO-60-96-1-IC-LO	0.43045893706436267	RESULT-ASTRA-ENCIG-EDADXSEXO-60-96-1-IC-HI	0.548115135524368	RESULT-ASTRA-ENCIG-EDADXSEXO-60-96-1-NIVEL	0.95	RESULT-ASTRA-ENCIG-EDADXSEXO-60-96-1-TIPO	PREDICTIVO-CONDICIONAL-MARGINALES-2025-FIJOS	TRAMITE	N_TRA=01,pago-ordinario-luz	01,02,04,05,06	04,05	FAC_TRA	60-96	NO-APLICA	ENCIG-2025	0.673393	1.000000	0.475822	0.994308	0.681276	1.000000	0.994308	PENDIENTE-DE-SPEC	claves-y-orden-de-celdas;unidad-tramite;N_TRA-01;denominador-P7_3-01,02,04,05,06;evento-04,05;FAC_TRA;codigos-ejes;fuente-y-precision-marginales;dominio-comun-edad;metodo-DeltaMAE-e-IC;cronologia-antes-COMMIT-2	6086b46b82c34c996c5d71535e8ed0bdb14b857a359becc00620caa21db10ea0	c5e72bdc052b14f341c06619daaadb5ca98f730bd69d8eafb648f5c3c788c3a8	62069f8945c1ae9a2d3600f28f5b8ca6561d2119244c7c788e5c978c75ab6f52	be56470b7c15123c04d571f69a7330ff2deecede4b307cc774a3313963c91cb7	6e94e0a11caea6c0bff075021e3e0d090bf44bd43b3e29d480d0ef041b8aee66	044c3f32c3611edbe1b951d8d0a5b6c45e650351	044c3f32c3611edbe1b951d8d0a5b6c45e650351
CALC-ASTRA-ENCIG-EDADXSEXO-0001	edad	60-96	MUJER	2	RESULT-ASTRA-ENCIG-EDADXSEXO-60-96-2	RESULT-ASTRA-ENCIG-EDADXSEXO-60-96-2-P	0.4563152222219206	RESULT-ASTRA-ENCIG-EDADXSEXO-60-96-2-IC-LO	0.3977617586499313	RESULT-ASTRA-ENCIG-EDADXSEXO-60-96-2-IC-HI	0.5161015129595181	RESULT-ASTRA-ENCIG-EDADXSEXO-60-96-2-NIVEL	0.95	RESULT-ASTRA-ENCIG-EDADXSEXO-60-96-2-TIPO	PREDICTIVO-CONDICIONAL-MARGINALES-2025-FIJOS	TRAMITE	N_TRA=01,pago-ordinario-luz	01,02,04,05,06	04,05	FAC_TRA	60-96	NO-APLICA	ENCIG-2025	0.673393	1.000000	0.475822	0.994308	0.665192	1.000000	0.994308	PENDIENTE-DE-SPEC	claves-y-orden-de-celdas;unidad-tramite;N_TRA-01;denominador-P7_3-01,02,04,05,06;evento-04,05;FAC_TRA;codigos-ejes;fuente-y-precision-marginales;dominio-comun-edad;metodo-DeltaMAE-e-IC;cronologia-antes-COMMIT-2	6086b46b82c34c996c5d71535e8ed0bdb14b857a359becc00620caa21db10ea0	c5e72bdc052b14f341c06619daaadb5ca98f730bd69d8eafb648f5c3c788c3a8	62069f8945c1ae9a2d3600f28f5b8ca6561d2119244c7c788e5c978c75ab6f52	be56470b7c15123c04d571f69a7330ff2deecede4b307cc774a3313963c91cb7	6e94e0a11caea6c0bff075021e3e0d090bf44bd43b3e29d480d0ef041b8aee66	044c3f32c3611edbe1b951d8d0a5b6c45e650351	044c3f32c3611edbe1b951d8d0a5b6c45e650351
CALC-ASTRA-ENCIG-ESCOLARIDADXSEXO-0001	escolaridad	HASTA-PRIMARIA	HOMBRE	1	RESULT-ASTRA-ENCIG-ESCOLARIDADXSEXO-HASTA-PRIMARIA-1	RESULT-ASTRA-ENCIG-ESCOLARIDADXSEXO-HASTA-PRIMARIA-1-P	0.38792066896830824	RESULT-ASTRA-ENCIG-ESCOLARIDADXSEXO-HASTA-PRIMARIA-1-IC-LO	0.332200560302412	RESULT-ASTRA-ENCIG-ESCOLARIDADXSEXO-HASTA-PRIMARIA-1-IC-HI	0.44673461262771114	RESULT-ASTRA-ENCIG-ESCOLARIDADXSEXO-HASTA-PRIMARIA-1-NIVEL	0.95	RESULT-ASTRA-ENCIG-ESCOLARIDADXSEXO-HASTA-PRIMARIA-1-TIPO	PREDICTIVO-CONDICIONAL-MARGINALES-2025-FIJOS	TRAMITE	N_TRA=01,pago-ordinario-luz	01,02,04,05,06	04,05	FAC_TRA	NO-APLICA	00,01,02	ENCIG-2025	0.673393	1.000000	0.391961	1.000000	0.681276	1.000000	1.000000	PENDIENTE-DE-SPEC	claves-y-orden-de-celdas;unidad-tramite;N_TRA-01;denominador-P7_3-01,02,04,05,06;evento-04,05;FAC_TRA;codigos-ejes;fuente-y-precision-marginales;dominio-comun-edad;metodo-DeltaMAE-e-IC;cronologia-antes-COMMIT-2	7936304a9ceb72f2c776e21d56366f732d8b8e79eee08079c891fe6410e46db5	c9bd4e328c97ebb1f2fc368f7aa95241993c062aff27203ddf33dc5f589275b6	62069f8945c1ae9a2d3600f28f5b8ca6561d2119244c7c788e5c978c75ab6f52	ebd53cf16c4f920b4c3d439f558cbd5d73e6075e6dd155c88bb9d54787b8057f	e0dcdf3d50591cad952976aab3c14bba6eabb8e930eaf149877b5a666aa1e6ad	044c3f32c3611edbe1b951d8d0a5b6c45e650351	0ad7f0f88f6b6acac10c5901abb9e6d95742345c
CALC-ASTRA-ENCIG-ESCOLARIDADXSEXO-0001	escolaridad	HASTA-PRIMARIA	MUJER	2	RESULT-ASTRA-ENCIG-ESCOLARIDADXSEXO-HASTA-PRIMARIA-2	RESULT-ASTRA-ENCIG-ESCOLARIDADXSEXO-HASTA-PRIMARIA-2-P	0.39704057142996924	RESULT-ASTRA-ENCIG-ESCOLARIDADXSEXO-HASTA-PRIMARIA-2-IC-LO	0.341105840574045	RESULT-ASTRA-ENCIG-ESCOLARIDADXSEXO-HASTA-PRIMARIA-2-IC-HI	0.45580246275493697	RESULT-ASTRA-ENCIG-ESCOLARIDADXSEXO-HASTA-PRIMARIA-2-NIVEL	0.95	RESULT-ASTRA-ENCIG-ESCOLARIDADXSEXO-HASTA-PRIMARIA-2-TIPO	PREDICTIVO-CONDICIONAL-MARGINALES-2025-FIJOS	TRAMITE	N_TRA=01,pago-ordinario-luz	01,02,04,05,06	04,05	FAC_TRA	NO-APLICA	00,01,02	ENCIG-2025	0.673393	1.000000	0.391961	1.000000	0.665192	1.000000	1.000000	PENDIENTE-DE-SPEC	claves-y-orden-de-celdas;unidad-tramite;N_TRA-01;denominador-P7_3-01,02,04,05,06;evento-04,05;FAC_TRA;codigos-ejes;fuente-y-precision-marginales;dominio-comun-edad;metodo-DeltaMAE-e-IC;cronologia-antes-COMMIT-2	7936304a9ceb72f2c776e21d56366f732d8b8e79eee08079c891fe6410e46db5	c9bd4e328c97ebb1f2fc368f7aa95241993c062aff27203ddf33dc5f589275b6	62069f8945c1ae9a2d3600f28f5b8ca6561d2119244c7c788e5c978c75ab6f52	ebd53cf16c4f920b4c3d439f558cbd5d73e6075e6dd155c88bb9d54787b8057f	e0dcdf3d50591cad952976aab3c14bba6eabb8e930eaf149877b5a666aa1e6ad	044c3f32c3611edbe1b951d8d0a5b6c45e650351	0ad7f0f88f6b6acac10c5901abb9e6d95742345c
