slot	consumidor	tipo_uso	generacion_actual	valor_actual	estimando_requerido	calc_candidato	result_candidato	valor_candidato	veredicto	veredicto_sellado_ref	via_autorizada	replay_ref	firma_o_pin	siguiente_operacion	razon
RES-0001	milpa/tramite.yaml:tramite.mordida.discrecional:paga_mordida	conducta_p_asignado	LEGACY-GEN1	0.62	tramite.mordida.discrecional:paga_mordida	CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1			SIN-CANDIDATO	CALC-ENCIG-2023-0001/RESULT-ENCIG23-MOR-B-ADOPCION=NO-ADOPTABLE-NO-ESTIMABLE;CALC-ENCIG-2023-0001-v1_1/RESULT-ENCIG23-MOR-B-ADOPCION=LISTADO-PARA-MESA-ESTIMABLE	NINGUNA-ACREDITADA			RESOLVER-CONFLICTO-DE-RESULT-Y-FP	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1
RES-0002	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal	conducta_p_asignado	LEGACY-GEN1	0.38	tramite.mordida.discrecional:tramite_normal	CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1			SIN-CANDIDATO	CALC-ENCIG-2023-0001/RESULT-ENCIG23-MOR-B-ADOPCION=NO-ADOPTABLE-NO-ESTIMABLE;CALC-ENCIG-2023-0001-v1_1/RESULT-ENCIG23-MOR-B-ADOPCION=LISTADO-PARA-MESA-ESTIMABLE	NINGUNA-ACREDITADA			RESOLVER-CONFLICTO-DE-RESULT-Y-FP	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1
RES-0004	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal_encig2025	conducta_p_medido	LEGACY-GEN1	0.914882	tramite.mordida.discrecional:tramite_normal_encig2025	CALC-ENCIG-0001	RESULT-ENCIG-MOR-A-P-NORMAL-SOL1	0.9148818544346554	NO-ADOPTABLE-POR-VEREDICTO-SELLADO	CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS	C2-RESULTADO	CALC-ENCIG-0001--c3ae00e62e59		NUEVO-CALC-EXACTO-O-DICTAMEN-DE-IMPEDIMENTO	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS = COMPLEMENTO-CON-DENOMINADOR-RECORTADO
RES-0006	milpa/tramite.yaml:tramite.mordida.discrecional:sin_solicitud_y_sin_entrega_encuci2020	conducta_p_derivado	LEGACY-GEN1	0.873994	tramite.mordida.discrecional:sin_solicitud_y_sin_entrega_encuci2020	CALC-ENCUCI-0001	RESULT-ENCUCI-A-P-COMPLEMENTO-CUALQUIERA	0.8739943899100835	VETADO-POR-DECISION	CALC-ENCUCI-0001/RESULT-ENCUCI-A-ADOPCION-P3-COMPLEMENTO	C2-RESULTADO	CALC-ENCUCI-0001--18d21cdff449		NUEVO-CALC-EXACTO-O-DICTAMEN-DE-IMPEDIMENTO	CALC-ENCUCI-0001: DESTINO-SIN-CITA:SIN CITA (D1, NC-0108, complemento derivado)
RES-0007	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal	conducta_p_asignado	LEGACY-GEN1	0.88	tramite.mordida.con_registro:tramite_normal	CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1			SIN-CANDIDATO	CALC-ENCIG-2023-0001/RESULT-ENCIG23-MOR-B-ADOPCION=NO-ADOPTABLE-NO-ESTIMABLE;CALC-ENCIG-2023-0001-v1_1/RESULT-ENCIG23-MOR-B-ADOPCION=LISTADO-PARA-MESA-ESTIMABLE	NINGUNA-ACREDITADA			RESOLVER-CONFLICTO-DE-RESULT-Y-FP	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1
RES-0008	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida	conducta_p_asignado	LEGACY-GEN1	0.12	tramite.mordida.con_registro:paga_mordida	CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1			SIN-CANDIDATO	CALC-ENCIG-2023-0001/RESULT-ENCIG23-MOR-B-ADOPCION=NO-ADOPTABLE-NO-ESTIMABLE;CALC-ENCIG-2023-0001-v1_1/RESULT-ENCIG23-MOR-B-ADOPCION=LISTADO-PARA-MESA-ESTIMABLE	NINGUNA-ACREDITADA			RESOLVER-CONFLICTO-DE-RESULT-Y-FP	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1
RES-0009	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_presencial	conducta_p_medido	LEGACY-GEN1	0.116	tramite.mordida.con_registro:paga_mordida_encig2025_presencial	CALC-ENCIG-0001	RESULT-ENCIG-MOR-B-P-PRE-CD	0.11596772958189888	NO-ADOPTABLE-POR-VEREDICTO-SELLADO	CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-RES-0009	C1-MAPA;C2-RESULTADO	CALC-ENCIG-0001--c3ae00e62e59		NUEVO-CALC-EXACTO-O-DICTAMEN-DE-IMPEDIMENTO	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-RES-0009 = NO-ADOPTABLE-POR-GRANO:-0.000032000
RES-0010	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_presencial	conducta_p_derivado	LEGACY-GEN1	0.884	tramite.mordida.con_registro:tramite_normal_encig2025_presencial	CALC-ENCIG-0001	RESULT-ENCIG-MOR-B-P-NORMAL-PRE-CD	0.8840322704181012	NO-ADOPTABLE-POR-VEREDICTO-SELLADO	CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS	C2-RESULTADO	CALC-ENCIG-0001--c3ae00e62e59		NUEVO-CALC-EXACTO-O-DICTAMEN-DE-IMPEDIMENTO	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS = COMPLEMENTO-CON-DENOMINADOR-RECORTADO
RES-0011	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_digital	conducta_p_medido	LEGACY-GEN1	0.027358	tramite.mordida.con_registro:paga_mordida_encig2025_digital	CALC-ENCIG-0001	RESULT-ENCIG-MOR-B-P-DIG-CD	0.027355637658224144	NO-ADOPTABLE-POR-VEREDICTO-SELLADO	CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-RES-0011	C1-MAPA;C2-RESULTADO	CALC-ENCIG-0001--c3ae00e62e59		NUEVO-CALC-EXACTO-O-DICTAMEN-DE-IMPEDIMENTO	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-RES-0011 = NO-ADOPTABLE-POR-GRANO:-0.000002000
RES-0012	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_digital	conducta_p_derivado	LEGACY-GEN1	0.972642	tramite.mordida.con_registro:tramite_normal_encig2025_digital	CALC-ENCIG-0001	RESULT-ENCIG-MOR-B-P-NORMAL-DIG-CD	0.9726443623417759	NO-ADOPTABLE-POR-VEREDICTO-SELLADO	CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS	C2-RESULTADO	CALC-ENCIG-0001--c3ae00e62e59		NUEVO-CALC-EXACTO-O-DICTAMEN-DE-IMPEDIMENTO	veredicto sellado CALC-ENCIG-0001/RESULT-ENCIG-MOR-ADOPCION-P3-COMPLEMENTOS = COMPLEMENTO-CON-DENOMINADOR-RECORTADO
