result_id	calc	consumidor	regla	tipo_uso	pin_de_mesa	origen_numerico
RESULT-B-ENIGH-2022-P	CALC-B-0001	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:M	FAM-M-05	celda_M	marco-M::FAM-M-05::M · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-4.md · 21/sep/2026 · §2 (firma de direccion 7bf5-01, mandato de mesa del 21/sep/2026)	NUEVO
RESULT-B-ENIGH-2022-P	CALC-B-0001	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:M	FAM-M-06	celda_M	marco-M::FAM-M-06::M · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-4.md · 21/sep/2026 · §2 (firma de direccion 7bf5-01, mandato de mesa del 21/sep/2026)	NUEVO
RESULT-B-ENIGH-2022-P	CALC-B-0001	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:M	FAM-M-07	celda_M	marco-M::FAM-M-07::M · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-4.md · 21/sep/2026 · §2 (firma de direccion 7bf5-01, mandato de mesa del 21/sep/2026)	NUEVO
RESULT-B-ENIGH-2022-P	CALC-B-0001	milpa/tramite.yaml:familia.seguro.volatilidad_ausencia_estado:recibe_remesas	familia.seguro.volatilidad_ausencia_estado	conducta_p_medido		NUEVO
RESULT-DFVEJEZ-A-P-NO-RECIBE	CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1	milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:no_recibe_dinero_familiares_para_vejez	familia.apoyo.recibe_dinero_familiares	conducta_p_medido		NUEVO
RESULT-DFVEJEZ-A-P-RECIBE	CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:M	FAM-M-01	celda_M	marco-M::FAM-M-01::M · forense/encargos/2026-09-21-GEN2-RELEVO-TANDA-3.md · 21/sep/2026 · §2 (firma 4.1 del 21/sep/2026)	NUEVO
RESULT-DFVEJEZ-A-P-RECIBE	CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1	milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:recibe_dinero_familiares_para_vejez	familia.apoyo.recibe_dinero_familiares	conducta_p_medido		NUEVO
RESULT-DIN-LXE8-C2-P-L1xE1	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	marcador:CRUCE::DIN.ahorro_solo_informal.enif2024.localidad_x_edad::L1xE1	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	ADOPCION-POR-FIRMA		NUEVO
RESULT-DIN-LXE8-C2-P-L1xE2	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	marcador:CRUCE::DIN.ahorro_solo_informal.enif2024.localidad_x_edad::L1xE2	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	ADOPCION-POR-FIRMA		NUEVO
RESULT-DIN-LXE8-C2-P-L1xE3	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	marcador:CRUCE::DIN.ahorro_solo_informal.enif2024.localidad_x_edad::L1xE3	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	ADOPCION-POR-FIRMA		NUEVO
RESULT-DIN-LXE8-C2-P-L1xE4	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	marcador:CRUCE::DIN.ahorro_solo_informal.enif2024.localidad_x_edad::L1xE4	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	ADOPCION-POR-FIRMA		NUEVO
