report	dominio	estado	estimadores_v1_2	calc_gen2_sin_adoptar	afirmaciones	medible_en_corpus	medible_con_adquisicion	no_medible_por_diseno
Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	TECNOLOGIA	MEDIDO	1827	0	49	17	18	14
Ausencia_sin_certeza__duelo_y_pérdida_ambigua_en_familias_de_personas_desaparecidas_en_México.md	DUELO	MEDIBLE-EN-CORPUS-SIN-CALC	0	0	33	3	23	7
Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	AUTORIDAD	MEDIBLE-EN-CORPUS-SIN-CALC	0	0	39	8	19	12
Behavioral_Finance_Mexicano__Estructura__Adaptación_Racional_y_Cultura_en_el_Ahorro__Crédito_y_Riesgo.md	DINERO	MEDIDO	100	0	179	40	89	50
Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md	CONFIANZA	MEDIDO	826	0	59	20	24	15
El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md	MOVILIDAD	EN-MEDICIÓN	0	7	56	4	41	11
El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md	VIOLENCIA	MEDIBLE-EN-CORPUS-SIN-CALC	0	0	56	11	36	9
El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md	TIEMPO	EN-MEDICIÓN	0	4	20	4	6	10
El_México_Rural_e_Indígena_en_sus_Propios_Términos__Comunalidad__Autoridad_y_Reciprocidad_como_Sistemas_con_Lógica_Propia.md	RURAL_INDIGENA	MEDIBLE-EN-CORPUS-SIN-CALC	0	0	56	7	30	19
Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	PAREJA	MEDIBLE-EN-CORPUS-SIN-CALC	0	0	32	1	18	13
Genetica_y_Conducta_del_Mexicano_Contemporaneo__Canal_Individual_vs__Estructura.md	GENETICA	MEDIBLE-CON-ADQUISICIÓN	0	0	38	0	35	3
Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md	SALUD	MEDIDO	800	2	64	13	31	20
Humor_in_Mexican_Psychological_Life__2023-2026_Update.md	HUMOR	MEDIBLE-CON-ADQUISICIÓN	0	0	29	0	17	12
La_arquitectura_invisible_de_la_interacción_social_en_México.md	INTERACCION	MEDIBLE-CON-ADQUISICIÓN	0	0	21	0	13	8
La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md	FAMILIA_CUIDADOS	MEDIDO	709	0	46	6	27	13
Mexican_Population_Genomics__2025-2026_Scientific_and_Market_Opportunity_Update.md	GENOMICA	MEDIBLE-CON-ADQUISICIÓN	0	0	33	0	27	6
