llave	calc	causa	firma	nota
RESULT-DIN-LXE8-C2-P-L1xE1	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	PISO-HEREDADO-DE-LEGACY		re-medido por GEN2-PISOS-GEN2-2 (PR #1123: pisos y sucesores -0002 sellados, sin adopción firmada; censo 2026-09-24-GEN2-ENCIG-PISOS-GEN2-1-censo.tsv)
RESULT-DIN-LXE8-C2-P-L1xE2	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	PISO-HEREDADO-DE-LEGACY		re-medido por GEN2-PISOS-GEN2-2 (PR #1123: pisos y sucesores -0002 sellados, sin adopción firmada; censo 2026-09-24-GEN2-ENCIG-PISOS-GEN2-1-censo.tsv)
RESULT-DIN-LXE8-C2-P-L1xE3	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	PISO-HEREDADO-DE-LEGACY		re-medido por GEN2-PISOS-GEN2-2 (PR #1123: pisos y sucesores -0002 sellados, sin adopción firmada; censo 2026-09-24-GEN2-ENCIG-PISOS-GEN2-1-censo.tsv)
RESULT-DIN-LXE8-C2-P-L1xE4	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	PISO-HEREDADO-DE-LEGACY		re-medido por GEN2-PISOS-GEN2-2 (PR #1123: pisos y sucesores -0002 sellados, sin adopción firmada; censo 2026-09-24-GEN2-ENCIG-PISOS-GEN2-1-censo.tsv)
RESULT-DIN-LXE8-C2-P-L2xE1	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	PISO-HEREDADO-DE-LEGACY		re-medido por GEN2-PISOS-GEN2-2 (PR #1123: pisos y sucesores -0002 sellados, sin adopción firmada; censo 2026-09-24-GEN2-ENCIG-PISOS-GEN2-1-censo.tsv)
RESULT-DIN-LXE8-C2-P-L2xE2	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	PISO-HEREDADO-DE-LEGACY		re-medido por GEN2-PISOS-GEN2-2 (PR #1123: pisos y sucesores -0002 sellados, sin adopción firmada; censo 2026-09-24-GEN2-ENCIG-PISOS-GEN2-1-censo.tsv)
RESULT-DIN-LXE8-C2-P-L2xE3	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	PISO-HEREDADO-DE-LEGACY		re-medido por GEN2-PISOS-GEN2-2 (PR #1123: pisos y sucesores -0002 sellados, sin adopción firmada; censo 2026-09-24-GEN2-ENCIG-PISOS-GEN2-1-censo.tsv)
RESULT-DIN-LXE8-C2-P-L2xE4	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	PISO-HEREDADO-DE-LEGACY		re-medido por GEN2-PISOS-GEN2-2 (PR #1123: pisos y sucesores -0002 sellados, sin adopción firmada; censo 2026-09-24-GEN2-ENCIG-PISOS-GEN2-1-censo.tsv)
RESULT-TRA-SXD12-C2-P-S1xD1	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	PISO-HEREDADO-DE-LEGACY		re-medido por GEN2-PISOS-GEN2-2 (PR #1123: pisos y sucesores -0002 sellados, sin adopción firmada; censo 2026-09-24-GEN2-ENCIG-PISOS-GEN2-1-censo.tsv)
RESULT-TRA-SXD12-C2-P-S1xD2	CALC-TRA-EVADE-NORMA-SXD-EMISIONES-0001	PISO-HEREDADO-DE-LEGACY		re-medido por GEN2-PISOS-GEN2-2 (PR #1123: pisos y sucesores -0002 sellados, sin adopción firmada; censo 2026-09-24-GEN2-ENCIG-PISOS-GEN2-1-censo.tsv)
