run_id	evento	conclusion	creado	espera_inicial_s	duracion_total_s	ruta_critica_job	ruta_critica_s
35616351333	push	success	2026-09-21T15:03:43Z	2.0	211.0	suite	203.0
35611048115	pull_request	success	2026-09-21T14:16:28Z	42.0	215.0	suite	167.0
35610753704	pull_request	cancelled	2026-09-21T14:13:55Z	95.0	192.0	suite	91.0
35610599152	pull_request	cancelled	2026-09-21T14:12:32Z	3.0	174.0	suite	165.0
35570344776	pull_request	success	2026-09-21T06:52:34Z	2.0	252.0	suite	207.0
35569597010	pull_request	failure	2026-09-21T06:42:03Z	2.0	209.0	suite	201.0
35568652217	pull_request	failure	2026-09-21T06:28:30Z	2.0	212.0	suite	204.0
35567946007	pull_request	failure	2026-09-21T06:19:10Z	2.0	223.0	adicionales	217.0
35566479159	push	success	2026-09-21T05:57:37Z	2.0	213.0	suite	205.0
35566233763	pull_request	success	2026-09-21T05:53:13Z	3.0	257.0	adicionales	246.0
35565539735	push	success	2026-09-21T05:42:14Z	3.0	244.0	adicionales	228.0
35565280009	pull_request	success	2026-09-21T05:38:14Z	2.0	227.0	adicionales	219.0
35564685069	pull_request	success	2026-09-21T05:29:01Z	2.0	251.0	adicionales	217.0
35564433615	push	success	2026-09-21T05:24:14Z	2.0	271.0	adicionales	264.0
35564312752	pull_request	failure	2026-09-21T05:21:54Z	2.0	224.0	adicionales	216.0
35564210328	pull_request	success	2026-09-21T05:20:09Z	2.0	211.0	suite	201.0
35563790557	pull_request	success	2026-09-21T05:13:16Z	2.0	224.0	adicionales	216.0
35563420838	push	success	2026-09-21T05:07:37Z	2.0	224.0	adicionales	217.0
35563137146	pull_request	success	2026-09-21T05:03:27Z	2.0	235.0	adicionales	226.0
35562711423	push	success	2026-09-21T04:56:30Z	3.0	232.0	adicionales	225.0
35562514260	pull_request	success	2026-09-21T04:52:32Z	2.0	222.0	adicionales	216.0
35561212672	push	failure	2026-09-21T04:30:01Z	2.0	234.0	adicionales	227.0
35561179929	pull_request	failure	2026-09-21T04:29:29Z	3.0	200.0	suite	191.0
35560738403	pull_request	failure	2026-09-21T04:22:38Z	2.0	203.0	adicionales	160.0
35560663420	pull_request	failure	2026-09-21T04:21:26Z	2.0	222.0	adicionales	215.0
35560346144	pull_request	failure	2026-09-21T04:16:29Z	2.0	224.0	adicionales	216.0
35559744600	push	failure	2026-09-21T04:06:02Z	2.0	187.0	adicionales	179.0
35559684678	pull_request	failure	2026-09-21T04:05:00Z	3.0	222.0	adicionales	212.0
35559484433	pull_request	success	2026-09-21T04:01:29Z	3.0	215.0	adicionales	206.0
35559286325	pull_request	failure	2026-09-21T03:57:54Z	22.0	242.0	adicionales	215.0
35559135450	push	success	2026-09-21T03:55:06Z	3.0	238.0	adicionales	228.0
35559055723	pull_request	cancelled	2026-09-21T03:53:42Z	60.0	272.0	adicionales	206.0
35558949921	pull_request	cancelled	2026-09-21T03:51:51Z	3.0	169.0	adicionales	124.0
35558764952	pull_request	success	2026-09-21T03:48:28Z	2.0	199.0	adicionales	190.0
35557564955	pull_request	success	2026-09-21T03:27:07Z	2.0	220.0	adicionales	214.0
35556721083	push	success	2026-09-21T03:12:09Z	3.0	234.0	adicionales	227.0
35556483108	pull_request	success	2026-09-21T03:08:20Z	2.0	186.0	adicionales	178.0
35556438029	pull_request	success	2026-09-21T03:07:36Z	22.0	242.0	adicionales	212.0
35556416082	pull_request	cancelled	2026-09-21T03:07:15Z	2.0	40.0	guardias	33.0
35555820656	push	success	2026-09-21T02:56:36Z	2.0	226.0	adicionales	220.0
35555602597	pull_request	success	2026-09-21T02:52:40Z	3.0	220.0	adicionales	213.0
35555184161	push	success	2026-09-21T02:44:50Z	3.0	228.0	adicionales	220.0
35555110286	pull_request	success	2026-09-21T02:43:29Z	3.0	180.0	adicionales	172.0
35554979250	pull_request	success	2026-09-21T02:41:00Z	2.0	223.0	adicionales	214.0
35554692592	push	success	2026-09-21T02:35:39Z	2.0	138.0	suite	131.0
35554608963	pull_request	success	2026-09-21T02:34:16Z	3.0	169.0	adicionales	160.0
35554019422	push	success	2026-09-21T02:23:31Z	3.0	237.0	adicionales	227.0
35553831870	pull_request	success	2026-09-21T02:20:07Z	2.0	164.0	adicionales	156.0
35553812062	pull_request	success	2026-09-21T02:19:46Z	2.0	171.0	adicionales	164.0
35553169946	pull_request	success	2026-09-21T02:08:39Z	20.0	192.0	adicionales	165.0
35553147808	pull_request	failure	2026-09-21T02:08:16Z	3.0	223.0	adicionales	215.0
35553126584	pull_request	cancelled	2026-09-21T02:07:53Z	2.0	64.0	suite	58.0
35552877115	pull_request	success	2026-09-21T02:03:23Z	3.0	216.0	adicionales	209.0
35552154454	push	success	2026-09-21T01:49:41Z	2.0	226.0	adicionales	218.0
35552006273	pull_request	failure	2026-09-21T01:46:44Z	22.0	166.0	adicionales	139.0
35551993212	pull_request	cancelled	2026-09-21T01:46:29Z	3.0	35.0	suite	27.0
35551356382	pull_request	success	2026-09-21T01:34:56Z	21.0	238.0	adicionales	213.0
35551342099	pull_request	cancelled	2026-09-21T01:34:41Z	2.0	34.0	guardias	26.0
35551288153	pull_request	failure	2026-09-21T01:33:43Z	22.0	246.0	adicionales	218.0
35551270801	pull_request	cancelled	2026-09-21T01:33:22Z	2.0	41.0	suite	33.0
35551173346	pull_request	success	2026-09-21T01:31:32Z	2.0	169.0	adicionales	162.0
35550485419	push	success	2026-09-21T01:18:36Z	3.0	225.0	adicionales	217.0
35550133623	pull_request	success	2026-09-21T01:12:21Z	22.0	236.0	adicionales	210.0
35550112245	pull_request	cancelled	2026-09-21T01:12:01Z	2.0	39.0	suite	33.0
35549926144	pull_request	success	2026-09-21T01:08:47Z	2.0	121.0	adicionales	115.0
35549871401	pull_request	success	2026-09-21T01:07:46Z	3.0	179.0	adicionales	172.0
