instrumento	instrumento_ola_u1	conducta_u1	estado_nse	grupos_publicables	n_grupos_publicables
Banxico	Banxico 2024	milpa/tramite-ola5-propuesta-v0.yaml · dinero.credito.atraso_y_dano_por_producto_banxico	INSTRUMENTO-FUERA-DEL-ALCANCE-AMAI-DE-ESTE-ACTO		0
EDER	EDER 2017	matrimonio_directo	INSTRUMENTO-FUERA-DEL-ALCANCE-AMAI-DE-ESTE-ACTO		0
EDER	EDER	milpa/tramite-ola5-propuesta-v0.yaml · familia.corresidencia.adulto_familiar	INSTRUMENTO-FUERA-DEL-ALCANCE-AMAI-DE-ESTE-ACTO		0
EDER	EDER 2017	union_libre	INSTRUMENTO-FUERA-DEL-ALCANCE-AMAI-DE-ESTE-ACTO		0
ENCIG	ENCIG 2013	R	CELDA-O-INTERACCION-NO-CONDUCTA		0
ENCIG	ENCIG 2025	adopta_encig2025_luz	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENCIG	ENCIG 2025	paga_mordida_encig2025	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENCIG	ENCIG 2025	paga_mordida_encig2025_digital_r2	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENCIG	ENCIG 2025	paga_mordida_encig2025_presencial_r2	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENCIG	ENCIG 2025 · encig2025_04_sec_7.csv · unidad = TRÁMITE (quien pagó doce veces contribuye doce veces)	tramite.gobierno_digital.util_sin_coercion_ejes_encig2025	NSE-NO-CONSTRUIBLE-EN-EL-INSTRUMENTO		0
ENCUCI	ENCUCI 2020	R	CELDA-O-INTERACCION-NO-CONDUCTA		0
ENCUCI	ENCUCI 2020	protesta_alguna_vez_rural_con_agravio_encuci2020	INSTRUMENTO-FUERA-DEL-ALCANCE-AMAI-DE-ESTE-ACTO		0
ENCUCI	ENCUCI 2020	protesta_alguna_vez_urbano_con_agravio_encuci2020	INSTRUMENTO-FUERA-DEL-ALCANCE-AMAI-DE-ESTE-ACTO		0
ENCUCI	ENCUCI 2020	solicitud_o_entrega_mordida_encuci2020	INSTRUMENTO-FUERA-DEL-ALCANCE-AMAI-DE-ESTE-ACTO		0
ENIF	ENIF 2024 (piso; desarrollo ENIF 2021)	L1xE1	CELDA-O-INTERACCION-NO-CONDUCTA		0
ENIF	ENIF 2024 (piso; desarrollo ENIF 2021)	L1xE2	CELDA-O-INTERACCION-NO-CONDUCTA		0
ENIF	ENIF 2024 (piso; desarrollo ENIF 2021)	L1xE3	CELDA-O-INTERACCION-NO-CONDUCTA		0
ENIF	ENIF 2024 (piso; desarrollo ENIF 2021)	L1xE4	CELDA-O-INTERACCION-NO-CONDUCTA		0
ENIF	ENIF 2024 (piso; desarrollo ENIF 2021)	L2xE1	CELDA-O-INTERACCION-NO-CONDUCTA		0
ENIF	ENIF 2024 (piso; desarrollo ENIF 2021)	L2xE2	CELDA-O-INTERACCION-NO-CONDUCTA		0
ENIF	ENIF 2024 (piso; desarrollo ENIF 2021)	L2xE3	CELDA-O-INTERACCION-NO-CONDUCTA		0
ENIF	ENIF 2024 (piso; desarrollo ENIF 2021)	L2xE4	CELDA-O-INTERACCION-NO-CONDUCTA		0
ENIF	ENIF 2018	R	CELDA-O-INTERACCION-NO-CONDUCTA		0
ENIF	ENIF 2024 (derivado de RESULT)	ahorra_ambas_vias	CON-PISO-NSE	BAJO;MEDIO;ALTO	3
ENIF	ENIF 2024 (derivado de RESULT)	ahorra_solo_formal	CON-PISO-NSE	BAJO;MEDIO;ALTO	3
ENIF	ENIF 2024 (derivado de RESULT)	ahorra_solo_informal	CON-PISO-NSE	BAJO;MEDIO;ALTO	3
ENIF	ENIF 2024	desconfianza_o_mal_servicio_como_razon_principal_conoce_proteccion_enif2024	CON-PISO-NSE	BAJO	1
ENIF	ENIF 2024	desconfianza_o_mal_servicio_como_razon_principal_no_conoce_enif2024	CON-PISO-NSE	BAJO;MEDIO;ALTO	3
ENIF	ENIF 2024 · TMODULO.csv (misma tabla que MAESTRA35-L1) · unidad = PERSONA	dinero.ahorro.horizonte_corto_ejes_enif2024	BASE-NSE-MEDIDA;CRUCES-DE-EJES-NO-EXTENDIDOS	BAJO;MEDIO;ALTO	3
ENIF	ENIF 2024 · TMODULO.csv · unidad = PERSONA elegida 18+	dinero.ahorro.via_informal_ejes_enif2024	BASE-NSE-MEDIDA;CRUCES-DE-EJES-NO-EXTENDIDOS	BAJO;MEDIO;ALTO	3
ENIF	ENIF 2024	formal_cualquiera	CON-PISO-NSE	BAJO;MEDIO;ALTO	3
ENIF	ENIF 2024	horizonte_corto	CON-PISO-NSE	BAJO;MEDIO;ALTO	3
ENIF	ENIF 2024	horizonte_no_corto	CON-PISO-NSE	BAJO;MEDIO;ALTO	3
ENIF	ENIF 2024	informal_cualquiera	CON-PISO-NSE	BAJO;MEDIO;ALTO	3
