instrumento	ola	conducta	unidad	grupo_nse	punto	ic95_inf	ic95_sup	n	estado	validacion_nse	result_punto	calc
ENIGH	2022	recibe_remesas	hogar	BAJO	0.05715631335645372	0.05419212361101332	0.06011373489334071	44896	PUBLICABLE	CALCULABLE-REPRODUCE-AMAI	RESULT-AMAI-NSE-ENIGH-2022-recibe_remesas-BAJO-P	CALC-AMAI-NSE-ENIGH-2022-0001
ENIGH	2022	recibe_remesas	hogar	MEDIO	0.04157215202216731	0.03851641124981226	0.0444154946075778	27732	PUBLICABLE	CALCULABLE-REPRODUCE-AMAI	RESULT-AMAI-NSE-ENIGH-2022-recibe_remesas-MEDIO-P	CALC-AMAI-NSE-ENIGH-2022-0001
ENIGH	2022	recibe_remesas	hogar	ALTO	0.022181740354019135	0.01978697513417137	0.02456769249318132	15736	PUBLICABLE	CALCULABLE-REPRODUCE-AMAI	RESULT-AMAI-NSE-ENIGH-2022-recibe_remesas-ALTO-P	CALC-AMAI-NSE-ENIGH-2022-0001
ENIF	2024	ahorra_ambas_vias	persona elegida 18+	BAJO	0.11140712815371454	0.10066116476779115	0.12305941928450992	6028	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-ahorra_ambas_vias-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	ahorra_ambas_vias	persona elegida 18+	MEDIO	0.23463991404234708	0.21688657422799532	0.25062030857641987	4561	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-ahorra_ambas_vias-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	ahorra_ambas_vias	persona elegida 18+	ALTO	0.3151563680960473	0.29236618634825456	0.3376920204095079	2869	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-ahorra_ambas_vias-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	ahorra_solo_formal	persona elegida 18+	BAJO	0.04013688363088284	0.03361162233209199	0.04811830954054845	6028	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-ahorra_solo_formal-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	ahorra_solo_formal	persona elegida 18+	MEDIO	0.08104972524027876	0.06965111137925903	0.0926187117889206	4561	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-ahorra_solo_formal-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	ahorra_solo_formal	persona elegida 18+	ALTO	0.14524974009282768	0.12938755452044	0.1616263683617363	2869	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-ahorra_solo_formal-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	ahorra_solo_informal	persona elegida 18+	BAJO	0.39005242999526163	0.37388560537869886	0.4073868893482318	6028	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-ahorra_solo_informal-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	ahorra_solo_informal	persona elegida 18+	MEDIO	0.36456187610952484	0.34220773708032165	0.3861516168706668	4561	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-ahorra_solo_informal-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	ahorra_solo_informal	persona elegida 18+	ALTO	0.2928474317507563	0.26918401028092886	0.3169703883182283	2869	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-ahorra_solo_informal-ALTO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	desconfia_conoce_proteccion	persona elegida 18+	BAJO	0.06722974625896344	0.03420456992780915	0.10894688974661018	242	PUBLICABLE	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-desconfia_conoce_proteccion-BAJO-P	CALC-AMAI-NSE-ENIF-2024-0001
ENIF	2024	desconfia_conoce_proteccion	persona elegida 18+	MEDIO				130	SUPRIMIDA-N	APROXIMACION-CONFORME	RESULT-AMAI-NSE-ENIF-2024-desconfia_conoce_proteccion-MEDIO-P	CALC-AMAI-NSE-ENIF-2024-0001
