calc_id	conducta	dominio	ola	eje	categoria	p	ic_lo	ic_hi	icc_lo	icc_hi	tau2	n	conteo	result_id_p
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	EDAD-JEFE	30-44	0.953377	0.951351	0.955296				46140		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-EDAD-JEFE-30-44-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	EDAD-JEFE	45-59	0.948798	0.947288	0.950209				63014		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-EDAD-JEFE-45-59-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	EDAD-JEFE	60-MAS	0.794827	0.793985	0.795770				740004		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-EDAD-JEFE-60-MAS-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	EDAD-JEFE	HASTA-29	0.937769	0.931679	0.943645				9116		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-EDAD-JEFE-HASTA-29-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	01	0.851666	0.845180	0.857912				3877		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-01-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	02	0.788230	0.778837	0.797205				4900		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-02-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	03	0.790820	0.755751	0.823593				1603		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-03-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	04	0.827116	0.816622	0.837442				3892		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-04-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	05	0.821467	0.817117	0.825902				12391		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-05-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	06	0.794394	0.783681	0.804236				4809		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-06-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	07	0.848868	0.843859	0.853614				45869		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-07-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	08	0.773769	0.770375	0.777000				22932		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-08-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	09	0.797929	0.797179	0.798705				30647		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-09-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	10	0.818156	0.813040	0.823338				15031		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-10-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	11	0.843337	0.838760	0.847439				22172		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-11-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	12	0.806266	0.802115	0.810846				48305		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-12-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	13	0.827454	0.821318	0.833082				25419		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-13-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	14	0.816783	0.813551	0.819723				50093		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-14-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	15	0.854008	0.851888	0.856070				52348		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-15-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	16	0.820331	0.816101	0.824318				42291		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-16-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	17	0.811304	0.804717	0.817914				11376		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-17-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	18	0.757366	0.746620	0.767370				8340		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-18-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	19	0.825741	0.823029	0.828398				19665		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-19-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	20	0.815558	0.812284	0.819078				136174		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-20-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	21	0.836679	0.833617	0.839729				71637		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-21-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	22	0.822935	0.808454	0.835182				6449		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-22-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	23	0.814561	0.805033	0.825748				2797		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-23-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	24	0.818738	0.813624	0.823568				22472		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-24-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	25	0.819653	0.812425	0.827407				9634		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-25-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	26	0.725068	0.719625	0.730297				20339		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-26-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	27	0.806704	0.797133	0.815727				5995		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-27-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	28	0.786054	0.782925	0.789364				16998		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-28-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	29	0.860930	0.852624	0.868446				16143		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-29-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	30	0.816382	0.812360	0.820102				75553		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-30-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	31	0.811174	0.807713	0.814944				29840		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-31-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ENT	32	0.806935	0.799627	0.814361				18426		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ENT-32-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ESCOLARIDAD-JEFE	BASICA-O-MENOS	0.814084	0.813248	0.815028				796133		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ESCOLARIDAD-JEFE-BASICA-O-MENOS-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ESCOLARIDAD-JEFE	MEDIA-SUPERIOR	0.858796	0.856246	0.861057				23138		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ESCOLARIDAD-JEFE-MEDIA-SUPERIOR-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	ESCOLARIDAD-JEFE	SUPERIOR	0.824818	0.822610	0.826747				36420		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-ESCOLARIDAD-JEFE-SUPERIOR-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	SEXO-JEFE	HOMBRE	0.875408	0.874547	0.876336				593723		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-SEXO-JEFE-HOMBRE-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	SEXO-JEFE	MUJER	0.704308	0.702811	0.706001				264694		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-SEXO-JEFE-MUJER-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	TLOC	100MIL-MAS	0.817545	0.817048	0.818050				122736		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-TLOC-100MIL-MAS-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	TLOC	15MIL-99MIL	0.825676	0.822483	0.829090				91854		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-TLOC-15MIL-99MIL-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	TLOC	2500-14999	0.824819	0.822419	0.827475				195434		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-TLOC-2500-14999-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	TLOC	MENOS-2500	0.807646	0.805446	0.810172				448393		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-TLOC-MENOS-2500-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-NUCLEAR-O-AMPLIADO	FAMILIA_CUIDADOS	2010	TOTAL	TODOS	0.817078	0.816311	0.817979				858417		RESULT-CCPV-FAM-PISOS-AM-HOG-NUCLEAR-O-AMPLIADO-2010-TOTAL-TODOS-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	EDAD-JEFE	30-44	0.000000	0.000000	0.000000				46140		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-EDAD-JEFE-30-44-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	EDAD-JEFE	45-59	0.000000	0.000000	0.000000				63014		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-EDAD-JEFE-45-59-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	EDAD-JEFE	60-MAS	0.181744	0.180830	0.182603				740004		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-EDAD-JEFE-60-MAS-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	EDAD-JEFE	HASTA-29	0.000000	0.000000	0.000000				9116		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-EDAD-JEFE-HASTA-29-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	01	0.128425	0.122872	0.134273				3877		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-01-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	02	0.176252	0.168055	0.184862				4900		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-02-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	03	0.183949	0.157373	0.210207				1603		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-03-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	04	0.144060	0.134541	0.153579				3892		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-04-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	05	0.157878	0.153259	0.162291				12391		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-05-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	06	0.180268	0.171123	0.189765				4809		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-06-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	07	0.122706	0.118286	0.127248				45869		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-07-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	08	0.204251	0.200976	0.207593				22932		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-08-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	09	0.157731	0.157120	0.158333				30647		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-09-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	10	0.159831	0.154518	0.164742				15031		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-10-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	11	0.133354	0.129355	0.137752				22172		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-11-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	12	0.173318	0.168960	0.177673				48305		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-12-P
CALC-CCPV-FAM-PISOS-0001	AM-HOG-UNIPERSONAL	FAMILIA_CUIDADOS	2010	ENT	13	0.151776	0.146198	0.157716				25419		RESULT-CCPV-FAM-PISOS-AM-HOG-UNIPERSONAL-2010-ENT-13-P
