# GENERADO por forense/analisis/corpus-completo/catalogo.py — no editar
fuente	programa	ola	id_archivo	titulo	clase	url	formato_elegido	formatos	tamano	licencia	en_manifiesto	prioridad	historia_en_corpus	ola_mas_reciente	reserva_al_entrar	afirmaciones_mapa
INEGI	SALUD	2018	1625153	Estadísticas de Salud en Establecimientos Particulares · Base de datos	ARCHIVO	https://www.inegi.org.mx/contenidos/programas/salud/microdatos/esep_base_datos_2018_dbf.zip	_dbf.zip	_dbf.zip	1.5  MB	Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/inegi/terminos.html)	NO	42	SI	2025	ABIERTA	ASTRA5-U0-APUEST-037;ASTRA5-U0-APUEST-038;ASTRA5-U0-APUEST-046;ASTRA5-U0-VIOL-023;ASTRA5-U0-SALUD-007;ASTRA5-U0-SALUD-010;ASTRA5-U0-SALUD-013;ASTRA5-U0-SALUD-014;ASTRA5-U0-SALUD-016;ASTRA5-U0-HUM-027;ASTRA5-U0-HUM-029;ASTRA5-U0-FAM-024;ASTRA5-U0-FAM-028;ASTRA5-U0-FAM-033;ASTRA5-U0-GENOM-021;ASTRA5-U0-SINT-023;ASTRA5-U0-JUV-010;ASTRA5-U0-CONS-032;ASTRA5-U0-TRAB-017;ASTRA5-U0-RELIG-032;ASTRA5-U0-CONOC-010;ASTRA5-U0-CONOC-011;ASTRA5-U0-CONOC-017;ASTRA5-U0-CONOC-018;ASTRA5-U0-SALMEN-001;ASTRA5-U0-SALMEN-003;ASTRA5-U0-SALMEN-004;ASTRA5-U0-SALMEN-006;ASTRA5-U0-SALMEN-010;ASTRA5-U0-SALMEN-013;ASTRA5-U0-SALMEN-016;ASTRA5-U0-SALMEN-017;ASTRA5-U0-SALMEN-018;ASTRA5-U0-SALMEN-019;ASTRA5-U0-SALMEN-020;ASTRA5-U0-SALMEN-022;ASTRA5-U0-SALMEN-024;ASTRA5-U0-SALMEN-029;ASTRA5-U0-SALMEN-038;ASTRA5-U0-VEJEZ-014;…
INEGI	SALUD	2019	1625152	Estadísticas de Salud en Establecimientos Particulares · Base de datos	ARCHIVO	https://www.inegi.org.mx/contenidos/programas/salud/microdatos/esep_base_datos_2019_dbf.zip	_dbf.zip	_dbf.zip	1.7  MB	Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/inegi/terminos.html)	NO	42	SI	2025	ABIERTA	ASTRA5-U0-APUEST-037;ASTRA5-U0-APUEST-038;ASTRA5-U0-APUEST-046;ASTRA5-U0-VIOL-023;ASTRA5-U0-SALUD-007;ASTRA5-U0-SALUD-010;ASTRA5-U0-SALUD-013;ASTRA5-U0-SALUD-014;ASTRA5-U0-SALUD-016;ASTRA5-U0-HUM-027;ASTRA5-U0-HUM-029;ASTRA5-U0-FAM-024;ASTRA5-U0-FAM-028;ASTRA5-U0-FAM-033;ASTRA5-U0-GENOM-021;ASTRA5-U0-SINT-023;ASTRA5-U0-JUV-010;ASTRA5-U0-CONS-032;ASTRA5-U0-TRAB-017;ASTRA5-U0-RELIG-032;ASTRA5-U0-CONOC-010;ASTRA5-U0-CONOC-011;ASTRA5-U0-CONOC-017;ASTRA5-U0-CONOC-018;ASTRA5-U0-SALMEN-001;ASTRA5-U0-SALMEN-003;ASTRA5-U0-SALMEN-004;ASTRA5-U0-SALMEN-006;ASTRA5-U0-SALMEN-010;ASTRA5-U0-SALMEN-013;ASTRA5-U0-SALMEN-016;ASTRA5-U0-SALMEN-017;ASTRA5-U0-SALMEN-018;ASTRA5-U0-SALMEN-019;ASTRA5-U0-SALMEN-020;ASTRA5-U0-SALMEN-022;ASTRA5-U0-SALMEN-024;ASTRA5-U0-SALMEN-029;ASTRA5-U0-SALMEN-038;ASTRA5-U0-VEJEZ-014;…
INEGI	SALUD	2020	1625151	Estadísticas de Salud en Establecimientos Particulares · Base de datos	ARCHIVO	https://www.inegi.org.mx/contenidos/programas/salud/microdatos/esep_base_datos_2020_dbf.zip	_dbf.zip	_dbf.zip	1.7  MB	Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/inegi/terminos.html)	NO	42	SI	2025	ABIERTA	ASTRA5-U0-APUEST-037;ASTRA5-U0-APUEST-038;ASTRA5-U0-APUEST-046;ASTRA5-U0-VIOL-023;ASTRA5-U0-SALUD-007;ASTRA5-U0-SALUD-010;ASTRA5-U0-SALUD-013;ASTRA5-U0-SALUD-014;ASTRA5-U0-SALUD-016;ASTRA5-U0-HUM-027;ASTRA5-U0-HUM-029;ASTRA5-U0-FAM-024;ASTRA5-U0-FAM-028;ASTRA5-U0-FAM-033;ASTRA5-U0-GENOM-021;ASTRA5-U0-SINT-023;ASTRA5-U0-JUV-010;ASTRA5-U0-CONS-032;ASTRA5-U0-TRAB-017;ASTRA5-U0-RELIG-032;ASTRA5-U0-CONOC-010;ASTRA5-U0-CONOC-011;ASTRA5-U0-CONOC-017;ASTRA5-U0-CONOC-018;ASTRA5-U0-SALMEN-001;ASTRA5-U0-SALMEN-003;ASTRA5-U0-SALMEN-004;ASTRA5-U0-SALMEN-006;ASTRA5-U0-SALMEN-010;ASTRA5-U0-SALMEN-013;ASTRA5-U0-SALMEN-016;ASTRA5-U0-SALMEN-017;ASTRA5-U0-SALMEN-018;ASTRA5-U0-SALMEN-019;ASTRA5-U0-SALMEN-020;ASTRA5-U0-SALMEN-022;ASTRA5-U0-SALMEN-024;ASTRA5-U0-SALMEN-029;ASTRA5-U0-SALMEN-038;ASTRA5-U0-VEJEZ-014;…
INEGI	SALUD	2021	1625150	Estadísticas de Salud en Establecimientos Particulares · Base de datos	ARCHIVO	https://www.inegi.org.mx/contenidos/programas/salud/microdatos/esep_base_datos_2021_dbf.zip	_dbf.zip	_dbf.zip	1.8  MB	Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/inegi/terminos.html)	NO	42	SI	2025	ABIERTA	ASTRA5-U0-APUEST-037;ASTRA5-U0-APUEST-038;ASTRA5-U0-APUEST-046;ASTRA5-U0-VIOL-023;ASTRA5-U0-SALUD-007;ASTRA5-U0-SALUD-010;ASTRA5-U0-SALUD-013;ASTRA5-U0-SALUD-014;ASTRA5-U0-SALUD-016;ASTRA5-U0-HUM-027;ASTRA5-U0-HUM-029;ASTRA5-U0-FAM-024;ASTRA5-U0-FAM-028;ASTRA5-U0-FAM-033;ASTRA5-U0-GENOM-021;ASTRA5-U0-SINT-023;ASTRA5-U0-JUV-010;ASTRA5-U0-CONS-032;ASTRA5-U0-TRAB-017;ASTRA5-U0-RELIG-032;ASTRA5-U0-CONOC-010;ASTRA5-U0-CONOC-011;ASTRA5-U0-CONOC-017;ASTRA5-U0-CONOC-018;ASTRA5-U0-SALMEN-001;ASTRA5-U0-SALMEN-003;ASTRA5-U0-SALMEN-004;ASTRA5-U0-SALMEN-006;ASTRA5-U0-SALMEN-010;ASTRA5-U0-SALMEN-013;ASTRA5-U0-SALMEN-016;ASTRA5-U0-SALMEN-017;ASTRA5-U0-SALMEN-018;ASTRA5-U0-SALMEN-019;ASTRA5-U0-SALMEN-020;ASTRA5-U0-SALMEN-022;ASTRA5-U0-SALMEN-024;ASTRA5-U0-SALMEN-029;ASTRA5-U0-SALMEN-038;ASTRA5-U0-VEJEZ-014;…
INEGI	SALUD	2022	1625149	Estadísticas de Salud en Establecimientos Particulares · Base de datos	ARCHIVO	https://www.inegi.org.mx/contenidos/programas/salud/microdatos/esep_base_datos_2022_dbf.zip	_dbf.zip	_dbf.zip	1.7  MB	Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/inegi/terminos.html)	NO	42	SI	2025	ABIERTA	ASTRA5-U0-APUEST-037;ASTRA5-U0-APUEST-038;ASTRA5-U0-APUEST-046;ASTRA5-U0-VIOL-023;ASTRA5-U0-SALUD-007;ASTRA5-U0-SALUD-010;ASTRA5-U0-SALUD-013;ASTRA5-U0-SALUD-014;ASTRA5-U0-SALUD-016;ASTRA5-U0-HUM-027;ASTRA5-U0-HUM-029;ASTRA5-U0-FAM-024;ASTRA5-U0-FAM-028;ASTRA5-U0-FAM-033;ASTRA5-U0-GENOM-021;ASTRA5-U0-SINT-023;ASTRA5-U0-JUV-010;ASTRA5-U0-CONS-032;ASTRA5-U0-TRAB-017;ASTRA5-U0-RELIG-032;ASTRA5-U0-CONOC-010;ASTRA5-U0-CONOC-011;ASTRA5-U0-CONOC-017;ASTRA5-U0-CONOC-018;ASTRA5-U0-SALMEN-001;ASTRA5-U0-SALMEN-003;ASTRA5-U0-SALMEN-004;ASTRA5-U0-SALMEN-006;ASTRA5-U0-SALMEN-010;ASTRA5-U0-SALMEN-013;ASTRA5-U0-SALMEN-016;ASTRA5-U0-SALMEN-017;ASTRA5-U0-SALMEN-018;ASTRA5-U0-SALMEN-019;ASTRA5-U0-SALMEN-020;ASTRA5-U0-SALMEN-022;ASTRA5-U0-SALMEN-024;ASTRA5-U0-SALMEN-029;ASTRA5-U0-SALMEN-038;ASTRA5-U0-VEJEZ-014;…
INEGI	SALUD	2023	1625148	Estadísticas de Salud en Establecimientos Particulares · Base de datos	ARCHIVO	https://www.inegi.org.mx/contenidos/programas/salud/microdatos/esep_base_datos_2023_dbf.zip	_dbf.zip	_dbf.zip	1.7  MB	Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/inegi/terminos.html)	NO	42	SI	2025	ABIERTA	ASTRA5-U0-APUEST-037;ASTRA5-U0-APUEST-038;ASTRA5-U0-APUEST-046;ASTRA5-U0-VIOL-023;ASTRA5-U0-SALUD-007;ASTRA5-U0-SALUD-010;ASTRA5-U0-SALUD-013;ASTRA5-U0-SALUD-014;ASTRA5-U0-SALUD-016;ASTRA5-U0-HUM-027;ASTRA5-U0-HUM-029;ASTRA5-U0-FAM-024;ASTRA5-U0-FAM-028;ASTRA5-U0-FAM-033;ASTRA5-U0-GENOM-021;ASTRA5-U0-SINT-023;ASTRA5-U0-JUV-010;ASTRA5-U0-CONS-032;ASTRA5-U0-TRAB-017;ASTRA5-U0-RELIG-032;ASTRA5-U0-CONOC-010;ASTRA5-U0-CONOC-011;ASTRA5-U0-CONOC-017;ASTRA5-U0-CONOC-018;ASTRA5-U0-SALMEN-001;ASTRA5-U0-SALMEN-003;ASTRA5-U0-SALMEN-004;ASTRA5-U0-SALMEN-006;ASTRA5-U0-SALMEN-010;ASTRA5-U0-SALMEN-013;ASTRA5-U0-SALMEN-016;ASTRA5-U0-SALMEN-017;ASTRA5-U0-SALMEN-018;ASTRA5-U0-SALMEN-019;ASTRA5-U0-SALMEN-020;ASTRA5-U0-SALMEN-022;ASTRA5-U0-SALMEN-024;ASTRA5-U0-SALMEN-029;ASTRA5-U0-SALMEN-038;ASTRA5-U0-VEJEZ-014;…
INEGI	SALUD	2024	2848154	Estadísticas de Salud en Establecimientos Particulares · Base de datos	ARCHIVO	https://www.inegi.org.mx/contenidos/programas/salud/microdatos/esep_base_datos_2024_dbf.zip	_dbf.zip	_dbf.zip	1.7  MB	Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/inegi/terminos.html)	NO	42	SI	2025	ABIERTA	ASTRA5-U0-APUEST-037;ASTRA5-U0-APUEST-038;ASTRA5-U0-APUEST-046;ASTRA5-U0-VIOL-023;ASTRA5-U0-SALUD-007;ASTRA5-U0-SALUD-010;ASTRA5-U0-SALUD-013;ASTRA5-U0-SALUD-014;ASTRA5-U0-SALUD-016;ASTRA5-U0-HUM-027;ASTRA5-U0-HUM-029;ASTRA5-U0-FAM-024;ASTRA5-U0-FAM-028;ASTRA5-U0-FAM-033;ASTRA5-U0-GENOM-021;ASTRA5-U0-SINT-023;ASTRA5-U0-JUV-010;ASTRA5-U0-CONS-032;ASTRA5-U0-TRAB-017;ASTRA5-U0-RELIG-032;ASTRA5-U0-CONOC-010;ASTRA5-U0-CONOC-011;ASTRA5-U0-CONOC-017;ASTRA5-U0-CONOC-018;ASTRA5-U0-SALMEN-001;ASTRA5-U0-SALMEN-003;ASTRA5-U0-SALMEN-004;ASTRA5-U0-SALMEN-006;ASTRA5-U0-SALMEN-010;ASTRA5-U0-SALMEN-013;ASTRA5-U0-SALMEN-016;ASTRA5-U0-SALMEN-017;ASTRA5-U0-SALMEN-018;ASTRA5-U0-SALMEN-019;ASTRA5-U0-SALMEN-020;ASTRA5-U0-SALMEN-022;ASTRA5-U0-SALMEN-024;ASTRA5-U0-SALMEN-029;ASTRA5-U0-SALMEN-038;ASTRA5-U0-VEJEZ-014;…
INEGI	SALUD	2025	3869021	Estadísticas de Salud en Establecimientos Particulares · Base de datos	ARCHIVO	https://www.inegi.org.mx/contenidos/programas/salud/microdatos/esep_base_datos_2025_dbf.zip	_dbf.zip	_dbf.zip	1.7  MB	Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/inegi/terminos.html)	NO	42	SI	2025	RESERVADA	ASTRA5-U0-APUEST-037;ASTRA5-U0-APUEST-038;ASTRA5-U0-APUEST-046;ASTRA5-U0-VIOL-023;ASTRA5-U0-SALUD-007;ASTRA5-U0-SALUD-010;ASTRA5-U0-SALUD-013;ASTRA5-U0-SALUD-014;ASTRA5-U0-SALUD-016;ASTRA5-U0-HUM-027;ASTRA5-U0-HUM-029;ASTRA5-U0-FAM-024;ASTRA5-U0-FAM-028;ASTRA5-U0-FAM-033;ASTRA5-U0-GENOM-021;ASTRA5-U0-SINT-023;ASTRA5-U0-JUV-010;ASTRA5-U0-CONS-032;ASTRA5-U0-TRAB-017;ASTRA5-U0-RELIG-032;ASTRA5-U0-CONOC-010;ASTRA5-U0-CONOC-011;ASTRA5-U0-CONOC-017;ASTRA5-U0-CONOC-018;ASTRA5-U0-SALMEN-001;ASTRA5-U0-SALMEN-003;ASTRA5-U0-SALMEN-004;ASTRA5-U0-SALMEN-006;ASTRA5-U0-SALMEN-010;ASTRA5-U0-SALMEN-013;ASTRA5-U0-SALMEN-016;ASTRA5-U0-SALMEN-017;ASTRA5-U0-SALMEN-018;ASTRA5-U0-SALMEN-019;ASTRA5-U0-SALMEN-020;ASTRA5-U0-SALMEN-022;ASTRA5-U0-SALMEN-024;ASTRA5-U0-SALMEN-029;ASTRA5-U0-SALMEN-038;ASTRA5-U0-VEJEZ-014;…
INEGI	ENSANUT	2018	110076	Encuesta Nacional de Salud y Nutrición (ENSANUT) 2018 · Original · Base de datos · Componente de Nutrición	ARCHIVO	https://www.inegi.org.mx/contenidos/programas/ensanut/2018/microdatos/ensanut_2018_base_datos_cn_csv.zip	_csv.zip	_csv.zip	25.5 MB	Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/inegi/terminos.html)	NO	21	SI	2018	ABIERTA	ASTRA5-U0-APUEST-024;ASTRA5-U0-APUEST-037;ASTRA5-U0-RURAL-018;ASTRA5-U0-RURAL-045;ASTRA5-U0-SALUD-014;ASTRA5-U0-SALUD-016;ASTRA5-U0-SALUD-025;ASTRA5-U0-FAM-011;ASTRA5-U0-FAM-023;ASTRA5-U0-FAM-027;ASTRA5-U0-GENOM-022;ASTRA5-U0-CONOC-010;ASTRA5-U0-CONOC-011;ASTRA5-U0-CONOC-018;ASTRA5-U0-SALMEN-008;ASTRA5-U0-SALMEN-013;ASTRA5-U0-SALMEN-018;ASTRA5-U0-SALMEN-021;ASTRA5-U0-SALMEN-024;ASTRA5-U0-SALMEN-026;ASTRA5-U0-SALMEN-038
INEGI	ENSANUT	2018	110077	Encuesta Nacional de Salud y Nutrición (ENSANUT) 2018 · Original · Base de datos · Componente de Salud	ARCHIVO	https://www.inegi.org.mx/contenidos/programas/ensanut/2018/microdatos/ensanut_2018_base_datos_cs_csv.zip	_csv.zip	_csv.zip	17.6 MB	Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/inegi/terminos.html)	NO	21	SI	2018	ABIERTA	ASTRA5-U0-APUEST-024;ASTRA5-U0-APUEST-037;ASTRA5-U0-RURAL-018;ASTRA5-U0-RURAL-045;ASTRA5-U0-SALUD-014;ASTRA5-U0-SALUD-016;ASTRA5-U0-SALUD-025;ASTRA5-U0-FAM-011;ASTRA5-U0-FAM-023;ASTRA5-U0-FAM-027;ASTRA5-U0-GENOM-022;ASTRA5-U0-CONOC-010;ASTRA5-U0-CONOC-011;ASTRA5-U0-CONOC-018;ASTRA5-U0-SALMEN-008;ASTRA5-U0-SALMEN-013;ASTRA5-U0-SALMEN-018;ASTRA5-U0-SALMEN-021;ASTRA5-U0-SALMEN-024;ASTRA5-U0-SALMEN-026;ASTRA5-U0-SALMEN-038
