id_afirmacion	instrumento_en_corpus	programas_citados	olas_citadas	olas_en_corpus
ASTRA5-U0-APUEST-007	SIN-INSTRUMENTO-EN-CORPUS		2013	
ASTRA5-U0-CRFAC-003	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-CRFAC-004	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-CRFAC-005	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-CRFAC-009	SIN-INSTRUMENTO-EN-CORPUS		2025	
ASTRA5-U0-CRPOP-044	SIN-INSTRUMENTO-EN-CORPUS		2016;2026	
ASTRA5-U0-CLIENT-002	SIN-INSTRUMENTO-EN-CORPUS		1997;2000	
ASTRA5-U0-CLIENT-003	SIN-INSTRUMENTO-EN-CORPUS		2018	
ASTRA5-U0-CLIENT-007	SIN-INSTRUMENTO-EN-CORPUS		2019	
ASTRA5-U0-CLIENT-011	SIN-INSTRUMENTO-EN-CORPUS		2024	
ASTRA5-U0-CRPOP-050	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-DUEL-009	SIN-INSTRUMENTO-EN-CORPUS		2012	
ASTRA5-U0-DUEL-010	SIN-INSTRUMENTO-EN-CORPUS		2012	
ASTRA5-U0-DUEL-016	SIN-INSTRUMENTO-EN-CORPUS		2020;2025	
ASTRA5-U0-AUTOR-008	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-AUTOR-016	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-AUTOR-023	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-AUTOR-024	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-AUTOR-026	SIN-INSTRUMENTO-EN-CORPUS		2023	
ASTRA5-U0-FIN-017	INSTRUMENTO-EN-CORPUS-OLA-DISTINTA	ENIF		
ASTRA5-U0-FIN-030	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-TRUST-003	SIN-INSTRUMENTO-EN-CORPUS		2018	
ASTRA5-U0-TRUST-004	SIN-INSTRUMENTO-EN-CORPUS		2026	
ASTRA5-U0-TRUST-006	INSTRUMENTO-Y-OLA-EN-CORPUS	ENCIG	2018;2023	ENCIG_2023
ASTRA5-U0-TRUST-016	INSTRUMENTO-EN-CORPUS-OLA-DISTINTA	ENSI		
ASTRA5-U0-TRUST-017	SIN-INSTRUMENTO-EN-CORPUS		2019	
ASTRA5-U0-TRUST-022	INSTRUMENTO-EN-CORPUS-OLA-DISTINTA	LATINOBAROMETRO	2024	
ASTRA5-U0-TRUST-027	SIN-INSTRUMENTO-EN-CORPUS		1984	
ASTRA5-U0-TRUST-034	SIN-INSTRUMENTO-EN-CORPUS		1997	
ASTRA5-U0-CLASE-012	INSTRUMENTO-Y-OLA-EN-CORPUS	MMSI	2016	MMSI_2016
ASTRA5-U0-CLASE-016	SIN-INSTRUMENTO-EN-CORPUS		2024;2025	
ASTRA5-U0-CLASE-023	SIN-INSTRUMENTO-EN-CORPUS		2024	
ASTRA5-U0-CLASE-037	INSTRUMENTO-Y-OLA-EN-CORPUS	ENIGH	2024	ENIGH_2024
ASTRA5-U0-CLASE-040	INSTRUMENTO-Y-OLA-EN-CORPUS	ENBIARE	2021	ENBIARE_2021
ASTRA5-U0-VIOL-005	INSTRUMENTO-Y-OLA-EN-CORPUS	ENCIG;ENCOAP	2023	ENCIG_2023;ENCOAP_2023
ASTRA5-U0-VIOL-019	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-VIOL-023	SIN-INSTRUMENTO-EN-CORPUS		2005	
ASTRA5-U0-VIOL-030	SIN-INSTRUMENTO-EN-CORPUS			
ASTRA5-U0-VIOL-038	INSTRUMENTO-EN-CORPUS-OLA-DISTINTA	ENSU		
ASTRA5-U0-TIME-003	SIN-INSTRUMENTO-EN-CORPUS		2024;2025	
ASTRA5-U0-TIME-004	SIN-INSTRUMENTO-EN-CORPUS		2024;2025	
ASTRA5-U0-TIME-005	SIN-INSTRUMENTO-EN-CORPUS		2024;2025	
ASTRA5-U0-TIME-028	SIN-INSTRUMENTO-EN-CORPUS		2024;2025	
ASTRA5-U0-RURAL-028	INSTRUMENTO-Y-OLA-EN-CORPUS	CCPV	2020	CCPV_2020
ASTRA5-U0-PAREJA-001	INSTRUMENTO-Y-OLA-EN-CORPUS	EMAT	2022	EMAT_2022
ASTRA5-U0-PAREJA-002	INSTRUMENTO-Y-OLA-EN-CORPUS	EMAT	2023	EMAT_2023
ASTRA5-U0-PAREJA-010	INSTRUMENTO-Y-OLA-EN-CORPUS	ENDISEG	2021	ENDISEG_2021
ASTRA5-U0-PAREJA-012	INSTRUMENTO-Y-OLA-EN-CORPUS	EMAT	2023	EMAT_2023
