programa	ola	url	archivo	formato	tamano	licencia_acceso	nota
ENSANUT	2000	https://ensanut.insp.mx/encuestas/ensa2000/descargas.php	(POST por botón, no URL directa)	spss/dbf (según variante)	NO-APLICA (landing)	ACCESO-ABIERTO: sin login, descarga por botón POST	Página fetchada (crudo/ensanut-descargas-2000.html, HTTP 200). La tabla de descargas usa <form action=descargas.php method=POST> con botones <button name='Arch<base64(ruta)>'>; ej. decodificado '01-Componente de SALUD/.../CS_VIVIENDAS.spss.spss.zip'. Receta: abrir la página, inspeccionar cada <button name=...>, decodificar base64 del atributo name, y hacer POST a la misma URL con ese campo=1 (form-urlencoded) para recibir el zip. No requiere cuenta ni token visible en el HTML capturado.
ENSANUT	2006	https://ensanut.insp.mx/encuestas/ensanut2006/descargas.php	(POST por botón, no URL directa)	spss/dbf	NO-APLICA (landing)	ACCESO-ABIERTO: sin login, descarga por botón POST	Página fetchada (crudo/ensanut-descargas-2006.html, HTTP 200, mismo patrón de botones base64 que 2018). Misma receta que ENSANUT 2000.
ENSANUT	2012	https://ensanut.insp.mx/encuestas/ensanut2012/descargas.php	(POST por botón, no URL directa)	spss/dbf	NO-APLICA (landing)	ACCESO-ABIERTO: sin login, descarga por botón POST	Página fetchada (crudo/ensanut-descargas-2012.html, HTTP 200). Misma receta que ENSANUT 2000.
ENSANUT	2016 MC	https://ensanut.insp.mx/encuestas/ensanut2016/descargas.php	(POST por botón, no URL directa)	spss/dbf	NO-APLICA (landing)	ACCESO-ABIERTO: sin login, descarga por botón POST	Página fetchada (crudo/ensanut-descargas-2016.html, HTTP 200). Misma receta que ENSANUT 2000.
ENSANUT	2018	https://ensanut.insp.mx/encuestas/ensanut2018/descargas.php	(POST por botón, no URL directa)	spss/dbf/sas	NO-APLICA (landing)	ACCESO-ABIERTO: sin login, descarga por botón POST	Página fetchada (crudo/ensanut-descargas-2018.html, HTTP 200, tamaño 127906B). Se confirmó el mecanismo exacto: <form action='/encuestas/ensanut2018/descargas.php' method='POST'> con 108 ocurrencias de extensiones .zip/.spss/.sas en botones cuyo atributo name es 'Arch'+base64(ruta completa incl. nombre de archivo). Ejemplo decodificado: '01-Componente de SALUD/01-Cuestionario de hogar/01-Información sobre la vivienda/CS_VIVIENDAS.spss.spss.zip'. No se detectó formulario de registro/login (el único <form> adicional es 'contact_form' de contacto, no de acceso a datos).
ENSANUT	2018 100k	https://ensanut.insp.mx/encuestas/ensanut100k2018/descargas.php	(POST por botón, no URL directa)	spss/dbf	NO-APLICA (landing)	ACCESO-ABIERTO: sin login, descarga por botón POST	Página fetchada (crudo/ensanut-descargas-100k2018.html, HTTP 200). Misma receta que ENSANUT 2018.
ENSANUT	2020 COVID (Continua 2020)	https://ensanut.insp.mx/encuestas/ensanutcontinua2020/descargas.php	(POST por botón, no URL directa)	spss/dbf	NO-APLICA (landing)	ACCESO-ABIERTO: sin login, descarga por botón POST	Página fetchada (crudo/ensanut-descargas-2020.html, HTTP 200). Misma receta que ENSANUT 2018.
ENSANUT	2021	https://ensanut.insp.mx/encuestas/ensanutcontinua2021/descargas.php	(POST por botón, no URL directa)	spss/dbf	NO-APLICA (landing)	ACCESO-ABIERTO: sin login, descarga por botón POST	Página fetchada (crudo/ensanut-descargas-2021.html, HTTP 200). Misma receta que ENSANUT 2018.
ENSANUT	2022	https://ensanut.insp.mx/encuestas/ensanutcontinua2022/descargas.php	(POST por botón, no URL directa)	spss/dbf	NO-APLICA (landing)	ACCESO-ABIERTO: sin login, descarga por botón POST	Página fetchada (crudo/ensanut-descargas-2022.html y crudo/ensanut-2022-descargas.html, HTTP 200). Misma receta que ENSANUT 2018.
ENSANUT	2023	https://ensanut.insp.mx/encuestas/ensanutcontinua2023/descargas.php	(POST por botón, no URL directa)	spss/dbf	NO-APLICA (landing)	ACCESO-ABIERTO: sin login, descarga por botón POST	Página fetchada (crudo/ensanut-descargas-2023.html, HTTP 200). Misma receta que ENSANUT 2018.
ENSANUT	2024	https://ensanut.insp.mx/encuestas/ensanutcontinua2024/descargas.php	(POST por botón, no URL directa)	spss/dbf	NO-APLICA (landing)	ACCESO-ABIERTO: sin login, descarga por botón POST	Página fetchada (crudo/ensanut-descargas-2024.html, HTTP 200). Misma receta que ENSANUT 2018.
ENSANUT	índice de encuestas	https://ensanut.insp.mx/encuestas.php	(landing, listado)	html	NO-APLICA	ACCESO-ABIERTO	Página fetchada (crudo/ensanut-encuestas-listado.html, 43183B) lista todas las olas vía enlaces relativos ./encuestas/<slug>/descargas.php, usados para construir las filas anteriores.
