id	raiz_declarada	raiz_resuelta	archivo	estado_A1	clase_P1	tamano_declarado	tamano_real	hallado_en_otra_raiz	tiene_url_origen	estado_reserva	licencia
encig23_base_datos_csv	SIN-RAIZ	data_raw	encig23_base_datos_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	38309647	38309647		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
encig23_estructura_base_datos_pdf	SIN-RAIZ	data_raw	encig23_estructura_base_datos.pdf	COINCIDE	ESTÁ-Y-COINCIDE	3100802	3100802		SI		Términos de Libre Uso de la Información del INEGI (misma referencia que arriba)
encig23_cuestionario_pdf	SIN-RAIZ	data_raw	encig23_cuestionario.pdf	COINCIDE	ESTÁ-Y-COINCIDE	2015393	2015393		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
nota_metodologica_rotulo_pareada	SIN-RAIZ	data_raw		NO-ES-ARCHIVO	NO-ES-ARCHIVO				NO		
ennvih_mxfls_licencia	SIN-RAIZ	data_raw		NO-ES-ARCHIVO	NO-ES-ARCHIVO				NO		
encig2015_csv	SIN-RAIZ	data_raw	encig2015_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	13152080	13152080		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
encig2017_csv	SIN-RAIZ	data_raw	encig2017_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	35027186	35027186		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
encig2019_csv	SIN-RAIZ	data_raw	encig2019_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	32632044	32632044		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
encig2021_csv	SIN-RAIZ	data_raw	encig2021_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	27752363	27752363		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
encig2023_datosabiertos_csv	SIN-RAIZ	data_raw	encig2023_datosabiertos_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	26171769	26171769		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
enif2018_csv	SIN-RAIZ	data_raw	enif2018_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	4450312	4450312		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
enif2021_csv	SIN-RAIZ	data_raw	enif2021_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	2511357	2511357		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
enif2024_csv	SIN-RAIZ	data_raw	enif2024_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	3086077	3086077		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2018_csv	SIN-RAIZ	data_raw	envipe2018_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	24337809	24337809		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2019_csv	SIN-RAIZ	data_raw	envipe2019_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	19146940	19146940		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2020_csv	SIN-RAIZ	data_raw	envipe2020_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	20253728	20253728		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2021_csv	SIN-RAIZ	data_raw	envipe2021_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	22334244	22334244		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2022_csv	SIN-RAIZ	data_raw	envipe2022_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	18858955	18858955		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2023_csv	SIN-RAIZ	data_raw	envipe2023_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	17728995	17728995		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2024_csv	SIN-RAIZ	data_raw	envipe2024_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	17837779	17837779		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
envipe2025_csv	SIN-RAIZ	data_raw	envipe2025_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	17600019	17600019		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
enigh2012_nc_csv	SIN-RAIZ	data_raw	enigh2012_nc_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	25396190	25396190		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
enigh2014_nc_csv	SIN-RAIZ	data_raw	enigh2014_nc_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	39555490	39555490		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
enigh2016_nc_csv	SIN-RAIZ	data_raw	enigh2016_nc_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	40991826	40991826		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
enigh2018_nc_csv	SIN-RAIZ	data_raw	enigh2018_nc_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	43339807	43339807		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
enigh2020_nc_csv	SIN-RAIZ	data_raw	enigh2020_nc_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	93711908	93711908		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
enigh2022_nc_csv	SIN-RAIZ	data_raw	enigh2022_nc_csv.zip	COINCIDE	ESTÁ-Y-COINCIDE	90030937	90030937		SI		Términos de Libre Uso de la Información del INEGI (https://www.inegi.org.mx/ineg
enigh2022_descripcion_base_pdf	SIN-RAIZ	data_raw	enigh2022_descripcion_base_pdf.pdf	COINCIDE	ESTÁ-Y-COINCIDE	2906552	2906552		SI		Terminos de Libre Uso de la Informacion del INEGI (https://www.inegi.org.mx/ineg
enigh2022_nota_tecnica_pdf	SIN-RAIZ	data_raw	enigh2022_nota_tecnica_pdf.pdf	COINCIDE	ESTÁ-Y-COINCIDE	1643661	1643661		SI		Terminos de Libre Uso de la Informacion del INEGI (https://www.inegi.org.mx/ineg
hitoD_fase1_ediciones_requieren_navegador	SIN-RAIZ	data_raw		NO-ES-ARCHIVO	NO-ES-ARCHIVO				NO		
ennvih1_2002_hogar_dta	SIN-RAIZ	data_raw	ennvih/ehh02dta_all.zip	COINCIDE	ESTÁ-Y-COINCIDE	17534918	17534918		SI		Dominio público, descarga sin costo (sitio del proyecto, sección Introducción). 
