conducta	ola	pase	pregunta_eje	variable	opcion	texto_completo	clase	submotivo	estado	cita
CUENTA	2012	N	5.4	P5_4_1	1	No le alcanza, sus ingresos son insuficientes o variables	OTRO/NS	INGRESO-INSUFICIENTE	CONSTRUIBLE	enif_2012_cuestionario.pdf, pregunta 5.4; FD 2012
CUENTA	2012	N	5.4	P5_4_2	2	No le interesa o no la necesita	PREFERENCIA		CONSTRUIBLE	enif_2012_cuestionario.pdf, pregunta 5.4; FD 2012
CUENTA	2012	N	5.4	P5_4_3	3	Los intereses son bajos	OFERTA		CONSTRUIBLE	enif_2012_cuestionario.pdf, pregunta 5.4; FD 2012
CUENTA	2012	N	5.4	P5_4_4	4	Las comisiones son altas	OFERTA		CONSTRUIBLE	enif_2012_cuestionario.pdf, pregunta 5.4; FD 2012
CUENTA	2012	N	5.4	P5_4_5	5	No confía en los bancos	OTRO/NS	DESCONFIANZA-O-SERVICIO	CONSTRUIBLE	enif_2012_cuestionario.pdf, pregunta 5.4; FD 2012
CUENTA	2012	N	5.4	P5_4_6	6	Piden requisitos que no tiene	OFERTA		CONSTRUIBLE	enif_2012_cuestionario.pdf, pregunta 5.4; FD 2012
CUENTA	2012	N	5.4	P5_4_7	7	Prefiere otras formas de ahorro (tanda, guardar en su casa, etc.)	PREFERENCIA		CONSTRUIBLE	enif_2012_cuestionario.pdf, pregunta 5.4; FD 2012
CUENTA	2012	N	5.4	P5_4_8	8	La sucursal le queda lejos o no hay	OFERTA		CONSTRUIBLE	enif_2012_cuestionario.pdf, pregunta 5.4; FD 2012
CUENTA	2012	N	5.4	P5_4_9	9	Otro	OTRO/NS	OTRA	CONSTRUIBLE	enif_2012_cuestionario.pdf, pregunta 5.4; FD 2012
CUENTA	2012	EJE	sexo			sexo			CONSTRUIBLE	DIN-CREDITO-PISOS-HISTORIA-mapa-v1_1.tsv; PISOS-ENIF2021-formalidad-spec-v1_0.md
