# GENERADO por tools/dominios/dinero-series/dictamina.py — no editar
id_afirmacion	programa_cola	dictamen	serie	id_serie_tabla	periodicidad	unidad	url	fecha_descarga_constancia	result_ids	valores	veredicto	evaluacion	razon
ASTRA5-U0-APUEST-008	CNBV	RESULT	Banxico · IMOR de consumo por producto, banca comercial (Informe Trimestral ene-mar 2026)	gen2_banxico_imor_consumo_producto_mensual_2026t1_html	mensual	porcentaje de saldo de cartera (SERIE-ADMINISTRATIVA; no persona)	https://www.banxico.org.mx/TablasWeb/informes-trimestrales/enero-marzo-2026/B133C3DC-462F-40C1-B2BA-04086A1CFAB1.html	2026-09-11	RESULT-BANXICO-SERIES-CON-2024-12	RESULT-BANXICO-SERIES-CON-2024-12=3.1	MATIZA	RETROSPECTIVA	el comparador de sistema (IMOR consumo banca comercial dic-2024) está debajo de 6.52%, así que el orden «por encima del promedio» se sostiene del lado del sistema; la cifra de BanCoppel (R16 por institución) es NO-ACCESIBLE aquí y además 6.52% puede no ser IMOR de consumo
ASTRA5-U0-APUEST-018	CNBV	NO-ACCESIBLE	CNBV · Base de Datos de Inclusión Financiera (corresponsales, sucursales, puntos de acceso)	BDIF	trimestral	serie administrativa (ver fuente)	https://www.cnbv.gob.mx/Inclusión/				—	—	número de corresponsales 2019 y participación de OXXO: serie BDIF de CNBV; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org). «50% con cuenta / 33% con tarjeta» de OXXO Pay es dicho de empresa, NO-CONSTRUIBLE como serie (el piso de persona es ENIF)
ASTRA5-U0-CRFAC-003	CNBV	NO-ACCESIBLE	CNBV · 040-1A-R16 por institución (IMOR/IMORA por tipo de cartera)	040-1A-R16 por institución	mensual	porcentaje de saldo de cartera (SERIE-ADMINISTRATIVA; no persona)	https://portafolioinfo.cnbv.gob.mx/		RESULT-BANXICO-SERIES-CON-2025-09	RESULT-BANXICO-SERIES-CON-2025-09=3.05	NO-CONTESTA	RETROSPECTIVA	la afirmación es IMORA (con castigos); las dos constancias publican solo IMOR, que en sep-2025 da el RESULT citado, otro concepto. IMORA consumo: boletín de banca múltiple CNBV; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org)
ASTRA5-U0-CRPOP-001	CNBV	RESULT	Banxico · IMOR de consumo por producto, banca comercial (Informe Trimestral ene-mar 2026)	gen2_banxico_imor_consumo_producto_mensual_2026t1_html	mensual	porcentaje de saldo de cartera (SERIE-ADMINISTRATIVA; no persona)	https://www.banxico.org.mx/TablasWeb/informes-trimestrales/enero-marzo-2026/B133C3DC-462F-40C1-B2BA-04086A1CFAB1.html	2026-09-11	RESULT-BANXICO-SERIES-CON-2024-12	RESULT-BANXICO-SERIES-CON-2024-12=3.1	MATIZA	RETROSPECTIVA	con el IMOR de consumo del sistema dic-2024 como denominador, el ~5% de Azteca que cita la propia afirmación queda por debajo del «2-4 veces»; la cifra por institución es NO-ACCESIBLE aquí
ASTRA5-U0-CRPOP-002	CNBV	RESULT	CNBV · Portafolio de Información 040-1A-R16, IMOR por tipo de cartera, Total Banca Múltiple	gen2_cnbv_040_1a_r16_imor_tipo_cartera	foto 2021-12	porcentaje de saldo de cartera (SERIE-ADMINISTRATIVA; no persona)	https://portafolioinfdoctos.cnbv.gob.mx/Documentacion/minfo/XLS/40/040_1a_R16.xls	2026-09-11	RESULT-CNBV-SERIES-PER-2021-12;RESULT-CNBV-SERIES-TDC-2021-12;RESULT-CNBV-SERIES-ABCD-2021-12;RESULT-CNBV-SERIES-BM-2021-12;RESULT-BANXICO-SERIES-PER-2026-03;RESULT-BANXICO-SERIES-TDC-2026-03;RESULT-BANXICO-SERIES-ABCD-2026-03	RESULT-CNBV-SERIES-PER-2021-12=5.2126;RESULT-CNBV-SERIES-TDC-2021-12=3.6436;RESULT-CNBV-SERIES-ABCD-2021-12=2.8536;RESULT-CNBV-SERIES-BM-2021-12=6.0811;RESULT-BANXICO-SERIES-PER-2026-03=5.29;RESULT-BANXICO-SERIES-TDC-2026-03=3.35;RESULT-BANXICO-SERIES-ABCD-2026-03=1.88	MATIZA	RETROSPECTIVA	dentro de la banca, personales > tarjeta > ABCD en las dos series; pero «adquisición de bienes muebles» bancaria supera a personales en R16 2021-12, y el crédito de tienda con cobranza domiciliaria no está en ninguna serie bancaria: el techo por producto se sostiene para personales y no para «bien durable»
ASTRA5-U0-CRPOP-005	CNBV	NO-ACCESIBLE	CNBV · Boletín estadístico del sector de ahorro y crédito popular (SOFIPO), por entidad	boletín EACP/SOFIPO	trimestral	serie administrativa (ver fuente)	https://portafolioinfo.cnbv.gob.mx/				—	—	IMOR/IMORA de Nu México SOFIPO ago-2023: boletín SOFIPO por entidad; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org). Impago de Klarna/Aplazo: dicho de empresa, NO-CONSTRUIBLE como serie
ASTRA5-U0-CRPOP-006	CNBV	RESULT	Banxico · IMOR de consumo por producto, banca comercial (Informe Trimestral ene-mar 2026)	gen2_banxico_imor_consumo_producto_mensual_2026t1_html	mensual	porcentaje de saldo de cartera (SERIE-ADMINISTRATIVA; no persona)	https://www.banxico.org.mx/TablasWeb/informes-trimestrales/enero-marzo-2026/B133C3DC-462F-40C1-B2BA-04086A1CFAB1.html	2026-09-11	RESULT-BANXICO-SERIES-PER-2024-02	RESULT-BANXICO-SERIES-PER-2024-02=4.92	MATIZA	RETROSPECTIVA	el IMOR de créditos personales de banca comercial feb-2024 queda muy lejos de ~10.8%: la cifra no es IMOR de personales de ese universo; solo sería compatible con IMORA u otro universo, no verificable aquí
ASTRA5-U0-CRPOP-007	CNBV	RESULT	Banxico · IMOR de consumo por producto, banca comercial (Informe Trimestral ene-mar 2026)	gen2_banxico_imor_consumo_producto_mensual_2026t1_html	mensual	porcentaje de saldo de cartera (SERIE-ADMINISTRATIVA; no persona)	https://www.banxico.org.mx/TablasWeb/informes-trimestrales/enero-marzo-2026/B133C3DC-462F-40C1-B2BA-04086A1CFAB1.html	2026-09-11	RESULT-BANXICO-SERIES-NOM-2024-03;RESULT-BANXICO-SERIES-TDC-2024-03	RESULT-BANXICO-SERIES-NOM-2024-03=2.76;RESULT-BANXICO-SERIES-TDC-2024-03=3.39	MATIZA	RETROSPECTIVA	solo el comparador de sistema mar-2024 (nómina y tarjeta); las cifras de BanCoppel (R16 por institución) son NO-ACCESIBLE aquí; si fueran IMOR, serían varias veces las del sistema
ASTRA5-U0-CRPOP-012	CNBV	RESULT	Banxico · IMOR de consumo por producto, banca comercial (Informe Trimestral ene-mar 2026)	gen2_banxico_imor_consumo_producto_mensual_2026t1_html	mensual	porcentaje de saldo de cartera (SERIE-ADMINISTRATIVA; no persona)	https://www.banxico.org.mx/TablasWeb/informes-trimestrales/enero-marzo-2026/B133C3DC-462F-40C1-B2BA-04086A1CFAB1.html	2026-09-11	RESULT-BANXICO-SERIES-CON-2024-12	RESULT-BANXICO-SERIES-CON-2024-12=3.1	CONFIRMA	RETROSPECTIVA	la parte de sistema (IMOR consumo 3.1% dic-2024) cae dentro de 0.5 pp del RESULT; las cifras de Azteca (IMOR 3.8/5.2, IMORA ~10.7, cobertura 313%) son R16 por institución, NO-ACCESIBLE aquí
ASTRA5-U0-CRPOP-017	CNBV	NO-ACCESIBLE	CNBV · 040-1A-R16 por institución (IMOR/IMORA por tipo de cartera)	040-1A-R16 por institución	mensual	serie administrativa (ver fuente)	https://portafolioinfo.cnbv.gob.mx/				—	—	IMOR/IMORA por institución 3T24 y serie 2021-2024: R16 por institución; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org). El ICV de PCR Verum es calificadora, no serie pública
