id_afirmacion	intento	ruta	url	http_code	bytes	sha256	estructura	fecha_utc	resultado_intento	nota	lote
ASTRA5-U0-APUEST-038	1	CABECERAS-LINUX-CAJA	https://www.gob.mx/cofepris/acciones-y-programas/resoluciones-y-sanciones	200	1881	60a562c8873488f271e3522cbf9cc022d9e17d4b94de256ee4f37a7c1554b0ee	RETO-CLOUDFLARE	2026-09-24T20:26:27Z	NO-ACCESIBLE	barrera confirmada desde CAJA fuera del sandbox (CABECERAS-LINUX-CAJA): RETO-CLOUDFLARE; RETO-CLOUDFLARE	caja2
ASTRA5-U0-APUEST-038	2	CURL-EXE-WINDOWS	https://www.gob.mx/cofepris/acciones-y-programas/resoluciones-y-sanciones	200	1881	7d1aa6de435fc7baf0c283ba65e61432d2f79f9ae4b115fd5185c9248d53d487	RETO-CLOUDFLARE	2026-09-24T20:26:27Z	NO-ACCESIBLE	barrera confirmada desde CAJA fuera del sandbox (CURL-EXE-WINDOWS): RETO-CLOUDFLARE; RETO-CLOUDFLARE	caja2
ASTRA5-U0-APUEST-038	3	WAYBACK-ID	https://archive.org/wayback/available?url=https%3A%2F%2Fwww.gob.mx%2Fcofepris%2Facciones-y-programas%2Fresoluciones-y-sanciones	200			JSON-OK	2026-09-24T20:26:31Z	NO-ENCONTRADO	Wayback localiza captura (se pide en la fila siguiente); captura=http://web.archive.org/web/20260523153935/https://www.gob.mx/cofepris/acciones-y-programas/resoluciones-y-sanciones	caja2
ASTRA5-U0-APUEST-038	4	WAYBACK-ID	https://web.archive.org/web/20260523153935id_/https://www.gob.mx/cofepris/acciones-y-programas/resoluciones-y-sanciones	200	17044	45c83acd0428879865250ae7abb7e5970aece516452976d4f6409164a6e5822b	SIN-TITULO	2026-09-24T20:26:32Z	NO-ENCONTRADO	índice «Resoluciones y sanciones» de COFEPRIS alcanzado (título real, cuerpo gzip); no nombra a Laboratorios Imperiales ni BCG; los PDF enlazados no se revisaron	caja2
ASTRA5-U0-APUEST-038	5	CABECERAS-LINUX-CAJA	https://directoriosancionados.apps.funcionpublica.gob.mx/	000	0		VACIO	2026-09-24T20:26:33Z	NO-ACCESIBLE	host no resuelve DNS desde CAJA (Linux y Windows); curl rc=6	caja2
ASTRA5-U0-APUEST-038	6	CURL-EXE-WINDOWS	https://directoriosancionados.apps.funcionpublica.gob.mx/	000	0		VACIO	2026-09-24T20:26:44Z	NO-ACCESIBLE	host no resuelve DNS desde CAJA (Linux y Windows); curl rc=6	caja2
ASTRA5-U0-APUEST-038	7	WAYBACK-ID	https://archive.org/wayback/available?url=https%3A%2F%2Fdirectoriosancionados.apps.funcionpublica.gob.mx%2F	200			JSON-OK	2026-09-24T20:26:50Z	NO-ENCONTRADO	Wayback sin captura de la URL; captura=ninguna	caja2
ASTRA5-U0-APUEST-046	1	CABECERAS-LINUX-CAJA	https://www.gob.mx/salud/articulos/conoce-susana-distancia	200	1881	a2a27f71fa76c9cba5f6adb72a4f09752dfc088724b137f1949d0c53814078f6	RETO-CLOUDFLARE	2026-09-24T20:26:51Z	NO-ACCESIBLE	barrera confirmada desde CAJA fuera del sandbox (CABECERAS-LINUX-CAJA): RETO-CLOUDFLARE; RETO-CLOUDFLARE	caja2
ASTRA5-U0-APUEST-046	2	CURL-EXE-WINDOWS	https://www.gob.mx/salud/articulos/conoce-susana-distancia	200	1881	8aea625e10a8f176c3177daa68d1b369b272dcf4f5d807f656f5f1de387e55b8	RETO-CLOUDFLARE	2026-09-24T20:26:51Z	NO-ACCESIBLE	barrera confirmada desde CAJA fuera del sandbox (CURL-EXE-WINDOWS): RETO-CLOUDFLARE; RETO-CLOUDFLARE	caja2
ASTRA5-U0-APUEST-046	3	WAYBACK-ID	https://archive.org/wayback/available?url=https%3A%2F%2Fwww.gob.mx%2Fsalud%2Farticulos%2Fconoce-susana-distancia	200			JSON-OK	2026-09-24T20:26:54Z	NO-ENCONTRADO	Wayback sin captura de la URL; captura=ninguna	caja2
ASTRA5-U0-APUEST-046	4	CABECERAS-LINUX-CAJA	https://www.gob.mx/salud/es/articulos/susana-distancia-medidas-de-prevencion	200	1881	c69e519ded0b927decfb4a7279f5933230fbb18fbdf4af764e12c67900edc70b	RETO-CLOUDFLARE	2026-09-24T20:26:55Z	NO-ACCESIBLE	barrera confirmada desde CAJA fuera del sandbox (CABECERAS-LINUX-CAJA): RETO-CLOUDFLARE; RETO-CLOUDFLARE	caja2
