ruta	sha256_recalculado	linea	tier_literal_en_linea	pasaje_candidato
corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	d47463c20b6ca69c5afbe49e2b69295c75c414f7c974c405b7987c880ff4d74b	5	NO-EXPLÍCITO	- **La confianza institucional NO predice bien la adopción tecnológica en México.** Lo que la predice es la utilidad percibida, el efecto de red, el diseño de baja fricción, la ausencia de alternativas y —cuando existe— la obligatoriedad estatal. La adopción masiva de fintech privada conviviendo con desconfianza aguda hacia el gobierno es la prueba empírica más clara: Nu México superó los 13 millones de clientes (16 de octubre de 2025) mientras el gobierno es la única institución en desconfianza en México (Edelman, 47%).
corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	d47463c20b6ca69c5afbe49e2b69295c75c414f7c974c405b7987c880ff4d74b	6	NO-EXPLÍCITO	- **La adopción es selectiva por operador, no por tecnología, y la mayoría de la resistencia es desconfianza racional, no tecnofobia.** Los mexicanos adoptan algoritmos de empresas privadas (bancos digitales, mapas, mensajería) mientras resisten los del Estado que manejan datos sensibles (CURP biométrica, identidad digital), apoyados en un historial verificable de fugas de datos y fallas institucionales.
corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	d47463c20b6ca69c5afbe49e2b69295c75c414f7c974c405b7987c880ff4d74b	7	NO-EXPLÍCITO	"- **El techo real de la adopción es estructural (brecha digital y alfabetización), no actitudinal.** El 16.9% de la población no usa internet y de ese grupo el 9.5% ""no sabe usarlo"" (ENDUTIH 2024); la exclusión se concentra en el sur rural e indígena, donde cualquier obligatoriedad digital (trámites solo en línea, CURP biométrica) amenaza con negar el acceso a derechos."
corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	d47463c20b6ca69c5afbe49e2b69295c75c414f7c974c405b7987c880ff4d74b	25	MEDIO	"7. **[MEDIO] La preferencia por mediación humana es fuerte en servicios de alto riesgo/ambiguos, pero no es absoluta.** Los mexicanos prefieren atención humana en servicio al cliente (una encuesta de 2025 concluyó que ""el factor humano seguirá siendo el más confiable y deseado por los mexicanos""), pero aceptan algoritmos sin intermediario en tareas estructuradas (pagos, navegación). Coincide con la literatura de *algorithm aversion/appreciation*: aversión en tareas subjetivas/de alto riesgo, apreciación en tareas cuantitativas/estructuradas."
corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	d47463c20b6ca69c5afbe49e2b69295c75c414f7c974c405b7987c880ff4d74b	29	MEDIO	"9. **[MEDIO] La automatización laboral genera exposición desigual pero poca resistencia sindical visible.** Según la OCDE (""Creación de empleo y desarrollo económico local 2024""), 18.9% de trabajadores mexicanos están en alto riesgo de automatización (vs. 12% promedio OCDE); la exposición a IA generativa es de 32% urbano vs. 21% rural. La informalidad (54–56%) actúa como amortiguador y como zona ciega a la vez."
corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	d47463c20b6ca69c5afbe49e2b69295c75c414f7c974c405b7987c880ff4d74b	35	MEDIO	12. **[MEDIO] Telemedicina y salud digital crecieron por necesidad (COVID + sistema saturado), no por confianza.** El 50% de los médicos realizó teleconsultas en 2024 y el mercado de salud online alcanzó 1,600 millones de USD en 2024. La adopción convive con reticencia de médicos y pacientes que perciben la atención presencial como superior — utilidad/acceso por encima de confianza.
corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	d47463c20b6ca69c5afbe49e2b69295c75c414f7c974c405b7987c880ff4d74b	100	FUERTE	"OCDE 2024: 18.9% en alto riesgo; estados manufactureros más expuestos (Coahuila 28.1%, Aguascalientes 23.7%, Yucatán 23.1%). El nearshoring acelera la automatización pero genera demanda de perfiles técnicos (mecatrónica, ciencia de datos); el BID estima que el nearshoring podría atraer hasta 78,000 millones de USD a la región, con México captando ~45%. *Vacío declarado:* no hay evidencia fuerte de actitudes sistemáticas de trabajadores o sindicatos mexicanos frente a la IA. La informalidad (54–56%) deja a gran parte de la fuerza laboral fuera del alcance directo de la automatización formal y de la representación sindical. *Implicación:* el riesgo no es ""revuelta anti-IA"" sino polarización silenciosa del mercado laboral."
corpus/reports/Ausencia_sin_certeza__duelo_y_pérdida_ambigua_en_familias_de_personas_desaparecidas_en_México.md	36eaeb28928c071d8d8b827d62a77ed4cf8f08407c4fa251f1ddc3de15c20879	4	NO-EXPLÍCITO	"- La pérdida ambigua masiva en México es un producto **ESTRUCTURAL** —135,445 personas desaparecidas al 30 de junio de 2026 (informe ""Desapariciones en México"" de la CIDH), más de 70,000 cuerpos sin identificar y una impunidad del 99.6% en el delito de desaparición— no un rasgo cultural del mexicano frente a la muerte; el duelo no cierra porque el Estado no busca ni identifica, no porque ""así se duele en México""."
corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	2f7b4f0340924aebd7a943f9df5c06c88f9983e6a01e9ae1d16a1360b4e5441c	9	NO-EXPLÍCITO	1. **La distancia de poder es alta pero aspiracionalmente rechazada.** México puntúa 81 en PDI (Hofstede), pero el estudio GLOBE muestra que los mexicanos desean niveles significativamente menores de distancia de poder —entre los más bajos de todos los clústeres culturales globales.
corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	2f7b4f0340924aebd7a943f9df5c06c88f9983e6a01e9ae1d16a1360b4e5441c	11	NO-EXPLÍCITO	2. **El respeto es performativo antes que sumiso.** El valor cultural del *respeto* opera como código de comportamiento público (deferencia, decoro, obediencia ritual) más que como internalización genuina de subordinación. La Encuesta Mundial de Valores registra que el **57% de los mexicanos** valoran la obediencia como cualidad infantil deseable (vs. 28% en EE.UU., 3% en Japón).
corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	2f7b4f0340924aebd7a943f9df5c06c88f9983e6a01e9ae1d16a1360b4e5441c	13	NO-EXPLÍCITO	3. **La autoridad se legitima por vínculos personales, no por posición formal.** El *personalismo* y la *confianza* son los mecanismos que validan a quien ejerce poder. Un jefe sin relación personal es una figura formal vacía; un compadre sin cargo formal puede tener más influencia real.
corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	2f7b4f0340924aebd7a943f9df5c06c88f9983e6a01e9ae1d16a1360b4e5441c	15	NO-EXPLÍCITO	"4. **Existe un ""doble discurso"" estructural.** Desde la colonia (""la ley se acata pero no se cumple""), México mantiene una brecha sistémica entre el marco normativo formal y la práctica cotidiana. El **77.5% quiere un líder político fuerte** y simultáneamente el **88.7%** dice que gobernar requiere participación de todos (ENCUCI 2020)."
corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	2f7b4f0340924aebd7a943f9df5c06c88f9983e6a01e9ae1d16a1360b4e5441c	17	NO-EXPLÍCITO	"5. **Las redes informales (compadrazgo, palancas) funcionan como gobernanza paralela.** Son mecanismos adaptativos ante instituciones disfuncionales: ""una familia que sigue las reglas y no puede doblarlas es considerada una familia fracasada."""
corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	2f7b4f0340924aebd7a943f9df5c06c88f9983e6a01e9ae1d16a1360b4e5441c	19	NO-EXPLÍCITO	6. **La confianza es particularista, no generalizada.** El 62.1% confía en personas conocidas personalmente; solo el 13.8% confía en servidores públicos (ENCUCI 2020). Se confía en individuos, no en instituciones.
corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	2f7b4f0340924aebd7a943f9df5c06c88f9983e6a01e9ae1d16a1360b4e5441c	21	NO-EXPLÍCITO	"7. **El liderazgo ideal es carismático-paternalista, no autoritario puro.** El estudio GLOBE muestra que los mexicanos prefieren líderes altamente carismáticos (5.99/7) y orientados al equipo (5.96/7), pero solo moderadamente participativos (5.42/7). El jefe ideal es un ""autócrata benevolente."""
corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	2f7b4f0340924aebd7a943f9df5c06c88f9983e6a01e9ae1d16a1360b4e5441c	23	NO-EXPLÍCITO	"8. **El conflicto se evita sistemáticamente.** Un ""sí"" puede significar ""quizás"" y un ""quizás"" puede significar ""no."" La comunicación indirecta protege las relaciones pero genera costos operativos significativos en organizaciones."
corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	2f7b4f0340924aebd7a943f9df5c06c88f9983e6a01e9ae1d16a1360b4e5441c	25	NO-EXPLÍCITO	"9. **La clase social modula la relación con la autoridad más que la ""cultura nacional.""** La movilidad intergeneracional en México es la más baja de América Latina: los hijos de trabajadores de cuello blanco tienen **3.5 veces más probabilidad** de acceder a empleos similares que los hijos de obreros. El tono de piel determina diferencias de ingreso que superan el **100%**."
corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	2f7b4f0340924aebd7a943f9df5c06c88f9983e6a01e9ae1d16a1360b4e5441c	27	NO-EXPLÍCITO	10. **El cambio generacional es real pero no lineal.** El 55% de la fuerza laboral tiene menos de 25 años. Los millennials y Gen Z prefieren colaboración sobre deferencia, pero la evidencia de Berkeley (2024) muestra que no hay diferencias generacionales significativas en preferencia por jerarquía *per se* —lo que cambia es la demanda de justificación.
corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	2f7b4f0340924aebd7a943f9df5c06c88f9983e6a01e9ae1d16a1360b4e5441c	29	NO-EXPLÍCITO	11. **Las diferencias regionales son tan profundas como las diferencias entre países.** El norte industrial (Monterrey, Chihuahua) opera con normas más cercanas al sur de EE.UU.; el sur indígena (Chiapas, Oaxaca) mantiene sistemas de autoridad comunal precoloniales; la CDMX es un outlier cosmopolita.
corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	2f7b4f0340924aebd7a943f9df5c06c88f9983e6a01e9ae1d16a1360b4e5441c	31	NO-EXPLÍCITO	12. **La religión católica ha perdido el monopolio moral.** Del 99% católico en 1900 al 77.7% en 2020, con protestantismo en 11.2% y sin religión en 8.1%. La autoridad religiosa se fragmenta, especialmente en el sureste (Chiapas: 35% evangélico).
corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	2f7b4f0340924aebd7a943f9df5c06c88f9983e6a01e9ae1d16a1360b4e5441c	33	NO-EXPLÍCITO	"13. **El 90% de las empresas mexicanas son familiares**, pero solo el 5% tiene gobernanza adecuada y solo el 3% tiene plan de sucesión. La autoridad del fundador funciona como ""veto informal sobre todo."""
