clave	unidad	tipo	filas_o_contratos	razon
apuestas	LECTURA-329d8c81-01	G		NO-AFIRMACION: encabezado (introduce la lista de patrones «del mas solido al mas debil», sin afirmacion propia)
apuestas	LECTURA-329d8c81-02	G	ASTRA5-U0-APUEST-001	
apuestas	LECTURA-329d8c81-03	G	ASTRA5-U0-APUEST-002	
apuestas	LECTURA-329d8c81-04	G	ASTRA5-U0-APUEST-003	
apuestas	LECTURA-329d8c81-05	G	ASTRA5-U0-APUEST-004	
apuestas	LECTURA-329d8c81-06	G	ASTRA5-U0-APUEST-005	
apuestas	CAND-329d8c81-L38	P	ASTRA5-U0-APUEST-007;ASTRA5-U0-APUEST-008;ASTRA5-U0-APUEST-009	
apuestas	CAND-329d8c81-L56	P	ASTRA5-U0-APUEST-014;ASTRA5-U0-APUEST-015;ASTRA5-U0-APUEST-016;ASTRA5-U0-APUEST-017	
apuestas	CAND-329d8c81-L140	P	ASTRA5-U0-APUEST-037	
apuestas	CAND-329d8c81-L148	P	ASTRA5-U0-APUEST-040	
apuestas	CAND-329d8c81-L190	P	ASTRA5-U0-APUEST-002	DEDUP: apuestas-002 (mismo tema efectivo/OXXO que Par 2 y L10)
apuestas	CAND-329d8c81-L191	P	ASTRA5-U0-APUEST-001	DEDUP: apuestas-001 (mismo patron friccion+utilidad que L9)
apuestas	CAND-329d8c81-L192	P	ASTRA5-U0-APUEST-003;ASTRA5-U0-APUEST-020;ASTRA5-U0-APUEST-042	
apuestas	CAND-329d8c81-L193	P	ASTRA5-U0-APUEST-021	
apuestas	CAND-329d8c81-L194	P	ASTRA5-U0-APUEST-005;ASTRA5-U0-APUEST-039	
apuestas	CAND-329d8c81-L195	P	ASTRA5-U0-APUEST-006	
apuestas	CAND-329d8c81-L231	P	ASTRA5-U0-APUEST-003	DEDUP: apuestas-003 (misma auditoria del caso Mama Lucha)
apuestas	TIER-329d8c81-L47	T	ASTRA5-U0-APUEST-010;ASTRA5-U0-APUEST-011;ASTRA5-U0-APUEST-012;ASTRA5-U0-APUEST-013	
apuestas	TIER-329d8c81-L65	T	ASTRA5-U0-APUEST-018;ASTRA5-U0-APUEST-019;ASTRA5-U0-APUEST-002	
apuestas	TIER-329d8c81-L74	T	ASTRA5-U0-APUEST-003;ASTRA5-U0-APUEST-020	
apuestas	TIER-329d8c81-L83	T	ASTRA5-U0-APUEST-021;ASTRA5-U0-APUEST-022;ASTRA5-U0-APUEST-023	
apuestas	TIER-329d8c81-L92	T	ASTRA5-U0-APUEST-024;ASTRA5-U0-APUEST-025;ASTRA5-U0-APUEST-026	
apuestas	TIER-329d8c81-L101	T	ASTRA5-U0-APUEST-027;ASTRA5-U0-APUEST-028	
apuestas	TIER-329d8c81-L112	T	ASTRA5-U0-TEC-019;ASTRA5-U0-APUEST-030;ASTRA5-U0-APUEST-031;ASTRA5-U0-APUEST-032	
apuestas	TIER-329d8c81-L121	T	ASTRA5-U0-APUEST-033;ASTRA5-U0-APUEST-034	
apuestas	TIER-329d8c81-L130	T	ASTRA5-U0-APUEST-035;ASTRA5-U0-APUEST-036	
