# GENERADO por tools/dominios/cola-completa/cola_v1_1.py — no editar
dominio	programa	ola	n_afirmaciones	estado_fila	n_medido	n_no_construible	n_diferido	calc_citados	detalle	ids
DINERO	CNBV	SIN-OLA-CASADA	21	MEDIDO	9	2	10	CALC-BANXICO-SERIES-IMOR-0001;CALC-CNBV-SERIES-IMOR-R16-0001	ASTRA5-U0-APUEST-008=MEDIDO[MATIZA] | ASTRA5-U0-APUEST-018=DIFERIDO[SIN-VEREDICTO]: sin CALC de este acto (host CNBV/Banxico denegado en la sesión previa que dejó la constancia; serie existe pero no se trajo al corpus): número de corresponsales 2019 y participación de OXXO: serie BDIF de CNBV; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org). «50% con cuenta / 33% con tarjeta» de OXXO Pay es dicho de empresa, NO-CONSTRUIBLE como serie (el piso de persona es ENIF) | ASTRA5-U0-CRFAC-003=DIFERIDO[SIN-VEREDICTO]: sin CALC de este acto (host CNBV/Banxico denegado en la sesión previa que dejó la constancia; serie existe pero no se trajo al corpus): la afirmación es IMORA (con castigos); las dos constancias publican solo IMOR, que en sep-2025 da el RESULT citado, otro concepto. IMORA consumo: boletín de banca múltiple CNBV; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org) | ASTRA5-U0-CRPOP-001=MEDIDO[MATIZA] | ASTRA5-U0-CRPOP-002=MEDIDO[MATIZA] | ASTRA5-U0-CRPOP-005=DIFERIDO[SIN-VEREDICTO]: sin CALC de este acto (host CNBV/Banxico denegado en la sesión previa que dejó la constancia; serie existe pero no se trajo al corpus): IMOR/IMORA de Nu México SOFIPO ago-2023: boletín SOFIPO por entidad; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org). Impago de Klarna/Aplazo: dicho de empresa, NO-CONSTRUIBLE como serie | ASTRA5-U0-CRPOP-006=MEDIDO[MATIZA] | ASTRA5-U0-CRPOP-007=MEDIDO[MATIZA] | ASTRA5-U0-CRPOP-012=MEDIDO[CONFIRMA] | ASTRA5-U0-CRPOP-017=DIFERIDO[SIN-VEREDICTO]: sin CALC de este acto (host CNBV/Banxico denegado en la sesión previa que dejó la constancia; serie existe pero no se trajo al corpus): IMOR/IMORA por institución 3T24 y serie 2021-2024: R16 por institución; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org). El ICV de PCR Verum es calificadora, no serie pública | ASTRA5-U0-CRPOP-018=MEDIDO[MATIZA] | ASTRA5-U0-CRPOP-029=NO-CONSTRUIBLE[SIN-VEREDICTO]: IMOR/IMORA/ROE de una SOFOM ENR y su línea de fondeo: la CNBV no publica serie prudencial de ENR (buscado: boletín estadístico de SOFOM ENR en el manifiesto y en las dos constancias); la fuente son reportes de calificadora y emisora | ASTRA5-U0-CRPOP-031=DIFERIDO[SIN-VEREDICTO]: sin CALC de este acto (host CNBV/Banxico denegado en la sesión previa que dejó la constancia; serie existe pero no se trajo al corpus): IMOR sector SOFIPO jun-2025 e indicadores de CAME: boletín SOFIPO; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org). NICAP e intervención: comunicados, no serie | ASTRA5-U0-CRPOP-036=DIFERIDO[SIN-VEREDICTO]: sin CALC de este acto (host CNBV/Banxico denegado en la sesión previa que dejó la constancia; serie existe pero no se trajo al corpus): «IMOR de consumo del sector popular» abr-2021 no es agregado publicado; se construiría agregando R16 por institución con una lista de bancos populares a declarar; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org) | ASTRA5-U0-CRPOP-040=NO-CONSTRUIBLE[SIN-VEREDICTO]: umbrales normativos de alerta (partes relacionadas, interés capitalizado) y un dato de emisora quebrada: no es afirmación sobre una serie; buscado: R16 y boletines en las dos constancias | ASTRA5-U0-CRPOP-044=MEDIDO[CONFIRMA] | ASTRA5-U0-CRPOP-049=DIFERIDO[SIN-VEREDICTO]: sin CALC de este acto (host CNBV/Banxico denegado en la sesión previa que dejó la constancia; serie existe pero no se trajo al corpus): IMOR etapa 3 de Compartamos: R16 por institución; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org). Castigos trimestrales: reporte BMV de la emisora, no serie CNBV | ASTRA5-U0-CRPOP-055=MEDIDO[CONFIRMA] | ASTRA5-U0-CRPOP-057=DIFERIDO[SIN-VEREDICTO]: sin CALC de este acto (host CNBV/Banxico denegado en la sesión previa que dejó la constancia; serie existe pero no se trajo al corpus): la regla IMORA > 2.5×IMOR se evalúa por institución con R16 (bancos) y boletín SOFIPO (CAME); host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org) | ASTRA5-U0-CRPOP-060=DIFERIDO[SIN-VEREDICTO]: sin CALC de este acto (host CNBV/Banxico denegado en la sesión previa que dejó la constancia; serie existe pero no se trajo al corpus): castigos y cartera vencida ajustada de CAME y comparación con Azteca/BanCoppel/Findep: boletín SOFIPO y R16 por institución; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org) | ASTRA5-U0-CLASE-042=DIFERIDO[SIN-VEREDICTO]: sin CALC de este acto (host CNBV/Banxico denegado en la sesión previa que dejó la constancia; serie existe pero no se trajo al corpus): morosidad de SOFIPO 2025 (9.91%): boletín SOFIPO; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org). La alerta del REF es texto, no serie	ASTRA5-U0-APUEST-008;ASTRA5-U0-APUEST-018;ASTRA5-U0-CRFAC-003;ASTRA5-U0-CRPOP-001;ASTRA5-U0-CRPOP-002;ASTRA5-U0-CRPOP-005;ASTRA5-U0-CRPOP-006;ASTRA5-U0-CRPOP-007;ASTRA5-U0-CRPOP-012;ASTRA5-U0-CRPOP-017;ASTRA5-U0-CRPOP-018;ASTRA5-U0-CRPOP-029;ASTRA5-U0-CRPOP-031;ASTRA5-U0-CRPOP-036;ASTRA5-U0-CRPOP-040;ASTRA5-U0-CRPOP-044;ASTRA5-U0-CRPOP-049;ASTRA5-U0-CRPOP-055;ASTRA5-U0-CRPOP-057;ASTRA5-U0-CRPOP-060;ASTRA5-U0-CLASE-042
SALUD	ENSANUT	2012;2018;2020;2021;2022;2023;2024	7	DIFERIDO	0	0	7		ASTRA5-U0-APUEST-024=DIFERIDO[SIN-VEREDICTO]: modulo de etiquetado frontal (octagonos NOM-051) fuera de la lista cerrada P1 (lista-cerrada-P1.md §3: 'APUEST-024/025 ... NO-CORRIDO: modulo fuera de esta lista -> sucesor -2'); CALC-ENSANUT-PISOS-SALUD-0001 no lo mide; ademas cita ENSANUT 2020 (fuera de la serie 2021-2024 por cambio de cuestionario, P1 §1) | ASTRA5-U0-APUEST-037=DIFERIDO[SIN-VEREDICTO]: modulo de vacunacion/esquema infantil fuera de la lista cerrada P1 (§3: 'APUEST-037, CONOC-010 (vacunacion) ... NO-CORRIDO: modulo fuera de esta lista -> sucesor -2'); sin CALC en este acto | ASTRA5-U0-SALUD-014=DIFERIDO[SIN-VEREDICTO]: control glucemico HbA1c<7% (Basto-Abreu et al.) es modulo de laboratorio, fuera de la lista cerrada P1 (§3: 'SALUD-014 (HbA1c) ... NO-CORRIDO: modulo fuera de esta lista -> sucesor -2'); DX-DIABETES si esta en la lista pero mide diagnostico, no control glucemico | ASTRA5-U0-SALUD-016=DIFERIDO[SIN-VEREDICTO]: ENSANUT 2018-19 fuera de la serie corrida por cambio de esquema/cuestionario (lista-cerrada-P1.md §1, declarado); ademas obesidad regional esta NO-CORRIDO (§3: 'SALUD-016 (obesidad regional)'); sin CALC en este acto | ASTRA5-U0-SALUD-025=DIFERIDO[SIN-VEREDICTO]: compara 2018 (fuera de la serie corrida, P1 §1) vs 2022; actividad fisica no esta entre las 13 conductas de la lista cerrada P1 §2; sin CALC que mida inactividad fisica en este acto | ASTRA5-U0-CONOC-010=DIFERIDO[SIN-VEREDICTO]: modulo de vacunacion (COVID adultos y esquema completo infantil) fuera de la lista cerrada P1 (§3: 'CONOC-010 (vacunacion) ... NO-CORRIDO'); sin CALC en este acto | ASTRA5-U0-CONOC-018=DIFERIDO[SIN-VEREDICTO]: ENSANUT 2012 fuera de la serie corrida (P1 §1 solo abre 2021-2024); Consultorios Adyacentes a Farmacia (CAF) 2012 esta explicitamente NO-CORRIDO en la lista cerrada (§3: 'CONOC-018 (CAF 2012)'); sin CALC en este acto	ASTRA5-U0-APUEST-024;ASTRA5-U0-APUEST-037;ASTRA5-U0-SALUD-014;ASTRA5-U0-SALUD-016;ASTRA5-U0-SALUD-025;ASTRA5-U0-CONOC-010;ASTRA5-U0-CONOC-018
DINERO	BANXICO	SIN-OLA-CASADA	9	MEDIDO	1	3	5	CALC-BANXICO-SERIES-IMOR-0001	ASTRA5-U0-CRFAC-004=DIFERIDO[SIN-VEREDICTO]: sin CALC de este acto (host CNBV/Banxico denegado en la sesión previa que dejó la constancia; serie existe pero no se trajo al corpus): crecimiento real de la cartera de consumo: SIE (el payload CF297 está en el manifiesto pero no en este clon; se trae desde caja); host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org) | ASTRA5-U0-CRFAC-007=MEDIDO[MATIZA] | ASTRA5-U0-CRFAC-011=DIFERIDO[SIN-VEREDICTO]: sin CALC de este acto (host CNBV/Banxico denegado en la sesión previa que dejó la constancia; serie existe pero no se trajo al corpus): CAT promedio de tarjetas clásicas 2024: RIB de tarjetas de Banxico; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org). Fichas CONDUSEF y «44% totaleros»: otra fuente (CONDUSEF / encuesta), fuera de este acto | ASTRA5-U0-CRFAC-013=DIFERIDO[SIN-VEREDICTO]: sin CALC de este acto (host CNBV/Banxico denegado en la sesión previa que dejó la constancia; serie existe pero no se trajo al corpus): financiamiento a hogares como % del PIB: SIE financiamiento + PIB; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org) | ASTRA5-U0-CRFAC-020=NO-CONSTRUIBLE[SIN-VEREDICTO]: morosidad de SOFOM ENR y OIFNB «en niveles históricamente altos»: dicho del REF, que la construye con información de burós; no hay serie pública por sector (buscado: boletines CNBV y SIE en el manifiesto) | ASTRA5-U0-CRPOP-050=DIFERIDO[SIN-VEREDICTO]: sin CALC de este acto (host CNBV/Banxico denegado en la sesión previa que dejó la constancia; serie existe pero no se trajo al corpus): pérdida esperada y CAT por institución: RIB de créditos personales de Banxico; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org) | ASTRA5-U0-TRUST-018=NO-CONSTRUIBLE[SIN-VEREDICTO]: «82% de las transacciones en efectivo»: sin fuente identificada; no es serie administrativa de pagos (las series SPEI/CoDi del manifiesto miden montos y operaciones electrónicas, no la proporción en efectivo); el piso de persona sería ENIF, fuera de este acto | ASTRA5-U0-VIOL-041=NO-CONSTRUIBLE[SIN-VEREDICTO]: estudio econométrico de Banxico (homicidios → IED estatal): estimación de investigación, no serie; título no identificado por el report | ASTRA5-U0-CONS-021=DIFERIDO[SIN-VEREDICTO]: sin CALC de este acto (host CNBV/Banxico denegado en la sesión previa que dejó la constancia; serie existe pero no se trajo al corpus): participación de MSI en saldos de tarjeta: RIB de tarjetas de Banxico; host denegado por la política de red de esta sesión (proxy 403: www.banxico.org.mx, portafolioinfo.cnbv.gob.mx, www.cnbv.gob.mx, www.gob.mx, web.archive.org)	ASTRA5-U0-CRFAC-004;ASTRA5-U0-CRFAC-007;ASTRA5-U0-CRFAC-011;ASTRA5-U0-CRFAC-013;ASTRA5-U0-CRFAC-020;ASTRA5-U0-CRPOP-050;ASTRA5-U0-TRUST-018;ASTRA5-U0-VIOL-041;ASTRA5-U0-CONS-021
PAREJA	EMAT	2022;2023	5	DIFERIDO	0	0	5		ASTRA5-U0-PAREJA-001=DIFERIDO[SIN-VEREDICTO]: SUSTITUIDO-POR:GEN2-COLA-LOTE-1 (en vuelo) | ASTRA5-U0-PAREJA-002=DIFERIDO[SIN-VEREDICTO]: SUSTITUIDO-POR:GEN2-COLA-LOTE-1 (en vuelo) | ASTRA5-U0-PAREJA-012=DIFERIDO[SIN-VEREDICTO]: SUSTITUIDO-POR:GEN2-COLA-LOTE-1 (en vuelo) | ASTRA5-U0-PAREJA-021=DIFERIDO[SIN-VEREDICTO]: SUSTITUIDO-POR:GEN2-COLA-LOTE-1 (en vuelo) | ASTRA5-U0-PAREJA-030=DIFERIDO[SIN-VEREDICTO]: SUSTITUIDO-POR:GEN2-COLA-LOTE-1 (en vuelo)	ASTRA5-U0-PAREJA-001;ASTRA5-U0-PAREJA-002;ASTRA5-U0-PAREJA-012;ASTRA5-U0-PAREJA-021;ASTRA5-U0-PAREJA-030
RELIGIOSIDAD	PEW	SIN-OLA-CASADA	5	MEDIDO	2	3	0	CALC-PEW-RELIGION-2024-0001	ASTRA5-U0-RELIG-002=MEDIDO[CONFIRMA] | ASTRA5-U0-RELIG-003=MEDIDO[MATIZA] | ASTRA5-U0-RELIG-017=NO-CONSTRUIBLE[SIN-VEREDICTO]: Informe Pew 'Religion in Latin America' (2014) no corresponde a ninguna ola PEW en manifiesto (2013,2015,2017,2018,2023,2024,2025 registradas; ninguna 2014); dataset Spring2024 no trae item retrospectivo de atribucion de exito por escolaridad. Ver nocons-g2.tsv. | ASTRA5-U0-RELIG-023=NO-CONSTRUIBLE[SIN-VEREDICTO]: Mismo informe Pew 2014 fuera de las olas en manifiesto (ver RELIG-017); tasa de 'switching' comparada Mexico/Panama/Paraguay no esta en el dataset Spring2024 de este acto. Ver nocons-g2.tsv. | ASTRA5-U0-RELIG-038=NO-CONSTRUIBLE[SIN-VEREDICTO]: Ano del informe no precisado por el report (2014 o 2026); el dataset Spring2024 (unico PEW abierto en este acto) no trae item de 'su iglesia lo busco a usted' para conversos evangelicos. Ver nocons-g2.tsv.	ASTRA5-U0-RELIG-002;ASTRA5-U0-RELIG-003;ASTRA5-U0-RELIG-017;ASTRA5-U0-RELIG-023;ASTRA5-U0-RELIG-038
FAMILIA_CUIDADOS	CCPV	2020	4	DIFERIDO	0	0	4		ASTRA5-U0-FAM-005=DIFERIDO[SIN-VEREDICTO]: SUSTITUIDO-POR:GEN2-COLA-LOTE-1 (en vuelo) | ASTRA5-U0-FAM-025=DIFERIDO[SIN-VEREDICTO]: SUSTITUIDO-POR:GEN2-COLA-LOTE-1 (en vuelo) | ASTRA5-U0-VEJEZ-005=DIFERIDO[SIN-VEREDICTO]: SUSTITUIDO-POR:GEN2-COLA-LOTE-1 (en vuelo) | ASTRA5-U0-VEJEZ-006=DIFERIDO[SIN-VEREDICTO]: SUSTITUIDO-POR:GEN2-COLA-LOTE-1 (en vuelo)	ASTRA5-U0-FAM-005;ASTRA5-U0-FAM-025;ASTRA5-U0-VEJEZ-005;ASTRA5-U0-VEJEZ-006
SALUD_MENTAL	EDR	2022;2024	4	DIFERIDO	0	0	4		ASTRA5-U0-FAM-023=DIFERIDO[SIN-VEREDICTO]: SUSTITUIDO-POR:GEN2-COLA-LOTE-1 (en vuelo) | ASTRA5-U0-JUV-011=DIFERIDO[SIN-VEREDICTO]: SUSTITUIDO-POR:GEN2-COLA-LOTE-1 (en vuelo) | ASTRA5-U0-SALMEN-015=DIFERIDO[SIN-VEREDICTO]: SUSTITUIDO-POR:GEN2-COLA-LOTE-1 (en vuelo) | ASTRA5-U0-SALMEN-016=DIFERIDO[SIN-VEREDICTO]: SUSTITUIDO-POR:GEN2-COLA-LOTE-1 (en vuelo)	ASTRA5-U0-FAM-023;ASTRA5-U0-JUV-011;ASTRA5-U0-SALMEN-015;ASTRA5-U0-SALMEN-016
TRABAJO	ENOE	2025	4	DIFERIDO	0	1	3		ASTRA5-U0-MER-040=NO-CONSTRUIBLE[SIN-VEREDICTO]: Pregunta buscada: probabilidad de automatización del puesto de trabajo. ENOE 2025T1 (en corpus, no reservada) no trae ese reactivo -- es una variable construida externamente (CEPAL/artículo académico) sobre ocupación, no un ítem del cuestionario ENOE. Las cifras de PwC (vacantes IA) y CEPAL (riesgo de automatización) no son de ninguna encuesta de hogares del corpus. | ASTRA5-U0-VEJEZ-012=DIFERIDO[SIN-VEREDICTO]: ENOE trae rama de actividad económica (SCIAN) y sexo, con lo que el cruce 'mujeres en establecimientos de servicios de cuidado' es construible en principio, pero ningún CALC sellado (CALC-ENOE-PISOS-*, PARTICIPACION-2024T4) mide ese corte por rama de cuidado; sin CALC. | ASTRA5-U0-VEJEZ-025=DIFERIDO[SIN-VEREDICTO]: CALC-ENOE-PARTICIPACION-2024T4-0001 (sellado, ola no reservada) mide 'participa económicamente' con ejes edad/entidad/localidad pero SIN eje sexo (verificado: no existen claves *-SEXO-* ni *-PARTICIPA-ECONOMICAMENTE-2024T4-P sin segmento); la tasa 46.0%/74.6% por sexo no está en ningún RESULT sellado. | ASTRA5-U0-VEJEZ-026=DIFERIDO[SIN-VEREDICTO]: ENOE(N) 2025T1 está en corpus y no reservada (2026 es la ola más reciente), pero ningún CALC sellado mide informalidad laboral por sexo en esa ola (los CALC-ENDUTIH-EMPLEO-15MAS-* son de otro programa); sin CALC para TIL1/TOSI1 por sexo 2025T1.	ASTRA5-U0-MER-040;ASTRA5-U0-VEJEZ-012;ASTRA5-U0-VEJEZ-025;ASTRA5-U0-VEJEZ-026
VIOLENCIA	ENDIREH	2021	4	MEDIDO	1	0	3	CALC-ENDIREH-PISOS-2021-PAREJA-FISICA-BC-0001	ASTRA5-U0-PAREJA-013=DIFERIDO[SIN-VEREDICTO]: CALC-ENDIREH-PISOS-2021-PAREJA-FISICA-BC-0001 (sellado) mide violencia física de pareja 'a lo largo de la relación' en el universo B1/B2 (ex-esposo/ex-pareja) y C1 (novio/pareja o ex) de mujeres 15+, con eje edad 15-29 (P=0.0906 IC[0.0837,0.0977]); no reproduce el corte del artículo externo (mujeres SOLTERAS 15-24 en noviazgo, prevalencia agregada emocional+física+sexual del último año); universo y ventana temporal distintos, sin CALC para ese corte exacto. | ASTRA5-U0-PAREJA-014=DIFERIDO[SIN-VEREDICTO]: Los pisos sellados de ENDIREH 2021 son por módulo (pareja física BC=18.57% nacional, familiar=11.4%, etc.), no existe un CALC que agregue 'cualquier tipo de violencia de pareja a lo largo de la vida' (39.9% citado). CALC-ENDIREH-PISOS-2021-AYUDA-0001 da 4.9% nacional para acudir a alguna instancia, con universo A1/A2 (con algún acto de violencia desde el inicio), denominador que no calza claramente con el 13.6% citado ('de quienes la sufrieron'); sin CALC que combine ambos agregados. | ASTRA5-U0-PAREJA-022=MEDIDO[MATIZA] | ASTRA5-U0-GEN-031=DIFERIDO[SIN-VEREDICTO]: Los pisos sellados de ENDIREH 2021 son por módulo (pareja física, familiar, laboral, comunitaria, escolar, discriminación, ayuda) con eje 'entidad' propio de cada módulo; no existe un CALC que agregue la 'prevalencia total' de violencia por entidad (78.7/76.2/75.2% citado) combinando todos los módulos; construible en principio, no medido aquí.	ASTRA5-U0-PAREJA-013;ASTRA5-U0-PAREJA-014;ASTRA5-U0-PAREJA-022;ASTRA5-U0-GEN-031
VIOLENCIA	ENSU	2024;2025	4	MEDIDO	4	0	0	CALC-ENSU-PISOS-0001	ASTRA5-U0-VIOL-001=MEDIDO[ROMPE] | ASTRA5-U0-VIOL-003=MEDIDO[CONFIRMA] | ASTRA5-U0-VIOL-035=MEDIDO[CONFIRMA] | ASTRA5-U0-INTER-034=MEDIDO[MATIZA]	ASTRA5-U0-VIOL-001;ASTRA5-U0-VIOL-003;ASTRA5-U0-VIOL-035;ASTRA5-U0-INTER-034
