conducta	ola	ambito	ventana	instrumento	dictamen	publicacion_nacional	calc_id	result_id	resultados_sha256	evidencia
comunitaria	2003	comunitario	cualquiera	pareja residente	EXCLUIDO_POR_DISEÑO	NO_APLICA				Sin módulo comunitario separado en 2003
discriminacion_laboral_8_3	2003	discriminacion_laboral	cualquiera	pareja residente	EXCLUIDO_POR_DISEÑO	NO_APLICA				Reactivos 8.3 de 2021 no existen en 2003
escolar	2003	escolar	cualquiera	pareja residente	EXCLUIDO_POR_DISEÑO	NO_APLICA				Sin módulo de violencia escolar separado en 2003
familiar_fuera_pareja	2003	familiar	cualquiera	pareja residente	EXCLUIDO_POR_DISEÑO	NO_APLICA				Sin módulo familiar separado en 2003
laboral_interpersonal	2003	laboral_interpersonal	cualquiera	pareja residente	EXCLUIDO_POR_DISEÑO	NO_APLICA				Sin módulo de violencia laboral separado en 2003
pareja_anual	2003	pareja	últimos 12 meses	pareja residente	DEPENDENCIA_EXTERNA	NO_APLICA				Faltan UPM/estrato por registro o pesos replicados para IC; dictamen 2003
pareja_otros_estados	2003	pareja	cualquiera	sin pareja residente	EXCLUIDO_POR_DISEÑO	NO_APLICA				Elegibilidad del cuestionario 2003
pareja_vida	2003	pareja	vida de relación	pareja residente	EXCLUIDO_POR_DISEÑO	NO_APLICA				Cuestionario 2003 capítulo VIII pregunta últimos 12 meses; vida no preguntada
comunitaria_aviso_o_denuncia	2006	comunitario		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
comunitaria_vida	2006	comunitario		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
discriminacion_item_01	2006	discriminacion_laboral		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
discriminacion_item_02	2006	discriminacion_laboral		MC/MD/MS según pregunta	MEDIDO	PUBLICABLE	CALC-ENDIREH-PISOS-2006-MODULOS-0002	RESULT-ENDIREH2006-MOD-TABLA	e3ce066c8cdb661b2059922fdd48740f9f24163910e1a13fda9ea1568476a7a5	spec.md + RESULT sellado
