id_afirmacion	dominio	report	estado_hoja	existencia_documento	pieza_o_razon	instrumento_ola	propietario	prioridad
ASTRA5-U0-APUEST-001	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DESCARTAR-CON-RAZÓN	COMPROBADA-O-NO-APLICA	veredicto que recombina filas ya dictaminadas (apuestas-007/008/009 Azteca, apuestas-010/011 Nu, apuestas-014/015/016 Kueski/Aplazo) atribuyendo un patrón causal transversal sin contrafactual ni diseño de identificación en los instrumentos recorridos; u0mf --busca "Behavioral Finance" -> 0/1680 (ningun RESULT agrega los 4 casos); no se identificó instrumento tras este recorrido; no equivale a impo	no aplica	ASTRA5-MESA-DINERO	4
ASTRA5-U0-APUEST-002	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DESCARTAR-CON-RAZÓN	COMPROBADA-O-NO-APLICA	atribución causal de un par narrativo sin contrafactual pareado ni diseño de identificación (mismo defecto que señala la corrección vigente L10/L181 del lote: «Separar series/universos y buscar comparación emparejada antes de adjudicar mecanismo»); componentes descriptivos de CoDi en apuestas-030/031 y de OXXO/Spin en apuestas-018/019. u0mf --busca cnbv --busca corresponsal -> 0/1680 (sin tabla CN	Banxico SIE CF881-CF885 (CoDi, 2019-2026); CNBV corresponsalías (2019); FEMSA/OXXO Pay-Spin (comunicados propios)	ASTRA5-U4	4
ASTRA5-U0-APUEST-003	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DESCARTAR-CON-RAZÓN	COMPROBADA-O-NO-APLICA	atribución causal de un caso único con contradicción documentada entre dos forenses del mismo corpus, sin panel ni experimento D/E de precio-calidad (u0mf --busca walmex --busca costco -> 0/1680, ninguna serie de panel de consumo registrada); no se identificó instrumento tras este recorrido; no equivale a imposibilidad universal. Componentes descriptivos (Effie, número de tiendas) en apuestas-021.	no aplica al mecanismo (síntesis); ver apuestas-021 para las cifras descriptivas de Walmex/Effie	ASTRA5-MESA-DINERO	4
ASTRA5-U0-APUEST-004	CONSUMO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DESCARTAR-CON-RAZÓN	COMPROBADA-O-NO-APLICA	síntesis de dos casos ya dictaminados (apuestas-032 CoDi, apuestas-036/037 Jüsto) que les atribuye una causa psicológica común sin contrafactual; u0mf --busca jüsto -> 0/1680, u0mf --busca justo -> 0/1680 (sin documento primario registrado); no se identificó instrumento tras este recorrido; no equivale a imposibilidad universal.	no aplica	ASTRA5-MESA-CONSUMO	4
ASTRA5-U0-APUEST-005	SALUD	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DESCARTAR-CON-RAZÓN	COMPROBADA-O-NO-APLICA	la comparación "estructura vs. cultura" en sí misma exige un instrumento que mida razón de no vacunación (actitud) en la MISMA cohorte que la caída de cobertura; u0busca -q "no lo vacun|no fue vacunado|razon de no" -> 6 aciertos, todos en ENADID 2023 (razón de no uso de anticonceptivos, no de vacunas); u0busca -q "esquema de vacunacion completo|cartilla de vacunacion" -> 0 aciertos; no se identifi	ENSANUT Continua 2021-2023 (cobertura); no se halló instrumento nacional de actitud/rechazo parental a vacunas pareado a la misma cohorte	ASTRA5-MESA-SALUD	4
ASTRA5-U0-APUEST-006	CONFIANZA	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	REUTILIZAR	COMPROBADA-O-NO-APLICA	1008973606mexico_lapop_final_2006_data_set_092906|f43fcf78533febabe4eacb539f0ed03470c8320d606f29f54c220cda5abb3039|raíz descargas_mx; 1658622845mexico_2004_export_version|e725383552753223d263a1d65e2aaf9549a59859eb1b5777b666f32728700c99|raíz descargas_mx; U0 no abrió microdato	LAPOP/AmericasBarometer México 2004 y 2006 (módulo EXC)	ASTRA5-U3	1
ASTRA5-U0-APUEST-007	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	ADQUIRIR	COMPROBADA-O-NO-APLICA	World Bank Policy Research Working Paper 6634 (Ruiz, 2013), «From pawn shops to banks: the impact of formal credit on informal households» documento primario identificado y existencia confirmada por WebSearch (24/sep/2026): World Bank Policy Research Working Paper Series 6634, "From pawn shops to banks: the impact of formal credit on informal households", Claudia Ruiz, 2013, documents.worldbank.or	World Bank Policy Research Working Paper 6634 (Ruiz, 2013), «From pawn shops to banks: the impact of formal credit on informal households»	ASTRA5-MESA-DINERO	3
ASTRA5-U0-APUEST-008	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DOCUMENTACIÓN-SOLAMENTE	COMPROBADA-O-NO-APLICA	CNBV 040-1A-R16 por institución (BanCoppel), periodo 2024-12	CNBV portafolio 040-1A-R16 (IMOR por tipo de cartera) y boletín de banca múltiple; Banxico IMOR por producto	ASTRA5-MESA-DINERO	3
ASTRA5-U0-APUEST-009	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DESCARTAR-CON-RAZÓN	COMPROBADA-O-NO-APLICA	interpretación que recombina apuestas-007 (cifra WB) y apuestas-008 (morosidad comparador) en una tesis psicológica general (informalidad=adaptación, no tecnofobia) sin instrumento de actitud pareado; no se identificó instrumento tras este recorrido; no equivale a imposibilidad universal; componente descriptivo ya está en apuestas-007/008.	no aplica (interpretación)	ASTRA5-MESA-DINERO	4
ASTRA5-U0-APUEST-010	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DOCUMENTACIÓN-SOLAMENTE	COMPROBADA-O-NO-APLICA	comunicado oficial Nu México (blog.nu.com.mx, international.nubank.com.br) documento primario identificado y existencia confirmada por WebSearch (24/sep/2026): blog.nu.com.mx/nu-mexico-una-financeira-solida-y-regulada-acerca-de-nu/nu-mexico-13-millones-clientes/ (oct-2025) y .../nu-mexico-15-millones-clientes/ (abr-2026)	comunicado oficial Nu México (blog.nu.com.mx, international.nubank.com.br)	ASTRA5-MESA-DINERO	3
ASTRA5-U0-APUEST-011	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	REUTILIZAR	COMPROBADA-O-NO-APLICA	enif2024_csv|a3507b4038888247f565f1640a718ef552bb8fc363378e3372a5bf2796bb2e4c|raíz data_raw; U0 no abrió microdato	ENIF 2024, módulo 5 (TMODULO), variable P5_4_8/p5_4_8	ASTRA5-MESA-DINERO	3
ASTRA5-U0-APUEST-012	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DESCARTAR-CON-RAZÓN	COMPROBADA-O-NO-APLICA	interpretación de un caso único (aunque con cifras descriptivas en apuestas-010/011) que atribuye mecanismo psicológico sin instrumento de actitud pareado a la decisión de adopción; no se identificó instrumento tras este recorrido; no equivale a imposibilidad universal.	no aplica (interpretación)	ASTRA5-MESA-DINERO	4
ASTRA5-U0-APUEST-013	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DOCUMENTACIÓN-SOLAMENTE	COMPROBADA-O-NO-APLICA	seccion de calidad de cartera/morosidad temprana por pais (Mexico vs. Brasil) dentro del 20-F FY2022 de Nu Holdings (accession 0001292814-23-001671), o del 20-F FY2023 (accession 0001292814-24-001464, filed 2024-04-19) si el FY2022 no la trae Documento primario IDENTIFICADO: Nu Holdings Ltd (NYSE: NU) presenta anualmente su Form 20-F ante la SEC	no identificado (solo prensa)	ASTRA5-MESA-DINERO	3
ASTRA5-U0-APUEST-014	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DOCUMENTACIÓN-SOLAMENTE	COMPROBADA-O-NO-APLICA	comunicado oficial Aplazo vía BusinessWire (13-may-2024)	comunicado oficial Aplazo vía BusinessWire (13-may-2024); comunicado/prensa propia Kueski	ASTRA5-MESA-DINERO	3
ASTRA5-U0-APUEST-015	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	REUTILIZAR	COMPROBADA-O-NO-APLICA	enif2024_csv|a3507b4038888247f565f1640a718ef552bb8fc363378e3372a5bf2796bb2e4c|raíz data_raw; U0 no abrió microdato	ENIF (todas las olas 2012-2024), módulo TMODULO, variable «No tiene historial crediticio» como razón de negación	ASTRA5-MESA-DINERO	2
ASTRA5-U0-APUEST-016	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DOCUMENTACIÓN-SOLAMENTE	EXISTE-SATISFACE-DESDE-CAJA	comunicado propio, blog corporativo, entrevista en video o publicacion en canal oficial (LinkedIn/sitio) de Angel Pena (Aplazo) o Jaime Romero (Kueski) con la declaracion citada por TechCrunch (15-nov-2021) EXISTENCIA-NO-COMPROBADA tras 2 consultas: WebFetch https://www.aplazo.mx/blog (blog oficial de Aplazo, sin la declaracion de Angel Pena ni la cifra del 40%)	no identificado (solo prensa, TechCrunch 15-nov-2021)	ASTRA5-MESA-DINERO	3
ASTRA5-U0-APUEST-017	DINERO	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	DESCARTAR-CON-RAZÓN	COMPROBADA-O-NO-APLICA	interpretación de caso único que recombina apuestas-014/015/016; el componente con mejor identificación de esta misma tesis (contribución marginal de datos alternativos al AUC) YA está dictaminado como MEDIBLE-EN-CORPUS en apuestas-051 (PAR-1, NBER 33208); esta fila es DEDUP parcial de esa tesis a nivel de 'romper' general de política, sin contrafactual propio de Kueski/Aplazo.	no aplica (interpretación); ver apuestas-051 (NBER 33208, EN-CORPUS)	ASTRA5-MESA-DINERO	4
