unidad	tipo	filas_o_contratos	razon
LECTURA-329d8c81-01	G		NO-AFIRMACION: encabezado (introduce la lista de patrones «del mas solido al mas debil», sin afirmacion propia)
LECTURA-329d8c81-02	G	ASTRA5-U0-APUEST-001	
LECTURA-329d8c81-03	G	ASTRA5-U0-APUEST-002	
LECTURA-329d8c81-04	G	ASTRA5-U0-APUEST-003	
LECTURA-329d8c81-05	G	ASTRA5-U0-APUEST-004	
LECTURA-329d8c81-06	G	ASTRA5-U0-APUEST-005	
CAND-329d8c81-L38	P	ASTRA5-U0-APUEST-007;ASTRA5-U0-APUEST-008;ASTRA5-U0-APUEST-009	
CAND-329d8c81-L56	P	ASTRA5-U0-APUEST-014;ASTRA5-U0-APUEST-015;ASTRA5-U0-APUEST-016;ASTRA5-U0-APUEST-017	
CAND-329d8c81-L140	P	ASTRA5-U0-APUEST-037	
CAND-329d8c81-L148	P	ASTRA5-U0-APUEST-040	
CAND-329d8c81-L190	P	ASTRA5-U0-APUEST-002	DEDUP: apuestas-002 (mismo tema efectivo/OXXO que Par 2 y L10)
CAND-329d8c81-L191	P	ASTRA5-U0-APUEST-001	DEDUP: apuestas-001 (mismo patron friccion+utilidad que L9)
CAND-329d8c81-L192	P	ASTRA5-U0-APUEST-003;ASTRA5-U0-APUEST-020;ASTRA5-U0-APUEST-042	
CAND-329d8c81-L193	P	ASTRA5-U0-APUEST-021	
CAND-329d8c81-L194	P	ASTRA5-U0-APUEST-005;ASTRA5-U0-APUEST-039	
CAND-329d8c81-L195	P	ASTRA5-U0-APUEST-006	
CAND-329d8c81-L231	P	ASTRA5-U0-APUEST-003	DEDUP: apuestas-003 (misma auditoria del caso Mama Lucha)
TIER-329d8c81-L47	T	ASTRA5-U0-APUEST-010;ASTRA5-U0-APUEST-011;ASTRA5-U0-APUEST-012;ASTRA5-U0-APUEST-013	
TIER-329d8c81-L65	T	ASTRA5-U0-APUEST-018;ASTRA5-U0-APUEST-019;ASTRA5-U0-APUEST-002	
TIER-329d8c81-L74	T	ASTRA5-U0-APUEST-003;ASTRA5-U0-APUEST-020	
TIER-329d8c81-L83	T	ASTRA5-U0-APUEST-021;ASTRA5-U0-APUEST-022;ASTRA5-U0-APUEST-023	
TIER-329d8c81-L92	T	ASTRA5-U0-APUEST-024;ASTRA5-U0-APUEST-025;ASTRA5-U0-APUEST-026	
TIER-329d8c81-L101	T	ASTRA5-U0-APUEST-027;ASTRA5-U0-APUEST-028	
TIER-329d8c81-L112	T	ASTRA5-U0-APUEST-029;ASTRA5-U0-APUEST-030;ASTRA5-U0-APUEST-031;ASTRA5-U0-APUEST-032	
TIER-329d8c81-L121	T	ASTRA5-U0-APUEST-033;ASTRA5-U0-APUEST-034	
TIER-329d8c81-L130	T	ASTRA5-U0-APUEST-035;ASTRA5-U0-APUEST-036	
TIER-329d8c81-L157	T	ASTRA5-U0-APUEST-042;ASTRA5-U0-APUEST-043	
TIER-329d8c81-L165	T	ASTRA5-U0-APUEST-044;ASTRA5-U0-APUEST-045	
TIER-329d8c81-L173	T	ASTRA5-U0-APUEST-046;ASTRA5-U0-APUEST-047	
TIER-329d8c81-L242	T	ASTRA5-U0-APUEST-050;ASTRA5-U0-APUEST-051;ASTRA5-U0-APUEST-052	
TIER-329d8c81-L246	T	ASTRA5-U0-APUEST-053	
LECTURA-329d8c81-01	F		NO-AFIRMACION: encabezado (misma ficha que G-01, sin afirmacion propia)
LECTURA-329d8c81-02	F	ASTRA5-U0-APUEST-001	
LECTURA-329d8c81-03	F	ASTRA5-U0-APUEST-002	
LECTURA-329d8c81-04	F	ASTRA5-U0-APUEST-003	
LECTURA-329d8c81-05	F	ASTRA5-U0-APUEST-004	
LECTURA-329d8c81-06	F	ASTRA5-U0-APUEST-005	
APUESTAS-CASO-01	F	ASTRA5-U0-APUEST-007;ASTRA5-U0-APUEST-008;ASTRA5-U0-APUEST-009	
APUESTAS-CASO-02	F	ASTRA5-U0-APUEST-010;ASTRA5-U0-APUEST-011;ASTRA5-U0-APUEST-012;ASTRA5-U0-APUEST-013	
APUESTAS-CASO-03	F	ASTRA5-U0-APUEST-014;ASTRA5-U0-APUEST-015;ASTRA5-U0-APUEST-016;ASTRA5-U0-APUEST-017	
APUESTAS-CASO-04	F	ASTRA5-U0-APUEST-018;ASTRA5-U0-APUEST-019	
APUESTAS-CASO-05	F	ASTRA5-U0-APUEST-003;ASTRA5-U0-APUEST-020	
APUESTAS-CASO-06	F	ASTRA5-U0-APUEST-021;ASTRA5-U0-APUEST-022;ASTRA5-U0-APUEST-023	
APUESTAS-CASO-07	F	ASTRA5-U0-APUEST-024;ASTRA5-U0-APUEST-025;ASTRA5-U0-APUEST-026	
APUESTAS-CASO-08	F	ASTRA5-U0-APUEST-027;ASTRA5-U0-APUEST-028	
APUESTAS-CASO-09	F	ASTRA5-U0-APUEST-029;ASTRA5-U0-APUEST-030;ASTRA5-U0-APUEST-031;ASTRA5-U0-APUEST-032	
APUESTAS-CASO-10	F	ASTRA5-U0-APUEST-033;ASTRA5-U0-APUEST-034	
APUESTAS-CASO-11	F	ASTRA5-U0-APUEST-035;ASTRA5-U0-APUEST-036	
APUESTAS-CASO-12	F	ASTRA5-U0-APUEST-037;ASTRA5-U0-APUEST-038;ASTRA5-U0-APUEST-039	
APUESTAS-CASO-13	F	ASTRA5-U0-APUEST-040;ASTRA5-U0-APUEST-041	
APUESTAS-CASO-14	F	ASTRA5-U0-APUEST-042;ASTRA5-U0-APUEST-043	
APUESTAS-CASO-15	F	ASTRA5-U0-APUEST-044;ASTRA5-U0-APUEST-045	
APUESTAS-CASO-16	F	ASTRA5-U0-APUEST-046;ASTRA5-U0-APUEST-047	
APUESTAS-PAR-01	F	ASTRA5-U0-APUEST-048;ASTRA5-U0-APUEST-049	
APUESTAS-PAR-02	F	ASTRA5-U0-APUEST-002;ASTRA5-U0-APUEST-029	DEDUP: apuestas-002 (par CoDi/OXXO) y apuestas-029 (cifras CoDi)
APUESTAS-PAR-03	F	ASTRA5-U0-APUEST-043	
APUESTAS-SINT-01	F		DEDUP: apuestas-001;apuestas-002;apuestas-003;apuestas-004;apuestas-005;apuestas-006;apuestas-021;apuestas-037;apuestas-042;apuestas-048 (síntesis de §5 CONFIRMA/MATIZA/ROMPE; sin componente propio nuevo, recombina las filas de cada caso/patrón)
APUESTAS-SINT-02	F		DEDUP: apuestas-003;apuestas-020;apuestas-042;apuestas-043 (misma contradicción de panel D/E precio-calidad entre Mamá Lucha y Costco)
APUESTAS-SINT-03	F		NO-AFIRMACION: auditoría meta (§7-8, marco de búsqueda/selección de casos del propio report, no es afirmación sobre el consumidor mexicano)
APUESTAS-SINT-04	F	ASTRA5-U0-APUEST-053	
INT-L198	INT	ASTRA5-U0-APUEST-054	
