unidad	tipo	filas_o_contratos	razon
LECTURA-76a7b8ac-01	G	ASTRA5-U0-ASPIR-001	
LECTURA-76a7b8ac-02	G	ASTRA5-U0-ASPIR-021;ASTRA5-U0-ASPIR-023;ASTRA5-U0-ASPIR-024;ASTRA5-U0-ASPIR-025	
LECTURA-76a7b8ac-03	G	ASTRA5-U0-ASPIR-014;ASTRA5-U0-ASPIR-015;ASTRA5-U0-ASPIR-016;ASTRA5-U0-ASPIR-012;ASTRA5-U0-ASPIR-013	
LECTURA-76a7b8ac-04	G	ASTRA5-U0-ASPIR-008;ASTRA5-U0-ASPIR-009;ASTRA5-U0-ASPIR-003;ASTRA5-U0-ASPIR-004	
CAND-76a7b8ac-L5	P	ASTRA5-U0-ASPIR-002	
CAND-76a7b8ac-L6	P	ASTRA5-U0-ASPIR-003	
CAND-76a7b8ac-L7	P		DEDUP: aspiracional-006;aspiracional-007;aspiracional-008b;aspiracional-009 (resumen TL;DR de las 4 reglas, ya dictaminadas cada una por separado)
TIER-76a7b8ac-L38	T	ASTRA5-U0-ASPIR-015;ASTRA5-U0-ASPIR-016	
TIER-76a7b8ac-L46	T	ASTRA5-U0-ASPIR-012;ASTRA5-U0-ASPIR-013	
TIER-76a7b8ac-L53	T	ASTRA5-U0-ASPIR-017;ASTRA5-U0-ASPIR-018	
TIER-76a7b8ac-L61	T	ASTRA5-U0-ASPIR-019;ASTRA5-U0-ASPIR-020	
TIER-76a7b8ac-L69	T	ASTRA5-U0-ASPIR-021;ASTRA5-U0-ASPIR-023	
TIER-76a7b8ac-L76	T	ASTRA5-U0-ASPIR-024;ASTRA5-U0-ASPIR-025	
TIER-76a7b8ac-L85	T	ASTRA5-U0-ASPIR-003;ASTRA5-U0-ASPIR-004	
TIER-76a7b8ac-L93	T	ASTRA5-U0-ASPIR-026;ASTRA5-U0-ASPIR-027	
TIER-76a7b8ac-L111	T	ASTRA5-U0-ASPIR-010;ASTRA5-U0-ASPIR-009	
LECTURA-76a7b8ac-01	F		DEDUP: aspiracional-001 (ficha coincide con hallazgo G01, mismo id)
LECTURA-76a7b8ac-02	F		DEDUP: aspiracional-017a;aspiracional-018a (ficha coincide con hallazgo G02, mismo id)
LECTURA-76a7b8ac-03	F		DEDUP: aspiracional-012 (ficha coincide con hallazgo G03, mismo id)
LECTURA-76a7b8ac-04	F		DEDUP: aspiracional-008a;aspiracional-003 (ficha coincide con hallazgo G04, mismo id)
ASP-CASO-01	F	ASTRA5-U0-ASPIR-015;ASTRA5-U0-ASPIR-016	
ASP-CASO-02	F	ASTRA5-U0-ASPIR-012;ASTRA5-U0-ASPIR-013	
ASP-CASO-03	F	ASTRA5-U0-ASPIR-017;ASTRA5-U0-ASPIR-018	
ASP-CASO-04	F	ASTRA5-U0-ASPIR-019;ASTRA5-U0-ASPIR-020	
ASP-CASO-05	F	ASTRA5-U0-ASPIR-021;ASTRA5-U0-ASPIR-022;ASTRA5-U0-ASPIR-023	
ASP-CASO-06	F	ASTRA5-U0-ASPIR-024;ASTRA5-U0-ASPIR-025	
ASP-CASO-07	F	ASTRA5-U0-ASPIR-003;ASTRA5-U0-ASPIR-004;ASTRA5-U0-ASPIR-005	
ASP-CASO-08	F	ASTRA5-U0-ASPIR-026;ASTRA5-U0-ASPIR-027	
ASP-CASO-09	F	ASTRA5-U0-ASPIR-008;ASTRA5-U0-ASPIR-009	
ASP-REGLA-01	F	ASTRA5-U0-ASPIR-007	
ASP-REGLA-02	F	ASTRA5-U0-ASPIR-008;ASTRA5-U0-ASPIR-009	
ASP-REGLA-03	F	ASTRA5-U0-ASPIR-010;ASTRA5-U0-ASPIR-011	
ASP-REGLA-04	F	ASTRA5-U0-ASPIR-006;ASTRA5-U0-ASPIR-005	
ASP-SINT-01	F		NO-AFIRMACION: auditoría meta (§6 módulo de auditoría autocrítico del propio report, no hace afirmaciones nuevas sobre México, reflexiona sobre el sesgo del propio forense)
ASP-SINT-02	F	ASTRA5-U0-ASPIR-028	
